prediction,facts,exp,original_score,new_ranks,new_score,new_scores,new_rank,exp_length,original_rank
"(7788, 11, 7956)","[({(7788, 9, 7790)}, 0.3649051602998017, 'baseline'), ({(7788, 4, 66)}, 0.1720911071336026, 'baseline'), ({(7788, 3, 2545)}, 0.06653509570346663, 'baseline'), ({(7788, 3, 9)}, 0.04070434993809994, 'baseline'), ({(7788, 3, 1239)}, 0.02748022506323077, 'baseline'), ([(7788, 3, 666), (9818, 3, 666), (9818, 11, 7956)], 0.0, 'xrule'), ([(7788, 3, 666), (10558, 3, 666), (10558, 11, 7956)], 0.0, 'xrule'), ([(8092, 11, 7956), (8092, 2, 31), (7788, 2, 31)], 0.0, 'xrule'), ([(9756, 2, 31), (9756, 11, 7956), (7788, 2, 31)], 0.0, 'xrule'), ([(9818, 2, 31), (9818, 11, 7956), (7788, 2, 31)], 0.0, 'xrule'), ({(7788, 3, 666)}, -0.047052164565385454, 'baseline'), ({(7788, 3, 220)}, -0.04738589101005371, 'baseline'), ({(7788, 2, 68)}, -0.05586560540611817, 'baseline'), ({(7788, 3, 149)}, -0.0815993146571975, 'baseline'), ({(7788, 3, 2563)}, -0.09938748641644841, 'baseline')]","[(21587, 11, 7956), (24242, 4, 66), (23853, 3, 1239), (24242, 11, 7956), (7788, 4, 66), (7788, 3, 2545), (7788, 3, 9), (21587, 3, 2545), (24242, 3, 9), (14852, 9, 7790), (7788, 3, 1239), (14852, 11, 7956), (23853, 11, 7956), (7788, 9, 7790)]",6.464199395850301e-05,[2],0.000677218718919903,[0.000677218718919903],2.0,14,1
"(7328, 10, 7830)","[({(7328, 1, 65)}, 0.0005206980507870618, 'baseline'), ({(7328, 3, 10)}, 0.0005126566036875447, 'baseline'), ({(7328, 3, 651)}, 0.000508498131705525, 'baseline'), ({(7328, 3, 1838)}, 0.0004907131290492997, 'baseline'), ({(7328, 3, 7332)}, 0.00048290148586899173, 'baseline'), ({(7328, 2, 465)}, 0.00047677885449564776, 'baseline'), ({(7328, 3, 1839)}, 0.0004695896258939589, 'baseline'), ({(7328, 2, 31)}, 0.0004466062715686054, 'baseline'), ({(7328, 3, 1493)}, 0.00034801907925387823, 'baseline'), ({(7328, 3, 40)}, 0.00033793582406481523, 'baseline'), ([(7922, 3, 479), (7328, 3, 479), (7922, 10, 7830)], 0.0, 'xrule'), ([(22881, 3, 479), (7328, 3, 479), (22881, 10, 7830)], 0.0, 'xrule'), ([(8007, 3, 479), (8007, 10, 7830), (7328, 3, 479)], 0.0, 'xrule'), ([(7922, 3, 40), (7328, 3, 40), (7922, 10, 7830)], 0.0, 'xrule'), ([(8287, 10, 7830), (8287, 3, 40), (7328, 3, 40)], 0.0, 'xrule')]","[(7328, 3, 7332), (7328, 3, 10), (7328, 1, 65), (24904, 3, 10), (23722, 1, 65), (7328, 3, 1838), (9116, 3, 7332), (24904, 10, 7830), (25503, 10, 7830), (24832, 10, 7830), (25503, 3, 1838), (7328, 3, 651), (9116, 10, 7830), (23722, 10, 7830), (24832, 3, 651)]",5.031374872288552e-09,[1],0.994636595249176,[0.994636595249176],1.0,15,1
"(7125, 11, 8038)","[({(7125, 4, 66)}, 0.03773252572007872, 'baseline'), ({(7125, 3, 7128)}, 0.02976776192526079, 'baseline'), ({(7125, 1, 65)}, 0.027556362522937358, 'baseline'), ({(7125, 3, 9)}, 0.021657721097497116, 'baseline'), ({(7125, 3, 220)}, 0.018796780079997934, 'baseline'), ({(7125, 3, 479)}, 0.0054674213273748565, 'baseline'), ({(7125, 2, 31)}, 0.005235272437608079, 'baseline'), ([(9267, 11, 8038), (9267, 3, 220), (7125, 3, 220)], 0.0, 'xrule'), ([(16972, 11, 8038), (16972, 3, 220), (7125, 3, 220)], 0.0, 'xrule'), ([(18054, 11, 8038), (18054, 3, 220), (7125, 3, 220)], 0.0, 'xrule'), ([(23233, 3, 220), (7125, 3, 220), (23233, 11, 8038)], 0.0, 'xrule'), ([(25035, 11, 8038), (7125, 3, 220), (25035, 3, 220)], 0.0, 'xrule'), ({(7125, 3, 39)}, -0.0036589662158364026, 'baseline'), ({(7125, 3, 10)}, -0.01151168071590642, 'baseline'), ({(7125, 3, 113)}, -0.02795018352476295, 'baseline')]","[(25545, 11, 8038), (24904, 11, 8038), (25545, 4, 66), (7125, 1, 65), (24904, 3, 9), (7125, 3, 9), (24632, 11, 8038), (7125, 4, 66), (7125, 3, 7128), (7125, 3, 220), (23179, 11, 8038), (25545, 1, 65), (23179, 3, 220), (24632, 3, 7128)]",1.2816738490073476e-05,[5],9.333440402770066e-07,[9.333440402770066e-07],5.0,14,1
"(7788, 11, 8038)","[({(7788, 9, 7790)}, 0.8225638145739657, 'baseline'), ({(7788, 3, 2545)}, 0.6468773927629881, 'baseline'), ({(7788, 4, 66)}, 0.5926361520113871, 'baseline'), ({(7788, 3, 651)}, 0.5583453610314044, 'baseline'), ({(7788, 3, 2563)}, 0.4475236359401997, 'baseline'), ({(7788, 3, 666)}, 0.35105193808259333, 'baseline'), ({(7788, 3, 220)}, 0.29388682158606494, 'baseline'), ({(7788, 3, 1321)}, 0.27748511337680065, 'baseline'), ({(7788, 3, 3903)}, 0.24170325286836636, 'baseline'), ({(7788, 3, 9)}, 0.18410180072333504, 'baseline'), ([(25137, 3, 33), (25137, 11, 8038), (7788, 3, 33)], 0.0, 'xrule'), ([(25474, 3, 33), (25474, 11, 8038), (7788, 3, 33)], 0.0, 'xrule'), ([(7788, 2, 27), (25137, 11, 8038), (25137, 2, 27)], 0.0, 'xrule'), ([(7788, 2, 27), (25474, 11, 8038), (25474, 2, 27)], 0.0, 'xrule'), ([(13114, 11, 8038), (13114, 2, 31), (7788, 2, 31)], 0.0, 'xrule')]","[(17173, 11, 8038), (17173, 9, 7790), (7788, 9, 7790), (7788, 3, 651), (23703, 3, 2563), (25545, 4, 66), (25545, 11, 8038), (7788, 4, 66), (7788, 3, 2545), (8038, 3, 651), (25137, 11, 8038), (7788, 3, 2563), (25137, 3, 2545), (23703, 11, 8038)]",0.00025431104586459696,[2],6.46717444396927e-06,[6.46717444396927e-06],2.0,14,1
"(6105, 8, 7393)","[([(9020, 8, 7393), (6105, 3, 2350), (9020, 3, 2350)], 0.2209, 'xrule'), ([(9020, 8, 7393), (6105, 3, 39), (9020, 3, 39)], 0.20809996, 'xrule'), ([(10833, 3, 6), (10833, 8, 7393), (6105, 3, 6)], 0.08340001, 'xrule'), ([(20357, 3, 6), (20357, 8, 7393), (6105, 3, 6)], 0.07910001, 'xrule'), ([(20357, 3, 276), (20357, 8, 7393), (6105, 3, 276)], 0.05549997, 'xrule'), ({(6105, 3, 40)}, 0.0009383359212414719, 'baseline'), ({(6105, 3, 6112)}, 0.0008284994988319624, 'baseline'), ({(6105, 3, 506)}, 0.0006718629522343298, 'baseline'), ({(6105, 3, 108)}, 0.00032912405707237724, 'baseline'), ({(6105, 2, 30)}, 0.000163886416765794, 'baseline'), ({(6105, 3, 2350)}, 0.0001377376144816812, 'baseline'), ({(6105, 4, 66)}, 0.00011484896513520457, 'baseline'), ({(6105, 3, 20)}, 2.6733451220090585e-05, 'baseline'), ({(6105, 3, 253)}, -0.0004017049736596096, 'baseline'), ({(6105, 3, 2349)}, -0.001340221337255261, 'baseline')]","[(9020, 8, 7393), (6105, 3, 2350), (6105, 3, 39), (10833, 8, 7393), (6105, 3, 6), (20357, 3, 6), (20357, 3, 276), (6105, 3, 276), (10833, 3, 6), (20357, 8, 7393), (9020, 3, 2350), (9020, 3, 39)]",0.0003303271369077265,[3],2.4575147250516238e-08,[2.4575147250516238e-08],3.0,12,1
"(6853, 10, 7830)","[({(6853, 1, 65)}, 0.0009250052580539152, 'baseline'), ({(6853, 3, 651)}, 0.0008528144146984684, 'baseline'), ({(6853, 3, 5859)}, 0.0008259502356784398, 'baseline'), ({(6853, 3, 158)}, 0.0008181029103389864, 'baseline'), ({(6853, 3, 6198)}, 0.0007631835080196676, 'baseline'), ({(6853, 2, 30)}, 0.0007384249341682661, 'baseline'), ({(6853, 2, 68)}, 0.0007377770828140311, 'baseline'), ({(6853, 3, 6860)}, 0.0007142643279201592, 'baseline'), ({(6853, 2, 31)}, 0.0007004580511009599, 'baseline'), ({(6853, 3, 157)}, 0.0006912479682150476, 'baseline'), ([(8486, 2, 31), (6853, 2, 31), (8486, 10, 7830)], 0.0, 'xrule'), ([(9083, 10, 7830), (6853, 2, 31), (9083, 2, 31)], 0.0, 'xrule'), ([(6853, 2, 31), (16427, 10, 7830), (16427, 2, 31)], 0.0, 'xrule'), ([(6853, 2, 31), (16862, 2, 31), (16862, 10, 7830)], 0.0, 'xrule'), ([(6853, 2, 31), (17277, 2, 31), (17277, 10, 7830)], 0.0, 'xrule')]","[(19609, 10, 7830), (19609, 3, 6198), (19609, 3, 158), (6853, 3, 6198), (23722, 1, 65), (6853, 3, 158), (21794, 10, 7830), (21794, 3, 5859), (24832, 10, 7830), (6853, 1, 65), (6853, 3, 5859), (24832, 3, 651), (23722, 10, 7830), (6853, 3, 651)]",1.7677559416284794e-09,[1],0.9563453197479248,[0.9563453197479248],1.0,14,1
"(6427, 8, 7410)","[([(7553, 3, 9), (6427, 3, 9), (7553, 8, 7410)], 0.22960001, 'xrule'), ([(22281, 2, 30), (22281, 8, 7410), (6427, 2, 30)], 0.21829998, 'xrule'), ([(6427, 3, 479), (7553, 8, 7410), (7553, 3, 479)], 0.17010003, 'xrule'), ([(22281, 3, 6), (22281, 8, 7410), (6427, 3, 6)], 0.10159999, 'xrule'), ([(7553, 3, 78), (6427, 3, 78), (7553, 8, 7410)], 0.0959, 'xrule'), ({(6427, 3, 34)}, 0.02253457433010452, 'baseline'), ({(6427, 3, 1315)}, 0.02223725891848767, 'baseline'), ({(6427, 2, 312)}, 0.022197213916871447, 'baseline'), ({(6427, 3, 9)}, 0.021839776024338942, 'baseline'), ({(6427, 3, 6224)}, 0.021627149473709976, 'baseline'), ({(6427, 3, 6429)}, 0.021571037322188274, 'baseline'), ({(6427, 3, 1267)}, 0.021346603491938704, 'baseline'), ({(6427, 3, 1477)}, 0.020871966097081234, 'baseline'), ({(6427, 2, 29)}, 0.019859296209645015, 'baseline'), ({(6427, 3, 672)}, 0.0186061309352, 'baseline'), ({(6427, 2, 68)}, 0.01808954679671518, 'baseline'), ({(6427, 3, 391)}, 0.017307507766865595, 'baseline'), ({(6427, 3, 40)}, 0.016324571290113495, 'baseline'), ({(6427, 3, 278)}, 0.014430672825661694, 'baseline'), ({(6427, 3, 10)}, 0.010532421927003396, 'baseline'), ({(6427, 3, 479)}, 0.007319268744442042, 'baseline'), ({(6427, 3, 2414)}, 0.004956302203947169, 'baseline'), ({(6427, 3, 7)}, 0.0046945893741501, 'baseline'), ({(6427, 3, 2423)}, -0.0026875725363597093, 'baseline'), ({(6427, 3, 6428)}, -0.019288136665142706, 'baseline')]","[(22281, 3, 6), (6427, 2, 30), (7553, 3, 479), (6427, 3, 479), (7553, 3, 9), (6427, 3, 9), (22281, 2, 30), (6427, 3, 6), (22281, 8, 7410), (7553, 3, 78), (6427, 3, 78), (7553, 8, 7410)]",0.006617997772991657,[1],1.7505130017525516e-05,[1.7505130017525516e-05],1.0,12,1
"(5269, 8, 7410)","[([(19185, 2, 30), (19185, 8, 7410), (5269, 2, 30)], 0.004600048, 'xrule'), ([(7688, 3, 20), (5269, 3, 20), (7688, 8, 7410)], 0.0036000013, 'xrule'), ({(5269, 3, 55)}, 0.003011812415663618, 'baseline'), ({(5269, 3, 5275)}, 0.002487977922615396, 'baseline'), ({(5269, 2, 728)}, 0.0019027683335286114, 'baseline'), ({(5269, 4, 66)}, 0.0018840140412044962, 'baseline'), ({(5269, 3, 663)}, 0.001696400296869005, 'baseline'), ({(5269, 3, 6)}, 0.0016215962415737552, 'baseline'), ([(7688, 8, 7410), (7688, 2, 30), (5269, 2, 30)], 0.00069999695, 'xrule'), ([(7688, 3, 39), (7688, 8, 7410), (5269, 3, 39)], 0.0, 'xrule'), ([(23649, 3, 39), (23649, 8, 7410), (5269, 3, 39)], 0.0, 'xrule'), ({(5269, 3, 1966)}, -0.001817559846758114, 'baseline'), ({(5269, 3, 47)}, -0.0026780688962543455, 'baseline'), ({(5269, 3, 46)}, -0.004627035967313653, 'baseline'), ({(5269, 3, 506)}, -0.0056642462137998706, 'baseline')]","[(25114, 3, 55), (10431, 3, 5275), (5269, 3, 20), (19185, 2, 30), (7688, 8, 7410), (5269, 2, 728), (10431, 8, 7410), (7688, 3, 20), (19185, 8, 7410), (5269, 2, 30), (22183, 8, 7410), (5269, 3, 55), (5269, 3, 5275), (22183, 2, 728), (25114, 8, 7410)]",0.0001737351849442348,[2],2.4217419536398666e-07,[2.4217419536398666e-07],2.0,15,1
"(5073, 10, 7830)","[({(5073, 4, 485)}, 1.511392153196074e-05, 'baseline'), ({(5073, 2, 1188)}, 8.51352203004396e-06, 'baseline'), ({(5073, 3, 91)}, 4.805170160928502e-06, 'baseline'), ({(5073, 1, 484)}, 4.335376129563057e-06, 'baseline'), ({(5073, 3, 3766)}, 2.39770130539501e-06, 'baseline'), ({(5073, 3, 1024)}, 1.8488030630449956e-06, 'baseline'), ({(5073, 2, 172)}, 1.8043324101468464e-06, 'baseline'), ({(5073, 3, 731)}, 1.6245289455227459e-06, 'baseline'), ([(8628, 2, 31), (8628, 10, 7830), (5073, 2, 31)], 0.0, 'xrule'), ([(9346, 2, 31), (9346, 10, 7830), (5073, 2, 31)], 0.0, 'xrule'), ([(11233, 10, 7830), (11233, 2, 31), (5073, 2, 31)], 0.0, 'xrule'), ([(16468, 2, 31), (16468, 10, 7830), (5073, 2, 31)], 0.0, 'xrule'), ([(17014, 10, 7830), (17014, 2, 31), (5073, 2, 31)], 0.0, 'xrule'), ({(5073, 3, 1336)}, -4.0371699916106764e-07, 'baseline'), ({(5073, 2, 68)}, -3.665790731905602e-06, 'baseline')]","[(23717, 10, 7830), (25794, 10, 7830), (23717, 1, 484), (9644, 2, 1188), (5073, 4, 485), (24725, 10, 7830), (5073, 1, 484), (5073, 3, 3766), (18264, 4, 485), (25794, 3, 91), (5073, 2, 1188), (18264, 10, 7830), (9644, 10, 7830), (24725, 3, 3766), (5073, 3, 91)]",2.7475641761753877e-09,[1],0.9912448525428772,[0.9912448525428772],1.0,15,1
"(6766, 8, 7410)","[({(6766, 3, 476)}, 0.025622357602575373, 'baseline'), ({(6766, 1, 65)}, 0.025387008636020312, 'baseline'), ({(6766, 3, 7)}, 0.024594559318867712, 'baseline'), ({(6766, 3, 56)}, 0.02286120404058899, 'baseline'), ({(6766, 2, 2083)}, 0.02244963773836405, 'baseline'), ({(6766, 3, 220)}, 0.02130293748549728, 'baseline'), ({(6766, 4, 66)}, 0.015551534465357704, 'baseline'), ({(6766, 3, 10)}, 0.013797106177730502, 'baseline'), ({(6766, 3, 370)}, 0.013449666048937962, 'baseline'), ({(6766, 3, 629)}, 0.0021647130323810197, 'baseline'), ([(6766, 1, 65), (20731, 1, 65), (20731, 8, 7410)], 0.000100016594, 'xrule'), ([(6766, 1, 65), (14458, 8, 7410), (14458, 1, 65)], 0.000100016594, 'xrule'), ([(15227, 8, 7410), (6766, 3, 39), (15227, 3, 39)], 0.000100016594, 'xrule'), ([(21843, 3, 39), (6766, 3, 39), (21843, 8, 7410)], 0.000100016594, 'xrule'), ([(6766, 1, 65), (15042, 8, 7410), (15042, 1, 65)], 0.000100016594, 'xrule')]","[(16617, 1, 65), (16617, 8, 7410), (6766, 3, 7), (24904, 3, 7), (18126, 2, 2083), (6766, 3, 476), (24904, 3, 476), (6766, 1, 65), (6766, 2, 2083), (18126, 8, 7410), (6766, 3, 56), (24904, 3, 56), (24904, 8, 7410)]",0.00013452144048642367,[2],8.617612365924288e-07,[8.617612365924288e-07],2.0,13,1
