new_score,exp,exp_length,original_score,original_rank,new_rank,prediction,new_scores,new_ranks,facts
1.73310636455426e-05,"[(4276, 1, 1347), (1347, 1, 8776), (4276, 0, 8776)]",3,0.7884548306465149,1,31060.0,"(8776, 1, 1347)",[1.73310636455426e-05],[31060],"[({(1347, 1, 8776)}, 0.8353217717767597, 'baseline'), ([(1347, 1, 8776)], 0.18509999, 'xrule'), ([(4276, 1, 1347), (4276, 0, 8776)], 0.112799995, 'xrule'), ({(4276, 0, 8776)}, 0.003857175781862512, 'baseline')]"
5.084432996227406e-05,"[(1864, 4, 2463), (2148, 0, 292), (1864, 4, 2148), (12084, 0, 292), (1864, 4, 14380), (14380, 0, 292), (2463, 0, 292), (1864, 4, 15534), (1864, 4, 12084), (1864, 4, 39499), (15534, 0, 292)]",11,0.6023808717727661,1,395.0,"(39499, 0, 292)",[5.084432996227406e-05],[395],"[({(1864, 4, 39499)}, 0.6736336201156528, 'baseline'), ([(1864, 4, 14380), (14380, 0, 292), (1864, 4, 39499)], -0.9007, 'xrule'), ([(12084, 0, 292), (1864, 4, 39499), (1864, 4, 12084)], -0.9025, 'xrule'), ([(2463, 0, 292), (1864, 4, 2463), (1864, 4, 39499)], -0.91249996, 'xrule'), ([(1864, 4, 15534), (1864, 4, 39499), (15534, 0, 292)], -0.9277, 'xrule'), ([(1864, 4, 3352), (1864, 4, 39499), (3352, 0, 292)], -0.9295, 'xrule')]"
0.004877113737165928,"[(18035, 2, 741), (193, 6, 28640), (193, 6, 11427), (21829, 2, 741), (18035, 6, 4498), (11427, 2, 741), (28640, 6, 4498), (740, 2, 741), (193, 6, 741), (193, 6, 740), (193, 6, 21829)]",11,0.6571306586265564,1,19.0,"(28640, 2, 741)",[0.004877113737165928],[19],"[({(193, 6, 28640)}, 0.7063880418691696, 'baseline'), ({(28640, 6, 4498)}, 0.1980554269177742, 'baseline'), ([(193, 6, 28640), (193, 6, 21829), (21829, 2, 741)], 0.0001, 'xrule'), ([(193, 6, 28640), (11427, 2, 741), (193, 6, 11427)], 0.0001, 'xrule'), ([(740, 2, 741), (193, 6, 28640), (193, 6, 740)], 0.0, 'xrule'), ([(193, 6, 18035), (18035, 2, 741), (193, 6, 28640)], 0.0, 'xrule'), ([(193, 6, 28640), (193, 6, 30784), (30784, 2, 741)], 0.0, 'xrule')]"
4.426751547725871e-05,"[(14753, 1, 34777)]",1,0.9449015259742737,1,6562.0,"(34777, 1, 14753)",[4.426751547725871e-05],[6562],"[({(14753, 1, 34777)}, 0.9826068190621892, 'baseline'), ([(14753, 1, 34777)], 0.7542, 'xrule')]"
0.002140415133908391,"[(26770, 6, 26771), (24162, 0, 7635), (26770, 0, 7635), (26771, 5, 6829), (24162, 6, 26771), (24162, 5, 6829)]",6,0.45097658038139343,1,31.0,"(26770, 5, 6829)",[0.002140415133908391],[31],"[({(26770, 0, 7635)}, 0.34908549141943174, 'baseline'), ({(26770, 6, 26771)}, 0.20522193183120221, 'baseline'), ([(24162, 6, 26771), (26770, 6, 26771), (24162, 5, 6829)], 0.0141, 'xrule'), ([(26770, 6, 26771), (26771, 5, 6829)], 0.0055, 'xrule'), ([(26770, 0, 7635), (24162, 0, 7635), (24162, 5, 6829)], -0.0227, 'xrule')]"
0.0002590599178802222,"[(12441, 1, 11565)]",1,0.9488105773925781,1,4633.0,"(11565, 1, 12441)",[0.0002590599178802222],[4633],"[({(12441, 1, 11565)}, 0.09227810338088985, 'baseline'), ([(12441, 1, 11565)], 0.0481, 'xrule')]"
0.005632823333144188,"[(5211, 5, 5742), (5211, 6, 34444), (903, 0, 904), (23276, 5, 5742), (903, 1, 34444), (23276, 0, 904), (34444, 1, 903)]",7,0.4814486503601074,1,9.0,"(903, 5, 5742)",[0.005632823333144188],[9],"[([(5211, 5, 5742), (34444, 1, 903), (5211, 6, 34444), (903, 1, 34444)], 0.0034999999, 'xrule'), ([(23276, 0, 904), (23276, 5, 5742), (903, 0, 904)], -0.0042999997, 'xrule'), ({(903, 1, 34444)}, -0.01187163691091322, 'baseline'), ({(903, 0, 904)}, -0.019074053529040493, 'baseline'), ({(34444, 1, 903)}, -0.10870540601100555, 'baseline')]"
0.004753715358674526,"[(19739, 1, 8883), (8883, 1, 19739), (8884, 1, 8883), (8883, 1, 8884), (19739, 1, 14612), (14613, 1, 14612), (17887, 1, 14613), (14612, 1, 8884), (19739, 1, 17887)]",9,0.8138606548309326,1,21.0,"(14612, 1, 19739)",[0.004753715358674526],[21],"[({(19739, 1, 14612)}, 0.7143496728170153, 'baseline'), ([(19739, 1, 14612)], 0.55799997, 'xrule'), ([(19739, 1, 8883), (8883, 1, 19739), (8884, 1, 8883), (8883, 1, 8884), (14612, 1, 8884)], 0.49159998, 'xrule'), ({(14613, 1, 14612)}, 0.048821548921484346, 'baseline'), ({(14612, 1, 8884)}, 0.020939986153734044, 'baseline'), ({(14612, 1, 14613)}, 0.011481086654261083, 'baseline'), ([(17887, 1, 8884), (14612, 1, 8884), (8884, 1, 17887), (19739, 1, 17887), (17887, 1, 19739)], -0.031000018, 'xrule'), ([(14613, 1, 14612), (17887, 1, 14613), (14613, 1, 17887), (14612, 1, 14613), (19739, 1, 17887), (17887, 1, 19739)], -0.20540005, 'xrule')]"
3.119905522908084e-05,"[(36079, 1, 24146)]",1,0.8771597146987915,1,20644.0,"(24146, 1, 36079)",[3.119905522908084e-05],[20644],"[({(36079, 1, 24146)}, 0.9380476969457207, 'baseline'), ([(36079, 1, 24146)], 0.2896, 'xrule')]"
5.186944326851517e-05,"[(2126, 0, 292), (1864, 4, 15217), (2148, 0, 292), (1864, 4, 2126), (15217, 0, 292), (1864, 4, 2148), (1864, 4, 14380), (14380, 0, 292), (1864, 4, 9565), (1864, 4, 31393), (9565, 0, 292)]",11,0.512271523475647,1,377.0,"(31393, 0, 292)",[5.186944326851517e-05],[377],"[({(1864, 4, 31393)}, 0.048292460794302106, 'baseline'), ([(1864, 4, 14380), (14380, 0, 292), (1864, 4, 31393)], -0.5959, 'xrule'), ([(1864, 4, 31393), (15217, 0, 292), (1864, 4, 15217)], -0.8035, 'xrule'), ([(1864, 4, 9565), (9565, 0, 292), (1864, 4, 31393)], -0.8371, 'xrule'), ([(2126, 0, 292), (1864, 4, 2126), (1864, 4, 31393)], -0.8416, 'xrule'), ([(1864, 4, 15332), (1864, 4, 31393), (15332, 0, 292)], -0.8429, 'xrule')]"
