prediction,facts,exp,exp_length,original_score,original_rank,new_scores,new_ranks,new_score,new_rank
"(45, 1, 44)",[],[],0,8.879241,1,[9.001966],[1],9.001966,1.0
"(4050, 1, 5908)",[],[],0,10.466581,1,[9.682706],[1],9.682706,1.0
"(496, 1, 32512)",[],[],0,9.354602,1,[9.284136],[1],9.284136,1.0
"(9372, 1, 1508)","[({(3795, 1, 9372), (9372, 1, 3795)}, 2.785243216997521, 'baseline'), ({(3795, 1, 9372), (9372, 1, 3795)}, 2.4431191849769545, 'baseline'), ({(3795, 1, 9372), (9372, 1, 3795)}, 2.4188100240105834, 'baseline'), ({(3795, 1, 9372), (9372, 1, 3795)}, 2.300350309991729, 'baseline'), ({(3795, 1, 9372), (9372, 1, 3795)}, 2.2687550768831173, 'baseline'), ({(9372, 1, 3795)}, 1.4784832662242153, 'baseline'), ({(9372, 1, 3795)}, 1.4013233815884805, 'baseline'), ({(9372, 1, 3795)}, 1.359067978320405, 'baseline'), ({(9372, 1, 3795)}, 1.2854481332534218, 'baseline'), ({(9372, 1, 3795)}, 1.2793694129899245, 'baseline')]","[(3795, 9, 1508), (3795, 1, 9372), (9372, 1, 3795)]",3,9.9936285,1,[9.81443],[1],9.81443,1.0
"(11686, 1, 5336)","[({(11686, 1, 26261), (11686, 0, 16301)}, 0.8171024793218914, 'baseline'), ({(11686, 1, 1528), (11686, 1, 26261)}, 0.7978697290439689, 'baseline'), ({(26261, 1, 11686), (11686, 1, 26261)}, 0.7772427068635792, 'baseline'), ({(11686, 1, 26261), (1528, 1, 11686)}, 0.7208261944136647, 'baseline'), ({(11686, 1, 1528), (11686, 1, 26261)}, 0.7204361415785304, 'baseline'), ({(11686, 1, 26261)}, 0.5945959527820386, 'baseline'), ({(11686, 1, 26261)}, 0.5862665611887765, 'baseline'), ({(11686, 1, 26261)}, 0.5542059376057471, 'baseline'), ({(11686, 1, 26261)}, 0.5216036270882713, 'baseline'), ({(11686, 1, 26261)}, 0.4815493053617813, 'baseline')]","[(11686, 1, 26261), (5336, 0, 16668), (11686, 0, 16301), (16668, 1, 16301), (26261, 0, 16668)]",5,9.1733055,1,[8.7470665],[2],8.7470665,2.0
"(36078, 1, 7833)","[({(36078, 0, 28742)}, 11.579272807845422, 'baseline'), ({(36078, 0, 28742)}, -0.3159160203917455, 'baseline')]","[(36078, 0, 28742), (28742, 1, 15054), (7833, 9, 15054)]",3,10.850468,1,[11.117686],[1],11.117686,1.0
"(2869, 1, 15125)",[],[],0,8.738957,1,[8.690139],[1],8.690139,1.0
"(4359, 1, 29197)",[],[],0,8.654919,1,[8.292215],[1],8.292215,1.0
"(26984, 1, 38840)",[],[],0,9.220281,1,[9.310213],[1],9.310213,1.0
"(14768, 6, 24252)","[({(14768, 0, 21985)}, 3.994757738712508, 'baseline'), ({(14768, 0, 21985)}, 1.5866385215316816, 'baseline')]","[(21984, 0, 21985), (14768, 0, 21985), (21984, 6, 24252)]",3,7.281294,1,[2.4552765],[16],2.4552765,16.0
"(2035, 1, 8589)","[({(2035, 1, 3839), (2035, 1, 23638)}, 0.6291199171532056, 'baseline'), ({(2035, 1, 3839), (3839, 1, 2035), (2035, 1, 23638)}, 0.23803619626421305, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638), (23638, 1, 2035)}, 0.1633911535707448, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638), (647, 0, 2035)}, 0.10885051926066584, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638)}, 0.08483604622620029, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638)}, 0.05389885138182219, 'baseline'), ({(2035, 1, 3839), (25494, 0, 2035), (2035, 1, 23638)}, 0.02931694215633813, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638)}, 0.010783235499544968, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638)}, 0.009400407751637056, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638)}, -0.025279958785058513, 'baseline')]","[(23638, 1, 647), (1896, 1, 3839), (2035, 1, 23638), (1896, 1, 8589), (8589, 1, 647), (2035, 1, 3839)]",6,8.747489,1,[8.948414],[3],8.948414,3.0
"(16865, 1, 8774)","[({(16865, 5, 212)}, 3.991396511692028, 'baseline'), ({(16865, 5, 212)}, -0.3287257737032978, 'baseline')]","[(8775, 1, 8774), (16865, 5, 212), (8775, 5, 212)]",3,10.44133,1,[10.366378],[1],10.366378,1.0
"(26185, 1, 15249)",[],[],0,11.001265,1,[10.067059],[1],10.067059,1.0
"(7708, 1, 7707)","[({(7708, 1, 9498), (9498, 1, 7708)}, 10.323369156936344, 'baseline'), ({(7708, 1, 9498)}, 2.658598586424096, 'baseline'), ({(9498, 1, 7708)}, 2.6535846430669263, 'baseline'), ({(7708, 1, 9498)}, -0.6052264729779118, 'baseline'), ({(9498, 1, 7708)}, -0.6072835484407295, 'baseline'), ({(7708, 1, 9498), (9498, 1, 7708)}, -1.3942059842704575, 'baseline')]","[(7708, 1, 9498), (9498, 1, 7707), (9498, 1, 7708)]",3,8.797766,1,[10.026836],[1],10.026836,1.0
"(37429, 1, 32885)",[],[],0,10.5282135,1,[10.546188],[1],10.546188,1.0
"(5826, 1, 10722)",[],[],0,9.052063,1,[8.461204],[1],8.461204,1.0
"(20692, 1, 21524)","[({(20692, 1, 1062)}, 1.9811182960545486, 'baseline'), ({(20692, 1, 1062)}, 1.7126866159906446, 'baseline'), ({(20692, 1, 1062)}, 1.6389437456208824, 'baseline'), ({(20692, 1, 1062)}, 1.2440834620997034, 'baseline'), ({(20692, 1, 1062)}, 1.130155617506503, 'baseline'), ({(20692, 1, 1062)}, 0.9712629820068328, 'baseline'), ({(20692, 1, 1062)}, 0.6366625274382279, 'baseline'), ({(20692, 1, 1062)}, 0.011957208607915293, 'baseline'), ({(20692, 1, 1062)}, -0.11296649733340518, 'baseline')]","[(21524, 0, 1062), (20692, 1, 1062)]",2,9.7515745,1,[10.479389],[1],10.479389,1.0
