prediction,new_scores,#facts,new_score,new_ranks,new_rank,original_score,original_rank,facts
"(11375, 120, 791)","[2.8966727, 2.0815017]",1,2.489087,"[1, 1]",1.0,8.543635,1,"[(12925, 111, 11375)]"
"(1716, 25, 62)","[1.4815552, 1.34856]",1,1.4150577,"[1, 1]",1.0,9.869648,1,"[(354, 20, 1716)]"
"(9418, 66, 592)","[0.44803149, 0.46588594]",1,0.4569587,"[2, 3]",2.5,5.6099863,6,"[(9418, 48, 32)]"
"(3027, 106, 1652)","[0.22021917, 0.21431848]",1,0.21726882,"[1, 1]",1.0,5.009362,30,"[(3027, 13, 816)]"
"(12150, 154, 2438)","[5.334646, 7.095119]",4,6.214883,"[2, 2]",2.0,8.832844,1,"[(32, 87, 12150), (582, 15, 12150), (7673, 58, 12150), (7285, 58, 12150)]"
"(3683, 172, 1978)","[0.31329328, 0.6644554]",1,0.48887435,"[1, 1]",1.0,3.1848176,1,"[(3683, 113, 5770)]"
"(688, 35, 3840)","[0.36239827, 0.3858376]",1,0.37411794,"[3, 2]",2.5,2.8549852,2,"[(688, 64, 4461)]"
"(5017, 14, 160)","[0.31724155, 0.20391548]",1,0.2605785,"[1, 1]",1.0,5.5344553,4,"[(5017, 26, 64)]"
"(9148, 74, 1769)","[0.3784453, 0.45246246]",1,0.41545388,"[8, 9]",8.5,3.6906297,21,"[(9148, 31, 4)]"
"(10459, 26, 1098)","[0.24149016, 0.40248775]",1,0.32198894,"[1, 6]",3.5,3.8340824,2,"[(10459, 31, 136)]"
"(6847, 25, 62)","[2.0304346, 1.5976924]",1,1.8140635,"[1, 1]",1.0,9.888962,1,"[(6847, 22, 7278)]"
"(6298, 25, 62)","[1.1677105, 1.2063787]",1,1.1870446,"[1, 1]",1.0,8.882477,1,"[(1267, 164, 6298)]"
"(5672, 26, 64)","[0.40396905, 0.2451598]",1,0.32456443,"[7, 1]",4.0,3.2678545,1,"[(5672, 84, 5506)]"
"(11754, 85, 434)","[2.5183225, 0.6507765]",1,1.5845494,"[1, 1]",1.0,5.255939,1,"[(3387, 215, 11754)]"
"(2145, 43, 141)","[0.54534113, 0.50141466]",1,0.5233779,"[1, 2]",1.5,11.156679,2,"[(1010, 8, 2145)]"
"(3120, 148, 3021)","[0.8936776, 0.8512348]",1,0.8724562,"[2, 2]",2.0,3.7750387,1,"[(3120, 148, 1922)]"
"(9475, 25, 62)","[1.2409374, 1.4415874]",1,1.3412623,"[1, 1]",1.0,11.078495,1,"[(2567, 20, 9475)]"
"(5649, 48, 32)","[0.33541727, 0.2601289]",1,0.29777306,"[1, 1]",1.0,5.5329022,1,"[(5649, 8, 558)]"
"(13632, 25, 62)","[5.9674854, 6.132594]",2,6.05004,"[1, 1]",1.0,12.986469,1,"[(13632, 199, 9277), (13632, 46, 9740)]"
"(11272, 25, 62)","[2.0551324, 2.7101247]",1,2.3826284,"[1, 1]",1.0,9.799974,1,"[(4896, 15, 11272)]"
"(8386, 85, 434)","[1.632228, 1.0796356]",1,1.3559318,"[1, 1]",1.0,5.5377464,1,"[(9280, 1, 8386)]"
"(80, 19, 559)","[0.08425275, 0.12946893]",1,0.10686085,"[1, 1]",1.0,1.2048147,1,"[(1367, 3, 80)]"
"(2446, 48, 32)","[0.3190872, 0.37842673]",1,0.34875697,"[1, 1]",1.0,5.6463876,1,"[(9147, 71, 2446)]"
"(11737, 43, 141)","[1.1553013, 1.3106626]",1,1.2329819,"[2, 1]",1.5,9.008254,2,"[(11737, 24, 249)]"
"(2899, 25, 62)","[3.5084798, 5.7789507]",2,4.6437154,"[1, 1]",1.0,9.085274,1,"[(2899, 83, 2900), (2899, 46, 9740)]"
"(4551, 26, 1098)","[0.2313331, 0.4324578]",1,0.33189547,"[1, 4]",2.5,3.7558599,2,"[(77, 7, 4551)]"
"(12379, 120, 791)","[3.628045, 3.1448572]",1,3.3864512,"[1, 1]",1.0,8.62182,1,"[(12379, 133, 32)]"
"(6597, 48, 32)","[0.32690257, 0.32423115]",1,0.32556686,"[1, 1]",1.0,5.3139343,1,"[(6597, 66, 592)]"
"(5745, 35, 2589)","[0.3395192, 0.27344656]",1,0.30648288,"[1, 1]",1.0,3.4511123,9,"[(4733, 64, 5745)]"
"(6443, 43, 141)","[3.160712, 2.939454]",1,3.0500832,"[1, 2]",1.5,9.557828,1,"[(6443, 21, 8171)]"
"(11326, 25, 62)","[6.5649276, 6.8509007]",1,6.7079144,"[1, 1]",1.0,13.831659,1,"[(3466, 15, 11326)]"
"(8572, 25, 62)","[4.593931, 2.8947625]",2,3.7443469,"[1, 1]",1.0,12.060263,1,"[(8572, 120, 791), (8572, 56, 8572)]"
"(8630, 56, 8630)","[0.029931825, 0.030401781]",4,0.030166803,"[1, 1]",1.0,0.2021465,1,"[(1695, 15, 8630), (32, 15, 8630), (3389, 66, 8630), (10479, 15, 8630)]"
"(6404, 13, 449)","[0.21255466, 0.14874749]",1,0.18065107,"[2, 7]",4.5,4.6080956,6,"[(6404, 13, 2282)]"
"(6089, 56, 6089)","[0.02993183, 0.030401763]",3,0.030166797,"[1, 1]",1.0,0.2021465,1,"[(1591, 24, 6089), (6089, 154, 2706), (10156, 39, 6089)]"
"(9896, 167, 1768)","[1.387118, 1.3771794]",1,1.3821487,"[1, 1]",1.0,3.695775,1,"[(9896, 146, 9896)]"
"(3785, 14, 5334)","[0.5494082, 0.66182137]",1,0.6056148,"[4, 1]",2.5,3.9198654,3,"[(283, 6, 3785)]"
"(6223, 167, 1768)","[1.0374019, 1.0481765]",1,1.0427892,"[1, 1]",1.0,3.145742,1,"[(6223, 124, 1749)]"
"(3592, 26, 342)","[0.36285844, 0.57642245]",1,0.46964043,"[5, 4]",4.5,5.4018598,12,"[(3592, 28, 32)]"
"(6787, 25, 62)","[4.739978, 3.4808648]",1,4.110421,"[1, 1]",1.0,10.881088,1,"[(6787, 120, 791)]"
"(2789, 11, 23)","[0.17849214, 0.1608752]",1,0.16968367,"[1, 1]",1.0,5.030762,3,"[(2789, 13, 181)]"
"(2552, 43, 141)","[0.2894876, 0.7624002]",1,0.5259439,"[1, 1]",1.0,5.0243015,1,"[(9203, 109, 2552)]"
"(7221, 106, 592)","[0.23978762, 0.23125689]",1,0.23552226,"[4, 2]",3.0,3.3159878,3,"[(7221, 109, 7703)]"
"(1477, 60, 90)","[0.33165726, 0.6017742]",1,0.46671575,"[1, 1]",1.0,6.757516,1,"[(1477, 17, 3482)]"
"(10456, 25, 62)","[6.598384, 5.701274]",2,6.149829,"[1, 1]",1.0,11.303192,1,"[(10456, 154, 2620), (4358, 15, 10456)]"
"(848, 17, 862)","[0.64836967, 0.42961612]",1,0.5389929,"[2, 2]",2.0,6.0524263,2,"[(848, 19, 3250)]"
"(5481, 95, 521)","[1.7260681, 1.4959544]",1,1.6110113,"[3, 2]",2.5,4.4272175,7,"[(5481, 96, 8305)]"
"(4583, 11, 23)","[0.46696115, 0.21765356]",1,0.34230736,"[1, 1]",1.0,3.5137227,1,"[(4479, 6, 4583)]"
"(8913, 13, 4474)","[0.22369595, 0.13788787]",1,0.18079191,"[3, 1]",2.0,2.5623288,2,"[(8913, 13, 4468)]"
"(3196, 11, 23)","[0.40916675, 0.29313242]",1,0.3511496,"[1, 1]",1.0,5.5365562,4,"[(3196, 13, 449)]"
"(2181, 17, 818)","[0.47505933, 1.1459686]",1,0.810514,"[6, 9]",7.5,9.786621,60,"[(2181, 17, 393)]"
"(12232, 33, 90)","[3.604759, 3.6488545]",1,3.6268067,"[15, 5]",10.0,6.379358,1,"[(11984, 58, 12232)]"
"(9329, 172, 2759)","[0.4422322, 0.83247983]",1,0.63735604,"[1, 1]",1.0,2.8489885,1,"[(9329, 30, 467)]"
"(738, 115, 6114)","[0.210872, 0.24573752]",2,0.22830476,"[1, 1]",1.0,5.4222198,1,"[(738, 30, 739), (483, 7, 738)]"
"(8753, 10, 2875)","[1.7775104, 2.1371748]",2,1.9573426,"[4, 1]",2.5,3.1120298,1,"[(8753, 10, 5382), (8753, 10, 5491)]"
"(5263, 48, 32)","[0.32034573, 0.42672342]",1,0.37353456,"[1, 1]",1.0,6.4752617,1,"[(948, 8, 5263)]"
"(148, 26, 1098)","[0.20359445, 0.19481836]",1,0.19920641,"[3, 6]",4.5,4.163462,2,"[(4130, 6, 148)]"
"(1927, 212, 4563)","[1.5642084, 2.7097197]",1,2.136964,"[1, 4205]",2103.0,8.3503,2,"[(4418, 47, 1927)]"
"(5819, 13, 68)","[0.16749299, 0.1339061]",1,0.15069954,"[1, 5]",3.0,2.024353,3,"[(5819, 13, 2091)]"
"(8165, 106, 592)","[0.2784922, 0.35351217]",2,0.3160022,"[2, 2]",2.0,3.294287,3,"[(2319, 6, 8165), (8165, 34, 90)]"
"(8023, 120, 791)","[2.5702076, 2.136294]",1,2.3532507,"[1, 1]",1.0,7.7777796,1,"[(8023, 25, 62)]"
"(8848, 34, 90)","[0.3031732, 0.22590338]",1,0.2645383,"[1, 1]",1.0,5.6515408,1,"[(7318, 6, 8848)]"
"(10221, 25, 62)","[2.5666637, 4.2489862]",1,3.407825,"[1, 1]",1.0,11.653254,1,"[(10221, 76, 5012)]"
"(7664, 26, 342)","[0.11788815, 0.23549068]",1,0.17668942,"[1, 1]",1.0,3.449703,6,"[(9008, 6, 7664)]"
"(5302, 122, 3325)","[0.74225587, 1.0054579]",1,0.8738569,"[613, 1975]",1294.0,5.7174397,338,"[(5302, 15, 6403)]"
"(4945, 17, 871)","[1.037691, 0.63927203]",1,0.83848155,"[1, 1]",1.0,7.1802206,6,"[(4945, 6, 5032)]"
"(8397, 80, 344)","[1.5875413, 1.271837]",2,1.4296892,"[1, 1]",1.0,3.8528743,1,"[(12164, 170, 8397), (9415, 170, 8397)]"
"(552, 26, 64)","[0.15810817, 0.11016823]",1,0.1341382,"[4, 2]",3.0,4.1493998,2,"[(552, 31, 11181)]"
"(9906, 43, 141)","[0.5505296, 0.43062595]",1,0.49057776,"[1, 2]",1.5,9.394058,2,"[(7366, 8, 9906)]"
