new_ranks,new_scores,new_rank,original_rank,original_score,#facts,new_score,prediction,facts
"[2, 3]","[2.6349223, 3.8043823]",2.5,12,4.0142155,1,3.2196522,"(7125, 11, 8038)","[(7125, 3, 39)]"
"[1, 1]","[2.887989, 2.9486086]",1.0,5,4.188182,1,2.9182987,"(6853, 10, 7830)","[(6853, 2, 3219)]"
"[7, 6]","[2.3891675, 2.667525]",6.5,2,5.118734,1,2.5283463,"(4799, 8, 7566)","[(4799, 3, 4812)]"
"[1, 1]","[2.1417704, 2.4635415]",1.0,4,4.6576195,1,2.302656,"(6320, 8, 7410)","[(6320, 3, 1477)]"
"[1, 1]","[2.785421, 3.037535]",1.0,5,2.9513865,1,2.911478,"(6323, 10, 7830)","[(6323, 3, 50)]"
"[1, 1]","[2.2392082, 3.5740006]",1.0,4,3.5308044,1,2.9066043,"(7080, 11, 7956)","[(7080, 3, 651)]"
"[3, 2]","[2.162395, 2.5756528]",2.5,2,5.064227,1,2.3690238,"(4870, 8, 7566)","[(4870, 2, 1100)]"
"[1, 1]","[2.3022296, 3.5405731]",1.0,2,3.551628,1,2.9214015,"(5533, 11, 7956)","[(5533, 2, 305)]"
"[1, 1]","[2.8519957, 3.091429]",1.0,5,4.149314,1,2.9717124,"(6602, 10, 7830)","[(6602, 3, 1424)]"
"[1, 1]","[2.533821, 3.6025782]",1.0,4,3.4054344,3,3.0681996,"(7499, 11, 7956)","[(7499, 3, 1552), (7499, 3, 279), (7499, 3, 7)]"
"[3, 1]","[2.4460077, 2.5935192]",2.0,3,5.182078,1,2.5197635,"(5305, 8, 7410)","[(5305, 3, 175)]"
"[1, 1]","[2.1618967, 2.4731216]",1.0,4,4.9720592,3,2.3175092,"(6766, 8, 7410)","[(6766, 3, 1417), (6766, 3, 40), (6766, 3, 476)]"
"[4, 3]","[2.5211296, 2.8346572]",3.5,1,5.244982,1,2.6778934,"(6730, 8, 7408)","[(6730, 2, 309)]"
