prediction,new_ranks,#facts,new_scores,facts,original_rank,new_score,original_score,new_rank
"(9620, 0, 3716)","[1, 1]",1,"[0.5713118, 0.7973912]","[(21261, 1, 9620)]",1,0.68435144,1.701146,1.0
"(21026, 0, 306)","[433, 324]",1,"[1.8229196, 1.793487]","[(21026, 1, 34418)]",1,1.8082032,2.045721,378.5
"(35194, 0, 1027)","[6, 7]",1,"[1.7011241, 1.4202876]","[(35194, 4, 35195)]",1,1.5607059,1.6250241,6.5
"(23212, 0, 2918)","[15, 16]",1,"[0.91949, 1.1742233]","[(13209, 1, 23212)]",1,1.0468566,1.6729352,15.5
"(22017, 0, 883)","[379, 523]",1,"[4.527768, 4.974478]","[(22016, 4, 22017)]",1,4.751123,0.9429634,451.0
"(40030, 0, 184)","[22, 36288]",1,"[4.6718445, 5.714493]","[(1038, 4, 40030)]",1,5.1931686,1.5084891,18155.0
"(14768, 6, 24252)","[76, 108]",1,"[3.5073748, 4.1218214]","[(14768, 6, 14769)]",1,3.814598,2.3381553,92.0
"(7324, 2, 12273)","[1, 1]",1,"[0.6605065, 0.76276636]","[(4808, 6, 7324)]",1,0.7116364,0.8107544,1.0
"(31393, 0, 292)","[1817, 5608]",1,"[5.7311373, 5.515826]","[(1864, 4, 31393)]",1,5.6234818,1.4777615,3712.5
"(3395, 0, 184)","[1, 1]",1,"[0.54059744, 1.2596464]","[(3395, 4, 3396)]",1,0.9001219,1.168735,1.0
"(78, 5, 172)","[6, 6]",1,"[4.798613, 5.5568323]","[(78, 0, 79)]",1,5.177723,2.3237505,6.0
"(16074, 0, 18268)","[1, 12]",1,"[1.7512197, 1.9794452]","[(18847, 6, 16074)]",1,1.8653325,1.1613934,6.5
"(34189, 2, 916)","[1, 1]",1,"[0.75251794, 0.64185673]","[(1914, 6, 34189)]",1,0.6971873,0.55414593,1.0
"(3034, 2, 1137)","[1, 1]",1,"[0.892051, 1.5970838]","[(3033, 8, 3034)]",1,1.2445674,1.4543347,1.0
"(33413, 0, 292)","[5233, 22595]",1,"[5.7760077, 5.993576]","[(33413, 4, 27450)]",1,5.884792,2.947596,13914.0
"(22133, 0, 1730)","[1, 1]",1,"[0.6413594, 0.65196896]","[(10222, 4, 22133)]",1,0.64666414,0.86834943,1.0
"(21811, 0, 278)","[21367, 678]",1,"[4.9629536, 5.1416616]","[(21810, 4, 21811)]",1,5.0523076,1.2848617,11022.5
"(39206, 0, 12650)","[213, 131]",1,"[4.999865, 5.3087244]","[(11149, 6, 39206)]",1,5.154295,0.7448149,172.0
"(37417, 5, 774)","[174, 293]",1,"[6.227391, 6.086815]","[(37417, 2, 1137)]",1,6.1571026,2.0156152,233.5
"(829, 0, 1677)","[24, 19]",1,"[1.3913572, 1.094935]","[(829, 1, 1014)]",1,1.2431462,1.4397378,21.5
"(37929, 2, 121)","[70, 2]",1,"[5.303541, 4.3800726]","[(1349, 6, 37929)]",1,4.841807,1.7267122,36.0
"(7848, 5, 914)","[1, 1]",1,"[1.2146701, 1.0630099]","[(7848, 1, 20491)]",1,1.13884,2.4129827,1.0
"(14487, 0, 1244)","[11069, 3383]",1,"[3.8900268, 3.1307366]","[(4979, 4, 14487)]",1,3.5103817,2.14187,7226.0
"(32164, 0, 184)","[1, 1]",1,"[0.7018992, 0.58488876]","[(32164, 4, 32165)]",1,0.643394,0.74327976,1.0
"(15205, 0, 265)","[2863, 3866]",1,"[5.2508435, 5.430009]","[(3750, 4, 15205)]",1,5.3404264,0.94464505,3364.5
"(35945, 5, 914)","[3, 12]",1,"[4.6538477, 4.9689884]","[(35945, 0, 5108)]",1,4.811418,2.8685713,7.5
"(11600, 0, 13047)","[92, 1269]",1,"[2.2007551, 2.4993572]","[(7326, 4, 11600)]",1,2.3500562,2.725429,680.5
"(5134, 2, 4633)","[5, 4]",1,"[1.7254165, 1.1837697]","[(1167, 6, 5134)]",1,1.4545932,0.51211566,4.5
"(26845, 0, 292)","[9, 19]",1,"[1.5567577, 1.4927]","[(1864, 4, 26845)]",1,1.5247288,0.67443144,14.0
"(4037, 0, 16708)","[2993, 12484]",2,"[5.4734497, 5.659066]","[(23563, 6, 4037), (4036, 6, 4037)]",1,5.566258,1.988281,7738.5
"(8306, 2, 25327)","[106, 51]",1,"[5.6251287, 3.9183729]","[(8306, 2, 499)]",1,4.771751,1.4664829,78.5
"(37285, 0, 184)","[39, 45]",1,"[4.972439, 5.1612835]","[(1906, 4, 37285)]",1,5.066861,1.4167567,42.0
"(30007, 2, 121)","[6, 3]",2,"[1.3929136, 1.8850926]","[(20016, 4, 30007), (30007, 2, 916)]",1,1.639003,0.6540674,4.5
"(12266, 4, 18612)","[1092, 4]",1,"[1.1637263, 0.65564287]","[(13105, 4, 12266)]",1,0.9096846,1.0805113,548.0
"(31237, 0, 2110)","[282, 7042]",1,"[5.15473, 5.0295877]","[(1073, 4, 31237)]",1,5.092159,1.3141148,3662.0
"(24513, 0, 4550)","[5759, 105]",2,"[4.601351, 4.966104]","[(17178, 4, 24513), (24513, 4, 24514)]",1,4.7837276,1.9245131,2932.0
"(9258, 2, 916)","[6, 1]",1,"[2.1888123, 0.4927864]","[(3766, 6, 9258)]",1,1.3407993,0.6697103,3.5
"(36270, 0, 265)","[2649, 20405]",1,"[5.573559, 5.4034414]","[(12825, 4, 36270)]",1,5.4885,2.4774587,11527.0
"(36297, 0, 16303)","[3423, 77]",1,"[4.6010494, 4.7059774]","[(25916, 6, 36297)]",1,4.6535134,2.9325104,1750.0
"(15734, 0, 184)","[4, 2]",1,"[1.7051308, 1.1406133]","[(1131, 4, 15734)]",1,1.4228721,0.7776886,3.0
"(4747, 0, 22951)","[174, 16453]",1,"[4.4671855, 5.00426]","[(4747, 5, 3149)]",1,4.7357225,3.1222603,8313.5
"(18961, 2, 7)","[1, 1]",1,"[0.42684352, 0.5333605]","[(2930, 6, 18961)]",1,0.480102,0.6120101,1.0
"(39279, 0, 184)","[2412, 16128]",1,"[5.715024, 5.7397127]","[(1038, 4, 39279)]",1,5.7273684,0.8926251,9270.0
"(17933, 0, 160)","[6879, 59]",1,"[4.996974, 5.1376624]","[(17932, 4, 17933)]",1,5.067318,1.4126594,3469.0
"(22077, 5, 6956)","[25, 55]",1,"[6.101207, 5.0666404]","[(22077, 0, 3517)]",1,5.5839233,1.6869034,40.0
"(10506, 0, 296)","[2, 3]",1,"[0.8196396, 1.2605395]","[(10506, 4, 14076)]",1,1.0400896,0.86584294,2.5
"(33666, 0, 278)","[590, 74]",1,"[4.8769855, 4.8501225]","[(3239, 4, 33666)]",1,4.863554,1.3730358,332.0
"(22501, 2, 1326)","[70, 2]",1,"[4.8890877, 5.384894]","[(2899, 6, 22501)]",1,5.1369905,1.6838268,36.0
"(31737, 0, 16660)","[1688, 1564]",1,"[5.2009873, 5.172247]","[(31737, 0, 4448)]",1,5.186617,1.8926018,1626.0
"(13521, 0, 427)","[1863, 94]",1,"[5.003656, 5.1143627]","[(13520, 4, 13521)]",1,5.0590096,1.5232298,978.5
"(29963, 5, 774)","[283, 6]",2,"[4.8104167, 4.3810964]","[(29963, 2, 1137), (1914, 8, 29963)]",1,4.5957565,1.4715588,144.5
"(16507, 0, 184)","[814, 32]",2,"[5.2586966, 5.1369734]","[(12815, 4, 16507), (16507, 4, 37560)]",1,5.197835,1.0595998,423.0
"(2173, 6, 38083)","[90, 10]",1,"[0.38342386, 0.2456657]","[(2173, 6, 10711)]",1,0.3145448,0.16975777,50.0
"(38386, 0, 1904)","[352, 8293]",1,"[4.88637, 5.3877]","[(10444, 4, 38386)]",1,5.1370354,3.1416736,4322.5
"(33711, 5, 19257)","[1, 8]",1,"[1.33743, 1.953004]","[(33711, 0, 21113)]",1,1.645217,1.6178828,4.5
"(3741, 6, 11977)","[1, 1]",1,"[0.6929188, 0.67619216]","[(18271, 1, 3741)]",1,0.6845555,1.0016706,1.0
"(18018, 2, 916)","[8, 252]",1,"[4.7426424, 5.1967916]","[(18018, 2, 121)]",1,4.969717,1.0748414,130.0
"(36972, 5, 172)","[6, 1]",1,"[2.7215018, 1.59019]","[(13177, 2, 36972)]",1,2.1558459,4.8635826,3.5
