prediction,facts,exp,exp_length,original_score,original_rank,new_scores,new_ranks,new_score,new_rank
"(5660, 136, 6402)","[({(5660, 227, 10080), (5660, 31, 1314), (1314, 2, 5660), (5660, 13, 32)}, 0.22106937640445526, 'baseline'), ({(5660, 227, 10080), (5660, 31, 1314), (1314, 2, 5660), (5660, 227, 7800)}, 0.22058967825884612, 'baseline'), ({(5660, 31, 1314), (1314, 2, 5660), (5660, 227, 7800), (5660, 13, 32)}, 0.21410278550252992, 'baseline'), ({(5660, 227, 10080), (5660, 12, 5014), (5660, 31, 1314), (1314, 2, 5660)}, 0.2137213158080764, 'baseline'), ({(5660, 12, 5014), (5660, 31, 1314), (1314, 2, 5660), (5660, 13, 32)}, 0.211702387254379, 'baseline'), ({(5660, 227, 10080), (5660, 31, 1314), (1314, 2, 5660), (5660, 109, 5014)}, 0.20495132675694214, 'baseline'), ({(5660, 12, 5014), (5660, 31, 1314), (1314, 2, 5660), (5660, 227, 7800)}, 0.20424846878574057, 'baseline'), ({(5660, 31, 1314), (1314, 2, 5660), (5660, 13, 32), (5660, 109, 5014)}, 0.20107559429573518, 'baseline'), ({(5660, 31, 1314), (5660, 186, 5014), (1314, 2, 5660), (5660, 13, 32)}, 0.20084766615599028, 'baseline'), ({(5660, 227, 10080), (5660, 186, 5014), (1314, 2, 5660), (5660, 31, 1314)}, 0.19759849770409255, 'baseline')]","[(1314, 2, 5979), (6402, 17, 1192), (5660, 31, 1314), (5660, 227, 7800), (5660, 13, 32), (7800, 17, 1192), (462, 136, 6402), (1314, 2, 5660), (462, 227, 10080), (5979, 155, 6402), (5660, 227, 10080), (6402, 48, 32)]",12,6.9425015,1,[6.3595867],[1],6.3595867,1.0
"(2258, 14, 160)","[({(2258, 26, 342), (2258, 31, 658), (2258, 26, 1098), (2258, 26, 64)}, 0.29977516452261915, 'baseline'), ({(2258, 31, 658), (2258, 26, 1098), (2258, 86, 1283), (2258, 26, 64)}, 0.2854261806368437, 'baseline'), ({(2258, 26, 342), (2258, 26, 1098), (2258, 86, 1283), (2258, 26, 64)}, 0.2842035701933355, 'baseline'), ({(2258, 26, 342), (2258, 31, 658), (2258, 86, 1283), (2258, 26, 64)}, 0.2696171214327499, 'baseline'), ({(2258, 26, 342), (2258, 31, 658), (2258, 26, 1098), (2258, 86, 1283)}, 0.2620468546837967, 'baseline'), ({(2258, 26, 342), (2258, 31, 466), (2258, 26, 1098), (2258, 26, 64)}, 0.24813083897446256, 'baseline'), ({(2258, 31, 466), (2258, 31, 658), (2258, 26, 1098), (2258, 26, 64)}, 0.24720386751818638, 'baseline'), ({(2258, 26, 342), (2258, 26, 64), (2258, 26, 1098), (2037, 6, 2258)}, 0.2399521279577242, 'baseline'), ({(2258, 31, 658), (2258, 26, 64), (2258, 26, 1098), (2037, 6, 2258)}, 0.23850349669137827, 'baseline'), ({(2258, 84, 7557), (2258, 26, 342), (2258, 26, 1098), (2258, 26, 64)}, 0.2368240761975202, 'baseline')]","[(11264, 51, 160), (2258, 26, 342), (2258, 86, 1283), (13009, 86, 1283), (13009, 26, 1098), (11264, 107, 658), (13009, 26, 342), (2258, 26, 64), (2258, 31, 658), (5849, 26, 64), (2258, 26, 1098), (5849, 14, 160), (13009, 14, 160)]",13,8.303699,1,[8.540756],[1],8.540756,1.0
"(10634, 43, 141)","[({(10634, 48, 32), (10634, 17, 818), (10634, 17, 1730), (10634, 19, 1654)}, 3.251949589180132, 'baseline'), ({(10634, 48, 32), (10634, 17, 818), (10634, 17, 1730), (7487, 27, 10634)}, 2.3672767961211987, 'baseline'), ({(10634, 48, 32), (10634, 17, 818), (10634, 17, 1730), (5439, 155, 10634)}, 2.2899004226749318, 'baseline'), ({(10634, 48, 32), (10634, 19, 1654), (10634, 17, 818), (7487, 27, 10634)}, 2.2606860377018947, 'baseline'), ({(10634, 48, 32), (10634, 17, 818), (10634, 17, 1753), (10634, 19, 1654)}, 2.2369328692548525, 'baseline'), ({(10634, 48, 32), (10634, 17, 818), (10634, 17, 1730)}, 2.2118321589270207, 'baseline'), ({(10634, 3, 3199), (10634, 48, 32), (10634, 17, 818), (10634, 17, 1730)}, 2.2012196701538813, 'baseline'), ({(10634, 3, 3199), (10634, 48, 32), (10634, 17, 818), (10634, 19, 1654)}, 2.194296947770545, 'baseline'), ({(10634, 48, 32), (10634, 17, 818), (10634, 19, 1654)}, 2.1937376176235253, 'baseline'), ({(10634, 48, 32), (10634, 17, 818), (5439, 155, 10634), (10634, 19, 1654)}, 2.1775375506360564, 'baseline')]","[(14350, 48, 32), (10634, 17, 818), (13109, 43, 141), (12424, 43, 141), (7487, 27, 10634), (14350, 43, 141), (1579, 43, 141), (7988, 43, 141), (7487, 27, 7988), (10634, 17, 1730), (11106, 43, 141), (11106, 19, 1654), (10634, 48, 32), (1579, 6, 5439), (12424, 17, 818), (5439, 155, 10634), (13109, 17, 1730), (10634, 19, 1654)]",18,7.3984365,1,[5.616263],[1],5.616263,1.0
"(1445, 148, 9623)","[({(1445, 148, 6025), (1445, 148, 4653), (1445, 148, 7018), (1445, 148, 1264)}, 0.35810379342543774, 'baseline'), ({(1445, 148, 1449), (1445, 148, 6025), (1445, 148, 4653), (1445, 148, 7018)}, 0.3566599304783214, 'baseline'), ({(1445, 148, 4599), (1445, 148, 6025), (1445, 148, 4653), (1445, 148, 7018)}, 0.35646061256985473, 'baseline'), ({(1445, 148, 6025), (1445, 148, 4653), (1445, 148, 7018), (1445, 148, 1922)}, 0.3557873184762111, 'baseline'), ({(1445, 148, 4599), (1445, 148, 6025), (1445, 148, 7018), (1445, 148, 1264)}, 0.3553934510231841, 'baseline'), ({(1445, 148, 1449), (1445, 148, 6025), (1445, 148, 7018), (1445, 148, 1264)}, 0.3551903184005956, 'baseline'), ({(1445, 148, 1449), (1445, 148, 4653), (1445, 148, 7018), (1445, 148, 1264)}, 0.3547764237420887, 'baseline'), ({(1445, 148, 4599), (1445, 148, 4653), (1445, 148, 7018), (1445, 148, 1264)}, 0.3547316010221892, 'baseline'), ({(1445, 148, 6025), (1445, 148, 1922), (1445, 148, 7018), (1445, 148, 1264)}, 0.3546133454346142, 'baseline'), ({(1445, 148, 1449), (1445, 148, 4599), (1445, 148, 6025), (1445, 148, 7018)}, 0.354567569041468, 'baseline')]","[(1449, 231, 9623), (1445, 148, 6025), (1445, 148, 7018), (1445, 148, 1264), (6025, 231, 9623), (9623, 231, 4599), (1264, 231, 9623), (1445, 148, 1449), (1445, 148, 4599), (9623, 231, 7018), (1445, 148, 4653), (4653, 231, 9623)]",12,7.140051,1,[6.8408847],[2],6.8408847,2.0
"(3742, 25, 62)","[({(3742, 31, 4)}, 0.04276923367151695, 'baseline'), ({(3742, 26, 342)}, 0.04176358409580458, 'baseline'), ({(268, 32, 3742)}, 0.039385597161820975, 'baseline'), ({(1303, 97, 3742)}, 0.032999793943145436, 'baseline'), ({(3742, 34, 90)}, 0.03146580879570124, 'baseline'), ({(482, 38, 3742)}, 0.030731837232741026, 'baseline'), ({(3742, 106, 7132)}, 0.03028337185964313, 'baseline'), ({(3742, 12, 482)}, 0.026234905200612092, 'baseline'), ({(3742, 86, 482)}, 0.01735214417034453, 'baseline'), ({(3742, 116, 3625)}, 0.009799997301520137, 'baseline'), ({(3742, 12, 3625)}, 0.008030931391579354, 'baseline'), ({(482, 32, 3742)}, 0.006638447697236529, 'baseline'), ({(3625, 38, 3742)}, 0.003817121429550588, 'baseline'), ({(3742, 12, 8855)}, -0.00310810380562919, 'baseline'), ({(11164, 6, 3742)}, -0.004195173300586957, 'baseline'), ({(3742, 12, 11164)}, -0.006752689405750678, 'baseline'), ({(270, 7, 3742)}, -0.007165034325896825, 'baseline'), ({(2636, 7, 3742)}, -0.010032136941652718, 'baseline'), ({(3742, 30, 3624)}, -0.022990425181117515, 'baseline'), ({(6629, 7, 3742)}, -0.025453289090736853, 'baseline')]","[(10201, 25, 62), (268, 25, 62), (3742, 26, 342), (418, 25, 62), (10201, 107, 4), (268, 32, 3742), (3742, 31, 4), (418, 26, 342)]",8,3.8423574,1,[3.9562545],[1],3.9562545,1.0
"(7412, 14, 160)","[({(7412, 34, 90), (1654, 7, 7412), (7412, 13, 382), (3179, 7, 7412)}, 0.15581421110964283, 'baseline'), ({(7412, 34, 90), (1654, 7, 7412), (7412, 13, 382), (7412, 13, 1934)}, 0.15486149043291889, 'baseline'), ({(7412, 34, 90), (371, 7, 7412), (1654, 7, 7412), (7412, 13, 382)}, 0.15357784477838904, 'baseline'), ({(7412, 34, 90), (1654, 7, 7412), (7412, 13, 382), (7412, 13, 158)}, 0.15008358208229183, 'baseline'), ({(7412, 34, 90), (1654, 7, 7412), (7412, 13, 382), (7412, 13, 1046)}, 0.1461840078317467, 'baseline'), ({(7412, 12, 1917), (7412, 34, 90), (1654, 7, 7412), (7412, 13, 382)}, 0.14520935264105372, 'baseline'), ({(7412, 34, 90), (371, 7, 7412), (7412, 13, 382), (7412, 13, 1934)}, 0.14466385093708173, 'baseline'), ({(7412, 34, 90), (7412, 13, 1934), (7412, 13, 382), (3179, 7, 7412)}, 0.14455799309552153, 'baseline'), ({(7412, 34, 90), (371, 7, 7412), (7412, 13, 382), (3179, 7, 7412)}, 0.1434050008184558, 'baseline'), ({(7412, 34, 90), (1654, 7, 7412), (7412, 13, 382), (7412, 13, 119)}, 0.14338020533134793, 'baseline')]","[(11144, 198, 160), (371, 7, 418), (7412, 34, 90), (9994, 14, 160), (1654, 7, 7412), (160, 70, 382), (9919, 14, 160), (1654, 7, 9994), (12902, 198, 160), (371, 7, 7412), (3179, 7, 7412), (418, 14, 160), (3179, 7, 9919), (11144, 150, 1934), (12902, 129, 90), (7412, 13, 382), (7412, 13, 1934)]",17,8.902123,1,[8.94705],[1],8.94705,1.0
"(7435, 35, 7238)","[({(7435, 35, 611), (7435, 35, 7125), (7435, 35, 3408), (7435, 35, 6615)}, 0.20313648448697147, 'baseline'), ({(7435, 35, 4507), (7435, 35, 611), (7435, 35, 3408), (7435, 35, 6615)}, 0.18359665138576461, 'baseline'), ({(7435, 35, 4507), (7435, 35, 611), (7435, 35, 7125), (7435, 35, 3408)}, 0.17018036102819015, 'baseline'), ({(7435, 35, 611), (7435, 35, 1234), (7435, 35, 7125), (7435, 35, 6615)}, 0.16887191987408998, 'baseline'), ({(7435, 35, 611), (7435, 35, 7125), (7435, 35, 3796), (7435, 35, 6615)}, 0.16623501034091293, 'baseline'), ({(7435, 35, 4507), (7435, 35, 7125), (7435, 35, 3408), (7435, 35, 6615)}, 0.143002550293759, 'baseline'), ({(7435, 35, 611), (7435, 35, 1551), (7435, 35, 6615)}, 0.13508514607881222, 'baseline'), ({(7435, 35, 4507), (7435, 35, 611), (7435, 35, 7125), (7435, 35, 6615)}, 0.12806991780258223, 'baseline'), ({(7435, 35, 4507), (7435, 35, 611), (7434, 64, 7435), (7435, 35, 6615)}, 0.1243400975148201, 'baseline'), ({(7435, 35, 611), (7435, 64, 4983), (7435, 35, 7125), (7435, 35, 6615)}, 0.1160059376549626, 'baseline')]","[(6615, 58, 7238), (7435, 35, 7125), (12431, 35, 4507), (7125, 18, 11269), (12431, 35, 611), (7435, 35, 3408), (7435, 35, 4507), (7435, 35, 611), (7238, 58, 3408), (12431, 35, 7238), (7435, 35, 6615), (7238, 18, 11269)]",12,6.9823084,1,[7.004547],[4],7.004547,4.0
"(1329, 13, 1163)","[({(1329, 13, 449), (1329, 13, 75), (1329, 13, 834), (1329, 13, 92)}, 0.13548855029437035, 'baseline'), ({(1329, 13, 449), (1329, 13, 75), (1329, 13, 92), (1329, 13, 331)}, 0.13442806449399342, 'baseline'), ({(1329, 13, 449), (1329, 13, 834), (1329, 13, 75), (1329, 13, 1302)}, 0.13346008503093745, 'baseline'), ({(1329, 13, 449), (1329, 13, 75), (1329, 13, 1302), (1329, 13, 331)}, 0.13089470112167503, 'baseline'), ({(1329, 13, 331), (1329, 13, 75), (1329, 13, 834), (1329, 13, 92)}, 0.12827877245744349, 'baseline'), ({(1329, 13, 449), (1329, 13, 834), (1329, 13, 92), (1329, 13, 331)}, 0.12803367816438452, 'baseline'), ({(1329, 13, 449), (1329, 13, 834), (1329, 13, 1302), (1329, 13, 331)}, 0.12641338548980988, 'baseline'), ({(1329, 13, 331), (1329, 13, 834), (1329, 13, 75), (1329, 13, 1302)}, 0.12613872726477385, 'baseline'), ({(1329, 13, 449), (1329, 13, 834), (1329, 13, 75), (1329, 13, 2282)}, 0.12391094408920503, 'baseline'), ({(1329, 13, 449), (1329, 13, 834), (1329, 13, 75), (1329, 13, 331)}, 0.12351516926429168, 'baseline')]","[(1329, 13, 449), (11033, 37, 834), (1163, 152, 75), (1329, 13, 92), (1329, 13, 834), (1329, 13, 75), (92, 152, 1163), (1163, 152, 331), (1302, 152, 1163), (449, 152, 1163), (1329, 13, 1302), (11033, 37, 1163), (1329, 13, 331)]",13,5.9050293,1,[5.8354425],[5],5.8354425,5.0
"(409, 17, 862)","[({(1027, 192, 409)}, -0.000750501664030989, 'baseline'), ({(8646, 77, 409), (1027, 192, 409)}, -0.006482561166401197, 'baseline'), ({(8646, 77, 409)}, -0.007768590994059288, 'baseline'), ({(4171, 77, 409), (1027, 192, 409)}, -0.009028871575728587, 'baseline'), ({(4171, 77, 409)}, -0.009191949891691264, 'baseline'), ({(409, 8, 1440), (1027, 192, 409)}, -0.011360128448673202, 'baseline'), ({(409, 8, 1440)}, -0.012326200547773563, 'baseline'), ({(1440, 8, 409), (1027, 192, 409)}, -0.012572248508738317, 'baseline'), ({(1440, 8, 409)}, -0.013543565778624764, 'baseline'), ({(409, 8, 8871)}, -0.016207178150321383, 'baseline')]","[(1027, 17, 862), (8646, 17, 862), (1027, 192, 409), (8646, 77, 409)]",4,6.73506,1,[6.8250394],[1],6.8250394,1.0
"(12882, 25, 62)","[({(10174, 144, 12882)}, 0.28366331368337927, 'baseline'), ({(12882, 135, 10174)}, 0.13908294880774255, 'baseline'), ({(10174, 54, 12882)}, 0.05611924359729931, 'baseline'), ({(10174, 15, 12882)}, -0.04227157407808848, 'baseline'), ({(12882, 133, 10174)}, -0.1863443448079818, 'baseline'), ({(1748, 83, 12882)}, -0.28868337364787283, 'baseline')]","[(10198, 25, 62), (12882, 135, 10174), (10174, 54, 12882), (10174, 144, 12882), (10174, 15, 10198)]",5,6.162185,1,[7.8117375],[1],7.8117375,1.0
