prediction,facts,exp,exp_length,original_score,original_rank,new_scores,new_ranks,new_score,new_rank
"(6427, 9, 7790)","[({(6427, 3, 40), (6427, 3, 278), (6427, 2, 29), (6427, 3, 479)}, 0.33685116113664415, 'baseline'), ({(6427, 3, 479), (6427, 3, 278), (6427, 2, 29), (6427, 3, 6)}, 0.33484939875130587, 'baseline'), ({(6427, 3, 479), (6427, 3, 278), (6427, 2, 29), (6427, 3, 10)}, 0.33406929316804107, 'baseline'), ({(6427, 3, 40), (6427, 3, 278), (6427, 2, 29), (6427, 3, 6)}, 0.3285074645069022, 'baseline'), ({(6427, 3, 40), (6427, 3, 278), (6427, 2, 29), (6427, 3, 10)}, 0.32515529924962766, 'baseline'), ({(6427, 3, 479), (6427, 3, 9), (6427, 3, 278), (6427, 2, 29)}, 0.3248968535057006, 'baseline'), ({(6427, 3, 278), (6427, 2, 29), (6427, 3, 10), (6427, 3, 6)}, 0.3217420988214484, 'baseline'), ({(6427, 3, 479), (6427, 3, 1267), (6427, 3, 278), (6427, 2, 29)}, 0.3217420988214484, 'baseline'), ({(6427, 3, 40), (6427, 3, 9), (6427, 3, 278), (6427, 2, 29)}, 0.31791786480822837, 'baseline'), ({(6427, 3, 9), (6427, 3, 278), (6427, 2, 29), (6427, 3, 10)}, 0.31506637861558645, 'baseline')]","[(6427, 3, 10), (6427, 3, 479), (21346, 3, 479), (23365, 9, 7790), (24118, 9, 7790), (17452, 9, 7790), (25217, 9, 7790), (6427, 3, 6), (21346, 9, 7790), (23365, 3, 6), (24118, 2, 29), (6427, 3, 278), (6427, 2, 29), (6427, 3, 40), (17452, 3, 10), (21346, 3, 278), (25217, 3, 40)]",17,9.176514,1,[9.131943],[1],9.131943,1.0
"(7125, 11, 8038)","[({(7125, 3, 476), (7125, 3, 39), (7125, 3, 479), (7125, 3, 78)}, 0.5698328451463793, 'baseline'), ({(7125, 3, 476), (7125, 3, 39), (7125, 3, 479), (7125, 3, 220)}, 0.5689449743727375, 'baseline'), ({(7125, 3, 9), (7125, 3, 476), (7125, 3, 39), (7125, 3, 479)}, 0.5620370343513917, 'baseline'), ({(7125, 3, 476), (7125, 3, 479), (7125, 3, 220), (7125, 3, 78)}, 0.5615311101333692, 'baseline'), ({(7125, 3, 9), (7125, 3, 476), (7125, 3, 78), (7125, 3, 479)}, 0.5594973996279631, 'baseline'), ({(7125, 3, 476), (7125, 3, 10), (7125, 3, 78), (7125, 3, 479)}, 0.5543933346399016, 'baseline'), ({(7125, 3, 476), (7125, 3, 10), (7125, 3, 39), (7125, 3, 479)}, 0.5535393192664342, 'baseline'), ({(7125, 3, 9), (7125, 3, 476), (7125, 3, 479), (7125, 3, 220)}, 0.5513468220075759, 'baseline'), ({(7125, 3, 476), (7125, 3, 10), (7125, 3, 479), (7125, 3, 220)}, 0.5475550128317465, 'baseline'), ({(7125, 3, 9), (7125, 3, 476), (7125, 3, 10), (7125, 3, 479)}, 0.5466285182672452, 'baseline')]","[(7125, 3, 476), (24904, 3, 39), (7125, 3, 39), (24904, 3, 78), (7125, 3, 479), (24904, 3, 476), (24904, 11, 8038), (24904, 3, 479), (24904, 3, 9), (7125, 3, 9), (7125, 3, 220), (23179, 11, 8038), (23179, 3, 220), (7125, 3, 78)]",14,5.990065,1,[5.3238397],[1],5.3238397,1.0
"(7788, 11, 8038)","[({(7788, 3, 37), (7788, 3, 651), (7788, 3, 1321), (7788, 3, 479)}, 0.3097753934509427, 'baseline'), ({(7788, 3, 666), (7788, 3, 651), (7788, 3, 1321), (7788, 3, 479)}, 0.30927948280439604, 'baseline'), ({(7788, 3, 651), (7788, 3, 10), (7788, 3, 1321), (7788, 3, 479)}, 0.2972851208704559, 'baseline'), ({(7788, 3, 666), (7788, 3, 37), (7788, 3, 651), (7788, 3, 1321)}, 0.2948131970024378, 'baseline'), ({(7788, 3, 651), (7788, 3, 1321), (7788, 3, 40), (7788, 3, 479)}, 0.2940264156937029, 'baseline'), ({(7788, 3, 9), (7788, 3, 651), (7788, 3, 1321), (7788, 3, 479)}, 0.29181484493153304, 'baseline'), ({(7788, 3, 651), (7788, 3, 1321), (7788, 3, 220), (7788, 3, 479)}, 0.2861710003230925, 'baseline'), ({(7788, 3, 37), (7788, 3, 651), (7788, 3, 10), (7788, 3, 1321)}, 0.28540996821338965, 'baseline'), ({(7788, 3, 651), (7788, 3, 1321), (7788, 9, 7790), (7788, 3, 479)}, 0.2843141963716718, 'baseline'), ({(7788, 3, 666), (7788, 3, 651), (7788, 3, 10), (7788, 3, 1321)}, 0.2815456798122132, 'baseline')]","[(7788, 3, 666), (7788, 3, 10), (8038, 3, 10), (8038, 3, 1321), (7788, 3, 479), (24904, 11, 8038), (24904, 3, 479), (7788, 3, 1321), (8038, 3, 37), (8038, 3, 651), (19270, 11, 8038), (7788, 3, 37), (7788, 3, 651), (19270, 3, 666)]",14,7.2885904,1,[7.259625],[1],7.259625,1.0
"(5822, 11, 7992)","[({(5822, 3, 220), (5822, 3, 9), (5822, 3, 476), (5822, 4, 66)}, 0.3046751431622811, 'baseline'), ({(5822, 3, 6), (5822, 3, 9), (5822, 3, 476), (5822, 4, 66)}, 0.3025751523056198, 'baseline'), ({(5822, 3, 40), (5822, 3, 9), (5822, 3, 476), (5822, 4, 66)}, 0.29387573512606935, 'baseline'), ({(5822, 3, 9), (5822, 3, 476), (5822, 2, 68), (5822, 4, 66)}, 0.29107479364481087, 'baseline'), ({(5822, 3, 369), (5822, 3, 9), (5822, 3, 476), (5822, 4, 66)}, 0.2822599819254739, 'baseline'), ({(5822, 3, 220), (5822, 3, 6), (5822, 3, 476), (5822, 4, 66)}, 0.2779131343447107, 'baseline'), ({(5822, 3, 40), (5822, 3, 6), (5822, 3, 9), (5822, 4, 66)}, 0.27470115923162935, 'baseline'), ({(5822, 3, 40), (5822, 3, 220), (5822, 3, 9), (5822, 4, 66)}, 0.27389721177470217, 'baseline'), ({(5822, 3, 40), (5822, 3, 6), (5822, 3, 476), (5822, 4, 66)}, 0.2725840022476291, 'baseline'), ({(5822, 3, 220), (5822, 3, 6), (5822, 3, 9), (5822, 4, 66)}, 0.2725363185328747, 'baseline')]","[(25411, 3, 9), (13418, 11, 7992), (20133, 3, 476), (20133, 11, 7992), (5822, 3, 6), (25766, 3, 6), (5822, 3, 9), (25411, 3, 220), (25411, 3, 40), (5822, 4, 66), (5822, 3, 220), (25411, 11, 7992), (5822, 3, 40), (5822, 3, 476), (13418, 4, 66), (25766, 11, 7992)]",16,6.493819,1,[5.6932373],[2],5.6932373,2.0
"(5279, 11, 7992)","[({(5279, 3, 40), (5279, 4, 66), (5279, 3, 75), (5279, 3, 6)}, 0.3624344285529554, 'baseline'), ({(5279, 3, 40), (5279, 4, 66), (5279, 3, 75), (5279, 3, 20)}, 0.32386259372473075, 'baseline'), ({(5279, 3, 40), (5279, 4, 66), (5279, 3, 20), (5279, 3, 6)}, 0.32246403028031945, 'baseline'), ({(5279, 2, 69), (5279, 3, 40), (5279, 4, 66), (5279, 3, 6)}, 0.3209605627364717, 'baseline'), ({(5279, 3, 1878), (5279, 3, 40), (5279, 4, 66), (5279, 3, 6)}, 0.31948284437007873, 'baseline'), ({(5279, 3, 6), (5279, 4, 66), (5279, 3, 75), (5279, 3, 20)}, 0.31590418148057003, 'baseline'), ({(5279, 2, 69), (5279, 3, 40), (5279, 4, 66), (5279, 3, 75)}, 0.3132930211970279, 'baseline'), ({(5279, 2, 69), (5279, 4, 66), (5279, 3, 75), (5279, 3, 6)}, 0.31239847468446147, 'baseline'), ({(5279, 3, 1878), (5279, 3, 40), (5279, 4, 66), (5279, 3, 75)}, 0.31011299416343857, 'baseline'), ({(5279, 3, 73), (5279, 3, 40), (5279, 4, 66), (5279, 3, 6)}, 0.30994991581809656, 'baseline')]","[(25455, 11, 7992), (13418, 11, 7992), (23470, 3, 75), (5279, 3, 40), (5279, 3, 75), (5279, 3, 20), (25455, 3, 20), (25766, 3, 6), (25411, 3, 40), (25411, 11, 7992), (5279, 3, 6), (5279, 4, 66), (13418, 4, 66), (23470, 11, 7992), (25766, 11, 7992)]",15,5.8608837,1,[5.4443083],[2],5.4443083,2.0
"(6848, 11, 7992)","[({(6848, 1, 65), (6848, 3, 479), (6848, 4, 66), (6848, 3, 9)}, 0.46838859968594077, 'baseline'), ({(6848, 3, 479), (6848, 4, 66), (6848, 3, 9), (6848, 2, 68)}, 0.4416084709498284, 'baseline'), ({(6848, 3, 479), (6848, 4, 66), (6848, 2, 31), (6848, 3, 9)}, 0.4194536626957967, 'baseline'), ({(6848, 3, 479), (6848, 3, 40), (6848, 4, 66), (6848, 3, 9)}, 0.4153433263407736, 'baseline'), ({(6848, 3, 479), (6848, 3, 6), (6848, 4, 66), (6848, 3, 9)}, 0.4137726247213276, 'baseline'), ({(6848, 3, 479), (6848, 4, 66), (6848, 3, 75), (6848, 3, 9)}, 0.4126968800792312, 'baseline'), ({(6848, 3, 479), (6848, 3, 220), (6848, 4, 66), (6848, 3, 9)}, 0.41118149157852923, 'baseline'), ({(6848, 3, 479), (6848, 3, 7), (6848, 4, 66), (6848, 3, 9)}, 0.4104400098171336, 'baseline'), ({(6848, 3, 629), (6848, 3, 479), (6848, 4, 66), (6848, 3, 9)}, 0.39322761880532964, 'baseline'), ({(6848, 3, 629), (6848, 3, 479), (6848, 4, 66)}, 0.2578993250488579, 'baseline')]","[(6848, 1, 65), (25411, 3, 9), (13418, 11, 7992), (20133, 11, 7992), (25411, 2, 31), (20133, 3, 479), (13418, 1, 65), (6848, 3, 479), (6848, 4, 66), (6848, 3, 9), (25411, 11, 7992), (6848, 2, 31), (25411, 2, 68), (13418, 4, 66), (6848, 2, 68)]",15,5.854315,1,[4.7873883],[3],4.7873883,3.0
"(7058, 9, 9349)","[({(7058, 2, 7059), (7058, 3, 7062)}, 1.2527733427652183, 'baseline'), ({(7058, 3, 7062)}, 0.5876532036422071, 'baseline'), ({(7058, 2, 7059)}, 0.5311909150875334, 'baseline'), ({(7058, 2, 2083)}, 0.23964266067793982, 'baseline'), ({(7058, 1, 65)}, 0.11034826473581962, 'baseline'), ({(7058, 3, 220)}, 0.03637460894891109, 'baseline'), ({(7058, 3, 40)}, 0.022286931923305792, 'baseline')]","[(7058, 2, 7059), (9349, 3, 7062), (9349, 2, 7059), (7058, 3, 7062)]",4,6.829075,1,[4.589679],[6],4.589679,6.0
"(5822, 12, 8676)","[({(5822, 3, 40), (5822, 3, 220), (5822, 3, 279), (5822, 3, 748)}, 0.7029018853344922, 'baseline'), ({(5822, 3, 40), (5822, 3, 7), (5822, 3, 279), (5822, 3, 748)}, 0.6925278159788361, 'baseline'), ({(5822, 3, 40), (5822, 3, 279), (5822, 3, 748), (5822, 3, 6)}, 0.691478774210134, 'baseline'), ({(5822, 3, 220), (5822, 3, 7), (5822, 3, 279), (5822, 3, 748)}, 0.6898088904971506, 'baseline'), ({(5822, 3, 40), (5822, 3, 279), (5822, 3, 39), (5822, 3, 748)}, 0.6869926901917563, 'baseline'), ({(5822, 3, 220), (5822, 3, 279), (5822, 3, 748), (5822, 3, 6)}, 0.6865721197823327, 'baseline'), ({(5822, 3, 220), (5822, 3, 279), (5822, 3, 39), (5822, 3, 748)}, 0.6777019948208257, 'baseline'), ({(5822, 3, 7), (5822, 3, 279), (5822, 3, 748), (5822, 3, 6)}, 0.673246428352901, 'baseline'), ({(5822, 3, 7), (5822, 3, 279), (5822, 3, 39), (5822, 3, 748)}, 0.6694241016622737, 'baseline'), ({(5822, 3, 279), (5822, 3, 39), (5822, 3, 748), (5822, 3, 6)}, 0.6669817417279597, 'baseline')]","[(5822, 3, 6), (8676, 3, 7), (5822, 3, 279), (5822, 3, 748), (5822, 3, 40), (5822, 3, 220), (8676, 3, 220), (8676, 3, 279), (8676, 3, 6), (8676, 3, 748), (5822, 3, 7), (8676, 3, 40)]",12,8.200344,1,[5.6867366],[5],5.6867366,5.0
"(5849, 11, 7869)","[({(5849, 3, 6), (5849, 3, 7), (5849, 3, 149), (5849, 3, 88)}, 0.29578975951099046, 'baseline'), ({(5849, 3, 40), (5849, 3, 149), (5849, 3, 88), (5849, 3, 6)}, 0.2923727444190016, 'baseline'), ({(5849, 3, 40), (5849, 3, 7), (5849, 3, 88), (5849, 3, 6)}, 0.28984741478299486, 'baseline'), ({(5849, 3, 6), (5849, 3, 149), (5849, 3, 88), (5849, 3, 39)}, 0.28782753256820276, 'baseline'), ({(5849, 3, 6), (5849, 3, 7), (5849, 3, 88), (5849, 3, 39)}, 0.2858601024645681, 'baseline'), ({(5849, 3, 40), (5849, 3, 88), (5849, 3, 6), (5849, 3, 39)}, 0.28308777123497897, 'baseline'), ({(5849, 3, 40), (5849, 3, 7), (5849, 3, 149), (5849, 3, 6)}, 0.2701168467480598, 'baseline'), ({(5849, 3, 6), (5849, 3, 7), (5849, 3, 149), (5849, 3, 39)}, 0.2693186213641932, 'baseline'), ({(5849, 3, 220), (5849, 3, 149), (5849, 3, 88), (5849, 3, 6)}, 0.2678642679963963, 'baseline'), ({(5849, 3, 220), (5849, 3, 7), (5849, 3, 88), (5849, 3, 6)}, 0.2665005137123754, 'baseline')]","[(5849, 3, 7), (22183, 11, 7869), (5849, 3, 6), (14783, 11, 7869), (14783, 3, 6), (17218, 3, 40), (22183, 3, 88), (17218, 3, 149), (5849, 3, 88), (22183, 3, 7), (5849, 3, 40), (5849, 3, 149), (17218, 11, 7869)]",13,6.2528124,2,[6.871354],[1],6.871354,1.0
"(5696, 11, 7992)","[({(5696, 3, 279), (5696, 3, 10), (5696, 3, 78), (5696, 3, 40)}, 0.2658577372317954, 'baseline'), ({(5696, 3, 10), (5696, 3, 78), (5696, 3, 40), (5696, 3, 7)}, 0.26408104197564386, 'baseline'), ({(5696, 3, 10), (5696, 3, 78), (5696, 3, 40), (5696, 3, 706)}, 0.2595434595724677, 'baseline'), ({(5696, 3, 10), (5696, 3, 78), (5696, 2, 30), (5696, 3, 40)}, 0.25944237009971793, 'baseline'), ({(5696, 3, 10), (5696, 3, 78), (5696, 3, 7), (5696, 3, 706)}, 0.24748520143628122, 'baseline'), ({(5696, 3, 279), (5696, 3, 10), (5696, 3, 78), (5696, 3, 7)}, 0.24626259094924674, 'baseline'), ({(5696, 3, 10), (5696, 3, 78), (5696, 3, 40), (5696, 3, 20)}, 0.2447739053763237, 'baseline'), ({(5696, 3, 10), (5696, 3, 78), (5696, 2, 30), (5696, 3, 7)}, 0.24322609191475905, 'baseline'), ({(5696, 3, 279), (5696, 3, 10), (5696, 3, 78), (5696, 2, 30)}, 0.24267391451739917, 'baseline'), ({(5696, 3, 10), (5696, 3, 78), (5696, 3, 40), (5696, 2, 27)}, 0.24226097349823142, 'baseline')]","[(5696, 3, 78), (5696, 3, 7), (18444, 11, 7992), (5696, 3, 10), (23470, 3, 7), (25411, 3, 40), (25766, 3, 279), (5696, 3, 279), (25411, 11, 7992), (25411, 3, 78), (18444, 3, 706), (5696, 3, 706), (25411, 3, 10), (5696, 3, 40), (23470, 11, 7992), (25766, 11, 7992)]",16,6.5734153,1,[6.071886],[1],6.071886,1.0
