prediction,facts,exp,exp_length,original_score,original_rank,new_scores,new_ranks,new_score,new_rank
"(11761, 113, 5770)","[({(11761, 199, 9277), (4413, 63, 11761)}, 0.07422760411904376, 'baseline'), ({(11761, 113, 737)}, 0.0707760406521811, 'baseline'), ({(11761, 199, 9277), (11761, 150, 32), (4413, 63, 11761)}, 0.07047012727856787, 'baseline'), ({(11761, 172, 5721), (11761, 113, 737)}, 0.06933625322226357, 'baseline'), ({(4413, 63, 11761)}, 0.06492264846063009, 'baseline'), ({(11761, 113, 737), (4413, 63, 11761)}, 0.059805902648414816, 'baseline'), ({(4413, 63, 11761)}, 0.0590731231423424, 'baseline'), ({(11761, 113, 737), (11761, 150, 32), (4413, 63, 11761)}, 0.05833278873561037, 'baseline'), ({(11761, 172, 5721), (11761, 113, 737), (4413, 63, 11761)}, 0.058241247178037824, 'baseline'), ({(11761, 199, 9277), (11761, 113, 737)}, 0.03924101867619558, 'baseline')]","[(11761, 150, 32), (4413, 63, 11761), (5865, 113, 5770), (11020, 83, 9277), (11761, 199, 9277), (10787, 113, 737), (4413, 63, 5865), (10787, 150, 32), (10787, 113, 5770), (11761, 113, 737), (11020, 113, 5770)]",11,0.393696665763855,1,[0.26123106479644775],[2],0.26123106479644775,2.0
"(2937, 48, 32)","[({(2279, 71, 2937), (1174, 8, 2937), (2937, 6, 941), (1892, 12, 2937)}, 0.24036524776348733, 'baseline'), ({(1892, 12, 2937)}, 0.20310703979020844, 'baseline'), ({(1174, 8, 2937), (2937, 6, 941), (1892, 12, 2937)}, 0.1950394915226632, 'baseline'), ({(1174, 8, 2937), (2937, 6, 941)}, 0.15036998242826285, 'baseline'), ({(2937, 38, 7446), (1174, 8, 2937), (2937, 66, 5108), (1892, 12, 2937)}, 0.11628405293883133, 'baseline'), ({(1174, 8, 2937)}, 0.10822198825692576, 'baseline'), ({(2144, 12, 2937), (1892, 12, 2937)}, 0.10765026048678364, 'baseline'), ({(1174, 8, 2937), (2937, 6, 7213), (1892, 12, 2937)}, 0.09545491172655383, 'baseline'), ({(2937, 6, 6945), (1174, 8, 2937), (1892, 12, 2937)}, 0.09476153091072825, 'baseline'), ({(1174, 8, 2937), (2937, 8, 2269), (1892, 12, 2937)}, 0.08625201417544386, 'baseline')]","[(1174, 48, 32), (1892, 28, 32), (1174, 8, 2937), (2279, 71, 2937), (2937, 6, 941), (1892, 12, 2937), (941, 13, 32), (2279, 151, 32)]",8,0.9600799083709717,1,[0.956787109375],[1],0.956787109375,1.0
"(8617, 60, 90)","[({(2222, 119, 8617), (8617, 38, 12110), (8617, 6, 4262), (8617, 6, 4174)}, 0.03575722406927317, 'baseline'), ({(8617, 6, 4262)}, 0.02015839047018669, 'baseline'), ({(2222, 119, 8617), (8617, 6, 4262)}, 0.01965806910149123, 'baseline'), ({(2222, 45, 8617), (8617, 38, 12110), (8617, 6, 4262), (281, 8, 8617)}, 0.018546919322821008, 'baseline'), ({(2222, 45, 8617), (8617, 38, 12110), (8617, 6, 4262)}, 0.016381601730239913, 'baseline'), ({(8617, 6, 4262), (8617, 6, 8297), (8617, 6, 4174)}, 0.016294400136758435, 'baseline'), ({(8617, 6, 1959), (8617, 6, 4262)}, 0.015488366560261905, 'baseline'), ({(2222, 45, 8617), (8617, 8, 281), (8617, 160, 6615), (8617, 6, 4262)}, 0.014352838458953928, 'baseline'), ({(2222, 45, 8617), (8617, 38, 12110)}, 0.014185766633659887, 'baseline'), ({(8617, 6, 4174), (8617, 160, 6615), (8617, 6, 4262), (281, 8, 8617)}, 0.013633648817842703, 'baseline')]","[(2222, 119, 8617), (8617, 6, 4262), (2222, 60, 90), (12110, 34, 90), (8617, 6, 4174), (4262, 34, 90), (4174, 34, 90), (8617, 38, 12110)]",8,0.947867214679718,1,[0.9971121549606323],[1],0.9971121549606323,1.0
"(1803, 156, 6317)","[({(5963, 66, 1803), (1803, 127, 855), (9674, 163, 1803), (846, 106, 1803)}, 0.5255195330858831, 'baseline'), ({(10998, 24, 1803), (1803, 127, 855), (9674, 163, 1803)}, 0.4770430153828078, 'baseline'), ({(9674, 163, 1803)}, 0.4248326838939488, 'baseline'), ({(11879, 163, 1803), (10998, 24, 1803), (5963, 66, 1803), (9674, 163, 1803)}, 0.38815794565520206, 'baseline'), ({(1803, 156, 4922), (5963, 66, 1803), (7769, 24, 1803), (9674, 163, 1803)}, 0.36421207746419426, 'baseline'), ({(1803, 156, 4922), (5963, 66, 1803), (9674, 163, 1803)}, 0.35476655913396793, 'baseline'), ({(5963, 66, 1803)}, 0.3546437437606276, 'baseline'), ({(7769, 24, 1803), (1803, 156, 1503), (5963, 66, 1803), (9674, 163, 1803)}, 0.34128056111682337, 'baseline'), ({(10998, 24, 1803), (1803, 156, 1503), (5963, 66, 1803), (9674, 163, 1803)}, 0.339909266865009, 'baseline'), ({(1803, 156, 4922), (9674, 163, 1803)}, 0.09048334790947417, 'baseline')]","[(8712, 156, 6317), (1803, 127, 855), (1327, 156, 6317), (9674, 163, 1803), (10998, 24, 1803), (10998, 39, 1327), (846, 106, 518), (5963, 24, 5812), (846, 106, 1803), (518, 156, 6317), (5812, 156, 6317), (4089, 156, 6317), (9674, 163, 8712), (4089, 127, 855), (5963, 66, 1803)]",15,0.9039296507835388,1,[0.4942922592163086],[1],0.4942922592163086,1.0
"(434, 161, 5949)","[({(3166, 85, 434), (4925, 85, 434), (2187, 85, 434)}, 0.01364735788352586, 'baseline'), ({(2810, 85, 434), (383, 85, 434), (4925, 85, 434), (3166, 85, 434)}, 0.00742522902360315, 'baseline'), ({(9201, 85, 434), (4925, 85, 434), (3032, 85, 434)}, 0.005600194425894236, 'baseline'), ({(3166, 85, 434), (4925, 85, 434), (3032, 85, 434)}, 0.004234055922381386, 'baseline'), ({(4925, 85, 434), (2187, 85, 434)}, 0.004050294829093605, 'baseline'), ({(9201, 85, 434), (4925, 85, 434)}, 0.003916959233566681, 'baseline'), ({(4925, 85, 434), (3032, 85, 434), (383, 85, 434)}, 0.0027166408776701724, 'baseline'), ({(2433, 85, 434), (4925, 85, 434)}, 0.0025011701274083396, 'baseline'), ({(2810, 85, 434), (4925, 85, 434)}, 0.001168291054066384, 'baseline'), ({(3166, 85, 434), (4925, 85, 434), (383, 85, 434)}, 0.0008522075997232336, 'baseline')]","[(5949, 122, 383), (9201, 224, 5949), (9201, 85, 434), (5949, 122, 3166), (2810, 85, 434), (4925, 85, 434), (3032, 85, 434), (2187, 66, 5949), (3166, 85, 434), (2187, 85, 434), (2810, 224, 5949), (4925, 66, 5949), (383, 85, 434), (5949, 122, 3032)]",14,0.9906078577041626,1,[0.9212965965270996],[5],0.9212965965270996,5.0
"(2592, 17, 2123)","[({(1627, 196, 2592)}, 0.14590256959927575, 'baseline'), ({(3876, 21, 2592)}, 0.13818230771305354, 'baseline'), ({(2202, 27, 2592)}, 0.133119533889366, 'baseline'), ({(2592, 21, 4603)}, 0.12906670114760085, 'baseline'), ({(10740, 20, 2592)}, 0.12079530500956596, 'baseline'), ({(2592, 196, 52)}, 0.11557094294376351, 'baseline'), ({(2592, 8, 6104)}, 0.10933712408738396, 'baseline'), ({(5933, 20, 2592)}, 0.10050580933706643, 'baseline'), ({(2592, 177, 1987)}, 0.09273937629471904, 'baseline'), ({(6104, 3, 2592)}, 0.09050670550504965, 'baseline'), ({(2592, 25, 62)}, 0.0651129288578878, 'baseline'), ({(1300, 42, 2592)}, 0.022542904089253055, 'baseline'), ({(2592, 85, 434)}, 0.009793232128436495, 'baseline'), ({(52, 196, 2592)}, 0.006324659066425487, 'baseline'), ({(1987, 42, 2592)}, 0.005431438772283459, 'baseline'), ({(2592, 17, 1415)}, 0.003080303724703031, 'baseline'), ({(2592, 43, 141)}, -0.004206393866259237, 'baseline'), ({(12341, 50, 2592)}, -0.0464349137968512, 'baseline'), ({(2279, 71, 2592)}, -0.06054503191390282, 'baseline'), ({(3121, 21, 2592)}, -0.4360323129125151, 'baseline')]","[(1627, 17, 1002), (2123, 181, 1002), (2202, 27, 2592), (3876, 17, 2123), (2202, 27, 4199), (4199, 17, 2123), (1627, 196, 2592), (3876, 21, 2592)]",8,0.7389125823974609,1,[0.37938886880874634],[1],0.37938886880874634,1.0
"(6054, 14, 160)","[({(6054, 31, 1211), (3596, 38, 6054), (1792, 97, 6054)}, 0.16922996496923032, 'baseline'), ({(3596, 38, 6054), (6054, 97, 3969), (6054, 97, 1792), (2146, 6, 6054)}, 0.13854150025600723, 'baseline'), ({(3596, 38, 6054), (7025, 97, 6054), (6054, 97, 1792), (6054, 97, 3969)}, 0.11490486104102195, 'baseline'), ({(3596, 38, 6054), (7025, 97, 6054)}, 0.100034992250159, 'baseline'), ({(3596, 38, 6054), (6054, 97, 1792), (6054, 97, 3969)}, 0.09169719650479338, 'baseline'), ({(3596, 38, 6054)}, 0.08640072776367097, 'baseline'), ({(6054, 31, 1211), (3596, 38, 6054), (7025, 97, 6054)}, 0.08440111114727883, 'baseline'), ({(3596, 38, 6054), (7025, 97, 6054), (6054, 97, 1792)}, 0.08057502937791924, 'baseline'), ({(2625, 97, 6054), (6054, 97, 1792)}, 0.07812796067378329, 'baseline'), ({(3596, 38, 6054), (1792, 97, 6054), (6054, 97, 1792), (6054, 97, 3969)}, 0.07747886609706911, 'baseline')]","[(5034, 107, 1211), (3596, 100, 160), (7025, 97, 6054), (6054, 97, 3969), (6054, 31, 1211), (1792, 97, 6054), (2146, 100, 160), (3596, 38, 6054), (13361, 100, 160), (6054, 97, 1792), (1792, 14, 160), (2146, 6, 6054), (3969, 155, 13361), (5034, 51, 160), (7025, 14, 160)]",15,0.9868510365486145,1,[0.9546056985855103],[1],0.9546056985855103,1.0
"(5839, 48, 32)","[({(1060, 47, 5839), (5839, 38, 2538)}, 0.34125934189390655, 'baseline'), ({(5839, 39, 150), (5840, 8, 5839), (5839, 19, 1060)}, 0.28257022406582866, 'baseline'), ({(5840, 8, 5839), (5839, 17, 2044), (1060, 47, 5839)}, 0.23938016181526406, 'baseline'), ({(1060, 47, 5839), (5839, 8, 5840), (5839, 38, 2538)}, 0.1928392456265985, 'baseline'), ({(5839, 39, 150), (5840, 8, 5839), (1060, 47, 5839)}, 0.1877835796733263, 'baseline'), ({(5840, 8, 5839), (5839, 38, 3044), (5839, 19, 1060), (1060, 47, 5839)}, 0.17348943211651374, 'baseline'), ({(5840, 8, 5839), (5839, 38, 2538), (5839, 19, 1060), (1060, 47, 5839)}, 0.1614905998557572, 'baseline'), ({(1060, 47, 5839)}, 0.1567989990114894, 'baseline'), ({(1060, 47, 5839), (5839, 8, 5840), (5839, 19, 1060)}, 0.11782221041780504, 'baseline'), ({(5840, 8, 5839)}, 0.10524479583815963, 'baseline')]","[(5840, 8, 6838), (1060, 47, 5839), (5839, 38, 2538), (5839, 19, 1060), (6648, 17, 2044), (5839, 17, 2044), (10437, 48, 32), (10437, 19, 1060), (32, 15, 150), (6648, 48, 32), (2538, 13, 32), (5840, 8, 5839), (5839, 39, 150), (6838, 48, 32)]",14,0.846180260181427,1,[0.910139262676239],[1],0.910139262676239,1.0
"(7681, 48, 32)","[({(7681, 43, 141), (7681, 202, 1669)}, 0.4177610099958241, 'baseline'), ({(7681, 17, 818), (7681, 102, 3044), (7681, 43, 141)}, 0.36760352219479575, 'baseline'), ({(7681, 102, 3044), (7681, 43, 141), (7681, 202, 1669)}, 0.3636671122086167, 'baseline'), ({(7681, 17, 818), (7681, 43, 141)}, 0.3023692182891414, 'baseline'), ({(7681, 43, 141), (7681, 17, 393)}, 0.24318901785641572, 'baseline'), ({(7681, 39, 10717), (7681, 17, 818), (7681, 202, 1669), (7681, 17, 393)}, 0.14976624694450766, 'baseline'), ({(7681, 17, 393), (7681, 43, 141), (7681, 202, 1669)}, 0.13093135795208577, 'baseline'), ({(7681, 43, 141)}, 0.1302451892866573, 'baseline'), ({(7681, 17, 818), (7681, 102, 3044)}, 0.09621755318282527, 'baseline'), ({(7681, 39, 10717), (7681, 102, 3044), (7681, 43, 141), (7681, 202, 1669)}, 0.07708964777867196, 'baseline')]","[(14350, 48, 32), (7681, 17, 818), (14350, 43, 141), (1669, 222, 32), (12424, 48, 32), (7681, 102, 3044), (7681, 202, 1669), (12424, 17, 818), (7681, 43, 141), (3044, 13, 32)]",10,0.9179816246032715,1,[0.9274675250053406],[1],0.9274675250053406,1.0
"(7268, 120, 791)","[({(1234, 15, 7268), (7268, 154, 2438), (7268, 15, 3684)}, 0.00654443350386397, 'baseline'), ({(7268, 154, 2438), (7268, 15, 3684)}, 0.0060762241114439685, 'baseline'), ({(7268, 154, 2438)}, 0.004213737749221958, 'baseline'), ({(3684, 83, 7268), (7268, 154, 2438), (7268, 15, 3684)}, 0.0023299995404812263, 'baseline'), ({(7268, 154, 2438), (7268, 127, 1234), (7268, 15, 3684)}, -0.004189428935914602, 'baseline'), ({(7268, 154, 2438)}, -0.004427916434079952, 'baseline'), ({(7268, 154, 2438), (7268, 15, 3684), (7268, 33, 90)}, -0.007476228350820773, 'baseline'), ({(1234, 15, 7268), (7268, 154, 2438), (7268, 15, 3684)}, -0.007685084862677141, 'baseline'), ({(32, 87, 7268), (7268, 154, 2438), (7268, 15, 3684)}, -0.015458012976350043, 'baseline'), ({(7268, 15, 3684)}, -0.047082372963017635, 'baseline')]","[(7268, 154, 2438), (89, 120, 791), (13723, 120, 791), (791, 25, 62), (3684, 25, 62), (7268, 15, 3684), (1234, 15, 13723), (1234, 15, 7268), (89, 154, 2438)]",9,0.9878473281860352,1,[0.9976748824119568],[1],0.9976748824119568,1.0
