new_rank,new_score,new_ranks,facts,original_score,new_scores,prediction,original_rank,#facts
2.0,0.45589907141402364,"[1, 3]","[(7788, 9, 7790), (7788, 3, 40), (7788, 3, 1321), (7788, 4, 66), (7788, 3, 37), (7788, 3, 40), (7788, 3, 1321), (7788, 4, 66), (7788, 3, 220), (7788, 3, 1321), (7788, 4, 66)]",6.464199395850301e-05,"[0.9063872694969177, 0.005410873331129551]","(7788, 11, 7956)",1,11
1.0,0.9992508292198181,"[1, 1]","[(7328, 3, 954), (7328, 3, 7333), (7328, 1, 65), (7328, 2, 30), (7328, 1, 65), (7328, 3, 1838), (7328, 3, 651), (7328, 3, 953), (7328, 1, 65), (7328, 2, 30), (7328, 3, 468), (7328, 3, 651)]",5.031374872288552e-09,"[0.9995550513267517, 0.9989466071128845]","(7328, 10, 7830)",1,12
5.5,0.0009936294050021388,"[2, 9]","[(7125, 4, 66), (7125, 1, 65), (7125, 4, 66), (7125, 2, 31), (7125, 1, 65), (7125, 4, 66), (7125, 3, 219), (7125, 2, 2584), (7125, 1, 65)]",1.2816738490073476e-05,"[0.001974866958335042, 1.239185166923562e-05]","(7125, 11, 8038)",1,9
2.5,0.024850537338352297,"[2, 3]","[(7788, 3, 651), (7788, 9, 7790), (7788, 4, 66), (7788, 3, 1321), (7788, 9, 7790), (7788, 3, 479), (7788, 4, 66), (7788, 9, 7790), (7788, 3, 2560), (7788, 3, 479), (7788, 4, 66)]",0.00025431104586459696,"[0.04952196031808853, 0.0001791143586160615]","(7788, 11, 8038)",1,11
5.0,1.959168717036164e-06,"[5, 5]","[(6105, 2, 30), (6105, 3, 260), (6105, 3, 6), (6105, 3, 506), (6105, 2, 30), (6105, 3, 220), (6105, 3, 506), (6105, 2, 30), (6105, 2, 728), (6105, 3, 506)]",0.0003303271369077265,"[5.96933844576597e-08, 3.858644049614668e-06]","(6105, 8, 7393)",1,10
1.0,0.9979696571826935,"[1, 1]","[(6853, 3, 780), (6853, 1, 65), (6853, 4, 906), (6853, 2, 30), (6853, 3, 1839), (6853, 3, 6854), (6853, 1, 65), (6853, 4, 906), (6853, 1, 65), (6853, 3, 5859), (6853, 3, 157), (6853, 2, 30)]",1.7677559416284794e-09,"[0.9999536275863647, 0.9959856867790222]","(6853, 10, 7830)",1,12
9.0,4.147969060289136e-05,"[15, 3]","[(6427, 2, 312), (6427, 3, 278), (6427, 3, 34)]",0.006617997772991657,"[4.1133613182253725e-10, 8.29589698696509e-05]","(6427, 8, 7410)",1,3
5.5,1.647376994878824e-05,"[9, 2]","[(5269, 3, 34), (5269, 4, 66), (5269, 3, 46), (5269, 4, 66), (5269, 3, 34), (5269, 4, 66)]",0.0001737351849442348,"[1.7091442705563509e-09, 3.294583075330593e-05]","(5269, 8, 7410)",1,6
1.0,0.9989591538906097,"[1, 1]","[(5073, 3, 418), (5073, 3, 1336), (5073, 2, 1188), (5073, 4, 485), (5073, 3, 1336), (5073, 3, 149), (5073, 4, 485), (5073, 3, 731), (5073, 3, 1024), (5073, 4, 485), (5073, 3, 3766)]",2.7475641761753877e-09,"[0.9999370574951172, 0.9979812502861023]","(5073, 10, 7830)",1,11
13.5,0.0003618673999073985,"[25, 2]","[(6766, 1, 65), (6766, 2, 30), (6766, 4, 66), (6766, 1, 65), (6766, 3, 83), (6766, 1, 65)]",0.00013452144048642367,"[1.0752505656685951e-11, 0.0007237347890622914]","(6766, 8, 7410)",1,6
2.0,1.1651529121081694e-05,"[2, 2]","[(5110, 4, 1893), (5110, 2, 788), (5110, 3, 2039), (5110, 3, 39), (5110, 3, 2040), (5110, 3, 2039), (5110, 2, 788)]",0.00016445291112177074,"[6.58286398902419e-06, 1.6720194253139198e-05]","(5110, 8, 7408)",1,7
2.0,0.43247191642876714,"[1, 3]","[(7177, 4, 169), (7177, 2, 27), (7177, 2, 30), (7177, 3, 370), (7177, 4, 169), (7177, 2, 31), (7177, 3, 7180), (7177, 2, 27), (7177, 4, 169), (7177, 3, 7180), (7177, 2, 27)]",5.2181261708028615e-05,"[0.863781213760376, 0.0011626190971583128]","(7177, 11, 7956)",1,11
2.0,0.030091180931776762,"[3, 1]","[(7536, 3, 1077), (7536, 2, 729), (7536, 3, 1321)]",0.00012008265184704214,"[0.010330813936889172, 0.04985154792666435]","(7536, 12, 4492)",1,3
1.0,0.995096743106842,"[1, 1]","[(7182, 1, 6071), (7182, 3, 1870), (7182, 2, 266), (7182, 2, 31), (7182, 3, 7), (7182, 1, 6071), (7182, 3, 695), (7182, 2, 266), (7182, 3, 4735), (7182, 1, 6071), (7182, 3, 7184), (7182, 2, 266)]",5.526598068072985e-10,"[0.999665379524231, 0.9905281066894531]","(7182, 10, 7830)",1,12
14.5,3.4901926720953824e-07,"[17, 12]","[(5234, 3, 1510), (5234, 3, 5239), (5234, 3, 9)]",0.07745267450809479,"[1.1113322484490595e-09, 6.969272021706274e-07]","(5234, 8, 7567)",1,3
6.5,4.8300167043713316e-06,"[11, 2]","[(5110, 2, 788), (5110, 3, 39), (5110, 3, 5115), (5110, 3, 2030), (5110, 3, 39), (5110, 3, 5115), (5110, 2, 788)]",0.00010146859858650714,"[4.022747468468424e-09, 9.656010661274195e-06]","(5110, 8, 7593)",1,7
1.0,0.9991883635520935,"[1, 1]","[(7365, 3, 276), (7365, 3, 346), (7365, 3, 2460), (7365, 3, 7), (7365, 2, 171), (7365, 3, 7372), (7365, 3, 117), (7365, 3, 7381), (7365, 3, 276), (7365, 3, 7372), (7365, 3, 120), (7365, 3, 7381)]",4.245953633130739e-08,"[0.9997429251670837, 0.9986338019371033]","(7365, 10, 7830)",1,12
9.0,9.317848971068798e-06,"[11, 7]","[(6383, 2, 68), (6383, 3, 220), (6383, 3, 2417)]",4.635970981325954e-05,"[1.0241437031766054e-08, 1.862545650510583e-05]","(6383, 8, 7429)",1,3
8.5,0.0020096626409877166,"[16, 1]","[(5849, 3, 5076), (5849, 3, 1328), (5849, 3, 5077), (5849, 3, 5076), (5849, 3, 1328), (5849, 3, 418), (5849, 3, 91), (5849, 3, 5076)]",0.013211838901042938,"[1.4856235686089292e-10, 0.004019325133413076]","(5849, 8, 7410)",1,8
1.0,0.9995650053024292,"[1, 1]","[(6004, 1, 2548), (6004, 3, 1926), (6004, 4, 66), (6004, 3, 40), (6004, 1, 2548), (6004, 3, 1926), (6004, 3, 928), (6004, 4, 66), (6004, 3, 930), (6004, 3, 39), (6004, 1, 2548), (6004, 4, 66)]",3.285558847210268e-08,"[0.9998905658721924, 0.999239444732666]","(6004, 10, 7830)",1,12
6.0,0.0021887596785910013,"[10, 2]","[(5781, 2, 1166), (5781, 2, 31), (5781, 1, 65), (5781, 1, 65), (5781, 3, 284), (5781, 2, 31), (5781, 1, 65)]",0.026959797367453575,"[8.958555675064872e-09, 0.0043775103986263275]","(5781, 8, 7410)",1,7
3.5,0.03989261016249657,"[3, 4]","[(5575, 4, 66), (5575, 3, 2563), (5575, 1, 2467), (5575, 3, 100), (5575, 4, 66), (5575, 3, 3079), (5575, 3, 2563), (5575, 1, 2467), (5575, 4, 66), (5575, 3, 2563), (5575, 1, 2467), (5575, 3, 33)]",0.00015194447769317776,"[0.07837668061256409, 0.0014085397124290466]","(5575, 11, 8038)",1,12
16.0,6.027221175417593e-05,"[29, 3]","[(4882, 3, 756), (4882, 3, 478), (4882, 1, 65)]",0.0005842457758262753,"[3.011325563906375e-12, 0.0001205444204970263]","(4882, 8, 7410)",1,3
5.0,6.236116132640745e-05,"[1, 9]","[(6323, 3, 149), (6323, 3, 716), (6323, 3, 75)]",0.0006460305885411799,"[7.392917177639902e-05, 5.0793150876415893e-05]","(6323, 8, 7427)",1,3
1.0,0.9997921586036682,"[1, 1]","[(6373, 3, 743), (6373, 3, 166), (6373, 1, 65), (6373, 4, 485), (6373, 1, 65), (6373, 3, 1685), (6373, 4, 485), (6373, 3, 10), (6373, 3, 166), (6373, 1, 65), (6373, 4, 485), (6373, 3, 10)]",6.148118458781937e-09,"[0.9999014139175415, 0.9996829032897949]","(6373, 10, 7830)",1,12
10.5,2.341199176898734e-05,"[16, 5]","[(4912, 3, 10), (4912, 3, 1019), (4912, 3, 220)]",0.0015577415470033884,"[3.695811712223218e-10, 4.6823613956803456e-05]","(4912, 8, 7410)",1,3
1.5,0.10908957570791245,"[1, 2]","[(7628, 3, 6), (7628, 3, 149), (7628, 8, 7567), (7628, 3, 40), (7628, 3, 38), (7628, 3, 40), (7628, 8, 7408), (7628, 8, 7410)]",0.022079473361372948,"[0.07402563095092773, 0.14415352046489716]","(7628, 12, 4492)",1,8
1.0,0.9995662868022919,"[1, 1]","[(5133, 3, 4768), (5133, 5, 5134), (5133, 4, 485), (5133, 1, 65), (5133, 3, 5146), (5133, 4, 485), (5133, 3, 2543), (5133, 1, 65), (5133, 2, 312), (5133, 5, 5134), (5133, 4, 485), (5133, 1, 65)]",1.0917164061652329e-08,"[0.9996867179870605, 0.9994458556175232]","(5133, 10, 7830)",1,12
1.0,0.9992758631706238,"[1, 1]","[(7201, 3, 717), (7201, 3, 6), (7201, 2, 2271), (7201, 5, 7202), (7201, 3, 1266), (7201, 2, 2271), (7201, 3, 118), (7201, 5, 7202), (7201, 3, 2279), (7201, 3, 7209), (7201, 3, 82), (7201, 3, 88)]",5.487277832116888e-08,"[0.9998468160629272, 0.9987049102783203]","(7201, 10, 7830)",1,12
10.0,7.471104923606475e-08,"[12, 8]","[(5110, 3, 75), (5110, 3, 276), (5110, 3, 276), (5110, 3, 5118)]",0.0004571357276290655,"[1.3720924396665168e-09, 1.48050006032463e-07]","(5110, 8, 7567)",1,4
4.5,0.018772288922264124,"[4, 5]","[(6213, 3, 1493), (6213, 2, 31), (6213, 3, 1744), (6213, 2, 729), (6213, 3, 1321), (6213, 3, 1744), (6213, 2, 729), (6213, 3, 1493), (6213, 3, 1321), (6213, 3, 1744), (6213, 2, 729)]",0.00026256981072947383,"[0.03752928972244263, 1.528812208562158e-05]","(6213, 11, 8038)",1,11
4.0,3.712673919054055e-05,"[5, 3]","[(5558, 3, 220), (5558, 3, 149), (5558, 3, 220), (5558, 2, 31)]",0.0007456682506017387,"[1.1441705538572933e-07, 7.413906132569537e-05]","(5558, 8, 7393)",1,4
1.0,0.9998086392879486,"[1, 1]","[(5593, 3, 46), (5593, 3, 5600), (5593, 4, 924), (5593, 1, 65), (5593, 3, 5600), (5593, 4, 924), (5593, 1, 65), (5593, 3, 46), (5593, 3, 5601), (5593, 4, 924), (5593, 1, 65)]",4.969827660517012e-09,"[0.9999115467071533, 0.9997057318687439]","(5593, 10, 7830)",1,11
1.0,0.9997768104076385,"[1, 1]","[(6320, 3, 717), (6320, 4, 66), (6320, 5, 6321), (6320, 4, 66), (6320, 3, 9), (6320, 5, 6321), (6320, 3, 717), (6320, 4, 66), (6320, 3, 2599)]",3.580371910061331e-08,"[0.9999707937240601, 0.999582827091217]","(6320, 10, 7830)",1,9
10.5,6.25733248275917e-06,"[18, 3]","[(4870, 2, 888), (4870, 3, 20), (4870, 3, 4879), (4870, 2, 1100), (4870, 2, 888), (4870, 3, 538), (4870, 3, 7)]",0.00022191622701939195,"[8.608122548103836e-11, 1.251457888429286e-05]","(4870, 8, 7593)",1,7
1.0,0.9998273551464081,"[1, 1]","[(4882, 2, 1813), (4882, 3, 4883), (4882, 1, 65), (4882, 3, 756), (4882, 2, 1813), (4882, 3, 1823), (4882, 1, 65), (4882, 3, 1646), (4882, 1, 65), (4882, 2, 30)]",2.7909027977557344e-08,"[0.9998747110366821, 0.999779999256134]","(4882, 10, 7830)",1,10
1.0,0.9996210932731628,"[1, 1]","[(7125, 4, 66), (7125, 3, 113), (7125, 3, 7133), (7125, 4, 66), (7125, 3, 7133), (7125, 3, 219), (7125, 4, 66), (7125, 3, 7133), (7125, 3, 39)]",9.861518712739326e-09,"[0.9998089671134949, 0.9994332194328308]","(7125, 10, 7830)",1,9
1.0,0.9997602105140686,"[1, 1]","[(5269, 3, 1966), (5269, 3, 733), (5269, 4, 66), (5269, 3, 46), (5269, 3, 733), (5269, 4, 66), (5269, 3, 46), (5269, 3, 5272), (5269, 3, 663), (5269, 4, 66), (5269, 3, 5272), (5269, 2, 266)]",8.774312831860698e-09,"[0.9999847412109375, 0.9995356798171997]","(5269, 10, 7830)",1,12
1.0,0.9997366666793823,"[1, 1]","[(6383, 3, 10), (6383, 3, 2539), (6383, 3, 2542), (6383, 3, 1526), (6383, 3, 7), (6383, 3, 6389), (6383, 2, 68), (6383, 3, 10), (6383, 3, 733), (6383, 3, 748), (6383, 3, 6386)]",3.598073616828401e-09,"[0.9999771118164062, 0.9994962215423584]","(6383, 10, 7830)",1,11
1.0,0.999627023935318,"[1, 1]","[(5380, 3, 2127), (5380, 3, 476), (5380, 4, 66), (5380, 3, 2416), (5380, 3, 476), (5380, 4, 66), (5380, 2, 172), (5380, 3, 2416), (5380, 3, 5382), (5380, 4, 66), (5380, 3, 2416)]",9.406750933749208e-09,"[0.9999916553497314, 0.9992623925209045]","(5380, 10, 7830)",1,11
1.0,0.9998083114624023,"[1, 1]","[(7097, 3, 7100), (7097, 3, 2173), (7097, 3, 1074), (7097, 4, 66), (7097, 3, 733), (7097, 3, 2173), (7097, 3, 1855), (7097, 4, 66), (7097, 3, 733), (7097, 4, 66), (7097, 3, 9), (7097, 3, 732)]",3.679509363863076e-09,"[0.9999899864196777, 0.999626636505127]","(7097, 10, 7830)",1,12
1.0,0.9997268915176392,"[1, 1]","[(5665, 2, 30), (5665, 3, 10), (5665, 3, 74), (5665, 3, 9), (5665, 2, 30), (5665, 2, 69), (5665, 3, 9), (5665, 3, 111), (5665, 3, 4549)]",1.1674138988837512e-07,"[0.9999687671661377, 0.9994850158691406]","(5665, 10, 7830)",1,9
2.5,0.47797155228909105,"[1, 4]","[(6976, 3, 220), (6976, 2, 68), (6976, 3, 220), (6976, 3, 9)]",1.3795589438814204e-05,"[0.9549025893211365, 0.0010405152570456266]","(6976, 11, 7956)",1,4
1.0,0.9996341466903687,"[1, 1]","[(5627, 3, 7), (5627, 3, 3863), (5627, 3, 1407), (5627, 3, 40), (5627, 2, 27), (5627, 3, 666), (5627, 3, 3863), (5627, 3, 58), (5627, 2, 30), (5627, 3, 666), (5627, 3, 260), (5627, 3, 58)]",2.871291258088604e-07,"[0.9999730587005615, 0.9992952346801758]","(5627, 10, 7830)",1,12
1.0,0.9993880689144135,"[1, 1]","[(5586, 1, 65), (5586, 3, 2417), (5586, 3, 88), (5586, 3, 506), (5586, 1, 65), (5586, 3, 146), (5586, 3, 149), (5586, 1, 65), (5586, 3, 506)]",9.579575355189718e-09,"[0.9999874830245972, 0.9987886548042297]","(5586, 10, 7830)",1,9
1.5,0.2623908668756485,"[1, 2]","[(5586, 3, 6), (5586, 3, 88), (5586, 2, 68), (5586, 3, 279), (5586, 3, 10), (5586, 2, 728), (5586, 2, 68), (5586, 3, 279)]",0.07337050884962082,"[0.04526633024215698, 0.47951540350914]","(5586, 12, 4492)",1,8
5.5,5.432744139000079e-07,"[6, 5]","[(6900, 3, 4052), (6900, 5, 6901), (6900, 2, 2270)]",0.00042496295645833015,"[7.091563958283587e-08, 1.0156331882171798e-06]","(6900, 8, 7393)",1,3
1.0,0.9996590316295624,"[1, 1]","[(5645, 3, 20), (5645, 3, 5661), (5645, 1, 65), (5645, 2, 266), (5645, 1, 65), (5645, 3, 5648), (5645, 2, 30), (5645, 3, 75), (5645, 3, 2085), (5645, 1, 65), (5645, 3, 254)]",4.1949319573575394e-09,"[0.9998542070388794, 0.9994638562202454]","(5645, 10, 7830)",1,11
4.5,3.895173563250864e-06,"[2, 7]","[(5844, 3, 2275), (5844, 3, 276), (5844, 3, 10), (5844, 3, 2275), (5844, 5, 5845), (5844, 3, 276), (5844, 3, 10), (5844, 3, 2275), (5844, 5, 5845), (5844, 3, 1151)]",0.0008862688555382192,"[4.178319613856729e-06, 3.6120275126449997e-06]","(5844, 8, 7427)",1,10
1.0,0.0676290038973093,"[1, 1]","[(4870, 3, 4879), (4870, 2, 1100), (4870, 3, 3987), (4870, 3, 88), (4870, 3, 3987), (4870, 2, 888), (4870, 3, 41), (4870, 3, 3987), (4870, 3, 88)]",7.97808897914365e-05,"[0.06110674515366554, 0.07415126264095306]","(4870, 9, 8151)",1,9
5.0,0.007087671663612127,"[3, 7]","[(6054, 2, 171), (6054, 2, 305), (6054, 3, 6060), (6054, 3, 177), (6054, 3, 177), (6054, 3, 177), (6054, 3, 189)]",0.00014518971147481352,"[0.0025742314755916595, 0.011601111851632595]","(6054, 9, 8151)",1,7
5.0,0.00011953207790638132,"[9, 1]","[(6205, 4, 485), (6205, 2, 30), (6205, 2, 30), (6205, 3, 6210), (6205, 3, 279), (6205, 3, 1395), (6205, 4, 485), (6205, 3, 6210), (6205, 3, 279), (6205, 3, 1395)]",0.014452626928687096,"[6.2819713875228445e-09, 0.0002390578738413751]","(6205, 8, 7410)",1,10
2.0,0.37725356686860323,"[1, 3]","[(6004, 2, 68), (6004, 3, 78), (6004, 1, 2548), (6004, 4, 66), (6004, 3, 930), (6004, 1, 2548), (6004, 3, 150), (6004, 4, 66), (6004, 2, 68), (6004, 1, 2548), (6004, 3, 150), (6004, 4, 66)]",0.00012833354412578046,"[0.7528752088546753, 0.001631924882531166]","(6004, 11, 7956)",1,12
3.5,0.1597131515154615,"[3, 4]","[(6263, 3, 1840), (6263, 3, 1839), (6263, 2, 31), (6263, 1, 65), (6263, 3, 1840), (6263, 2, 68), (6263, 1, 65), (6263, 3, 1840), (6263, 2, 31)]",0.0002951537608169019,"[0.3174164593219757, 0.002009843708947301]","(6263, 11, 8038)",1,9
1.0,0.9988873302936554,"[1, 1]","[(6914, 4, 66), (6914, 3, 220), (6914, 2, 266), (6914, 1, 2467), (6914, 4, 66), (6914, 1, 2467), (6914, 2, 31), (6914, 4, 66), (6914, 3, 6916), (6914, 2, 28), (6914, 1, 2467)]",1.2131610382937197e-08,"[0.9999668598175049, 0.9978078007698059]","(6914, 10, 7830)",1,11
1.0,0.3796481874305755,"[1, 1]","[(6344, 3, 88), (6344, 2, 31), (6344, 3, 149), (6344, 2, 31), (6344, 3, 5203), (6344, 3, 149), (6344, 3, 88), (6344, 2, 31), (6344, 3, 6353)]",4.18413728766609e-05,"[0.7535647749900818, 0.005731599871069193]","(6344, 11, 7956)",1,9
1.0,0.9996525943279266,"[1, 1]","[(7788, 3, 37), (7788, 3, 479), (7788, 5, 7789), (7788, 4, 66), (7788, 3, 37), (7788, 9, 7790), (7788, 4, 66), (7788, 2, 68), (7788, 9, 7790), (7788, 4, 66)]",1.025166298518343e-07,"[0.9999668598175049, 0.9993383288383484]","(7788, 10, 7830)",1,10
1.0,0.9998118281364441,"[1, 1]","[(5920, 2, 30), (5920, 3, 74), (5920, 3, 748), (5920, 3, 6), (5920, 3, 593), (5920, 2, 30), (5920, 2, 30), (5920, 3, 748)]",2.1284087381445715e-08,"[0.9999879598617554, 0.9996356964111328]","(5920, 10, 7830)",1,8
3.0,0.012441674545698334,"[2, 4]","[(6437, 2, 312), (6437, 1, 2467), (6437, 3, 91), (6437, 3, 4441), (6437, 2, 312), (6437, 3, 6443), (6437, 1, 2467), (6437, 3, 91), (6437, 2, 68), (6437, 2, 312), (6437, 1, 2467), (6437, 3, 4441)]",0.00044393775169737637,"[0.02473343536257744, 0.0001499137288192287]","(6437, 11, 8038)",1,12
1.0,0.9996249973773956,"[1, 1]","[(6848, 1, 65), (6848, 4, 66), (6848, 3, 479), (6848, 1, 65), (6848, 4, 66), (6848, 3, 88), (6848, 3, 39), (6848, 1, 65), (6848, 3, 7), (6848, 3, 40), (6848, 4, 66)]",3.360280231845536e-08,"[0.9998887777328491, 0.9993612170219421]","(6848, 10, 7830)",1,11
9.5,4.0430158852466924e-05,"[15, 4]","[(7080, 3, 1057), (7080, 3, 460), (7080, 4, 485)]",0.0038276715204119682,"[1.6329271268489265e-10, 8.086015441222116e-05]","(7080, 8, 7410)",1,3
39.5,2.0112129305971393e-05,"[41, 38]","[(5517, 3, 1005), (5517, 2, 1323), (5517, 3, 1024), (5517, 2, 1323), (5517, 3, 731)]",0.001694337697699666,"[1.3117465869072475e-07, 4.009308395325206e-05]","(5517, 9, 7903)",1,5
