facts,exp_length,new_ranks,original_score,new_scores,exp,new_score,new_rank,prediction,original_rank
"[({(44, 1, 45)}, 0.2701025416531019, 'baseline'), ({(44, 1, 45)}, 0.2592430521458039, 'baseline'), ({(44, 1, 45)}, 0.2581625391583707, 'baseline'), ({(44, 1, 45)}, 0.22119240040663435, 'baseline')]",1,[32489],8.879241,[-0.82236695],"[(44, 1, 45)]",-0.82236695,32489.0,"(45, 1, 44)",1
"[({(5908, 1, 4050)}, 2.335662012468489, 'baseline'), ({(5908, 1, 4050)}, 2.0996352270528855, 'baseline'), ({(5908, 1, 4050)}, 2.0891324109587677, 'baseline'), ({(5908, 1, 4050)}, 1.7479544477493365, 'baseline'), ({(5908, 1, 4050)}, 1.4965077115431022, 'baseline'), ({(5908, 1, 4050)}, 1.4621573148857587, 'baseline'), ({(5908, 1, 4050)}, 1.4354687381027735, 'baseline'), ({(5908, 1, 4050)}, 1.43426901572798, 'baseline'), ({(5908, 1, 4050)}, 1.3216343527515002, 'baseline'), ({(5908, 1, 4050)}, 1.3202505712707509, 'baseline')]",1,[37347],10.466581,[-2.7704666],"[(5908, 1, 4050)]",-2.7704666,37347.0,"(4050, 1, 5908)",1
"[({(32512, 1, 496)}, 0.5260096024480551, 'baseline'), ({(32512, 1, 496)}, 0.43568901439256985, 'baseline'), ({(32512, 1, 496)}, 0.4225502432010511, 'baseline'), ({(32512, 1, 496)}, 0.41822819118851934, 'baseline'), ({(32512, 1, 496)}, 0.4120998799861598, 'baseline'), ({(32512, 1, 496)}, 0.4071064412443988, 'baseline'), ({(32512, 1, 496)}, 0.3933544574842377, 'baseline'), ({(32512, 1, 496)}, 0.38483242369446713, 'baseline'), ({(32512, 1, 496)}, 0.38361076691987506, 'baseline'), ({(32512, 1, 496)}, 0.38004783963314687, 'baseline')]",1,[26772],9.354602,[-0.8406221],"[(32512, 1, 496)]",-0.8406221,26772.0,"(496, 1, 32512)",1
"[({(3795, 1, 9372), (1508, 1, 9372), (9372, 1, 3795)}, 2.785243216997521, 'baseline'), ({(3795, 1, 9372), (1508, 1, 9372), (9372, 1, 3795)}, 2.4431191849769545, 'baseline'), ({(3795, 1, 9372), (1508, 1, 9372), (9372, 1, 3795)}, 2.4188100240105834, 'baseline'), ({(3795, 1, 9372), (1508, 1, 9372), (9372, 1, 3795)}, 2.300350309991729, 'baseline'), ({(3795, 1, 9372), (1508, 1, 9372), (9372, 1, 3795)}, 2.2687550768831173, 'baseline'), ({(1508, 1, 9372), (9372, 1, 3795)}, 1.4784832662242153, 'baseline'), ({(1508, 1, 9372), (9372, 1, 3795)}, 1.4013233815884805, 'baseline'), ({(1508, 1, 9372), (9372, 1, 3795)}, 1.359067978320405, 'baseline'), ({(1508, 1, 9372), (9372, 1, 3795)}, 1.2854481332534218, 'baseline'), ({(1508, 1, 9372), (9372, 1, 3795)}, 1.2793694129899245, 'baseline')]",4,[5546],9.9936285,[-0.4113964],"[(3795, 9, 1508), (3795, 1, 9372), (1508, 1, 9372), (9372, 1, 3795)]",-0.4113964,5546.0,"(9372, 1, 1508)",1
"[({(5336, 1, 11686), (11686, 1, 26261), (11686, 0, 16301)}, 0.8171024793218914, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261), (11686, 1, 1528)}, 0.7978697290439689, 'baseline'), ({(5336, 1, 11686), (26261, 1, 11686), (11686, 1, 26261)}, 0.7772427068635792, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261), (1528, 1, 11686)}, 0.7208261944136647, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261), (11686, 1, 1528)}, 0.7204361415785304, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261)}, 0.5945959527820386, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261)}, 0.5862665611887765, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261)}, 0.5542059376057471, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261)}, 0.5216036270882713, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261)}, 0.4815493053617813, 'baseline')]",10,[166],9.1733055,[1.589402],"[(11686, 1, 26261), (2296, 1, 1528), (5336, 1, 11686), (5336, 0, 16668), (2296, 1, 5336), (11686, 0, 16301), (16668, 1, 16301), (26261, 1, 11686), (26261, 0, 16668), (11686, 1, 1528)]",1.589402,166.0,"(11686, 1, 5336)",1
"[({(36078, 0, 28742), (7833, 1, 36078)}, 11.579272807845422, 'baseline'), ({(7833, 1, 36078)}, 3.575577159625674, 'baseline'), ({(36078, 0, 28742)}, -0.3159160203917455, 'baseline')]",4,[37908],10.850468,[-3.6447632],"[(7833, 1, 36078), (36078, 0, 28742), (28742, 1, 15054), (7833, 9, 15054)]",-3.6447632,37908.0,"(36078, 1, 7833)",1
"[({(15125, 1, 2869)}, 3.648933338172059, 'baseline'), ({(15125, 1, 2869)}, 3.642891332574738, 'baseline'), ({(15125, 1, 2869)}, 3.635992926938388, 'baseline'), ({(15125, 1, 2869)}, 3.3355601463066633, 'baseline'), ({(15125, 1, 2869)}, 3.334146800579094, 'baseline'), ({(15125, 1, 2869)}, 3.330013097915336, 'baseline'), ({(15125, 1, 2869)}, 2.438665048718262, 'baseline'), ({(15125, 1, 2869)}, 2.3993049978478296, 'baseline'), ({(15125, 1, 2869)}, 2.3374067598110453, 'baseline')]",1,[31506],8.738957,[-1.7353938],"[(15125, 1, 2869)]",-1.7353938,31506.0,"(2869, 1, 15125)",1
"[({(29197, 1, 4359)}, 2.1869231372557123, 'baseline'), ({(29197, 1, 4359)}, 2.0766974505398146, 'baseline'), ({(29197, 1, 4359)}, 2.03328428496409, 'baseline'), ({(29197, 1, 4359)}, 1.9668494199582787, 'baseline'), ({(29197, 1, 4359)}, 1.94828424074403, 'baseline'), ({(29197, 1, 4359)}, 1.9218898717462192, 'baseline'), ({(29197, 1, 4359)}, 1.88518819015579, 'baseline'), ({(29197, 1, 4359)}, 1.8192206261858481, 'baseline'), ({(29197, 1, 4359)}, 1.801412664668181, 'baseline'), ({(29197, 1, 4359)}, 1.7344880887822633, 'baseline')]",1,[9158],8.654919,[-0.5409558],"[(29197, 1, 4359)]",-0.5409558,9158.0,"(4359, 1, 29197)",1
"[({(38840, 1, 26984)}, 5.263678117376383, 'baseline'), ({(38840, 1, 26984)}, 3.303526217310419, 'baseline'), ({(38840, 1, 26984)}, 1.5495072103042486, 'baseline'), ({(38840, 1, 26984)}, 1.5488005376086103, 'baseline'), ({(38840, 1, 26984)}, 1.520726271837957, 'baseline'), ({(38840, 1, 26984)}, 1.4554472621474108, 'baseline'), ({(38840, 1, 26984)}, 1.453667705800619, 'baseline'), ({(38840, 1, 26984)}, 1.3531189577773053, 'baseline')]",1,[30050],9.220281,[-1.836469],"[(38840, 1, 26984)]",-1.836469,30050.0,"(26984, 1, 38840)",1
"[({(14768, 0, 21985)}, 3.994757738712508, 'baseline'), ({(14768, 0, 21985)}, 1.5866385215316816, 'baseline')]",3,[22268],7.281294,[0.24401303],"[(21984, 0, 21985), (14768, 0, 21985), (21984, 6, 24252)]",0.24401303,22268.0,"(14768, 6, 24252)",1
"[({(2035, 1, 3839), (2035, 1, 23638), (8589, 1, 2035)}, 0.6291199171532056, 'baseline'), ({(2035, 1, 3839), (3839, 1, 2035), (2035, 1, 23638)}, 0.23803619626421305, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638), (23638, 1, 2035)}, 0.1633911535707448, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638), (647, 0, 2035)}, 0.10885051926066584, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638)}, 0.08483604622620029, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638)}, 0.05389885138182219, 'baseline'), ({(2035, 1, 3839), (25494, 0, 2035), (2035, 1, 23638)}, 0.02931694215633813, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638)}, 0.010783235499544968, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638)}, 0.009400407751637056, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638)}, -0.025279958785058513, 'baseline')]",9,[18],8.747489,[1.9660836],"[(23638, 1, 647), (1896, 1, 3839), (3839, 1, 2035), (1896, 1, 8589), (23638, 1, 2035), (2035, 1, 23638), (8589, 1, 647), (8589, 1, 2035), (2035, 1, 3839)]",1.9660836,18.0,"(2035, 1, 8589)",1
"[({(8774, 1, 16865)}, 4.082934993221134, 'baseline'), ({(16865, 5, 212), (8774, 1, 16865)}, 3.991396511692028, 'baseline'), ({(8774, 1, 16865)}, 2.5834962468327554, 'baseline'), ({(16865, 5, 212)}, -0.3287257737032978, 'baseline')]",4,[10070],10.44133,[-1.6008582],"[(8775, 1, 8774), (16865, 5, 212), (8774, 1, 16865), (8775, 5, 212)]",-1.6008582,10070.0,"(16865, 1, 8774)",1
"[({(15249, 1, 26185)}, 11.325535632022063, 'baseline'), ({(15249, 1, 26185)}, 5.114180819038805, 'baseline')]",1,[29592],11.001265,[-3.0773137],"[(15249, 1, 26185)]",-3.0773137,29592.0,"(26185, 1, 15249)",1
"[({(7708, 1, 9498), (7707, 1, 7708), (9498, 1, 7708)}, 10.323369156936344, 'baseline'), ({(7708, 1, 9498), (7707, 1, 7708)}, 2.658598586424096, 'baseline'), ({(7707, 1, 7708)}, 2.6563350401678356, 'baseline'), ({(7707, 1, 7708), (9498, 1, 7708)}, 2.6535846430669263, 'baseline'), ({(7708, 1, 9498)}, -0.6052264729779118, 'baseline'), ({(9498, 1, 7708)}, -0.6072835484407295, 'baseline'), ({(7708, 1, 9498), (9498, 1, 7708)}, -1.3942059842704575, 'baseline')]",4,[10715],8.797766,[-2.1026137],"[(7708, 1, 9498), (7707, 1, 7708), (9498, 1, 7707), (9498, 1, 7708)]",-2.1026137,10715.0,"(7708, 1, 7707)",1
"[({(32885, 1, 37429)}, 4.775011790980614, 'baseline')]",1,[28848],10.5282135,[-2.612996],"[(32885, 1, 37429)]",-2.612996,28848.0,"(37429, 1, 32885)",1
"[({(10722, 1, 5826)}, 6.331197179697321, 'baseline'), ({(10722, 1, 5826)}, 3.5930608771176256, 'baseline'), ({(10722, 1, 5826)}, 3.537588960516721, 'baseline'), ({(10722, 1, 5826)}, 3.5326513098092716, 'baseline'), ({(10722, 1, 5826)}, 3.4190085807923745, 'baseline')]",1,[5336],9.052063,[-0.83856374],"[(10722, 1, 5826)]",-0.83856374,5336.0,"(5826, 1, 10722)",1
"[({(21524, 1, 20692)}, 2.7857415119529465, 'baseline'), ({(21524, 1, 20692), (20692, 1, 1062)}, 1.9811182960545486, 'baseline'), ({(21524, 1, 20692), (20692, 1, 1062)}, 1.7126866159906446, 'baseline'), ({(21524, 1, 20692), (20692, 1, 1062)}, 1.6389437456208824, 'baseline'), ({(21524, 1, 20692), (20692, 1, 1062)}, 1.2440834620997034, 'baseline'), ({(21524, 1, 20692), (20692, 1, 1062)}, 1.130155617506503, 'baseline'), ({(21524, 1, 20692), (20692, 1, 1062)}, 0.9712629820068328, 'baseline'), ({(21524, 1, 20692), (20692, 1, 1062)}, 0.6366625274382279, 'baseline'), ({(20692, 1, 1062)}, 0.011957208607915293, 'baseline'), ({(20692, 1, 1062)}, -0.11296649733340518, 'baseline')]",3,[39155],9.7515745,[-3.1811166],"[(21524, 0, 1062), (21524, 1, 20692), (20692, 1, 1062)]",-3.1811166,39155.0,"(20692, 1, 21524)",1
"[({(31140, 1, 25999)}, 3.276004599432599, 'baseline')]",1,[22805],9.611744,[-2.2562585],"[(31140, 1, 25999)]",-2.2562585,22805.0,"(25999, 1, 31140)",1
"[({(15849, 1, 22500)}, 5.152828534354646, 'baseline'), ({(15849, 1, 22500)}, 2.5711671438708463, 'baseline'), ({(15849, 1, 22500)}, 2.203887097502802, 'baseline'), ({(15849, 1, 22500)}, 1.8112698429386307, 'baseline'), ({(15849, 1, 22500)}, 1.4385758091195973, 'baseline'), ({(15849, 1, 22500)}, 1.299219190851166, 'baseline')]",1,[15647],8.751211,[-1.332829],"[(15849, 1, 22500)]",-1.332829,15647.0,"(22500, 1, 15849)",1
"[({(21810, 4, 21811)}, 7.867651377240566, 'baseline')]",3,[16],7.6046906,[1.8439777],"[(21810, 4, 3388), (21810, 4, 21811), (3388, 0, 278)]",1.8439777,16.0,"(21811, 0, 278)",1
"[({(4170, 6, 33440)}, 5.400144429037235, 'baseline')]",3,[3],7.4783945,[5.367363],"[(4170, 6, 20535), (4170, 6, 33440), (20535, 2, 121)]",5.367363,3.0,"(33440, 2, 121)",1
"[({(14576, 1, 904), (904, 1, 14576)}, 1.0570540950390304, 'baseline'), ({(14576, 1, 904), (904, 1, 14576)}, 0.7683344349198742, 'baseline'), ({(22518, 0, 14576)}, 0.2702331950166484, 'baseline'), ({(904, 1, 14576)}, 0.22068170779807403, 'baseline'), ({(14576, 1, 904)}, 0.21687607041463866, 'baseline'), ({(904, 1, 14576)}, 0.16658024049493536, 'baseline'), ({(14576, 1, 904)}, 0.16641000961316105, 'baseline'), ({(14576, 1, 1156), (14576, 1, 904)}, 0.032357255896104206, 'baseline'), ({(1156, 1, 14576), (904, 1, 14576)}, 0.03026441760590767, 'baseline')]",6,[9],5.459032,[3.9721322],"[(14576, 1, 904), (22518, 5, 2971), (904, 1, 14576), (24018, 0, 904), (22518, 0, 14576), (24018, 5, 2971)]",3.9721322,9.0,"(14576, 5, 2971)",1
"[({(28697, 1, 12905), (5832, 1, 12905), (12904, 1, 12905), (12905, 1, 28697)}, 1.7628012503841732, 'baseline'), ({(28697, 1, 12905), (12905, 1, 28697), (5832, 1, 12905), (12905, 1, 12904)}, 1.7503081160858767, 'baseline'), ({(28697, 1, 12905), (5832, 1, 12905), (12905, 1, 28697)}, 1.4563780483036899, 'baseline'), ({(12905, 1, 28697), (5832, 1, 12905), (12904, 1, 12905), (12905, 1, 12904)}, 1.408211771378821, 'baseline'), ({(28697, 1, 12905), (5832, 1, 12905), (12904, 1, 12905), (12905, 1, 12904)}, 1.4077292121654956, 'baseline'), ({(5832, 1, 12905), (12904, 1, 12905), (12905, 1, 12904)}, 1.1364231653606909, 'baseline'), ({(12905, 1, 28697), (5832, 1, 12905), (12905, 1, 12904)}, 1.0313787976239597, 'baseline'), ({(12905, 1, 28697), (5832, 1, 12905), (12905, 1, 12904)}, 0.4720840877079006, 'baseline'), ({(28697, 1, 12905), (12905, 1, 12904), (12905, 1, 28697)}, -0.14275928289450207, 'baseline'), ({(12905, 1, 12904), (12905, 1, 28697)}, -0.16253181244903428, 'baseline')]",8,[25970],9.152345,[-2.9255016],"[(12905, 1, 12904), (12904, 1, 1757), (1757, 1, 5832), (5832, 1, 12905), (12905, 1, 28697), (28697, 1, 12905), (28697, 1, 1757), (12904, 1, 12905)]",-2.9255016,25970.0,"(12905, 1, 5832)",1
"[({(17819, 1, 17820), (653, 1, 17819), (17820, 1, 17819)}, 5.9767710270176435, 'baseline'), ({(17819, 1, 17820), (653, 1, 17819)}, 1.1428175517757795, 'baseline'), ({(17820, 1, 17819), (653, 1, 17819)}, 1.1372290201240223, 'baseline'), ({(653, 1, 17819)}, 1.0470448060243382, 'baseline'), ({(653, 1, 17819)}, 0.911924411058881, 'baseline'), ({(17819, 1, 17820), (17820, 1, 17819)}, 0.07056621739322738, 'baseline'), ({(17819, 1, 17820)}, -0.07462592889564706, 'baseline'), ({(17820, 1, 17819)}, -0.10169311327568502, 'baseline'), ({(17819, 1, 17820)}, -0.5461415814096723, 'baseline')]",5,[29208],9.249761,[-2.4977384],"[(653, 1, 17819), (17820, 1, 17819), (17820, 0, 12901), (653, 0, 12901), (17819, 1, 17820)]",-2.4977384,29208.0,"(17819, 1, 653)",1
"[({(17014, 2, 909)}, 6.876429727617267, 'baseline')]",3,[12],7.138199,[3.2184927],"[(17219, 2, 909), (17219, 2, 3167), (17014, 2, 909)]",3.2184927,12.0,"(17014, 2, 3167)",1
