new_scores,original_score,new_ranks,#facts,prediction,new_score,original_rank,facts,new_rank
"[2.7910113, 2.5714676]",8.543635,"[1, 1]",3,"(11375, 120, 791)",2.6812396,1,"[(12925, 111, 11375), (3554, 15, 11375), (12145, 111, 11375)]",1.0
"[1.4132713, 1.5221362]",9.869648,"[1, 1]",3,"(1716, 25, 62)",1.4677038,1,"[(354, 20, 1716), (1546, 92, 1716), (1756, 92, 1716)]",1.0
"[0.5550157, 0.51964927]",5.6099863,"[3, 2]",3,"(9418, 66, 592)",0.5373325,6,"[(9418, 48, 32), (9418, 6, 7398), (9418, 6, 4971)]",2.5
"[0.24684371, 0.31023052]",5.009362,"[6, 10]",3,"(3027, 106, 1652)",0.27853712,30,"[(3027, 13, 816), (3027, 31, 136), (3027, 28, 32)]",8.0
"[6.9377937, 6.6902294]",8.832844,"[8, 3]",10,"(12150, 154, 2438)",6.8140116,1,"[(32, 87, 12150), (582, 15, 12150), (7673, 58, 12150), (7285, 58, 12150), (582, 15, 12150), (7673, 58, 12150), (12150, 120, 791), (7673, 58, 12150), (12150, 58, 7285), (7285, 58, 12150)]",5.5
"[0.4356025, 0.7530992]",3.1848176,"[1, 1]",3,"(3683, 172, 1978)",0.5943508,1,"[(3683, 113, 5770), (3683, 101, 6476), (3683, 22, 9167)]",1.0
"[0.2986268, 0.468071]",2.8549852,"[1, 4]",3,"(688, 35, 3840)",0.3833489,2,"[(688, 64, 4461), (688, 35, 1577), (688, 64, 3282)]",2.5
"[0.32577753, 0.75049424]",5.5344553,"[1, 2]",3,"(5017, 14, 160)",0.5381359,4,"[(5017, 26, 64), (5017, 31, 1314), (2694, 6, 5017)]",1.5
"[0.5010608, 0.5069901]",3.6906297,"[6, 12]",3,"(9148, 74, 1769)",0.50402546,21,"[(9148, 31, 4), (658, 2, 9148), (9148, 116, 3754)]",9.0
"[0.6614258, 0.24469139]",3.8340824,"[7, 4]",3,"(10459, 26, 1098)",0.4530586,2,"[(10459, 31, 136), (10459, 74, 524), (4531, 32, 10459)]",5.5
"[2.1577115, 1.9874713]",9.888962,"[1, 1]",3,"(6847, 25, 62)",2.0725913,1,"[(6847, 22, 7278), (6847, 61, 224), (6847, 22, 7194)]",1.0
"[1.2453994, 1.3608835]",8.882477,"[1, 1]",3,"(6298, 25, 62)",1.3031414,1,"[(1267, 164, 6298), (6298, 60, 90), (9995, 77, 6298)]",1.0
"[0.32987362, 0.55987984]",3.2678545,"[5, 1]",3,"(5672, 26, 64)",0.44487673,1,"[(5672, 84, 5506), (658, 2, 5672), (4974, 6, 5672)]",3.0
"[0.9395682, 0.69372857]",5.255939,"[2, 1]",3,"(11754, 85, 434)",0.81664836,1,"[(3387, 215, 11754), (1857, 47, 11754), (11754, 17, 862)]",1.5
"[0.4632492, 0.43760172]",11.156679,"[2, 2]",3,"(2145, 43, 141)",0.45042545,2,"[(1010, 8, 2145), (5981, 3, 2145), (2145, 3, 4933)]",2.0
"[0.9129624, 0.5606484]",3.7750387,"[1, 3]",3,"(3120, 148, 3021)",0.7368054,1,"[(3120, 148, 1922), (3120, 148, 4599), (3120, 25, 62)]",2.0
"[1.3729658, 1.3479433]",11.078495,"[1, 1]",3,"(9475, 25, 62)",1.3604546,1,"[(2567, 20, 9475), (14069, 20, 9475), (13270, 20, 9475)]",1.0
"[0.3634752, 0.33123744]",5.5329022,"[1, 1]",3,"(5649, 48, 32)",0.34735632,1,"[(5649, 8, 558), (5649, 8, 1662), (5649, 77, 386)]",1.0
"[5.626973, 6.010058]",12.986469,"[1, 1]",4,"(13632, 25, 62)",5.818516,1,"[(13632, 199, 9277), (13632, 46, 9740), (13632, 199, 9277), (13632, 83, 9277)]",1.0
"[2.3749323, 2.409192]",9.799974,"[1, 1]",3,"(11272, 25, 62)",2.3920622,1,"[(4896, 15, 11272), (11272, 101, 2371), (11272, 83, 4896)]",1.0
"[1.3854254, 0.572036]",5.5377464,"[1, 1]",3,"(8386, 85, 434)",0.97873074,1,"[(9280, 1, 8386), (3929, 71, 8386), (8386, 192, 9291)]",1.0
