prediction,new_scores,new_ranks,facts,new_score,new_rank,#facts,original_score,original_rank
"(7125, 11, 8038)","[2.7295735, 3.8899019]","[1, 1]","[(7125, 3, 39), (7125, 3, 220), (7125, 2, 31)]",3.3097377,1.0,3,4.0142155,12
"(6853, 10, 7830)","[2.8265965, 2.9700034]","[1, 1]","[(6853, 2, 3219), (6853, 3, 6198), (6853, 4, 906)]",2.8983,1.0,3,4.188182,5
"(4799, 8, 7566)","[2.378642, 2.6859183]","[6, 5]","[(4799, 3, 4812), (4799, 3, 162), (4799, 3, 4812), (4799, 3, 254), (4799, 2, 4801), (4799, 3, 1595), (4799, 3, 4812)]",2.5322802,5.5,7,5.118734,2
"(6320, 8, 7410)","[2.0343266, 2.5439088]","[1, 1]","[(6320, 3, 1477), (6320, 3, 479), (6320, 3, 6)]",2.2891178,1.0,3,4.6576195,4
"(6323, 10, 7830)","[2.7296414, 2.9876432]","[1, 1]","[(6323, 3, 50), (6323, 3, 1902), (6323, 2, 28)]",2.8586423,1.0,3,2.9513865,5
"(7080, 11, 7956)","[2.4012828, 3.4637265]","[1, 1]","[(7080, 3, 651), (7080, 3, 4624), (7080, 3, 1314)]",2.9325047,1.0,3,3.5308044,4
"(4870, 8, 7566)","[2.3629732, 2.575169]","[3, 3]","[(4870, 2, 1100), (4870, 3, 892), (4870, 3, 10)]",2.4690711,3.0,3,5.064227,2
"(5533, 11, 7956)","[2.410833, 3.4261193]","[1, 1]","[(5533, 2, 305), (5533, 3, 75), (5533, 3, 5545)]",2.918476,1.0,3,3.551628,2
"(6602, 10, 7830)","[2.942461, 2.9794683]","[1, 1]","[(6602, 3, 1424), (6602, 3, 772), (6602, 1, 65)]",2.9609647,1.0,3,4.149314,5
"(7499, 11, 7956)","[2.8479738, 3.5392108]","[1, 1]","[(7499, 3, 1552), (7499, 3, 279), (7499, 3, 7), (7499, 4, 485), (7499, 3, 7), (7499, 8, 7427), (7499, 2, 30), (7499, 3, 7)]",3.1935923,1.0,8,3.4054344,4
"(5305, 8, 7410)","[2.384747, 2.5953193]","[1, 3]","[(5305, 3, 175), (5305, 2, 31), (5305, 3, 5314)]",2.4900331,2.0,3,5.182078,3
"(6766, 8, 7410)","[2.1192765, 2.5419245]","[1, 1]","[(6766, 3, 1417), (6766, 3, 40), (6766, 3, 476), (6766, 3, 1417), (6766, 3, 78), (6766, 3, 1417), (6766, 3, 476)]",2.3306005,1.0,7,4.9720592,4
"(6730, 8, 7408)","[2.455586, 2.9638994]","[3, 6]","[(6730, 2, 309), (6730, 3, 10), (6730, 3, 2213)]",2.7097425,4.5,3,5.244982,1
"(7536, 12, 4492)","[4.733285, 3.6511927]","[2, 1]","[(7536, 2, 68), (7536, 8, 7393), (7536, 3, 1839)]",4.192239,1.5,3,2.8666697,5
"(6162, 8, 7427)","[2.402134, 2.5374951]","[2, 1]","[(6162, 3, 149), (6162, 3, 391), (6162, 3, 40)]",2.4698145,1.5,3,5.207631,6
"(5041, 8, 7427)","[2.1341653, 2.4552786]","[3, 1]","[(5041, 3, 346), (5041, 3, 56), (5041, 3, 10), (5041, 2, 28), (5041, 3, 56), (5041, 2, 28), (5041, 2, 28)]",2.294722,2.0,7,4.879652,11
"(6822, 11, 7869)","[2.6329703, 3.6443095]","[3, 2]","[(6822, 3, 9), (6822, 3, 10), (6822, 2, 728)]",3.13864,2.5,3,3.2896733,2
"(7769, 11, 7956)","[2.585354, 3.56248]","[1, 1]","[(7769, 3, 9), (7769, 3, 75), (7769, 3, 219)]",3.073917,1.0,3,3.0966597,3
"(7469, 11, 7956)","[2.6355324, 3.4771523]","[1, 1]","[(7469, 3, 91), (7469, 8, 7429), (7469, 3, 9)]",3.0563424,1.0,3,3.213222,5
"(5110, 8, 7410)","[2.1839347, 2.720387]","[1, 2]","[(5110, 3, 50), (5110, 3, 277), (5110, 2, 788)]",2.4521608,1.5,3,4.852529,3
"(6766, 10, 7830)","[2.794292, 3.028693]","[1, 1]","[(6766, 3, 10), (6766, 4, 66), (6766, 3, 220)]",2.9114923,1.0,3,3.4640522,5
"(7838, 11, 7956)","[2.3882108, 3.4425325]","[1, 1]","[(7838, 3, 7844), (7838, 3, 10), (7838, 3, 220)]",2.9153717,1.0,3,3.4227931,2
"(5770, 10, 7830)","[2.8980362, 3.0962265]","[1, 1]","[(5770, 3, 5779), (5770, 3, 35), (5770, 3, 5775)]",2.9971313,1.0,3,4.1098666,5
"(7236, 9, 7903)","[3.7490883, 3.5992656]","[4, 2]","[(7236, 3, 748), (7236, 3, 220), (7236, 3, 40)]",3.674177,3.0,3,2.871933,9
"(5920, 11, 7956)","[2.5201702, 3.5416093]","[1, 1]","[(5920, 3, 5928), (5920, 3, 10), (5920, 3, 593)]",3.0308897,1.0,3,3.3415859,3
"(6492, 8, 7429)","[2.070429, 2.5528774]","[1, 1]","[(6492, 3, 3448), (6492, 2, 68), (6492, 3, 3448), (6492, 2, 68)]",2.3116531,1.0,4,5.1737347,1
"(6300, 11, 7869)","[2.6556745, 3.8002317]","[3, 1]","[(6300, 1, 168), (6300, 2, 68), (6300, 3, 6304)]",3.227953,2.0,3,3.1339943,2
"(5067, 11, 7956)","[2.6026723, 3.5985339]","[1, 1]","[(5067, 3, 10), (5067, 3, 1074), (5067, 3, 1074), (5067, 3, 4064)]",3.100603,1.0,4,3.9591098,2
"(5781, 8, 7410)","[2.3368568, 2.661894]","[1, 3]","[(5781, 3, 772), (5781, 3, 5790), (5781, 3, 1842)]",2.4993753,2.0,3,5.775256,3
"(4870, 8, 7408)","[2.31659, 2.6377535]","[2, 3]","[(4870, 3, 3987), (4870, 2, 1100), (4870, 3, 20)]",2.477172,2.5,3,5.1319237,2
"(6373, 10, 7830)","[2.8375878, 3.2861333]","[1, 1]","[(6373, 2, 68), (6373, 3, 78), (6373, 2, 31), (6373, 3, 78), (6373, 3, 78), (6373, 3, 10)]",3.0618606,1.0,6,4.1042304,5
"(5107, 11, 7869)","[2.824147, 3.9519792]","[3, 2]","[(5107, 3, 1061), (5107, 3, 6), (5107, 3, 506)]",3.388063,2.5,3,3.9894578,4
"(7628, 12, 4492)","[4.6574802, 3.5655687]","[1, 1]","[(7628, 3, 38), (7628, 3, 40), (7628, 3, 20)]",4.1115246,1.0,3,2.7237372,3
"(7201, 10, 7830)","[2.7905102, 2.9434152]","[1, 1]","[(7201, 3, 1266), (7201, 3, 88), (7201, 2, 4111)]",2.8669627,1.0,3,2.8545017,4
"(6983, 11, 7956)","[2.3659334, 3.4571288]","[1, 1]","[(6983, 3, 6994), (6983, 3, 1289), (6983, 2, 31)]",2.911531,1.0,3,2.8960073,2
"(5558, 11, 7956)","[2.9667256, 3.923934]","[1, 1]","[(5558, 2, 2083), (5558, 3, 5561), (5558, 3, 9)]",3.4453297,1.0,3,4.1423807,5
"(4870, 8, 7410)","[2.2829351, 2.5288877]","[1, 3]","[(4870, 3, 10), (4870, 1, 864), (4870, 2, 172), (4870, 3, 10), (4870, 1, 864), (4870, 3, 1101), (4870, 1, 864)]",2.4059114,2.0,7,5.1274643,2
"(5073, 11, 7956)","[2.4876657, 3.5914001]","[1, 1]","[(5073, 3, 1335), (5073, 3, 418), (5073, 3, 91)]",3.039533,1.0,3,3.7088525,5
"(7125, 10, 7830)","[2.9720283, 3.2180343]","[1, 1]","[(7125, 3, 479), (7125, 3, 219), (7125, 3, 0)]",3.0950313,1.0,3,4.007418,5
"(5269, 10, 7830)","[2.9444435, 3.0781565]","[1, 1]","[(5269, 3, 506), (5269, 3, 34), (5269, 3, 1966)]",3.0113,1.0,3,3.974818,5
"(6383, 10, 7830)","[2.7657356, 3.0093637]","[1, 1]","[(6383, 3, 40), (6383, 2, 728), (6383, 3, 733)]",2.8875496,1.0,3,2.8969355,4
"(5380, 10, 7830)","[2.6861806, 2.921897]","[1, 1]","[(5380, 3, 2508), (5380, 3, 0), (5380, 3, 732)]",2.8040388,1.0,3,2.6694508,2
"(5620, 8, 7410)","[2.0801506, 2.4699516]","[1, 1]","[(5620, 3, 277), (5620, 3, 39), (5620, 3, 386), (5620, 3, 39), (5620, 3, 277)]",2.275051,1.0,5,4.018502,1
"(6812, 11, 7869)","[2.907938, 3.8426464]","[3, 2]","[(6812, 3, 519), (6812, 3, 694), (6812, 3, 294)]",3.3752923,2.5,3,3.5179758,3
"(6115, 8, 7566)","[2.2023716, 2.580812]","[6, 5]","[(6115, 3, 1074), (6115, 2, 209), (6115, 3, 6126)]",2.3915918,5.5,3,4.404839,1
"(4952, 8, 7410)","[2.1303732, 2.5929277]","[1, 1]","[(4952, 2, 30), (4952, 3, 42), (4952, 3, 880)]",2.3616505,1.0,3,5.8348927,2
"(6966, 10, 8697)","[4.503148, 4.9298053]","[1, 1]","[(6966, 2, 68), (6966, 3, 891), (6966, 3, 7)]",4.7164764,1.0,3,3.447898,4
"(5279, 8, 7429)","[2.3471336, 2.5323863]","[1, 1]","[(5279, 3, 2758), (5279, 3, 5284), (5279, 3, 2138)]",2.43976,1.0,3,4.3664303,1
"(6619, 8, 7410)","[2.2304745, 2.5551918]","[1, 4]","[(6619, 3, 1872), (6619, 3, 613), (6619, 3, 2031)]",2.3928332,2.5,3,4.519601,3
"(5498, 10, 7830)","[2.731732, 3.0255294]","[1, 1]","[(5498, 3, 185), (5498, 4, 66), (5498, 3, 75)]",2.8786306,1.0,3,3.2503138,5
"(5586, 12, 4492)","[4.688718, 3.5816946]","[2, 1]","[(5586, 3, 88), (5586, 3, 2417), (5586, 1, 65)]",4.135206,1.5,3,3.338922,2
"(7335, 8, 7429)","[2.1632206, 2.4943259]","[1, 1]","[(7335, 3, 7346), (7335, 3, 6183), (7335, 3, 7346), (7335, 3, 6183)]",2.3287733,1.0,4,5.230544,7
"(5645, 10, 7830)","[2.8084505, 3.1159852]","[1, 1]","[(5645, 3, 1200), (5645, 2, 30), (5645, 1, 65)]",2.9622178,1.0,3,3.5500622,5
"(7058, 8, 7566)","[2.3654017, 2.7451358]","[6, 5]","[(7058, 2, 132), (7058, 3, 58), (7058, 3, 433)]",2.5552688,5.5,3,5.7202277,1
"(6914, 11, 7869)","[2.6255322, 3.840558]","[3, 2]","[(6914, 3, 35), (6914, 3, 55), (6914, 3, 38)]",3.233045,2.5,3,3.5952108,3
"(6492, 8, 7410)","[2.0642617, 2.5750594]","[1, 2]","[(6492, 3, 6493), (6492, 3, 6), (6492, 3, 2697)]",2.3196607,1.5,3,5.323513,4
"(6587, 9, 8151)","[3.7646983, 3.8195195]","[5, 4]","[(6587, 3, 78), (6587, 2, 31), (6587, 3, 5524)]",3.792109,4.5,3,3.5309901,36
"(5717, 10, 7830)","[2.7647493, 2.992008]","[1, 1]","[(5717, 3, 192), (5717, 3, 1243), (5717, 2, 2011)]",2.8783786,1.0,3,3.39451,5
"(5498, 8, 7429)","[2.0784292, 2.49063]","[1, 1]","[(5498, 3, 243), (5498, 3, 731), (5498, 3, 1024), (5498, 3, 78), (5498, 3, 243), (5498, 3, 1024), (5498, 3, 243), (5498, 3, 731)]",2.2845297,1.0,8,4.6961765,1
"(6195, 8, 7566)","[2.2978005, 2.6031957]","[7, 6]","[(6195, 3, 39), (6195, 3, 4768), (6195, 3, 39), (6195, 3, 1019)]",2.450498,6.5,4,5.671821,3
"(4952, 8, 7567)","[2.2969694, 2.844871]","[4, 4]","[(4952, 3, 706), (4952, 3, 175), (4952, 3, 175), (4952, 3, 706)]",2.5709202,4.0,4,5.7716856,2
"(7655, 10, 7830)","[2.9721434, 3.0340438]","[1, 1]","[(7655, 3, 476), (7655, 3, 2132), (7655, 3, 7660), (7655, 3, 7660), (7655, 3, 220), (7655, 2, 31), (7655, 3, 7660)]",3.0030937,1.0,7,3.4012923,5
"(6812, 8, 7410)","[2.2590258, 2.641533]","[1, 4]","[(6812, 3, 6661), (6812, 3, 6209), (6812, 3, 6814)]",2.4502792,2.5,3,5.3270907,3
"(5756, 8, 7408)","[2.4690707, 2.9132366]","[1, 7]","[(5756, 3, 462), (5756, 2, 31), (5756, 3, 5054)]",2.6911535,4.0,3,5.3250837,2
"(7788, 10, 7830)","[2.6576152, 2.844844]","[1, 1]","[(7788, 3, 9), (7788, 3, 220), (7788, 8, 7429)]",2.7512298,1.0,3,2.5668676,3
"(5920, 10, 7830)","[2.813782, 3.048994]","[1, 1]","[(5920, 3, 593), (5920, 3, 6), (5920, 3, 748)]",2.931388,1.0,3,3.567545,5
"(7107, 11, 7869)","[2.5704987, 3.6537313]","[3, 1]","[(7107, 3, 40), (7107, 2, 68), (7107, 3, 34)]",3.112115,2.0,3,2.672183,1
