new_ranks,original_rank,original_score,prediction,facts,new_rank,new_score,#facts,new_scores
"[1, 1]",1,1.701146,"(9620, 0, 3716)","[(21261, 1, 9620), (12662, 1, 9620), (9620, 1, 12662)]",1.0,0.7541381,3,"[0.75312555, 0.7551506]"
"[421, 275]",1,2.045721,"(21026, 0, 306)","[(21026, 1, 34418), (21026, 1, 9857), (21026, 6, 23219)]",348.0,1.8166838,3,"[1.8402991, 1.7930685]"
"[6712, 9391]",1,1.6250241,"(35194, 0, 1027)","[(35194, 4, 35195), (35194, 4, 14146)]",8051.5,4.75288,2,"[4.557683, 4.9480777]"
"[7, 1]",1,1.6729352,"(23212, 0, 2918)","[(13209, 1, 23212), (23212, 9, 1122), (1123, 0, 23212)]",4.0,1.6951493,3,"[1.7267997, 1.6634989]"
"[15548, 8314]",1,0.9429634,"(22017, 0, 883)","[(22016, 4, 22017)]",11931.0,5.1393003,1,"[4.837309, 5.4412913]"
"[1734, 3659]",1,1.5084891,"(40030, 0, 184)","[(1038, 4, 40030)]",2696.5,4.9344034,1,"[4.6610165, 5.2077904]"
"[404, 140]",1,2.3381553,"(14768, 6, 24252)","[(14768, 6, 14769), (15788, 6, 14768), (14768, 0, 21985)]",272.0,5.109224,3,"[5.372814, 4.8456335]"
"[1, 1]",1,0.8107544,"(7324, 2, 12273)","[(4808, 6, 7324), (7324, 6, 26524), (7324, 6, 12734)]",1.0,0.9029173,3,"[0.92217016, 0.8836645]"
"[1017, 132]",1,1.4777615,"(31393, 0, 292)","[(1864, 4, 31393)]",574.5,5.0665865,1,"[5.2922826, 4.8408904]"
"[16424, 787]",1,1.168735,"(3395, 0, 184)","[(3395, 4, 3396), (1038, 4, 3395)]",8605.5,5.161474,2,"[5.2878833, 5.0350647]"
"[108, 36]",1,2.3237505,"(78, 5, 172)","[(78, 0, 79)]",72.0,5.5004663,1,"[5.5164623, 5.4844704]"
"[1641, 738]",1,1.1613934,"(16074, 0, 18268)","[(18847, 6, 16074), (16074, 5, 10754)]",1189.5,5.0292263,2,"[4.733296, 5.3251567]"
"[69, 6]",1,0.55414593,"(34189, 2, 916)","[(1914, 6, 34189), (34189, 2, 121)]",37.5,4.4647045,2,"[4.376791, 4.552618]"
"[1, 3]",1,1.4543347,"(3034, 2, 1137)","[(3033, 8, 3034), (3034, 5, 774)]",2.0,5.368475,2,"[4.978897, 5.758053]"
"[6815, 686]",1,2.947596,"(33413, 0, 292)","[(33413, 4, 27450)]",3750.5,5.3962207,1,"[5.4167624, 5.375679]"
"[1, 1]",1,0.86834943,"(22133, 0, 1730)","[(10222, 4, 22133), (22133, 4, 36654), (22133, 4, 23643)]",1.0,1.2887998,3,"[1.2638605, 1.3137391]"
