prediction,facts,exp,exp_length,original_score,original_rank,new_scores,new_ranks,new_score,new_rank
"(7788, 11, 7956)","[({(7788, 3, 1321), (7788, 9, 7790), (7788, 3, 40), (7788, 4, 66)}, 0.8676944855105416, 'baseline'), ({(7788, 3, 37), (7788, 3, 1321), (7788, 3, 40), (7788, 4, 66)}, 0.8475063919315922, 'baseline'), ({(7788, 3, 1321), (7788, 3, 220), (7788, 4, 66)}, 0.8035039773555517, 'baseline'), ({(7788, 3, 1239), (7788, 3, 37), (7788, 3, 1321), (7788, 4, 66)}, 0.7379211644181494, 'baseline'), ({(7788, 3, 1239), (7788, 3, 220), (7788, 3, 40), (7788, 4, 66)}, 0.7076303219218161, 'baseline'), ({(7788, 3, 1239), (7788, 3, 40), (7788, 4, 66)}, 0.7001401636769241, 'baseline'), ({(7788, 3, 1239), (7788, 3, 2563), (7788, 3, 1321), (7788, 4, 66)}, 0.6844640822712573, 'baseline'), ({(7788, 3, 666), (7788, 3, 1321), (7788, 3, 40), (7788, 4, 66)}, 0.6332898581653714, 'baseline'), ({(7788, 3, 1321), (7788, 4, 66)}, 0.6272216283725235, 'baseline'), ({(7788, 3, 37), (7788, 3, 40), (7788, 4, 66)}, 0.6256248795281545, 'baseline')]","[(11676, 3, 37), (20775, 3, 1321), (7788, 3, 1239), (14852, 11, 7956), (7788, 3, 37), (7788, 9, 7790), (7788, 3, 40), (7788, 3, 220), (17218, 11, 7956), (23853, 3, 1239), (7788, 3, 1321), (24242, 11, 7956), (7788, 4, 66), (14852, 9, 7790), (24242, 4, 66), (17218, 3, 220), (20775, 11, 7956), (11676, 11, 7956), (22870, 11, 7956), (23853, 11, 7956), (22870, 3, 40)]",21,6.464199395850301e-05,1,[0.856917142868042],[1],0.856917142868042,1.0
"(7328, 10, 7830)","[({(7328, 3, 953), (7328, 3, 651), (7328, 1, 65), (7328, 3, 1838)}, 0.001035384646607807, 'baseline'), ({(7328, 3, 651), (7328, 1, 65), (7328, 2, 30), (7328, 3, 468)}, 0.0010353761482869508, 'baseline'), ({(7328, 3, 651), (7328, 1, 65), (7328, 2, 30), (7328, 2, 31)}, 0.001035370676765494, 'baseline'), ({(7328, 3, 7332), (7328, 1, 65), (7328, 3, 78), (7328, 3, 468)}, 0.0010353689305351629, 'baseline'), ({(7328, 3, 954), (7328, 1, 65), (7328, 2, 465)}, 0.0010353677663816107, 'baseline'), ({(7328, 3, 7333), (7328, 1, 65), (7328, 3, 78), (7328, 2, 30)}, 0.0010353664858126156, 'baseline'), ({(7328, 3, 10), (7328, 1, 65), (7328, 3, 1838), (7328, 3, 56)}, 0.00103536625298195, 'baseline'), ({(7328, 1, 65), (7328, 3, 1839), (7328, 3, 56)}, 0.0010353661365667286, 'baseline'), ({(7328, 1, 65), (7328, 2, 30), (7328, 3, 468)}, 0.0010353641575055182, 'baseline'), ({(7328, 3, 954), (7328, 1, 65), (7328, 2, 30), (7328, 3, 7333)}, 0.00103512771792367, 'baseline')]","[(19769, 10, 7830), (19769, 3, 954), (24904, 3, 78), (7328, 3, 954), (25503, 10, 7830), (9116, 2, 465), (23722, 10, 7830), (7328, 3, 78), (23722, 2, 31), (7328, 1, 65), (7328, 2, 30), (7328, 3, 1838), (13361, 10, 7830), (7328, 3, 468), (25503, 3, 1838), (7328, 3, 651), (9116, 10, 7830), (7328, 3, 953), (7328, 3, 7332), (13361, 3, 953), (23722, 1, 65), (24832, 10, 7830), (7328, 2, 465), (9116, 3, 468), (25794, 10, 7830), (9116, 3, 7332), (24904, 10, 7830), (24832, 3, 651), (7328, 2, 31), (25794, 2, 30)]",30,5.031374872288552e-09,1,[0.9905656576156616],[1],0.9905656576156616,1.0
"(7125, 11, 8038)","[({(7125, 1, 65), (7125, 4, 66)}, 0.04787583925047736, 'baseline'), ({(7125, 1, 65), (7125, 4, 66), (7125, 3, 7128)}, 0.047859757160257914, 'baseline'), ({(7125, 1, 65), (7125, 3, 7126), (7125, 4, 66)}, 0.047857495953522886, 'baseline'), ({(7125, 1, 65), (7125, 4, 66), (7125, 2, 31)}, 0.04784493797358761, 'baseline'), ({(7125, 1, 65), (7125, 3, 219), (7125, 4, 66), (7125, 2, 2584)}, 0.047828382803971434, 'baseline'), ({(7125, 1, 65), (7125, 4, 66), (7125, 3, 220)}, 0.04780765526071166, 'baseline'), ({(7125, 1, 65), (7125, 3, 39), (7125, 4, 66), (7125, 3, 219)}, 0.04780519283440341, 'baseline'), ({(7125, 1, 65), (7125, 3, 39), (7125, 4, 66), (7125, 3, 7128)}, 0.047776083448666753, 'baseline'), ({(7125, 1, 65), (7125, 3, 219), (7125, 4, 66)}, 0.04776390918398923, 'baseline'), ({(7125, 1, 65), (7125, 3, 476), (7125, 4, 66)}, 0.04774488411059478, 'baseline')]","[(25545, 11, 8038), (7125, 4, 66), (24632, 3, 7128), (24904, 11, 8038), (25545, 4, 66), (20395, 3, 219), (24632, 11, 8038), (7125, 3, 219), (7125, 3, 7126), (7125, 2, 31), (19270, 2, 2584), (7125, 2, 2584), (20395, 11, 8038), (7125, 1, 65), (19270, 11, 8038), (24632, 3, 7126), (24904, 2, 31), (7125, 3, 7128), (25545, 1, 65)]",19,1.2816738490073476e-05,1,[0.30022525787353516],[1],0.30022525787353516,1.0
"(7788, 11, 8038)","[({(7788, 4, 66), (7788, 9, 7790), (7788, 3, 2560), (7788, 3, 479)}, 0.7388758520457155, 'baseline'), ({(7788, 3, 1321), (7788, 9, 7790), (7788, 4, 66)}, 0.7388478974816034, 'baseline'), ({(7788, 3, 651), (7788, 9, 7790), (7788, 4, 66)}, 0.7379198531495678, 'baseline'), ({(7788, 3, 1239), (7788, 9, 7790), (7788, 3, 2560), (7788, 4, 66)}, 0.7377660135531259, 'baseline'), ({(7788, 4, 66), (7788, 3, 2545), (7788, 9, 7790), (7788, 3, 479)}, 0.7365664700637977, 'baseline'), ({(7788, 3, 1239), (7788, 3, 2545), (7788, 9, 7790), (7788, 4, 66)}, 0.7347891787107046, 'baseline'), ({(7788, 9, 7790), (7788, 3, 2560), (7788, 4, 66)}, 0.7330103376716552, 'baseline'), ({(7788, 3, 2563), (7788, 8, 7429), (7788, 9, 7790), (7788, 4, 66)}, 0.732041046946688, 'baseline'), ({(7788, 3, 1239), (7788, 9, 7790), (7788, 4, 66)}, 0.7318766573209796, 'baseline'), ({(7788, 4, 66), (7788, 3, 1321), (7788, 9, 7790), (7788, 3, 479)}, 0.7266496875037026, 'baseline')]","[(25545, 11, 8038), (23703, 3, 2560), (7788, 3, 2545), (7788, 3, 1239), (7788, 9, 7790), (7788, 3, 2560), (17173, 11, 8038), (8038, 3, 1321), (7788, 3, 479), (24904, 11, 8038), (7788, 3, 1321), (25545, 4, 66), (7788, 4, 66), (25137, 11, 8038), (25137, 3, 2545), (17173, 9, 7790), (24904, 3, 479), (25649, 11, 8038), (25649, 3, 1239), (8038, 3, 651), (7788, 3, 651), (23703, 11, 8038)]",22,0.00025431104586459696,1,[0.684281587600708],[1],0.684281587600708,1.0
"(6105, 8, 7393)","[({(6105, 3, 220)}, 0.005605533681909184, 'baseline'), ({(6105, 3, 506), (6105, 1, 65), (6105, 2, 30), (6105, 3, 6)}, 0.00551841354382463, 'baseline'), ({(6105, 3, 506), (6105, 2, 728)}, 0.005512093598981214, 'baseline'), ({(6105, 3, 506), (6105, 2, 30), (6105, 3, 6), (6105, 3, 260)}, 0.005441744747630751, 'baseline'), ({(6105, 3, 506), (6105, 1, 65), (6105, 2, 30), (6105, 3, 220)}, 0.005330070794053712, 'baseline'), ({(6105, 3, 506), (6105, 2, 30), (6105, 2, 728)}, 0.005195217145463196, 'baseline'), ({(6105, 3, 506)}, 0.004910147730019796, 'baseline'), ({(6105, 3, 506), (6105, 2, 30), (6105, 3, 220)}, 0.004397273932243996, 'baseline'), ({(6105, 3, 506), (6105, 3, 20), (6105, 2, 30), (6105, 3, 220)}, 0.004034606694440368, 'baseline'), ({(6105, 2, 30)}, 0.0028675246839093083, 'baseline')]","[(6105, 1, 65), (15878, 3, 6), (7536, 3, 506), (15878, 2, 30), (15878, 8, 7393), (22370, 3, 260), (20749, 8, 7393), (6105, 3, 6), (6105, 3, 260), (7536, 2, 728), (7536, 8, 7393), (6105, 2, 30), (7536, 1, 65), (22370, 8, 7393), (20749, 3, 220), (6105, 3, 506), (6105, 3, 220), (6105, 2, 728)]",18,0.0003303271369077265,1,[0.15885445475578308],[6],0.15885445475578308,6.0
"(6853, 10, 7830)","[({(6853, 1, 65), (6853, 2, 30), (6853, 4, 906), (6853, 3, 780)}, 0.0006903868439765915, 'baseline'), ({(6853, 3, 1839), (6853, 4, 906), (6853, 3, 6854), (6853, 1, 65)}, 0.0006903737472515008, 'baseline'), ({(6853, 3, 5859), (6853, 2, 30), (6853, 1, 65), (6853, 3, 157)}, 0.0006903629206252591, 'baseline'), ({(6853, 3, 5859), (6853, 3, 6860), (6853, 1, 65), (6853, 3, 651)}, 0.0006903405688807797, 'baseline'), ({(6853, 2, 30), (6853, 4, 906), (6853, 1, 65)}, 0.0006903356794365818, 'baseline'), ({(6853, 4, 906), (6853, 1, 65), (6853, 3, 651)}, 0.0006903310810308274, 'baseline'), ({(6853, 1, 65), (6853, 4, 906), (6853, 3, 780), (6853, 3, 651)}, 0.0006903256095100614, 'baseline'), ({(6853, 2, 30), (6853, 4, 906), (6853, 3, 695), (6853, 1, 65)}, 0.0006903221752577993, 'baseline'), ({(6853, 3, 157), (6853, 3, 2022), (6853, 1, 65), (6853, 3, 6860)}, 0.0006903148992991737, 'baseline'), ({(6853, 1, 65), (6853, 4, 906), (6853, 3, 780), (6853, 3, 6867)}, 0.0006903078561713758, 'baseline')]","[(11521, 4, 906), (21794, 10, 7830), (6853, 3, 1839), (23722, 10, 7830), (21794, 3, 6854), (21794, 3, 6860), (6853, 3, 780), (6853, 3, 6854), (21794, 3, 157), (21794, 3, 5859), (6853, 3, 6860), (25695, 3, 780), (6853, 1, 65), (6853, 3, 5859), (6853, 3, 157), (6853, 4, 906), (6853, 3, 651), (6853, 2, 30), (25695, 10, 7830), (23722, 1, 65), (24832, 10, 7830), (24046, 3, 1839), (24046, 10, 7830), (25794, 10, 7830), (11521, 10, 7830), (24832, 3, 651), (25794, 2, 30)]",27,1.7677559416284794e-09,1,[0.947667121887207],[1],0.947667121887207,1.0
"(6427, 8, 7410)","[({(6427, 2, 312)}, 0.00896532920004288, 'baseline'), ({(6427, 3, 6224)}, 0.008145359279811313, 'baseline'), ({(6427, 3, 278)}, 0.007768063298118345, 'baseline'), ({(6427, 3, 34)}, 0.007445719043730864, 'baseline'), ({(6427, 3, 391)}, 0.006319257399728416, 'baseline'), ({(6427, 3, 40)}, 0.0062935389039520204, 'baseline'), ({(6427, 3, 2423)}, 0.005235214695212892, 'baseline'), ({(6427, 3, 1267)}, 0.004610304225043091, 'baseline'), ({(6427, 3, 6428)}, 0.0044142100572405465, 'baseline'), ({(6427, 3, 1315)}, 0.0025937100392390143, 'baseline'), ({(6427, 3, 2414)}, 0.002081470511938292, 'baseline'), ({(6427, 3, 1477)}, -0.00038260319767396625, 'baseline'), ({(6427, 2, 68)}, -0.0004861457837816617, 'baseline'), ({(6427, 3, 9)}, -0.0011250135048605828, 'baseline'), ({(6427, 3, 7)}, -0.002403678412524343, 'baseline'), ({(6427, 3, 10)}, -0.002449960497807964, 'baseline'), ({(6427, 3, 672)}, -0.007360071910266657, 'baseline'), ({(6427, 3, 6429)}, -0.01694029665573758, 'baseline'), ({(6427, 2, 29)}, -0.017826986528838958, 'baseline'), ({(6427, 3, 479)}, -0.02805022432284208, 'baseline')]","[(9668, 3, 6224), (14803, 3, 34), (16812, 8, 7410), (16724, 8, 7410), (14803, 8, 7410), (6427, 3, 278), (19214, 3, 278), (19214, 8, 7410), (6427, 2, 312), (6427, 3, 391), (6427, 3, 34), (16812, 3, 391), (6427, 3, 6224), (16724, 2, 312), (9668, 8, 7410)]",15,0.006617997772991657,1,[0.4387800693511963],[5],0.4387800693511963,5.0
"(5269, 8, 7410)","[({(5269, 3, 5275)}, 0.016520096904325397, 'baseline'), ({(5269, 3, 34)}, 0.01631455395784042, 'baseline'), ({(5269, 3, 34), (5269, 3, 46), (5269, 4, 66)}, 0.016196527451187177, 'baseline'), ({(5269, 3, 46)}, 0.016178389046917915, 'baseline'), ({(5269, 3, 34), (5269, 3, 5275), (5269, 4, 66)}, 0.016166019226623037, 'baseline'), ({(5269, 4, 66)}, 0.015844208158167252, 'baseline'), ({(5269, 4, 66), (5269, 3, 47)}, 0.015697351634134934, 'baseline'), ({(5269, 3, 34), (5269, 4, 66)}, 0.015185046880263169, 'baseline'), ({(5269, 3, 663)}, 0.0146431559250132, 'baseline'), ({(5269, 3, 34), (5269, 4, 66), (5269, 3, 663)}, 0.009337772547467732, 'baseline')]","[(5269, 3, 34), (16617, 8, 7410), (14803, 3, 34), (5269, 4, 66), (5269, 3, 46), (10431, 3, 5275), (10431, 8, 7410), (16617, 4, 66), (14803, 8, 7410), (14803, 3, 46), (5269, 3, 5275)]",11,0.0001737351849442348,1,[0.4361880421638489],[4],0.4361880421638489,4.0
"(5073, 10, 7830)","[({(5073, 3, 1336), (5073, 4, 485), (5073, 2, 1188), (5073, 3, 418)}, 1.210999877504984e-05, 'baseline'), ({(5073, 3, 1336), (5073, 4, 485), (5073, 3, 149)}, 1.2108718206546097e-05, 'baseline'), ({(5073, 3, 3766), (5073, 4, 485), (5073, 3, 731), (5073, 3, 1024)}, 1.210225715613071e-05, 'baseline'), ({(5073, 3, 176), (5073, 4, 485), (5073, 2, 31)}, 1.2091197700445592e-05, 'baseline'), ({(5073, 1, 484), (5073, 3, 149), (5073, 4, 485), (5073, 3, 1005)}, 1.2087414202487817e-05, 'baseline'), ({(5073, 4, 485), (5073, 3, 2216), (5073, 2, 31), (5073, 3, 418)}, 1.2086890333646844e-05, 'baseline'), ({(5073, 3, 3766), (5073, 4, 485), (5073, 3, 6), (5073, 3, 176)}, 1.2086715710551884e-05, 'baseline'), ({(5073, 4, 485), (5073, 3, 2216), (5073, 3, 176)}, 1.2071989172534581e-05, 'baseline'), ({(5073, 3, 176), (5073, 4, 485), (5073, 2, 68), (5073, 2, 31)}, 1.2068613128086136e-05, 'baseline'), ({(5073, 1, 484), (5073, 3, 3766), (5073, 4, 485), (5073, 2, 1188)}, 1.2053362720845872e-05, 'baseline')]","[(25743, 3, 1024), (5073, 3, 418), (25743, 10, 7830), (18264, 4, 485), (5073, 3, 1336), (5073, 2, 1188), (24615, 10, 7830), (18777, 3, 1336), (23722, 10, 7830), (5073, 3, 149), (23722, 2, 31), (24725, 3, 176), (24615, 3, 731), (22917, 3, 149), (5073, 3, 176), (24725, 10, 7830), (5073, 2, 31), (5073, 1, 484), (5073, 3, 731), (5073, 3, 1024), (24725, 3, 3766), (24615, 3, 1005), (18777, 10, 7830), (22917, 10, 7830), (5073, 4, 485), (5073, 3, 3766), (5073, 3, 1005), (18264, 10, 7830), (9644, 3, 418), (9644, 2, 1188), (23717, 10, 7830), (23717, 1, 484), (9644, 10, 7830)]",33,2.7475641761753877e-09,1,[0.9498327970504761],[1],0.9498327970504761,1.0
"(6766, 8, 7410)","[({(6766, 1, 65), (6766, 2, 30), (6766, 4, 66)}, 0.28611711772307824, 'baseline'), ({(6766, 3, 10)}, 0.2860879412470358, 'baseline'), ({(6766, 1, 65), (6766, 3, 83)}, 0.28601099164810045, 'baseline'), ({(6766, 1, 65), (6766, 3, 476)}, 0.2859812191169854, 'baseline'), ({(6766, 1, 65)}, 0.28443450834538503, 'baseline'), ({(6766, 2, 30), (6766, 4, 66)}, 0.2844159117360341, 'baseline'), ({(6766, 4, 66)}, 0.28303066995937615, 'baseline'), ({(6766, 1, 65), (6766, 3, 10)}, 0.2826693167801194, 'baseline'), ({(6766, 1, 65), (6766, 3, 10), (6766, 4, 66)}, 0.27683002853918, 'baseline'), ({(6766, 2, 30)}, 0.2761365583135107, 'baseline')]","[(6766, 3, 10), (16617, 1, 65), (16617, 8, 7410), (15878, 8, 7410), (23190, 8, 7410), (6766, 3, 476), (24904, 3, 476), (24904, 3, 10), (6766, 1, 65), (6766, 2, 30), (6766, 4, 66), (16617, 4, 66), (6766, 3, 83), (23190, 3, 83), (15878, 2, 30), (24904, 8, 7410)]",16,0.00013452144048642367,1,[0.15502624213695526],[4],0.15502624213695526,4.0
