prediction,facts,exp,exp_length,original_score,original_rank,new_scores,new_ranks,new_score,new_rank
"(8776, 1, 1347)","[({(4276, 0, 8776)}, -0.03219457438164666, 'baseline')]","[(4276, 1, 1347), (4276, 0, 8776)]",2,0.7884548306465149,1,[0.8184630870819092],[1],0.8184630870819092,1.0
"(39499, 0, 292)","[({(1864, 4, 39499)}, 0.5705938176424045, 'baseline')]","[(2148, 0, 292), (1864, 4, 39499), (1864, 4, 2148)]",3,0.6023808717727661,1,[0.00013408128870651126],[27],0.00013408128870651126,27.0
"(28640, 2, 741)","[({(193, 6, 28640)}, 0.2915313950535067, 'baseline'), ({(28640, 6, 4498)}, 0.10508197085724715, 'baseline')]","[(18035, 2, 741), (193, 6, 28640), (18035, 6, 4498), (28640, 6, 4498), (193, 6, 741)]",5,0.6571306586265564,1,[0.0009772730991244316],[111],0.0009772730991244316,111.0
"(34777, 1, 14753)",[],[],0,0.9449015259742737,1,[0.9551244974136353],[1],0.9551244974136353,1.0
"(26770, 5, 6829)","[({(26770, 0, 7635)}, 0.05821247304984093, 'baseline'), ({(26770, 6, 26771)}, 0.022431637139735474, 'baseline')]","[(26770, 6, 26771), (26770, 0, 7635), (26771, 5, 6829), (24162, 0, 7635), (24162, 5, 6829)]",5,0.45097658038139343,1,[0.0005331422435119748],[97],0.0005331422435119748,97.0
"(11565, 1, 12441)",[],[],0,0.9488105773925781,1,[0.9637453556060791],[1],0.9637453556060791,1.0
"(903, 5, 5742)","[({(34444, 1, 903), (903, 1, 34444)}, 0.0722296042378923, 'baseline'), ({(903, 1, 34444)}, 0.03955082869858168, 'baseline'), ({(903, 0, 904)}, -0.004140962873545168, 'baseline'), ({(34444, 1, 903)}, -0.07883612530364364, 'baseline')]","[(5211, 5, 5742), (5211, 6, 34444), (903, 0, 904), (23276, 5, 5742), (903, 1, 34444), (23276, 0, 904), (34444, 1, 903)]",7,0.4814486503601074,1,[0.003677752334624529],[16],0.003677752334624529,16.0
"(14612, 1, 19739)","[({(14612, 1, 8884)}, 0.9206550612403758, 'baseline'), ({(14612, 1, 14613), (14612, 1, 8884)}, 0.9174047602673786, 'baseline'), ({(14612, 1, 14613), (14613, 1, 14612)}, 0.9016199599136175, 'baseline'), ({(14612, 1, 14613)}, 0.7605327232196062, 'baseline'), ({(14613, 1, 14612)}, 0.37502906886573767, 'baseline'), ({(14612, 1, 14613)}, 0.013368646598127467, 'baseline'), ({(14612, 1, 14613)}, -0.012389202676038305, 'baseline'), ({(14612, 1, 14613), (14612, 1, 8884)}, -0.03581323198070539, 'baseline')]","[(19739, 1, 8883), (8884, 1, 8883), (14612, 1, 14613), (14613, 1, 14612), (17887, 1, 14613), (14612, 1, 8884), (19739, 1, 17887)]",7,0.8138606548309326,1,[0.95960932970047],[1],0.95960932970047,1.0
"(24146, 1, 36079)",[],[],0,0.8771597146987915,1,[0.781300961971283],[1],0.781300961971283,1.0
"(31393, 0, 292)","[({(1864, 4, 31393)}, 0.027860355483242047, 'baseline')]","[(2148, 0, 292), (1864, 4, 31393), (1864, 4, 2148)]",3,0.512271523475647,1,[0.0001328641956206411],[29],0.0001328641956206411,29.0
