prediction,exp,new_ranks,original_score,new_scores,exp_length,new_rank,new_score,facts,original_rank
"(45, 1, 44)","[(44, 1, 45)]",[747],8.879241,[1.2149856],1,747.0,1.2149856,"[({(44, 1, 45)}, 0.2701025416531019, 'baseline'), ({(44, 1, 45)}, 0.2592430521458039, 'baseline'), ({(44, 1, 45)}, 0.2581625391583707, 'baseline'), ({(44, 1, 45)}, 0.22119240040663435, 'baseline')]",1
"(4050, 1, 5908)","[(5908, 1, 4050)]",[154],10.466581,[1.538079],1,154.0,1.538079,"[({(5908, 1, 4050)}, 2.335662012468489, 'baseline'), ({(5908, 1, 4050)}, 2.0996352270528855, 'baseline'), ({(5908, 1, 4050)}, 2.0891324109587677, 'baseline'), ({(5908, 1, 4050)}, 1.7479544477493365, 'baseline'), ({(5908, 1, 4050)}, 1.4965077115431022, 'baseline'), ({(5908, 1, 4050)}, 1.4621573148857587, 'baseline'), ({(5908, 1, 4050)}, 1.4354687381027735, 'baseline'), ({(5908, 1, 4050)}, 1.43426901572798, 'baseline'), ({(5908, 1, 4050)}, 1.3216343527515002, 'baseline'), ({(5908, 1, 4050)}, 1.3202505712707509, 'baseline')]",1
"(496, 1, 32512)","[(32512, 1, 496)]",[7419],9.354602,[0.4030365],1,7419.0,0.4030365,"[({(32512, 1, 496)}, 0.5260096024480551, 'baseline'), ({(32512, 1, 496)}, 0.43568901439256985, 'baseline'), ({(32512, 1, 496)}, 0.4225502432010511, 'baseline'), ({(32512, 1, 496)}, 0.41822819118851934, 'baseline'), ({(32512, 1, 496)}, 0.4120998799861598, 'baseline'), ({(32512, 1, 496)}, 0.4071064412443988, 'baseline'), ({(32512, 1, 496)}, 0.3933544574842377, 'baseline'), ({(32512, 1, 496)}, 0.38483242369446713, 'baseline'), ({(32512, 1, 496)}, 0.38361076691987506, 'baseline'), ({(32512, 1, 496)}, 0.38004783963314687, 'baseline')]",1
"(9372, 1, 1508)","[(3795, 9, 1508), (3795, 1, 9372), (1508, 1, 9372), (9372, 1, 3795)]",[43],9.9936285,[1.7822125],4,43.0,1.7822125,"[({(3795, 1, 9372), (1508, 1, 9372), (9372, 1, 3795)}, 2.785243216997521, 'baseline'), ({(3795, 1, 9372), (1508, 1, 9372), (9372, 1, 3795)}, 2.4431191849769545, 'baseline'), ({(3795, 1, 9372), (1508, 1, 9372), (9372, 1, 3795)}, 2.4188100240105834, 'baseline'), ({(3795, 1, 9372), (1508, 1, 9372), (9372, 1, 3795)}, 2.300350309991729, 'baseline'), ({(3795, 1, 9372), (1508, 1, 9372), (9372, 1, 3795)}, 2.2687550768831173, 'baseline'), ({(1508, 1, 9372), (9372, 1, 3795)}, 1.4784832662242153, 'baseline'), ({(1508, 1, 9372), (9372, 1, 3795)}, 1.4013233815884805, 'baseline'), ({(1508, 1, 9372), (9372, 1, 3795)}, 1.359067978320405, 'baseline'), ({(1508, 1, 9372), (9372, 1, 3795)}, 1.2854481332534218, 'baseline'), ({(1508, 1, 9372), (9372, 1, 3795)}, 1.2793694129899245, 'baseline')]",1
"(11686, 1, 5336)","[(11686, 1, 26261), (2296, 1, 1528), (5336, 1, 11686), (5336, 0, 16668), (11686, 0, 16301), (2296, 1, 5336), (16668, 1, 16301), (26261, 1, 11686), (26261, 0, 16668), (1528, 1, 11686), (11686, 1, 1528)]",[29],9.1733055,[3.016884],11,29.0,3.016884,"[({(5336, 1, 11686), (11686, 1, 26261), (11686, 0, 16301)}, 0.8171024793218914, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261), (11686, 1, 1528)}, 0.7978697290439689, 'baseline'), ({(5336, 1, 11686), (26261, 1, 11686), (11686, 1, 26261)}, 0.7772427068635792, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261), (1528, 1, 11686)}, 0.7208261944136647, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261), (11686, 1, 1528)}, 0.7204361415785304, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261)}, 0.5945959527820386, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261)}, 0.5862665611887765, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261)}, 0.5542059376057471, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261)}, 0.5216036270882713, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261)}, 0.4815493053617813, 'baseline')]",1
"(36078, 1, 7833)","[(7833, 1, 36078), (36078, 0, 28742), (28742, 1, 15054), (7833, 9, 15054)]",[37924],10.850468,[-9.10778],4,37924.0,-9.10778,"[({(36078, 0, 28742), (7833, 1, 36078)}, 11.579272807845422, 'baseline'), ({(7833, 1, 36078)}, 3.575577159625674, 'baseline'), ({(36078, 0, 28742)}, -0.3159160203917455, 'baseline')]",1
"(2869, 1, 15125)","[(15125, 1, 2869)]",[75],8.738957,[1.419849],1,75.0,1.419849,"[({(15125, 1, 2869)}, 3.648933338172059, 'baseline'), ({(15125, 1, 2869)}, 3.642891332574738, 'baseline'), ({(15125, 1, 2869)}, 3.635992926938388, 'baseline'), ({(15125, 1, 2869)}, 3.3355601463066633, 'baseline'), ({(15125, 1, 2869)}, 3.334146800579094, 'baseline'), ({(15125, 1, 2869)}, 3.330013097915336, 'baseline'), ({(15125, 1, 2869)}, 2.438665048718262, 'baseline'), ({(15125, 1, 2869)}, 2.3993049978478296, 'baseline'), ({(15125, 1, 2869)}, 2.3374067598110453, 'baseline')]",1
"(4359, 1, 29197)","[(29197, 1, 4359)]",[461],8.654919,[0.9065194],1,461.0,0.9065194,"[({(29197, 1, 4359)}, 2.1869231372557123, 'baseline'), ({(29197, 1, 4359)}, 2.0766974505398146, 'baseline'), ({(29197, 1, 4359)}, 2.03328428496409, 'baseline'), ({(29197, 1, 4359)}, 1.9668494199582787, 'baseline'), ({(29197, 1, 4359)}, 1.94828424074403, 'baseline'), ({(29197, 1, 4359)}, 1.9218898717462192, 'baseline'), ({(29197, 1, 4359)}, 1.88518819015579, 'baseline'), ({(29197, 1, 4359)}, 1.8192206261858481, 'baseline'), ({(29197, 1, 4359)}, 1.801412664668181, 'baseline'), ({(29197, 1, 4359)}, 1.7344880887822633, 'baseline')]",1
"(26984, 1, 38840)","[(38840, 1, 26984)]",[34724],9.220281,[-2.0459237],1,34724.0,-2.0459237,"[({(38840, 1, 26984)}, 5.263678117376383, 'baseline'), ({(38840, 1, 26984)}, 3.303526217310419, 'baseline'), ({(38840, 1, 26984)}, 1.5495072103042486, 'baseline'), ({(38840, 1, 26984)}, 1.5488005376086103, 'baseline'), ({(38840, 1, 26984)}, 1.520726271837957, 'baseline'), ({(38840, 1, 26984)}, 1.4554472621474108, 'baseline'), ({(38840, 1, 26984)}, 1.453667705800619, 'baseline'), ({(38840, 1, 26984)}, 1.3531189577773053, 'baseline')]",1
"(14768, 6, 24252)","[(21984, 0, 21985), (14768, 0, 21985), (21984, 6, 24252)]",[39],7.281294,[1.776233],3,39.0,1.776233,"[({(14768, 0, 21985)}, 3.994757738712508, 'baseline'), ({(14768, 0, 21985)}, 1.5866385215316816, 'baseline')]",1
