exp_length,new_scores,original_score,original_rank,prediction,exp,new_score,new_ranks,facts,new_rank
1,[0.0003626984544098377],0.7884548306465149,1,"(8776, 1, 1347)","[(1347, 1, 8776)]",0.0003626984544098377,[813],"[({(1347, 1, 8776)}, 0.8468910931611442, 'baseline'), ({(1347, 1, 8776)}, 0.8116713039823458, 'baseline'), ([(1347, 1, 8776)], 0.18509999, 'xrule'), ({(4276, 0, 8776)}, -0.03219457438164666, 'baseline')]",813.0
3,[0.00010058836051030084],0.6023808717727661,1,"(39499, 0, 292)","[(2148, 0, 292), (1864, 4, 39499), (1864, 4, 2148)]",0.00010058836051030084,[47],"[({(1864, 4, 39499)}, 0.5705938176424045, 'baseline'), ([(1864, 4, 14380), (14380, 0, 292), (1864, 4, 39499)], -0.9007, 'xrule')]",47.0
2,[0.20759914815425873],0.6571306586265564,1,"(28640, 2, 741)","[(193, 6, 28640), (193, 6, 741)]",0.20759914815425873,[1],"[({(193, 6, 28640)}, 0.2915313950535067, 'baseline'), ({(28640, 6, 4498)}, 0.10508197085724715, 'baseline'), ([(193, 6, 28640), (193, 6, 21829), (21829, 2, 741)], 0.0001, 'xrule')]",1.0
1,[5.5736534704919904e-05],0.9449015259742737,1,"(34777, 1, 14753)","[(14753, 1, 34777)]",5.5736534704919904e-05,[8573],"[({(14753, 1, 34777)}, 0.970992436519574, 'baseline'), ([(14753, 1, 34777)], 0.7542, 'xrule')]",8573.0
3,[0.0005855522467754781],0.45097658038139343,1,"(26770, 5, 6829)","[(26770, 0, 7635), (24162, 0, 7635), (24162, 5, 6829)]",0.0005855522467754781,[224],"[({(26770, 0, 7635)}, 0.05821247304984093, 'baseline'), ({(26770, 6, 26771)}, 0.022431637139735474, 'baseline'), ([(24162, 6, 26771), (26770, 6, 26771), (24162, 5, 6829)], 0.0141, 'xrule')]",224.0
1,[3.1315757951233536e-05],0.9488105773925781,1,"(11565, 1, 12441)","[(12441, 1, 11565)]",3.1315757951233536e-05,[24941],"[([(12441, 1, 11565)], 0.0481, 'xrule')]",24941.0
4,[0.08778858929872513],0.4814486503601074,1,"(903, 5, 5742)","[(903, 1, 34444), (34444, 1, 903), (5211, 5, 5742), (5211, 6, 34444)]",0.08778858929872513,[5],"[({(34444, 1, 903), (903, 1, 34444)}, 0.0722296042378923, 'baseline'), ({(903, 1, 34444)}, 0.03955082869858168, 'baseline'), ([(5211, 5, 5742), (34444, 1, 903), (5211, 6, 34444), (903, 1, 34444)], 0.0034999999, 'xrule'), ({(903, 0, 904)}, -0.004140962873545168, 'baseline'), ({(34444, 1, 903)}, -0.07883612530364364, 'baseline')]",5.0
4,[0.011792920529842377],0.8138606548309326,1,"(14612, 1, 19739)","[(19739, 1, 8883), (8884, 1, 8883), (19739, 1, 14612), (14612, 1, 8884)]",0.011792920529842377,[6],"[({(19739, 1, 14612), (14612, 1, 8884)}, 0.9206550612403758, 'baseline'), ({(14612, 1, 14613), (19739, 1, 14612), (14612, 1, 8884)}, 0.9174047602673786, 'baseline'), ({(14612, 1, 14613), (19739, 1, 14612), (14613, 1, 14612)}, 0.9016199599136175, 'baseline'), ({(19739, 1, 14612)}, 0.8674530271129263, 'baseline'), ({(14612, 1, 14613), (19739, 1, 14612)}, 0.7605327232196062, 'baseline'), ({(19739, 1, 14612)}, 0.653207942529261, 'baseline'), ([(19739, 1, 14612)], 0.55799997, 'xrule'), ({(19739, 1, 14612), (14613, 1, 14612)}, 0.37502906886573767, 'baseline'), ({(14612, 1, 14613)}, 0.013368646598127467, 'baseline'), ({(14612, 1, 14613)}, -0.012389202676038305, 'baseline'), ({(14612, 1, 14613), (14612, 1, 8884)}, -0.03581323198070539, 'baseline')]",6.0
1,[5.5630494898650795e-05],0.8771597146987915,1,"(24146, 1, 36079)","[(36079, 1, 24146)]",5.5630494898650795e-05,[8420],"[({(36079, 1, 24146)}, 0.9753263498926658, 'baseline'), ({(36079, 1, 24146)}, 0.9506536623372497, 'baseline'), ([(36079, 1, 24146)], 0.2896, 'xrule')]",8420.0
3,[0.000101075267593842],0.512271523475647,1,"(31393, 0, 292)","[(2148, 0, 292), (1864, 4, 31393), (1864, 4, 2148)]",0.000101075267593842,[48],"[({(1864, 4, 31393)}, 0.027860355483242047, 'baseline'), ([(1864, 4, 14380), (14380, 0, 292), (1864, 4, 31393)], -0.5959, 'xrule')]",48.0
5,[1.3110392501403112e-05],0.8385334610939026,1,"(14940, 1, 12227)","[(12227, 1, 14940), (13800, 1, 12227), (13800, 1, 5927), (5927, 1, 14940), (14940, 1, 5927)]",1.3110392501403112e-05,[28527],"[({(14940, 1, 5927), (12227, 1, 14940), (5927, 1, 14940)}, 0.9585174821040501, 'baseline'), ({(14940, 1, 5927), (12227, 1, 14940)}, 0.6293803298055499, 'baseline'), ({(5927, 1, 14940), (12227, 1, 14940)}, 0.5435367060555616, 'baseline'), ({(12227, 1, 14940)}, 0.5336500239560265, 'baseline'), ([(12227, 1, 14940)], 0.5226, 'xrule'), ({(12227, 1, 14940)}, 0.38882200103740666, 'baseline'), ({(5927, 1, 14940)}, 0.07463846636264092, 'baseline'), ({(5927, 1, 14940)}, 0.06848792264696545, 'baseline'), ({(14940, 1, 5927)}, -0.020690877974307836, 'baseline'), ({(14940, 1, 5927)}, -0.021562357469844085, 'baseline')]",28527.0
4,[0.0017797466134652495],0.8824633359909058,1,"(2949, 1, 8019)","[(2949, 1, 9188), (8019, 1, 2949), (30805, 1, 8019), (9188, 1, 30805)]",0.0017797466134652495,[211],"[({(2949, 1, 9188), (8019, 1, 2949)}, 0.9085259330157872, 'baseline'), ({(2949, 1, 9188), (8019, 1, 2949)}, 0.8461689828954374, 'baseline'), ({(2949, 1, 9188), (8019, 1, 2949)}, 0.828968631798329, 'baseline'), ({(2949, 1, 9188), (8019, 1, 2949)}, 0.7814109193780843, 'baseline'), ({(8019, 1, 2949)}, 0.7003346536415676, 'baseline'), ({(2949, 1, 9188), (8019, 1, 2949)}, 0.6403861488302841, 'baseline'), ({(8019, 1, 2949)}, 0.5951184470980366, 'baseline'), ({(2949, 1, 9188), (8019, 1, 2949)}, 0.5503031446570974, 'baseline'), ([(8019, 1, 2949)], 0.1337, 'xrule'), ({(2949, 1, 9188)}, -0.015501637982353308, 'baseline'), ({(2949, 1, 9188)}, -0.028474469711011793, 'baseline')]",211.0
5,[0.04565908759832382],0.19728238880634308,1,"(15729, 1, 12999)","[(15730, 1, 15171), (15729, 1, 16455), (15171, 1, 16455), (15171, 1, 12999), (15729, 1, 15730)]",0.04565908759832382,[6],"[({(15729, 1, 16455), (15729, 1, 15730)}, 0.40167624938904567, 'baseline'), ({(16455, 1, 15729)}, 0.35115177585686547, 'baseline'), ({(15729, 1, 16455), (15729, 1, 31425)}, 0.3422938698898308, 'baseline'), ({(15729, 1, 31425)}, 0.31902484228410066, 'baseline'), ({(15729, 1, 16455), (15729, 1, 15730)}, 0.31311075016266554, 'baseline'), ({(15729, 1, 31425)}, 0.29761416831016185, 'baseline'), ({(15729, 1, 16455)}, 0.29691372427864965, 'baseline'), ({(15729, 1, 15730), (15729, 1, 31425)}, 0.2913569024702521, 'baseline'), ({(15729, 1, 15730)}, 0.2535644580020901, 'baseline'), ([(15171, 1, 31425), (15171, 1, 12999), (12999, 1, 15171), (31425, 1, 15171), (15729, 1, 31425)], 0.0, 'xrule')]",6.0
3,[0.007629556581377983],0.6587778329849243,1,"(9536, 0, 265)","[(9535, 4, 9536), (9535, 4, 25282), (25282, 0, 265)]",0.007629556581377983,[5],"[({(9535, 4, 9536)}, 0.04544183517121596, 'baseline'), ([(9535, 4, 9536), (9535, 4, 25282), (25282, 0, 265)], 0.0099, 'xrule')]",5.0
1,[3.662410017568618e-05],0.9615100622177124,1,"(20124, 1, 18592)","[(18592, 1, 20124)]",3.662410017568618e-05,[20724],"[({(18592, 1, 20124)}, 0.993439069409135, 'baseline'), ([(18592, 1, 20124)], 0.9814, 'xrule')]",20724.0
1,[0.00011390907457098365],0.9318868517875671,1,"(23468, 1, 1116)","[(1116, 1, 23468)]",0.00011390907457098365,[5738],"[({(1116, 1, 23468)}, 0.8288152094848301, 'baseline'), ({(1116, 1, 23468)}, 0.8275247688514623, 'baseline'), ({(1116, 1, 23468)}, 0.7598528726358121, 'baseline'), ({(1116, 1, 23468)}, 0.6499774899527088, 'baseline'), ({(1116, 1, 23468)}, 0.6381550277565804, 'baseline'), ({(1116, 1, 23468)}, 0.6206558190757842, 'baseline'), ({(1116, 1, 23468)}, 0.5241420697255684, 'baseline'), ([(1116, 1, 23468)], 0.39970002, 'xrule')]",5738.0
5,[6.990522524574772e-05],0.8030797243118286,1,"(1419, 1, 22014)","[(13051, 1, 22014), (1419, 1, 19671), (19671, 1, 1419), (19671, 1, 13051), (22014, 1, 1419)]",6.990522524574772e-05,[10790],"[({(19671, 1, 1419), (1419, 1, 19671), (22014, 1, 1419)}, 0.8499506592853081, 'baseline'), ({(19671, 1, 1419), (1419, 1, 19671), (22014, 1, 1419)}, 0.8385891196668167, 'baseline'), ({(1419, 1, 19671), (22014, 1, 1419)}, 0.7298803189213426, 'baseline'), ([(22014, 1, 1419)], 0.64959997, 'xrule'), ({(1419, 1, 19671), (22014, 1, 1419)}, 0.49152342751257455, 'baseline'), ({(1419, 1, 19671), (22014, 1, 1419)}, 0.4896150357524035, 'baseline'), ({(1419, 1, 19671), (22014, 1, 1419)}, 0.35094003036103055, 'baseline'), ({(1419, 1, 19671), (22014, 1, 1419)}, 0.3060952834152233, 'baseline'), ({(1419, 1, 19671), (22014, 1, 1419)}, 0.28711168077988497, 'baseline'), ({(1419, 1, 19671), (19671, 1, 1419)}, 0.0681454939753974, 'baseline'), ({(1419, 1, 19671)}, -0.029431183882620643, 'baseline')]",10790.0
