new_rank,#facts,prediction,new_ranks,facts,original_rank,original_score,new_score,new_scores
6.0,6,"(5660, 136, 6402)","[5, 7]","[([(462, 136, 6402), (1938, 32, 462), (1938, 32, 5660)], 0.7456999, 'xrule'), ([(1938, 32, 1945), (1938, 32, 5660), (1945, 136, 6402)], 0.6852999, 'xrule'), ([(3198, 136, 6402), (1938, 32, 5660), (3198, 86, 1938), (1938, 32, 3198)], 0.4719, 'xrule'), ([(5660, 13, 32), (5660, 227, 10080), (1314, 2, 5660), (5660, 31, 1314)], 0.22106937640445526, 'kelpie'), ([(5660, 227, 10080), (1314, 2, 5660), (5660, 31, 1314), (5660, 227, 7800)], 0.22058967825884612, 'kelpie'), ([(5660, 13, 32), (1314, 2, 5660), (5660, 31, 1314), (5660, 227, 7800)], 0.21410278550252992, 'kelpie')]",1,6.9425015,4.8003483,"[4.7990804, 4.8016167]"
1.0,6,"(2258, 14, 160)","[1, 1]","[([(2258, 13, 32), (5423, 14, 160), (5423, 28, 32)], 0.8008003, 'xrule'), ([(11957, 48, 32), (2258, 13, 32), (11957, 232, 160)], 0.38689995, 'xrule'), ([(2258, 13, 32), (5971, 51, 160), (5971, 185, 32)], 0.37240028, 'xrule'), ([(2258, 26, 342), (2258, 26, 64), (2258, 31, 658), (2258, 26, 1098)], 0.29977516452261915, 'kelpie'), ([(2258, 26, 64), (2258, 31, 658), (2258, 26, 1098), (2258, 86, 1283)], 0.2854261806368437, 'kelpie'), ([(2258, 26, 342), (2258, 26, 64), (2258, 26, 1098), (2258, 86, 1283)], 0.2842035701933355, 'kelpie')]",1,8.303699,8.390796,"[8.319367, 8.462224]"
1.0,6,"(3742, 25, 62)","[1, 1]","[([(371, 7, 3742), (1883, 25, 62), (371, 7, 1883), (3742, 30, 371)], 0.06910002, 'xrule'), ([(268, 32, 3742), (4333, 25, 62), (4333, 86, 268)], 0.051800013, 'xrule'), ([(3742, 31, 4)], 0.04276923367151695, 'kelpie'), ([(3742, 26, 342)], 0.04176358409580458, 'kelpie'), ([(268, 32, 3742)], 0.039385597161820975, 'kelpie'), ([(482, 38, 3742), (3742, 12, 482), (482, 32, 4333), (3742, 86, 482), (482, 38, 4333), (4333, 25, 62), (482, 32, 3742)], 0.03189999, 'xrule')]",1,3.8423574,3.8606956,"[3.9118545, 3.8095367]"
4.5,6,"(1445, 148, 9623)","[8, 1]","[([(1445, 148, 7018), (1445, 148, 1264), (1445, 148, 4653), (1445, 148, 6025)], 0.35810379342543774, 'kelpie'), ([(1445, 148, 7018), (1445, 148, 4653), (1445, 148, 1449), (1445, 148, 6025)], 0.3566599304783214, 'kelpie'), ([(1445, 148, 7018), (1445, 148, 4653), (1445, 148, 6025), (1445, 148, 4599)], 0.35646061256985473, 'kelpie'), ([(1080, 54, 1445), (1080, 15, 2376), (1445, 205, 1080), (1445, 62, 1080), (1445, 133, 1080), (2376, 148, 9623), (1080, 15, 1445), (2376, 135, 1080)], 0.22300053, 'xrule'), ([(8696, 133, 1080), (8696, 148, 9623), (1080, 54, 1445), (1445, 205, 1080), (1445, 62, 1080), (1445, 133, 1080), (1080, 15, 1445), (1080, 15, 8696)], 0.19939995, 'xrule'), ([(2376, 148, 9623), (434, 161, 1445), (434, 161, 2376)], 0.15980053, 'xrule')]",1,7.140051,6.3879194,"[6.333356, 6.4424834]"
1.0,6,"(10634, 43, 141)","[1, 1]","[([(10634, 17, 818), (10634, 17, 1730), (10634, 48, 32), (10634, 19, 1654)], 3.251949589180132, 'kelpie'), ([(10634, 17, 818), (7487, 27, 10634), (10634, 17, 1730), (10634, 48, 32)], 2.3672767961211987, 'kelpie'), ([(10634, 17, 818), (10634, 17, 1730), (10634, 48, 32), (5439, 155, 10634)], 2.2899004226749318, 'kelpie'), ([(10634, 48, 32), (2725, 43, 141), (2725, 48, 32)], 1.1617999, 'xrule'), ([(10634, 48, 32), (8151, 43, 141), (8151, 48, 32)], 1.1352, 'xrule'), ([(10634, 48, 32), (12072, 48, 32), (12072, 43, 141)], 1.0523, 'xrule')]",1,7.3984365,5.6553354,"[5.484949, 5.825722]"
1.0,6,"(7412, 14, 160)","[1, 1]","[([(898, 14, 160), (898, 13, 2739), (7412, 13, 2739)], 0.7163, 'xrule'), ([(7412, 28, 32), (7412, 13, 32), (898, 28, 32), (898, 13, 32), (898, 14, 160), (32, 59, 898)], 0.70300007, 'xrule'), ([(3277, 14, 160), (377, 7, 3277), (377, 7, 7412)], 0.6566, 'xrule'), ([(7412, 13, 382), (7412, 34, 90), (1654, 7, 7412), (3179, 7, 7412)], 0.15581421110964283, 'kelpie'), ([(7412, 13, 382), (7412, 34, 90), (1654, 7, 7412), (7412, 13, 1934)], 0.15486149043291889, 'kelpie'), ([(7412, 13, 382), (7412, 34, 90), (1654, 7, 7412), (371, 7, 7412)], 0.15357784477838904, 'kelpie')]",1,8.902123,8.324774,"[8.226224, 8.423324]"
5.5,6,"(7435, 35, 7238)","[6, 5]","[([(7435, 35, 6615), (7435, 35, 3408), (7435, 35, 7125), (7435, 35, 611)], 0.20313648448697147, 'kelpie'), ([(7435, 35, 6615), (7435, 35, 3408), (7435, 35, 4507), (7435, 35, 611)], 0.18359665138576461, 'kelpie'), ([(7435, 35, 3408), (7435, 35, 7125), (7435, 35, 4507), (7435, 35, 611)], 0.17018036102819015, 'kelpie'), ([(7238, 18, 1771), (7435, 35, 582), (582, 18, 1771)], 0.11460018, 'xrule'), ([(7238, 18, 1771), (6615, 18, 1771), (7435, 35, 6615)], 0.10620022, 'xrule'), ([(10355, 35, 7238), (10355, 35, 6615), (7435, 35, 6615)], 0.10599995, 'xrule')]",1,6.9823084,6.3661194,"[6.4929533, 6.2392855]"
7.0,6,"(1329, 13, 1163)","[4, 10]","[([(1329, 13, 449), (1329, 13, 92), (1329, 13, 75), (1329, 13, 834)], 0.13548855029437035, 'kelpie'), ([(1329, 13, 449), (1329, 13, 2282), (1329, 13, 75), (1329, 13, 834)], 0.12391094408920503, 'kelpie'), ([(1329, 13, 449), (1329, 13, 75), (1329, 13, 331), (1329, 13, 834)], 0.12351516926429168, 'kelpie'), ([(1329, 14, 160), (1163, 122, 2016), (2016, 100, 160)], 0.045599937, 'xrule'), ([(1329, 14, 160), (4268, 100, 160), (4268, 66, 1163)], 0.041799545, 'xrule'), ([(1302, 152, 1163), (1302, 58, 1163), (1163, 58, 1302), (1302, 152, 274), (1329, 13, 274)], 0.014200211, 'xrule')]",1,5.9050293,5.5553474,"[5.6450152, 5.46568]"
1.0,6,"(409, 17, 862)","[1, 1]","[([(9032, 48, 32), (9032, 17, 862), (409, 48, 32)], 0.9499998, 'xrule'), ([(4628, 48, 32), (409, 48, 32), (4628, 17, 862)], 0.93739986, 'xrule'), ([(323, 48, 32), (323, 17, 862), (409, 48, 32)], 0.9197998, 'xrule'), ([(1027, 192, 409)], -0.000750501664030989, 'kelpie'), ([(1027, 192, 409), (8646, 77, 409)], -0.006482561166401197, 'kelpie'), ([(8646, 77, 409)], -0.007768590994059288, 'kelpie')]",1,6.73506,6.7568088,"[6.728322, 6.7852955]"
1.0,6,"(12882, 25, 62)","[1, 1]","[([(4744, 25, 62), (10174, 15, 12882), (4744, 13, 10174), (10174, 54, 12882), (10174, 144, 12882), (12882, 133, 10174), (12882, 135, 10174)], 1.1949999, 'xrule'), ([(10174, 15, 12882), (10174, 54, 12882), (10174, 144, 12882), (12882, 133, 10174), (526, 29, 10174), (526, 25, 62), (12882, 135, 10174)], 1.1774999, 'xrule'), ([(4136, 25, 62), (10174, 54, 12882), (10174, 144, 12882), (10174, 15, 12882), (12882, 133, 10174), (12882, 135, 10174), (10174, 23, 4136)], 1.1657999, 'xrule'), ([(10174, 144, 12882)], 0.28366331368337927, 'kelpie'), ([(12882, 135, 10174)], 0.13908294880774255, 'kelpie'), ([(10174, 54, 12882)], 0.05611924359729931, 'kelpie')]",1,6.162185,9.979847,"[10.607785, 9.351909]"
