prediction,original_rank,new_rank,#facts,original_score,facts,new_scores,new_score,new_ranks
"(6427, 9, 7790)",1,1.0,6,9.176514,"[([(6427, 2, 29), (6427, 3, 40), (6427, 3, 278), (6427, 3, 479)], 0.33685116113664415, 'kelpie'), ([(6427, 2, 29), (6427, 3, 278), (6427, 3, 479), (6427, 3, 6)], 0.33484939875130587, 'kelpie'), ([(6427, 3, 10), (6427, 2, 29), (6427, 3, 278), (6427, 3, 479)], 0.33406929316804107, 'kelpie'), ([(6427, 3, 278), (25155, 9, 7790), (25155, 3, 278)], 0.13230038, 'xrule'), ([(24248, 9, 7790), (6427, 3, 100), (24248, 3, 100)], 0.12720013, 'xrule'), ([(6427, 3, 278), (24248, 3, 278), (24248, 9, 7790)], 0.12440014, 'xrule')]","[7.9602985, 8.556849]",8.258574,"[1, 1]"
"(7125, 11, 8038)",1,3.0,6,5.990065,"[([(7125, 3, 9), (8416, 3, 9), (8416, 11, 8038)], 1.3860006, 'xrule'), ([(7125, 3, 9), (21341, 3, 9), (21341, 11, 8038)], 1.1704006, 'xrule'), ([(12691, 3, 78), (7125, 3, 78), (12691, 11, 8038)], 1.0356007, 'xrule'), ([(7125, 3, 476), (7125, 3, 479), (7125, 3, 39), (7125, 3, 78)], 0.5698328451463793, 'kelpie'), ([(7125, 3, 220), (7125, 3, 476), (7125, 3, 479), (7125, 3, 39)], 0.5689449743727375, 'kelpie'), ([(7125, 3, 476), (7125, 3, 479), (7125, 3, 9), (7125, 3, 39)], 0.5620370343513917, 'kelpie')]","[4.5485296, 5.0840816]",4.8163056,"[3, 3]"
"(5822, 11, 7992)",1,1.0,6,6.493819,"[([(11328, 11, 7992), (11328, 3, 10), (5822, 3, 10)], 0.74090004, 'xrule'), ([(11328, 11, 7992), (5822, 3, 476), (11328, 3, 476)], 0.7325001, 'xrule'), ([(11328, 3, 278), (5822, 3, 278), (11328, 11, 7992)], 0.5142002, 'xrule'), ([(5822, 4, 66), (5822, 3, 220), (5822, 3, 476), (5822, 3, 9)], 0.3046751431622811, 'kelpie'), ([(5822, 4, 66), (5822, 3, 476), (5822, 3, 6), (5822, 3, 9)], 0.3025751523056198, 'kelpie'), ([(5822, 4, 66), (5822, 3, 40), (5822, 3, 476), (5822, 3, 9)], 0.29387573512606935, 'kelpie')]","[6.0498705, 5.6451883]",5.8475294,"[1, 1]"
"(7788, 11, 8038)",1,1.5,6,7.2885904,"[([(7788, 3, 37), (25070, 3, 37), (25070, 11, 8038)], 0.31279945, 'xrule'), ([(7788, 3, 37), (7788, 3, 1321), (7788, 3, 651), (7788, 3, 479)], 0.3097753934509427, 'kelpie'), ([(7788, 3, 1321), (7788, 3, 651), (7788, 3, 666), (7788, 3, 479)], 0.30927948280439604, 'kelpie'), ([(7788, 3, 10), (7788, 3, 1321), (7788, 3, 651), (7788, 3, 479)], 0.2972851208704559, 'kelpie'), ([(7788, 3, 9), (23745, 11, 8038), (23745, 3, 9)], 0.2546997, 'xrule'), ([(23745, 11, 8038), (7788, 3, 78), (23745, 3, 78)], 0.23519993, 'xrule')]","[6.191208, 6.5559773]",6.3735924,"[2, 1]"
"(5279, 11, 7992)",1,1.5,6,5.8608837,"[([(5279, 3, 40), (5279, 4, 66), (5279, 3, 6), (5279, 3, 75)], 0.3624344285529554, 'kelpie'), ([(5279, 3, 40), (5279, 4, 66), (5279, 3, 75), (5279, 3, 20)], 0.32386259372473075, 'kelpie'), ([(5279, 3, 40), (5279, 4, 66), (5279, 3, 6), (5279, 3, 20)], 0.32246403028031945, 'kelpie'), ([(8347, 11, 7992), (5279, 2, 31), (8347, 2, 31)], 0.11139965, 'xrule'), ([(8347, 11, 7992), (5279, 3, 6), (8347, 3, 6)], -0.067100525, 'xrule'), ([(18840, 11, 7992), (5279, 3, 6), (18840, 3, 6)], -0.13720036, 'xrule')]","[5.634284, 5.3189487]",5.4766164,"[2, 1]"
"(6848, 11, 7992)",1,2.5,6,5.854315,"[([(22529, 11, 7992), (6848, 3, 9), (22529, 3, 9)], 0.45219994, 'xrule'), ([(6848, 3, 7), (6848, 4, 66), (6848, 3, 479), (6848, 3, 9)], 0.4104400098171336, 'kelpie'), ([(6848, 3, 629), (6848, 4, 66), (6848, 3, 479), (6848, 3, 9)], 0.39322761880532964, 'kelpie'), ([(22529, 11, 7992), (6848, 3, 75), (22529, 3, 75)], 0.37129974, 'xrule'), ([(6848, 3, 629), (6848, 4, 66), (6848, 3, 479)], 0.2578993250488579, 'kelpie'), ([(22529, 11, 7992), (6848, 3, 6), (22529, 3, 6)], 0.1451006, 'xrule')]","[5.3750086, 5.282523]",5.328766,"[3, 2]"
"(7058, 9, 9349)",1,36.5,6,6.829075,"[([(7058, 2, 7059), (7058, 3, 7062)], 1.2527733427652183, 'kelpie'), ([(10310, 3, 7062), (10310, 9, 9349), (7058, 3, 7062)], 0.7322998, 'xrule'), ([(7058, 2, 7059), (10310, 9, 9349), (10310, 2, 7059)], 0.68449974, 'xrule'), ([(20818, 9, 9349), (20818, 3, 7062), (7058, 3, 7062)], 0.6520004, 'xrule'), ([(7058, 3, 7062)], 0.5876532036422071, 'kelpie'), ([(7058, 2, 7059)], 0.5311909150875334, 'kelpie')]","[4.018504, 3.0081253]",3.5133147,"[27, 46]"
"(5822, 12, 8676)",1,17.5,6,8.200344,"[([(5822, 3, 748), (5822, 3, 40), (5822, 3, 220), (5822, 3, 279)], 0.7029018853344922, 'kelpie'), ([(5822, 3, 748), (5822, 3, 40), (5822, 3, 279), (5822, 3, 7)], 0.6925278159788361, 'kelpie'), ([(5822, 3, 748), (5822, 3, 40), (5822, 3, 6), (5822, 3, 279)], 0.691478774210134, 'kelpie'), ([(21752, 12, 8676), (21752, 3, 748), (5822, 3, 748)], 0.30010033, 'xrule'), ([(20591, 3, 748), (20591, 12, 8676), (5822, 3, 748)], 0.28209972, 'xrule'), ([(23237, 12, 8676), (23237, 3, 748), (5822, 3, 748)], 0.27330017, 'xrule')]","[4.6702423, 4.1135654]",4.391904,"[14, 21]"
"(5849, 11, 7869)",2,1.5,6,6.2528124,"[([(5849, 3, 6), (13995, 11, 7869), (13995, 3, 6)], 0.61310005, 'xrule'), ([(8230, 3, 418), (5849, 3, 418), (8230, 11, 7869)], 0.54920006, 'xrule'), ([(10061, 3, 88), (5849, 3, 88), (10061, 11, 7869)], 0.4656, 'xrule'), ([(5849, 3, 7), (5849, 3, 6), (5849, 3, 88), (5849, 3, 149)], 0.29578975951099046, 'kelpie'), ([(5849, 3, 40), (5849, 3, 6), (5849, 3, 88), (5849, 3, 149)], 0.2923727444190016, 'kelpie'), ([(5849, 3, 7), (5849, 3, 40), (5849, 3, 6), (5849, 3, 88)], 0.28984741478299486, 'kelpie')]","[6.3160214, 6.3988104]",6.357416,"[1, 2]"
"(5696, 11, 7992)",1,1.0,6,6.5734153,"[([(24925, 11, 7992), (24925, 12, 7992), (5696, 3, 75), (24925, 3, 75)], 1.4561005, 'xrule'), ([(24925, 11, 7992), (5696, 3, 6), (24925, 12, 7992), (24925, 3, 6)], 1.2075005, 'xrule'), ([(24925, 12, 7992), (24925, 11, 7992), (24925, 3, 40), (5696, 3, 40)], 1.1346998, 'xrule'), ([(5696, 3, 78), (5696, 3, 279), (5696, 3, 10), (5696, 3, 40)], 0.2658577372317954, 'kelpie'), ([(5696, 3, 78), (5696, 3, 7), (5696, 3, 10), (5696, 3, 40)], 0.26408104197564386, 'kelpie'), ([(5696, 3, 78), (5696, 3, 706), (5696, 3, 10), (5696, 3, 40)], 0.2595434595724677, 'kelpie')]","[6.020049, 6.501009]",6.260529,"[1, 1]"
