facts,#facts,new_score,original_score,original_rank,new_rank,prediction,new_ranks,new_scores
"[([(44, 1, 45)], 6.651, 'xrule'), ([(44, 1, 45), (45, 1, 18368), (45, 1, 5282), (45, 1, 5907)], 0.2701025416531019, 'kelpie'), ([(44, 1, 45), (45, 1, 18368), (45, 1, 5282), (45, 1, 6309)], 0.2592430521458039, 'kelpie'), ([(45, 1, 18368), (45, 1, 5282), (45, 1, 5907), (45, 1, 6309)], -0.009790380502309745, 'kelpie')]",4,0.7437061,8.879241,1,2712.0,"(45, 1, 44)","[4276, 1148]","[0.4222657, 1.0651466]"
"[([(5908, 1, 4050)], 4.327, 'xrule'), ([(5908, 1, 4050), (4050, 0, 2482), (36580, 0, 4050), (4050, 1, 4051)], 2.335662012468489, 'kelpie'), ([(5908, 1, 4050), (4050, 9, 8687), (8687, 9, 4050), (4050, 1, 4051)], 1.7479544477493365, 'kelpie'), ([(5908, 1, 4050), (4050, 0, 2482), (4050, 1, 4051)], 1.4965077115431022, 'kelpie')]",4,-8.432221,10.466581,1,36686.0,"(4050, 1, 5908)","[37631, 35741]","[-7.595759, -9.268683]"
"[([(32512, 1, 496), (7234, 0, 496), (496, 1, 16168), (496, 1, 497)], 0.5260096024480551, 'kelpie'), ([(32512, 1, 496), (496, 1, 16168), (31890, 0, 496), (496, 1, 497)], 0.43568901439256985, 'kelpie'), ([(32512, 1, 496), (16168, 1, 496), (496, 1, 16168), (496, 1, 497)], 0.4225502432010511, 'kelpie')]",3,-0.55465275,9.354602,1,25668.0,"(496, 1, 32512)","[34973, 16363]","[-1.0410407, -0.06826487]"
"[([(1508, 1, 9372), (9372, 1, 3795), (3795, 1, 9372), (9372, 5, 3293)], 2.785243216997521, 'kelpie'), ([(1508, 1, 9372), (9372, 1, 3795), (3795, 1, 9372), (35202, 0, 9372)], 2.4431191849769545, 'kelpie'), ([(1508, 1, 9372), (9372, 1, 3795), (3795, 1, 9372), (10112, 0, 9372)], 2.4188100240105834, 'kelpie'), ([(1508, 1, 9372)], 1.5256996, 'xrule'), ([(1508, 9, 3795), (3795, 9, 1508), (3795, 1, 9372), (9372, 1, 3795)], -0.13570023, 'xrule'), ([(1508, 1, 3796), (3795, 1, 9372), (3796, 1, 3795), (3796, 1, 1508), (3795, 1, 3796), (9372, 1, 3795)], -0.48700047, 'xrule')]",6,-0.40904462,9.9936285,1,3758.0,"(9372, 1, 1508)","[5486, 2030]","[-0.5878011, -0.23028812]"
"[([(5336, 1, 11686)], 0.8942995, 'xrule'), ([(5336, 1, 11686), (11686, 1, 26261), (11686, 1, 1528), (11686, 1, 3393)], 0.7204361415785304, 'kelpie'), ([(5336, 1, 11686), (11686, 1, 26261), (11686, 1, 10377), (11686, 1, 3393)], 0.5216036270882713, 'kelpie'), ([(5336, 1, 11686), (11686, 1, 26261), (11686, 1, 3393), (11686, 1, 18076)], 0.4815493053617813, 'kelpie'), ([(5336, 1, 1527), (11686, 0, 16301), (1527, 1, 5336), (1527, 0, 16301)], 0.26620007, 'xrule'), ([(26261, 1, 11686), (11686, 1, 26261), (1527, 1, 5336), (26261, 1, 1527), (5336, 1, 1527), (1527, 1, 26261)], 0.23329926, 'xrule')]",6,4.3433127,9.1733055,1,19.0,"(11686, 1, 5336)","[18, 20]","[4.2287045, 4.457921]"
"[([(7833, 1, 36078), (36078, 0, 28742)], 11.579272807845422, 'kelpie'), ([(7833, 1, 36078)], 4.4521, 'xrule'), ([(7833, 1, 36078)], 3.575577159625674, 'kelpie'), ([(7833, 9, 15054), (15054, 1, 28742), (36078, 0, 28742), (28742, 1, 15054), (15054, 9, 7833)], -0.06330013, 'xrule'), ([(36078, 0, 28742)], -0.3159160203917455, 'kelpie')]",5,-7.956685,10.850468,1,33146.5,"(36078, 1, 7833)","[27637, 38656]","[-5.0069957, -10.906375]"
"[([(15125, 1, 2869), (22777, 1, 2869), (2869, 1, 22777), (2869, 1, 2868)], 3.648933338172059, 'kelpie'), ([(15125, 1, 2869), (22777, 1, 2869), (2869, 1, 22777)], 3.642891332574738, 'kelpie'), ([(15125, 1, 2869)], 3.3710003, 'xrule'), ([(15125, 1, 2869), (2869, 1, 22777), (2868, 1, 2869), (2869, 1, 2868)], 3.330013097915336, 'kelpie')]",4,-3.9188313,8.738957,1,15282.0,"(2869, 1, 15125)","[10377, 20187]","[-2.5362844, -5.3013783]"
"[([(29197, 1, 4359)], 2.7896996, 'xrule'), ([(29197, 1, 4359), (21993, 1, 4359), (17493, 1, 4359), (4359, 1, 17493)], 2.1869231372557123, 'kelpie'), ([(29197, 1, 4359), (17493, 1, 4359), (37436, 0, 4359), (4359, 1, 17493)], 1.94828424074403, 'kelpie'), ([(29197, 1, 4359), (37436, 0, 4359), (4358, 0, 4359), (4359, 1, 17493)], 1.9218898717462192, 'kelpie')]",4,0.82996076,8.654919,1,487.0,"(4359, 1, 29197)","[662, 312]","[0.6459, 1.0140215]"
"[([(38840, 1, 26984)], 6.5732994, 'xrule'), ([(38840, 1, 26984), (26984, 1, 26983), (26984, 1, 24328), (26983, 1, 26984)], 5.263678117376383, 'kelpie'), ([(38840, 1, 26984), (26984, 1, 26983), (26983, 1, 26984)], 3.303526217310419, 'kelpie'), ([(38840, 1, 26984), (26984, 1, 26983), (26984, 1, 24328)], 1.5488005376086103, 'kelpie')]",4,-4.3102646,9.220281,1,35640.5,"(26984, 1, 38840)","[39940, 31341]","[-6.081247, -2.539282]"
"[([(14768, 0, 21985), (15788, 6, 14768)], 3.994757738712508, 'kelpie'), ([(21984, 0, 21985), (14768, 0, 21985), (21984, 6, 24252)], 2.0496001, 'xrule'), ([(31029, 6, 24252), (14768, 0, 21985), (31029, 0, 21985)], 1.8833003, 'xrule'), ([(14768, 0, 21985)], 1.5866385215316816, 'kelpie'), ([(15788, 6, 14768)], 0.16138080809051997, 'kelpie')]",5,0.26321307,7.281294,1,9687.5,"(14768, 6, 24252)","[15495, 3880]","[-0.045954883, 0.572381]"
