prediction,new_scores,new_ranks,facts,original_rank,new_score,#facts,new_rank,original_score
"(7788, 11, 7956)","[0.00017984253645408899, 1.0133991054317448e-05]","[1, 5]","[([(7788, 9, 7790), (7788, 3, 40), (7788, 3, 1321), (7788, 4, 66)], 0.8676944855105416, 'kelpie'), ([(7788, 3, 37), (7788, 3, 40), (7788, 3, 1321), (7788, 4, 66)], 0.8475063919315922, 'kelpie'), ([(7788, 3, 220), (7788, 3, 1321), (7788, 4, 66)], 0.8035039773555517, 'kelpie'), ([(7788, 3, 666), (9818, 3, 666), (9818, 11, 7956)], 0.0, 'xrule'), ([(7788, 3, 666), (10558, 3, 666), (10558, 11, 7956)], 0.0, 'xrule'), ([(8092, 11, 7956), (8092, 2, 31), (7788, 2, 31)], 0.0, 'xrule')]",1,9.498826375420322e-05,6,3.0,6.464199395850301e-05
"(7328, 10, 7830)","[0.9586394429206848, 0.08428271114826202]","[1, 1]","[([(7328, 1, 65), (7328, 3, 1838), (7328, 3, 651), (7328, 3, 953)], 0.001035384646607807, 'kelpie'), ([(7328, 1, 65), (7328, 2, 30), (7328, 3, 468), (7328, 3, 651)], 0.0010353761482869508, 'kelpie'), ([(7328, 3, 954), (7328, 3, 7333), (7328, 1, 65), (7328, 2, 30)], 0.00103512771792367, 'kelpie'), ([(7922, 3, 479), (7328, 3, 479), (7922, 10, 7830)], 0.0, 'xrule'), ([(22881, 3, 479), (7328, 3, 479), (22881, 10, 7830)], 0.0, 'xrule'), ([(8007, 3, 479), (8007, 10, 7830), (7328, 3, 479)], 0.0, 'xrule')]",1,0.5214610770344734,6,1.0,5.031374872288552e-09
"(7125, 11, 8038)","[2.0124155071243877e-06, 7.302463966851747e-09]","[2, 10]","[([(7125, 4, 66), (7125, 1, 65)], 0.04787583925047736, 'kelpie'), ([(7125, 4, 66), (7125, 2, 31), (7125, 1, 65)], 0.04784493797358761, 'kelpie'), ([(7125, 4, 66), (7125, 3, 219), (7125, 2, 2584), (7125, 1, 65)], 0.047828382803971434, 'kelpie'), ([(9267, 11, 8038), (9267, 3, 220), (7125, 3, 220)], 0.0, 'xrule'), ([(16972, 11, 8038), (16972, 3, 220), (7125, 3, 220)], 0.0, 'xrule'), ([(18054, 11, 8038), (18054, 3, 220), (7125, 3, 220)], 0.0, 'xrule')]",1,1.0098589855456197e-06,6,6.0,1.2816738490073476e-05
"(7788, 11, 8038)","[1.6962945892373682e-06, 3.833062578451063e-07]","[3, 5]","[([(7788, 9, 7790), (7788, 3, 2560), (7788, 3, 479), (7788, 4, 66)], 0.7388758520457155, 'kelpie'), ([(7788, 3, 651), (7788, 9, 7790), (7788, 4, 66)], 0.7379198531495678, 'kelpie'), ([(7788, 3, 1321), (7788, 9, 7790), (7788, 3, 479), (7788, 4, 66)], 0.7266496875037026, 'kelpie'), ([(25137, 3, 33), (25137, 11, 8038), (7788, 3, 33)], 0.0, 'xrule'), ([(25474, 3, 33), (25474, 11, 8038), (7788, 3, 33)], 0.0, 'xrule'), ([(7788, 2, 27), (25137, 11, 8038), (25137, 2, 27)], 0.0, 'xrule')]",1,1.0398004235412373e-06,6,4.0,0.00025431104586459696
"(6105, 8, 7393)","[1.6300627297613501e-12, 3.3954446365669355e-08]","[16, 3]","[([(9020, 8, 7393), (6105, 3, 2350), (9020, 3, 2350)], 0.2209, 'xrule'), ([(9020, 8, 7393), (6105, 3, 39), (9020, 3, 39)], 0.20809996, 'xrule'), ([(10833, 3, 6), (10833, 8, 7393), (6105, 3, 6)], 0.08340001, 'xrule'), ([(6105, 2, 30), (6105, 3, 260), (6105, 3, 6), (6105, 3, 506)], 0.005441744747630751, 'kelpie'), ([(6105, 2, 30), (6105, 2, 728), (6105, 3, 506)], 0.005195217145463196, 'kelpie'), ([(6105, 2, 30), (6105, 3, 220), (6105, 3, 506)], 0.004397273932243996, 'kelpie')]",1,1.6978038214199558e-08,6,9.5,0.0003303271369077265
"(6853, 10, 7830)","[0.788278341293335, 0.27937620878219604]","[1, 1]","[([(6853, 3, 780), (6853, 1, 65), (6853, 4, 906), (6853, 2, 30)], 0.0006903868439765915, 'kelpie'), ([(6853, 3, 1839), (6853, 3, 6854), (6853, 1, 65), (6853, 4, 906)], 0.0006903737472515008, 'kelpie'), ([(6853, 1, 65), (6853, 3, 5859), (6853, 3, 157), (6853, 2, 30)], 0.0006903629206252591, 'kelpie'), ([(8486, 2, 31), (6853, 2, 31), (8486, 10, 7830)], 0.0, 'xrule'), ([(9083, 10, 7830), (6853, 2, 31), (9083, 2, 31)], 0.0, 'xrule'), ([(6853, 2, 31), (16427, 10, 7830), (16427, 2, 31)], 0.0, 'xrule')]",1,0.5338272750377655,6,1.0,1.7677559416284794e-09
"(6427, 8, 7410)","[4.752222920734184e-12, 2.6620059045967537e-08]","[10, 4]","[([(7553, 3, 9), (6427, 3, 9), (7553, 8, 7410)], 0.22960001, 'xrule'), ([(22281, 2, 30), (22281, 8, 7410), (6427, 2, 30)], 0.21829998, 'xrule'), ([(6427, 3, 479), (7553, 8, 7410), (7553, 3, 479)], 0.17010003, 'xrule'), ([(6427, 2, 312)], 0.00896532920004288, 'kelpie'), ([(6427, 3, 278)], 0.007768063298118345, 'kelpie'), ([(6427, 3, 34)], 0.007445719043730864, 'kelpie')]",1,1.3312405634444135e-08,6,7.0,0.006617997772991657
"(5269, 8, 7410)","[5.409401659245416e-12, 4.844121903602172e-08]","[8, 2]","[([(5269, 3, 34), (5269, 4, 66), (5269, 3, 46)], 0.016196527451187177, 'kelpie'), ([(5269, 4, 66)], 0.015844208158167252, 'kelpie'), ([(5269, 3, 34), (5269, 4, 66)], 0.015185046880263169, 'kelpie'), ([(19185, 2, 30), (19185, 8, 7410), (5269, 2, 30)], 0.004600048, 'xrule'), ([(7688, 3, 20), (5269, 3, 20), (7688, 8, 7410)], 0.0036000013, 'xrule'), ([(7688, 8, 7410), (7688, 2, 30), (5269, 2, 30)], 0.00069999695, 'xrule')]",1,2.4223314218840483e-08,6,5.0,0.0001737351849442348
"(5073, 10, 7830)","[0.9213533401489258, 0.06648171693086624]","[1, 1]","[([(5073, 3, 418), (5073, 3, 1336), (5073, 2, 1188), (5073, 4, 485)], 1.210999877504984e-05, 'kelpie'), ([(5073, 3, 1336), (5073, 3, 149), (5073, 4, 485)], 1.2108718206546097e-05, 'kelpie'), ([(5073, 3, 731), (5073, 3, 1024), (5073, 4, 485), (5073, 3, 3766)], 1.210225715613071e-05, 'kelpie'), ([(8628, 2, 31), (8628, 10, 7830), (5073, 2, 31)], 0.0, 'xrule'), ([(9346, 2, 31), (9346, 10, 7830), (5073, 2, 31)], 0.0, 'xrule'), ([(11233, 10, 7830), (11233, 2, 31), (5073, 2, 31)], 0.0, 'xrule')]",1,0.493917528539896,6,1.0,2.7475641761753877e-09
"(6766, 8, 7410)","[1.1952481105553803e-12, 2.7245522460361826e-07]","[13, 4]","[([(6766, 1, 65), (6766, 2, 30), (6766, 4, 66)], 0.28611711772307824, 'kelpie'), ([(6766, 1, 65), (6766, 3, 83)], 0.28601099164810045, 'kelpie'), ([(6766, 1, 65)], 0.28443450834538503, 'kelpie'), ([(6766, 1, 65), (20731, 1, 65), (20731, 8, 7410)], 0.000100016594, 'xrule'), ([(6766, 1, 65), (14458, 8, 7410), (14458, 1, 65)], 0.000100016594, 'xrule'), ([(15227, 8, 7410), (6766, 3, 39), (15227, 3, 39)], 0.000100016594, 'xrule')]",1,1.362282099258644e-07,6,8.5,0.00013452144048642367
