new_rank,#facts,new_scores,original_score,new_ranks,original_rank,prediction,facts,new_score
9978.0,5,"[0.0002651723916642368, 3.453745011938736e-05]",0.7884548306465149,"[1485, 18471]",1,"(8776, 1, 1347)","[([(1347, 1, 8776), (8776, 1, 8777)], 0.8468910931611442, 'kelpie'), ([(1347, 1, 8776)], 0.8116713039823458, 'kelpie'), ([(1347, 1, 8776)], 0.18509999, 'xrule'), ([(4276, 1, 1347), (4276, 0, 8776)], 0.112799995, 'xrule'), ([(8776, 1, 8777)], -0.10774811070140074, 'kelpie')]",0.00014985492089181207
48.5,4,"[8.073780190898106e-05, 0.0003956606378778815]",0.6023808717727661,"[94, 3]",1,"(39499, 0, 292)","[([(1864, 4, 39499)], 0.5705938176424045, 'kelpie'), ([(1864, 4, 14380), (14380, 0, 292), (1864, 4, 39499)], -0.9007, 'xrule'), ([(12084, 0, 292), (1864, 4, 39499), (1864, 4, 12084)], -0.9025, 'xrule'), ([(2463, 0, 292), (1864, 4, 2463), (1864, 4, 39499)], -0.91249996, 'xrule')]",0.0002381992198934313
30.0,6,"[0.0009069021325558424, 0.0006363591528497636]",0.6571306586265564,"[20, 40]",1,"(28640, 2, 741)","[([(193, 6, 28640)], 0.2915313950535067, 'kelpie'), ([(28640, 6, 4498)], 0.10508197085724715, 'kelpie'), ([(193, 6, 28640), (193, 6, 21829), (21829, 2, 741)], 0.0001, 'xrule'), ([(193, 6, 28640), (11427, 2, 741), (193, 6, 11427)], 0.0001, 'xrule'), ([(740, 2, 741), (193, 6, 28640), (193, 6, 740)], 0.0, 'xrule'), ([(28640, 6, 7593)], -0.5524205730172393, 'kelpie')]",0.000771630642702803
7203.5,3,"[1.043145402945811e-05, 1.582065669936128e-05]",0.9449015259742737,"[10044, 4363]",1,"(34777, 1, 14753)","[([(14753, 1, 34777)], 0.970992436519574, 'kelpie'), ([(14753, 1, 34777)], 0.7542, 'xrule'), ([(34777, 0, 11327)], 0.007247070729707916, 'kelpie')]",1.3126055364409694e-05
118.5,5,"[0.00048340970533899963, 0.00035299023147672415]",0.45097658038139343,"[80, 157]",1,"(26770, 5, 6829)","[([(26770, 0, 7635)], 0.05821247304984093, 'kelpie'), ([(26770, 6, 26771)], 0.022431637139735474, 'kelpie'), ([(24162, 6, 26771), (26770, 6, 26771), (24162, 5, 6829)], 0.0141, 'xrule'), ([(26770, 6, 26771), (26771, 5, 6829)], 0.0055, 'xrule'), ([(26770, 0, 7635), (24162, 0, 7635), (24162, 5, 6829)], -0.0227, 'xrule')]",0.0004181999684078619
12642.0,4,"[0.0011694356799125671, 3.5576838854467496e-05]",0.9488105773925781,"[1170, 24114]",1,"(11565, 1, 12441)","[([(11565, 1, 17450), (11565, 1, 18800), (11565, 1, 8276), (11565, 1, 5675)], 0.08770034745819849, 'kelpie'), ([(11565, 1, 17450), (11565, 1, 18800), (11565, 1, 5675), (11565, 1, 13729)], 0.06813571882607093, 'kelpie'), ([(11565, 1, 17450), (11565, 1, 18800), (11565, 1, 5675), (11565, 1, 9515)], 0.058493117793853314, 'kelpie'), ([(12441, 1, 11565)], 0.0481, 'xrule')]",0.0006025062593835173
43.0,5,"[0.000684042926877737, 0.0025363776367157698]",0.4814486503601074,"[60, 26]",1,"(903, 5, 5742)","[([(903, 1, 34444), (34444, 1, 903)], 0.0722296042378923, 'kelpie'), ([(903, 1, 34444)], 0.03955082869858168, 'kelpie'), ([(5211, 5, 5742), (34444, 1, 903), (5211, 6, 34444), (903, 1, 34444)], 0.0034999999, 'xrule'), ([(23276, 0, 904), (23276, 5, 5742), (903, 0, 904)], -0.0042999997, 'xrule'), ([(34444, 1, 903)], -0.07883612530364364, 'kelpie')]",0.0016102102817967534
6621.5,6,"[4.3130454287165776e-05, 6.86826606397517e-05]",0.8138606548309326,"[9788, 3455]",1,"(14612, 1, 19739)","[([(19739, 1, 14612), (14612, 1, 8884)], 0.9206550612403758, 'kelpie'), ([(19739, 1, 14612), (14612, 1, 14613), (14612, 1, 8884)], 0.9174047602673786, 'kelpie'), ([(19739, 1, 14612), (14612, 1, 14613), (14613, 1, 14612)], 0.9016199599136175, 'kelpie'), ([(19739, 1, 14612)], 0.55799997, 'xrule'), ([(19739, 1, 8883), (8883, 1, 19739), (8884, 1, 8883), (8883, 1, 8884), (14612, 1, 8884)], 0.49159998, 'xrule'), ([(17887, 1, 8884), (14612, 1, 8884), (8884, 1, 17887), (19739, 1, 17887), (17887, 1, 19739)], -0.031000018, 'xrule')]",5.590655746345874e-05
37541.0,4,"[1.458700012335612e-06, 4.011091732536443e-06]",0.8771597146987915,"[39679, 35403]",1,"(24146, 1, 36079)","[([(36079, 1, 24146), (24146, 1, 12197)], 0.9753263498926658, 'kelpie'), ([(36079, 1, 24146)], 0.9506536623372497, 'kelpie'), ([(36079, 1, 24146)], 0.2896, 'xrule'), ([(24146, 1, 12197)], -0.023067911189203705, 'kelpie')]",2.7348958724360273e-06
48.0,4,"[8.220526797231287e-05, 0.00038380426121875644]",0.512271523475647,"[92, 4]",1,"(31393, 0, 292)","[([(1864, 4, 31393)], 0.027860355483242047, 'kelpie'), ([(1864, 4, 14380), (14380, 0, 292), (1864, 4, 31393)], -0.5959, 'xrule'), ([(1864, 4, 31393), (15217, 0, 292), (1864, 4, 15217)], -0.8035, 'xrule'), ([(1864, 4, 9565), (9565, 0, 292), (1864, 4, 31393)], -0.8371, 'xrule')]",0.00023300476459553465
10632.0,6,"[2.8579035642906092e-05, 2.5908857423928566e-05]",0.8385334610939026,"[10265, 10999]",1,"(14940, 1, 12227)","[([(12227, 1, 14940), (14940, 1, 5927), (5927, 1, 14940)], 0.9585174821040501, 'kelpie'), ([(12227, 1, 14940), (14940, 1, 5927)], 0.6293803298055499, 'kelpie'), ([(12227, 1, 14940)], 0.5226, 'xrule'), ([(14940, 1, 5927)], -0.020690877974307836, 'kelpie'), ([(5927, 1, 1025), (1025, 1, 5927), (1025, 1, 12227), (12227, 1, 1025), (5927, 1, 14940), (14940, 1, 5927)], -0.46649998, 'xrule'), ([(13800, 1, 12227), (5927, 1, 13800), (13800, 1, 5927), (5927, 1, 14940), (14940, 1, 5927)], -0.47529995, 'xrule')]",2.724394653341733e-05
27290.5,6,"[1.1480826287879609e-05, 3.394379746168852e-05]",0.8824633359909058,"[35417, 19164]",1,"(2949, 1, 8019)","[([(8019, 1, 2949), (2949, 1, 9188), (2948, 1, 2949), (2949, 1, 2948)], 0.9085259330157872, 'kelpie'), ([(8019, 1, 2949), (2949, 1, 9188), (2949, 1, 2948)], 0.8461689828954374, 'kelpie'), ([(8019, 1, 2949), (2949, 1, 9188), (2949, 1, 11259), (2948, 1, 2949)], 0.7814109193780843, 'kelpie'), ([(8019, 1, 2949)], 0.1337, 'xrule'), ([(2949, 1, 9188), (9188, 1, 30805), (30805, 1, 8019), (30805, 1, 9188), (9188, 1, 2949)], -0.0045000017, 'xrule'), ([(2949, 1, 9188), (8019, 1, 15469), (9188, 1, 15469), (9188, 1, 2949), (15469, 1, 8019)], -0.0414, 'xrule')]",2.2712311874784064e-05
25411.0,6,"[4.884537247562548e-06, 8.50895230541937e-06]",0.19728238880634308,"[31263, 19559]",1,"(15729, 1, 12999)","[([(15729, 1, 16455), (15729, 1, 15730), (15729, 0, 3362)], 0.40167624938904567, 'kelpie'), ([(15729, 1, 16455), (15729, 0, 3362)], 0.29691372427864965, 'kelpie'), ([(15729, 1, 15730), (15729, 1, 31425), (15729, 0, 3362)], 0.2913569024702521, 'kelpie'), ([(15171, 1, 31425), (15171, 1, 12999), (12999, 1, 15171), (31425, 1, 15171), (15729, 1, 31425)], 0.0, 'xrule'), ([(15730, 1, 15171), (15171, 1, 12999), (15729, 1, 15730), (12999, 1, 15171), (15730, 1, 15729), (15171, 1, 15730)], 0.0, 'xrule'), ([(15171, 1, 12999), (15729, 1, 16455), (16455, 1, 15729), (16455, 1, 15171), (12999, 1, 15171), (15171, 1, 16455)], -0.0001, 'xrule')]",6.696744776490959e-06
4.5,4,"[0.00018244226521346718, 0.0005742553039453924]",0.6587778329849243,"[7, 2]",1,"(9536, 0, 265)","[([(9535, 4, 9536)], 0.04544183517121596, 'kelpie'), ([(9536, 4, 35483)], 0.030587845434365633, 'kelpie'), ([(9535, 4, 9536), (9535, 4, 25282), (25282, 0, 265)], 0.0099, 'xrule'), ([(9535, 4, 9536), (24998, 0, 265), (9535, 4, 24998)], 0.0099, 'xrule')]",0.0003783487845794298
23251.5,4,"[1.306114972976502e-05, 4.907534093945287e-05]",0.9615100622177124,"[33864, 12639]",1,"(20124, 1, 18592)","[([(18592, 1, 20124)], 0.993439069409135, 'kelpie'), ([(18592, 1, 20124)], 0.9814, 'xrule'), ([(25202, 0, 20124)], 0.0013133091524775086, 'kelpie'), ([(16684, 0, 20124)], -0.0008829432068558776, 'kelpie')]",3.1068245334608946e-05
