original_rank,new_ranks,new_rank,#facts,new_scores,new_score,facts,prediction,original_score
12,"[1, 2]",1.5,3,"[2.9099877, 4.070698]",3.4903426,"[([(7125, 3, 39)], 0.45034889610791196, 8171.610722173927), ([(7125, 3, 220)], 0.3765278276934554, 5824.593035374985), ([(7125, 2, 31)], 0.2673025538441537, 8.566430556398007)]","(7125, 11, 8038)",4.0142155
5,"[1, 1]",1.0,13,"[2.8658123, 3.0946913]",2.9802518,"[([(6853, 4, 906)], 1.9248944229306701, 0.8726832220080699), ([(6853, 3, 6198)], 0.9481096764457027, 1.7207348498355874), ([(6853, 2, 30), (9644, 10, 7830), (9644, 2, 30)], 0.81939983, 'xrule'), ([(6853, 2, 3219)], 0.719225928889263, 14.672436528561441), ([(9548, 10, 7830), (9548, 3, 9), (6853, 3, 9)], 0.6012001, 'xrule'), ([(6853, 2, 30), (12936, 10, 7830), (12936, 2, 30)], 0.2709999, 'xrule'), ([(12277, 10, 7830), (12277, 3, 9), (6853, 3, 9)], -0.21240044, 'xrule'), ([(6853, 2, 30), (8338, 2, 30), (8338, 10, 7830)], -0.80130005, 'xrule'), ([(12936, 10, 7830), (12936, 2, 68), (6853, 2, 68)], -0.80239964, 'xrule'), ([(6853, 2, 30), (14130, 2, 30), (14130, 10, 7830)], -1.0983, 'xrule'), ([(9644, 10, 7830), (9644, 3, 9), (6853, 3, 9)], -1.8526001, 'xrule'), ([(9548, 10, 7830), (9548, 2, 68), (6853, 2, 68)], -2.4266996, 'xrule'), ([(9644, 10, 7830), (9644, 2, 68), (6853, 2, 68)], -2.9525003, 'xrule')]","(6853, 10, 7830)",4.188182
2,"[8, 6]",7.0,8,"[2.4831986, 2.7527552]",2.617977,"[([(4799, 3, 4812)], 0.47709659996323883, 4.61706203514146), ([(4799, 3, 162), (4799, 3, 4812)], -0.5902967017371592, 3.3565667700513466), ([(4799, 3, 254), (4799, 2, 4801), (4799, 3, 1595), (4799, 3, 4812)], -1.0903720324532404, 3.251548218729396), ([(4799, 2, 266), (22238, 8, 7566), (22238, 2, 266)], -1.1395006, 'xrule'), ([(22238, 3, 254), (22238, 8, 7566), (4799, 3, 254)], -1.4682007, 'xrule'), ([(13828, 2, 266), (4799, 2, 266), (13828, 8, 7566)], -3.3220005, 'xrule'), ([(13828, 8, 7566), (4799, 3, 254), (13828, 3, 254)], -4.3912, 'xrule'), ([(4799, 2, 266), (21405, 2, 266), (21405, 8, 7566)], -4.4076004, 'xrule')]","(4799, 8, 7566)",5.118734
4,"[1, 1]",1.0,14,"[2.3172154, 2.6149704]",2.466093,"[([(19383, 3, 40), (19383, 8, 7410), (6320, 3, 40)], 3.8008995, 'xrule'), ([(22576, 3, 40), (22576, 8, 7410), (6320, 3, 40)], 3.6240997, 'xrule'), ([(19383, 2, 68), (19383, 8, 7410), (6320, 2, 68)], 3.2588997, 'xrule'), ([(22576, 8, 7410), (6320, 2, 28), (22576, 2, 28)], 2.8596, 'xrule'), ([(6320, 3, 7), (19383, 8, 7410), (19383, 3, 7)], 2.8269997, 'xrule'), ([(19383, 3, 78), (19383, 8, 7410), (6320, 3, 78)], 2.7845001, 'xrule'), ([(6320, 3, 7), (23039, 3, 7), (23039, 8, 7410)], 2.4456997, 'xrule'), ([(23039, 8, 7410), (6320, 2, 68), (23039, 2, 68)], 1.9712, 'xrule'), ([(19383, 8, 7410), (6320, 3, 476), (19383, 3, 476)], 1.8641996, 'xrule'), ([(23181, 8, 7410), (6320, 2, 68), (23181, 2, 68)], 1.3772001, 'xrule'), ([(6320, 3, 6)], 1.2431688884419274, 7.776115113458407), ([(6320, 3, 1477)], 1.054277472265426, 22151.74159543492), ([(23039, 3, 40), (23039, 8, 7410), (6320, 3, 40)], 0.9598999, 'xrule'), ([(6320, 3, 479)], 0.45656589906656064, 10.612199186446444)]","(6320, 8, 7410)",4.6576195
5,"[1, 1]",1.0,13,"[2.765773, 3.0665698]",2.9161716,"[([(6323, 2, 28)], 3.3511164862124954, 0.9661413675899276), ([(6323, 3, 75), (18604, 10, 7830), (18604, 3, 75)], 2.7284002, 'xrule'), ([(22184, 2, 31), (22184, 10, 7830), (6323, 2, 31)], 2.5883007, 'xrule'), ([(8826, 3, 479), (8826, 10, 7830), (6323, 3, 479)], 1.7566004, 'xrule'), ([(6323, 3, 9), (8826, 10, 7830), (8826, 3, 9)], 1.6206999, 'xrule'), ([(6323, 3, 50)], 1.2707424748611407, 22103.780869810864), ([(10456, 2, 31), (6323, 2, 31), (10456, 10, 7830)], 0.7873001, 'xrule'), ([(6323, 3, 279), (8826, 10, 7830), (8826, 3, 279)], 0.4368, 'xrule'), ([(8826, 10, 7830), (8826, 2, 31), (6323, 2, 31)], 0.33600044, 'xrule'), ([(10456, 3, 9), (6323, 3, 9), (10456, 10, 7830)], -0.116799355, 'xrule'), ([(6323, 3, 1902)], -0.22160430672395867, 6.444824527262204), ([(6323, 3, 9), (22184, 10, 7830), (22184, 3, 9)], -0.22429943, 'xrule'), ([(6323, 3, 75), (22184, 3, 75), (22184, 10, 7830)], -0.7142, 'xrule')]","(6323, 10, 7830)",2.9513865
4,"[1, 1]",1.0,13,"[2.4648976, 3.704]",3.0844488,"[([(7080, 3, 4624)], 2.798525995003163, 73.94259610965953), ([(7080, 3, 1314)], 2.1567040565639615, 13.896293575918536), ([(7080, 3, 651)], 1.8837052264061354, 2715.868036127015), ([(15520, 11, 7956), (15520, 3, 39), (7080, 3, 39)], 1.0946007, 'xrule'), ([(25182, 1, 1054), (7080, 1, 1054), (25182, 11, 7956)], 0.7475004, 'xrule'), ([(7080, 3, 519), (24082, 3, 519), (24082, 11, 7956)], -0.17069912, 'xrule'), ([(19548, 3, 39), (7080, 3, 39), (19548, 11, 7956)], -0.51419926, 'xrule'), ([(25182, 3, 39), (7080, 3, 39), (25182, 11, 7956)], -0.5239992, 'xrule'), ([(21405, 11, 7956), (21405, 1, 1054), (7080, 1, 1054)], -0.73119926, 'xrule'), ([(19413, 3, 39), (7080, 3, 39), (19413, 11, 7956)], -0.95949936, 'xrule'), ([(24949, 11, 7956), (24949, 3, 39), (7080, 3, 39)], -1.0275993, 'xrule'), ([(19548, 2, 312), (19548, 11, 7956), (7080, 2, 312)], -1.0784998, 'xrule'), ([(24082, 3, 39), (7080, 3, 39), (24082, 11, 7956)], -2.0948992, 'xrule')]","(7080, 11, 7956)",3.5308044
2,"[4, 1]",2.5,3,"[2.44733, 2.688928]",2.568129,"[([(4870, 3, 892)], 0.8738508706146324, -17.294453658199153), ([(4870, 3, 10)], 0.5164375732659902, -17.373685634816447), ([(4870, 2, 1100)], -0.7344207307527367, 22207.32422536915)]","(4870, 8, 7566)",5.064227
2,"[1, 1]",1.0,13,"[2.556295, 3.683622]",3.1199584,"[([(13224, 11, 7956), (13224, 3, 519), (5533, 3, 519)], 2.9033995, 'xrule'), ([(5533, 3, 5545)], 2.4880649070590533, 49.92330086860451), ([(5533, 2, 305)], 2.047466376890599, 23512.885691349755), ([(9011, 11, 7956), (5533, 3, 38), (9011, 3, 38)], 1.3211994, 'xrule'), ([(5533, 3, 75)], 1.2520714384561562, 15103.777658221106), ([(9011, 11, 7956), (5533, 3, 892), (9011, 3, 892)], 1.1799994, 'xrule'), ([(11676, 3, 38), (5533, 3, 38), (11676, 11, 7956)], 0.45049953, 'xrule'), ([(9011, 11, 7956), (9011, 1, 1054), (5533, 1, 1054)], -0.27610016, 'xrule'), ([(13224, 11, 7956), (13224, 1, 1054), (5533, 1, 1054)], -0.48390007, 'xrule'), ([(9011, 11, 7956), (5533, 3, 20), (9011, 3, 20)], -0.55550003, 'xrule'), ([(13224, 11, 7956), (13224, 2, 709), (5533, 2, 709)], -1.6084003, 'xrule'), ([(8557, 11, 7956), (5533, 3, 20), (8557, 3, 20)], -1.6786003, 'xrule'), ([(9011, 11, 7956), (9011, 2, 709), (5533, 2, 709)], -2.4526005, 'xrule')]","(5533, 11, 7956)",3.551628
5,"[1, 1]",1.0,13,"[2.8731766, 3.29148]",3.0823283,"[([(24026, 10, 7830), (6602, 2, 31), (24026, 2, 31)], 3.8618994, 'xrule'), ([(16149, 2, 31), (6602, 2, 31), (16149, 10, 7830)], 3.3631, 'xrule'), ([(16149, 3, 78), (6602, 3, 78), (16149, 10, 7830)], 1.7289, 'xrule'), ([(18322, 2, 31), (6602, 2, 31), (18322, 10, 7830)], 1.5215998, 'xrule'), ([(23374, 2, 31), (23374, 10, 7830), (6602, 2, 31)], 1.4905996, 'xrule'), ([(6602, 3, 78), (23374, 3, 78), (23374, 10, 7830)], 1.2398996, 'xrule'), ([(6602, 3, 1424)], 1.2330513572691078, 20977.774352176904), ([(6602, 3, 772)], 1.00486474369616, 164.73201395950412), ([(14908, 10, 7830), (6602, 2, 31), (14908, 2, 31)], 0.83570004, 'xrule'), ([(25744, 2, 31), (6602, 2, 31), (25744, 10, 7830)], 0.27579975, 'xrule'), ([(13772, 10, 7830), (6602, 2, 31), (13772, 2, 31)], 0.10999966, 'xrule'), ([(6602, 1, 65)], -0.9711427186828525, 0.2746527827441087), ([(6602, 3, 78), (18322, 10, 7830), (18322, 3, 78)], -1.1480999, 'xrule')]","(6602, 10, 7830)",4.149314
4,"[1, 1]",1.0,13,"[2.950748, 3.7726812]",3.3617146,"[([(7499, 3, 1552), (7499, 3, 279), (7499, 3, 7)], 1.0741901924361075, 1247.7453929475355), ([(21542, 3, 220), (21542, 11, 7956), (7499, 3, 220)], 0.89979935, 'xrule'), ([(7499, 3, 149), (18254, 11, 7956), (18254, 3, 149)], 0.6091995, 'xrule'), ([(12647, 3, 39), (7499, 3, 39), (12647, 11, 7956)], -0.13549995, 'xrule'), ([(7499, 4, 485), (7499, 3, 7)], -0.34029575048455035, 4.4157376275319855), ([(22150, 3, 220), (22150, 11, 7956), (7499, 3, 220)], -0.59399986, 'xrule'), ([(24604, 11, 7956), (24604, 3, 39), (7499, 3, 39)], -0.6732006, 'xrule'), ([(22150, 11, 7956), (7499, 3, 39), (22150, 3, 39)], -0.8120003, 'xrule'), ([(12647, 11, 7956), (12647, 3, 220), (7499, 3, 220)], -1.2887001, 'xrule'), ([(25448, 3, 220), (25448, 11, 7956), (7499, 3, 220)], -1.3224001, 'xrule'), ([(21542, 3, 39), (21542, 11, 7956), (7499, 3, 39)], -1.3613005, 'xrule'), ([(25448, 3, 39), (25448, 11, 7956), (7499, 3, 39)], -1.5683002, 'xrule'), ([(7499, 8, 7427), (7499, 2, 30), (7499, 3, 7)], -2.7052930084177227, 4.0626617392767175)]","(7499, 11, 7956)",3.4054344
