original_score,original_rank,#facts,new_scores,new_ranks,new_score,new_rank,prediction,facts
1.701146,1,5,"[1.0406042, 1.0622756]","[3, 85]",1.05144,44.0,"(9620, 0, 3716)","[([(12662, 1, 9620)], 1.3675881049844003, -658.2030098138583), ([(12662, 1, 9620), (9620, 1, 12662), (12662, 1, 17657), (17657, 1, 12662), (17657, 0, 3716)], 1.0465002, 'xrule'), ([(9620, 1, 12662)], 0.6067352732708551, -695.3528042954238), ([(21261, 1, 9620)], 0.2057142662162582, 2166.5512479564004), ([(18308, 0, 3716), (12662, 1, 9620), (9620, 1, 12662), (12662, 1, 18308), (18308, 1, 12662)], -0.97749996, 'xrule')]"
2.045721,1,10,"[3.378792, 2.3499575]","[2076, 158]",2.8643746,1117.0,"(21026, 0, 306)","[([(27391, 6, 2610), (21026, 6, 27391), (2610, 0, 306)], 1.7403002, 'xrule'), ([(21026, 1, 9857)], 0.7837124335316326, 2008.6864796662883), ([(305, 0, 306), (21026, 6, 305)], 0.7695999, 'xrule'), ([(9857, 0, 306), (21026, 1, 9857)], 0.724, 'xrule'), ([(21026, 1, 34418)], 0.4404230537716021, 2777.6083598213686), ([(27391, 0, 306), (21026, 6, 27391)], 0.063399315, 'xrule'), ([(21026, 6, 23219), (23219, 0, 306)], -0.13679981, 'xrule'), ([(9857, 1, 25064), (25064, 1, 9857), (25064, 0, 306), (21026, 1, 9857)], -0.3118, 'xrule'), ([(21026, 1, 34418), (34418, 1, 21026), (25064, 0, 306), (25064, 1, 34418)], -0.39620018, 'xrule'), ([(21026, 6, 23219)], -1.3040270209524152, 686.2134880460607)]"
1.6250241,1,2,"[4.2854896, 5.1599402]","[13, 383]",4.722715,198.0,"(35194, 0, 1027)","[([(35194, 4, 14146)], 1.6386032838687221, -1173.1626552135854), ([(35194, 4, 35195)], 1.1042976914033624, 4062.751064487126)]"
1.6729352,1,6,"[5.4282007, 5.403237]","[10441, 87]",5.415719,5264.0,"(23212, 0, 2918)","[([(1122, 9, 1123), (1123, 0, 23212), (1122, 0, 2918), (1123, 9, 1122)], 2.3617, 'xrule'), ([(13209, 1, 23212)], 1.779704651776863, 25453.855660382553), ([(23212, 9, 1122)], 1.7403388810890414, 2248.850730094549), ([(23212, 9, 1122), (1122, 0, 2918)], 0.9381008, 'xrule'), ([(1123, 0, 23212)], 0.6399817909383941, 1921.6547493344053), ([(23212, 1, 13209), (1122, 1, 13209), (13209, 1, 1122), (13209, 1, 23212), (1122, 0, 2918)], 0.59100056, 'xrule')]"
0.9429634,1,3,"[5.313959, 5.264845]","[86, 7068]",5.289402,3577.0,"(22017, 0, 883)","[([(22016, 4, 32466), (32466, 0, 883), (22016, 4, 22017)], 1.2073002, 'xrule'), ([(22016, 4, 22017)], 0.15474132745573252, -1731.4613916867054), ([(27376, 0, 883), (22016, 4, 27376), (22016, 4, 22017)], 0.09430027, 'xrule')]"
1.5084891,1,11,"[5.049697, 5.2170515]","[41, 22919]",5.133374,11480.0,"(40030, 0, 184)","[([(1038, 4, 29795), (29795, 0, 184), (1038, 4, 40030)], 3.2902002, 'xrule'), ([(9909, 0, 184), (1038, 4, 40030), (1038, 4, 9909)], 2.3133001, 'xrule'), ([(1038, 4, 10518), (1038, 4, 40030), (10518, 0, 184)], 2.2186995, 'xrule'), ([(1038, 4, 5424), (1038, 4, 40030), (5424, 0, 184)], 1.8041, 'xrule'), ([(1905, 0, 184), (1038, 4, 40030), (1038, 4, 1905)], 1.7835999, 'xrule'), ([(20385, 0, 184), (1038, 4, 20385), (1038, 4, 40030)], 0.99209976, 'xrule'), ([(1038, 4, 13780), (13780, 0, 184), (1038, 4, 40030)], 0.81559944, 'xrule'), ([(7310, 0, 184), (1038, 4, 40030), (1038, 4, 7310)], 0.7623997, 'xrule'), ([(1038, 4, 40030)], 0.7502298814266407, 29652.67922877712), ([(5149, 0, 184), (1038, 4, 40030), (1038, 4, 5149)], 0.6501999, 'xrule'), ([(1038, 4, 40030), (1038, 4, 37195), (37195, 0, 184)], 0.6104994, 'xrule')]"
2.3381553,1,5,"[6.409051, 6.5621123]","[4026, 2769]",6.4855814,3397.5,"(14768, 6, 24252)","[([(14768, 6, 14769)], -0.5321855115953881, 1643.370007286559), ([(15788, 6, 14768)], -0.7345361253292267, 95.32420008632738), ([(14768, 0, 21985)], -1.5112780849613232, -107.81925055173234), ([(21984, 0, 21985), (14768, 0, 21985), (21984, 6, 24252)], -1.7535, 'xrule'), ([(31029, 6, 24252), (14768, 0, 21985), (31029, 0, 21985)], -4.2998, 'xrule')]"
0.8107544,1,14,"[1.3879036, 1.0580776]","[1, 1]",1.2229905,1.0,"(7324, 2, 12273)","[([(4808, 6, 7324), (6798, 2, 12273), (4808, 6, 6798)], 4.0448008, 'xrule'), ([(4808, 6, 7324), (12272, 2, 12273), (4808, 6, 12272)], 3.6732006, 'xrule'), ([(3408, 6, 7324), (3408, 6, 12484), (12484, 2, 12273)], 3.4817, 'xrule'), ([(3408, 6, 7324), (7129, 2, 12273), (3408, 6, 7129)], 3.4373007, 'xrule'), ([(7324, 6, 26524)], 3.33925372793728, 170.96575115730218), ([(3408, 6, 7324), (1322, 2, 12273), (3408, 6, 1322)], 3.0989008, 'xrule'), ([(3408, 6, 7324), (12272, 2, 12273), (3408, 6, 12272)], 2.7632008, 'xrule'), ([(7324, 6, 12734)], 2.118273839488914, 65.89266664312925), ([(3408, 6, 7324), (3684, 2, 12273), (3408, 6, 3684)], 2.0460005, 'xrule'), ([(4808, 6, 7324)], 2.0324812912318766, 392.8841654364464), ([(3408, 6, 7324), (1349, 2, 12273), (3408, 6, 1349)], 1.6259003, 'xrule'), ([(3408, 6, 7324), (3408, 6, 687), (687, 2, 12273)], 0.58860016, 'xrule'), ([(3408, 6, 7324), (6798, 2, 12273), (3408, 6, 6798)], -0.05629921, 'xrule'), ([(3408, 6, 7324), (8789, 2, 12273), (3408, 6, 8789)], -0.6236992, 'xrule')]"
1.4777615,1,11,"[4.371932, 5.178856]","[742, 5440]",4.775394,3091.0,"(31393, 0, 292)","[([(1864, 4, 31393)], 4.269428034420656, 8441.986203221255), ([(1864, 4, 14095), (1864, 4, 31393), (14095, 0, 292)], 1.6107006, 'xrule'), ([(1864, 4, 6046), (1864, 4, 31393), (6046, 0, 292)], 1.3983002, 'xrule'), ([(1864, 4, 19890), (1864, 4, 31393), (19890, 0, 292)], 1.2804003, 'xrule'), ([(1864, 4, 26575), (26575, 0, 292), (1864, 4, 31393)], 0.46810055, 'xrule'), ([(1864, 4, 26778), (1864, 4, 31393), (26778, 0, 292)], 0.43060017, 'xrule'), ([(18940, 0, 292), (1864, 4, 31393), (1864, 4, 18940)], 0.24359989, 'xrule'), ([(1864, 4, 31393), (1864, 4, 14023), (14023, 0, 292)], -0.35739994, 'xrule'), ([(38359, 0, 292), (1864, 4, 31393), (1864, 4, 38359)], -0.5703001, 'xrule'), ([(1864, 4, 31393), (20645, 0, 292), (1864, 4, 20645)], -0.8104, 'xrule'), ([(2148, 0, 292), (1864, 4, 31393), (1864, 4, 2148)], -1.4146996, 'xrule')]"
1.168735,1,12,"[5.38007, 5.346222]","[7238, 784]",5.363146,4011.0,"(3395, 0, 184)","[([(3395, 4, 3396)], 1.1414208957094272, 2403.7579404116427), ([(1038, 4, 3395)], 0.977646401210964, 441.72664095135275), ([(5149, 0, 184), (1038, 4, 5149), (1038, 4, 3395)], 0.11159992, 'xrule'), ([(4508, 0, 184), (1038, 4, 4508), (1038, 4, 3395)], -1.3396997, 'xrule'), ([(1038, 4, 4246), (4246, 0, 184), (1038, 4, 3395)], -1.5054998, 'xrule'), ([(1038, 4, 7423), (7423, 0, 184), (1038, 4, 3395)], -1.8340998, 'xrule'), ([(1038, 4, 1540), (1540, 0, 184), (1038, 4, 3395)], -2.0290003, 'xrule'), ([(1038, 4, 1477), (1477, 0, 184), (1038, 4, 3395)], -2.1148005, 'xrule'), ([(7310, 0, 184), (1038, 4, 7310), (1038, 4, 3395)], -2.1557999, 'xrule'), ([(9131, 0, 184), (1038, 4, 9131), (1038, 4, 3395)], -3.1197996, 'xrule'), ([(1905, 0, 184), (1038, 4, 1905), (1038, 4, 3395)], -3.1209002, 'xrule'), ([(3889, 0, 184), (1038, 4, 3889), (1038, 4, 3395)], -4.3556995, 'xrule')]"
