original_rank,prediction,original_score,new_score,new_ranks,facts,new_rank,new_scores,exp_length,exp
1,"(45, 1, 44)",8.879241,1.429114,[291],"[([(44, 1, 45)], 6.651, 'xrule'), ({(44, 1, 45)}, 0.2701025416531019, 'baseline'), ({(44, 1, 45)}, 0.2592430521458039, 'baseline'), ({(44, 1, 45)}, 0.2581625391583707, 'baseline'), ({(44, 1, 45)}, 0.22119240040663435, 'baseline')]",291.0,[1.429114],1,"[(44, 1, 45)]"
1,"(4050, 1, 5908)",10.466581,0.30283046,[1441],"[([(5908, 1, 4050)], 4.327, 'xrule'), ({(5908, 1, 4050)}, 2.335662012468489, 'baseline'), ({(5908, 1, 4050)}, 2.0996352270528855, 'baseline'), ({(5908, 1, 4050)}, 2.0891324109587677, 'baseline'), ({(5908, 1, 4050)}, 1.7479544477493365, 'baseline'), ({(5908, 1, 4050)}, 1.4965077115431022, 'baseline'), ({(5908, 1, 4050)}, 1.4621573148857587, 'baseline'), ({(5908, 1, 4050)}, 1.4354687381027735, 'baseline'), ({(5908, 1, 4050)}, 1.43426901572798, 'baseline'), ({(5908, 1, 4050)}, 1.3216343527515002, 'baseline'), ({(5908, 1, 4050)}, 1.3202505712707509, 'baseline')]",1441.0,[0.30283046],1,"[(5908, 1, 4050)]"
1,"(496, 1, 32512)",9.354602,-0.23515154,[20791],"[({(32512, 1, 496)}, 0.5260096024480551, 'baseline'), ({(32512, 1, 496)}, 0.43568901439256985, 'baseline'), ({(32512, 1, 496)}, 0.4225502432010511, 'baseline'), ({(32512, 1, 496)}, 0.41822819118851934, 'baseline'), ({(32512, 1, 496)}, 0.4120998799861598, 'baseline'), ({(32512, 1, 496)}, 0.4071064412443988, 'baseline'), ({(32512, 1, 496)}, 0.3933544574842377, 'baseline'), ({(32512, 1, 496)}, 0.38483242369446713, 'baseline'), ({(32512, 1, 496)}, 0.38361076691987506, 'baseline'), ({(32512, 1, 496)}, 0.38004783963314687, 'baseline')]",20791.0,[-0.23515154],1,"[(32512, 1, 496)]"
1,"(9372, 1, 1508)",9.9936285,2.210442,[17],"[({(3795, 1, 9372), (1508, 1, 9372), (9372, 1, 3795)}, 2.785243216997521, 'baseline'), ({(3795, 1, 9372), (1508, 1, 9372), (9372, 1, 3795)}, 2.4431191849769545, 'baseline'), ({(3795, 1, 9372), (1508, 1, 9372), (9372, 1, 3795)}, 2.4188100240105834, 'baseline'), ({(3795, 1, 9372), (1508, 1, 9372), (9372, 1, 3795)}, 2.300350309991729, 'baseline'), ({(3795, 1, 9372), (1508, 1, 9372), (9372, 1, 3795)}, 2.2687550768831173, 'baseline'), ([(1508, 1, 9372)], 1.5256996, 'xrule'), ({(1508, 1, 9372), (9372, 1, 3795)}, 1.4784832662242153, 'baseline'), ({(1508, 1, 9372), (9372, 1, 3795)}, 1.4013233815884805, 'baseline'), ({(1508, 1, 9372), (9372, 1, 3795)}, 1.359067978320405, 'baseline'), ({(1508, 1, 9372), (9372, 1, 3795)}, 1.2854481332534218, 'baseline'), ({(1508, 1, 9372), (9372, 1, 3795)}, 1.2793694129899245, 'baseline'), ([(1508, 9, 3795), (3795, 9, 1508), (3795, 1, 9372), (9372, 1, 3795)], -0.13570023, 'xrule'), ([(1508, 1, 3796), (3795, 1, 9372), (3796, 1, 3795), (3796, 1, 1508), (3795, 1, 3796), (9372, 1, 3795)], -0.48700047, 'xrule')]",17.0,[2.210442],4,"[(3795, 9, 1508), (3795, 1, 9372), (1508, 1, 9372), (9372, 1, 3795)]"
1,"(11686, 1, 5336)",9.1733055,1.944742,[63],"[([(5336, 1, 11686)], 0.8942995, 'xrule'), ({(5336, 1, 11686), (11686, 1, 26261), (11686, 0, 16301)}, 0.8171024793218914, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261), (11686, 1, 1528)}, 0.7978697290439689, 'baseline'), ({(5336, 1, 11686), (26261, 1, 11686), (11686, 1, 26261)}, 0.7772427068635792, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261), (1528, 1, 11686)}, 0.7208261944136647, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261), (11686, 1, 1528)}, 0.7204361415785304, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261)}, 0.5945959527820386, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261)}, 0.5862665611887765, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261)}, 0.5542059376057471, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261)}, 0.5216036270882713, 'baseline'), ({(5336, 1, 11686), (11686, 1, 26261)}, 0.4815493053617813, 'baseline'), ([(5336, 1, 1527), (11686, 0, 16301), (1527, 1, 5336), (1527, 0, 16301)], 0.26620007, 'xrule'), ([(26261, 1, 11686), (11686, 1, 26261), (1527, 1, 5336), (26261, 1, 1527), (5336, 1, 1527), (1527, 1, 26261)], 0.23329926, 'xrule'), ([(5336, 0, 16668), (11686, 0, 16301), (16301, 1, 16668), (16668, 1, 16301)], 0.1925993, 'xrule'), ([(1527, 1, 5336), (1528, 1, 1527), (1528, 1, 11686), (5336, 1, 1527), (11686, 1, 1528), (1527, 1, 1528)], 0.18799973, 'xrule')]",63.0,[1.944742],11,"[(11686, 1, 26261), (2296, 1, 1528), (5336, 1, 11686), (5336, 0, 16668), (2296, 1, 5336), (11686, 0, 16301), (16668, 1, 16301), (26261, 1, 11686), (26261, 0, 16668), (1528, 1, 11686), (11686, 1, 1528)]"
1,"(36078, 1, 7833)",10.850468,-13.412855,[36134],"[({(36078, 0, 28742), (7833, 1, 36078)}, 11.579272807845422, 'baseline'), ([(7833, 1, 36078)], 4.4521, 'xrule'), ({(7833, 1, 36078)}, 3.575577159625674, 'baseline'), ([(7833, 9, 15054), (15054, 1, 28742), (36078, 0, 28742), (28742, 1, 15054), (15054, 9, 7833)], -0.06330013, 'xrule'), ({(36078, 0, 28742)}, -0.3159160203917455, 'baseline')]",36134.0,[-13.412855],6,"[(7833, 1, 36078), (36078, 0, 28742), (28742, 1, 15054), (15054, 9, 7833), (15054, 1, 28742), (7833, 9, 15054)]"
1,"(2869, 1, 15125)",8.738957,1.2302754,[97],"[({(15125, 1, 2869)}, 3.648933338172059, 'baseline'), ({(15125, 1, 2869)}, 3.642891332574738, 'baseline'), ({(15125, 1, 2869)}, 3.635992926938388, 'baseline'), ([(15125, 1, 2869)], 3.3710003, 'xrule'), ({(15125, 1, 2869)}, 3.3355601463066633, 'baseline'), ({(15125, 1, 2869)}, 3.334146800579094, 'baseline'), ({(15125, 1, 2869)}, 3.330013097915336, 'baseline'), ({(15125, 1, 2869)}, 2.438665048718262, 'baseline'), ({(15125, 1, 2869)}, 2.3993049978478296, 'baseline'), ({(15125, 1, 2869)}, 2.3374067598110453, 'baseline')]",97.0,[1.2302754],1,"[(15125, 1, 2869)]"
1,"(4359, 1, 29197)",8.654919,0.824914,[594],"[([(29197, 1, 4359)], 2.7896996, 'xrule'), ({(29197, 1, 4359)}, 2.1869231372557123, 'baseline'), ({(29197, 1, 4359)}, 2.0766974505398146, 'baseline'), ({(29197, 1, 4359)}, 2.03328428496409, 'baseline'), ({(29197, 1, 4359)}, 1.9668494199582787, 'baseline'), ({(29197, 1, 4359)}, 1.94828424074403, 'baseline'), ({(29197, 1, 4359)}, 1.9218898717462192, 'baseline'), ({(29197, 1, 4359)}, 1.88518819015579, 'baseline'), ({(29197, 1, 4359)}, 1.8192206261858481, 'baseline'), ({(29197, 1, 4359)}, 1.801412664668181, 'baseline'), ({(29197, 1, 4359)}, 1.7344880887822633, 'baseline')]",594.0,[0.824914],1,"[(29197, 1, 4359)]"
1,"(26984, 1, 38840)",9.220281,-1.7552408,[30726],"[([(38840, 1, 26984)], 6.5732994, 'xrule'), ({(38840, 1, 26984)}, 5.263678117376383, 'baseline'), ({(38840, 1, 26984)}, 3.303526217310419, 'baseline'), ({(38840, 1, 26984)}, 1.5495072103042486, 'baseline'), ({(38840, 1, 26984)}, 1.5488005376086103, 'baseline'), ({(38840, 1, 26984)}, 1.520726271837957, 'baseline'), ({(38840, 1, 26984)}, 1.4554472621474108, 'baseline'), ({(38840, 1, 26984)}, 1.453667705800619, 'baseline'), ({(38840, 1, 26984)}, 1.3531189577773053, 'baseline')]",30726.0,[-1.7552408],1,"[(38840, 1, 26984)]"
1,"(14768, 6, 24252)",7.281294,-0.98588026,[29645],"[({(14768, 0, 21985)}, 3.994757738712508, 'baseline'), ([(21984, 0, 21985), (14768, 0, 21985), (21984, 6, 24252)], 2.0496001, 'xrule'), ([(31029, 6, 24252), (14768, 0, 21985), (31029, 0, 21985)], 1.8833003, 'xrule'), ({(14768, 0, 21985)}, 1.5866385215316816, 'baseline')]",29645.0,[-0.98588026],5,"[(21984, 6, 24252), (31029, 0, 21985), (31029, 6, 24252), (21984, 0, 21985), (14768, 0, 21985)]"
