new_scores,new_ranks,original_score,exp_length,new_rank,original_rank,facts,new_score,exp,prediction
[0.12403397262096405],[3],0.393696665763855,14,3.0,1,"[({(11761, 199, 9277), (4413, 63, 11761)}, 0.07422760411904376, 'baseline'), ({(11761, 113, 737)}, 0.0707760406521811, 'baseline'), ({(11761, 199, 9277), (11761, 150, 32), (4413, 63, 11761)}, 0.07047012727856787, 'baseline'), ({(11761, 172, 5721), (11761, 113, 737)}, 0.06933625322226357, 'baseline'), ({(4413, 63, 11761)}, 0.06492264846063009, 'baseline'), ({(11761, 113, 737), (4413, 63, 11761)}, 0.059805902648414816, 'baseline'), ({(4413, 63, 11761)}, 0.0590731231423424, 'baseline'), ({(11761, 113, 737), (11761, 150, 32), (4413, 63, 11761)}, 0.05833278873561037, 'baseline'), ({(11761, 172, 5721), (11761, 113, 737), (4413, 63, 11761)}, 0.058241247178037824, 'baseline'), ([(3529, 150, 32), (11761, 150, 32), (3529, 113, 5770)], 0.048899997, 'xrule'), ({(11761, 199, 9277), (11761, 113, 737)}, 0.03924101867619558, 'baseline'), ([(6451, 13, 32), (11761, 150, 32), (6451, 26, 5770)], 0.032499995, 'xrule'), ([(11761, 129, 90), (3529, 208, 90), (11761, 213, 90), (3529, 113, 5770), (3529, 213, 90)], 0.030799996, 'xrule'), ([(11761, 213, 90), (11761, 129, 90), (6054, 26, 5770), (6054, 34, 90)], 0.023099996, 'xrule'), ([(11761, 113, 737), (3529, 113, 5770), (3529, 113, 737)], 0.020299993, 'xrule')]",0.12403397262096405,"[(10354, 113, 5770), (11761, 150, 32), (4413, 63, 11761), (5865, 113, 5770), (11020, 83, 9277), (11761, 172, 5721), (10354, 172, 5721), (11761, 199, 9277), (10787, 113, 737), (4413, 63, 5865), (10787, 150, 32), (10787, 113, 5770), (11761, 113, 737), (11020, 113, 5770)]","(11761, 113, 5770)"
[0.9793564081192017],[1],0.987588107585907,13,1.0,1,"[({(5914, 137, 10608), (5914, 137, 5101), (5914, 137, 7372)}, 0.07374457547690677, 'baseline'), ({(5914, 137, 1074)}, 0.05158553551926858, 'baseline'), ({(5914, 137, 5178), (5914, 137, 7372)}, 0.022601882888451736, 'baseline'), ({(5914, 137, 1074), (5914, 137, 5178), (5914, 137, 7372)}, 0.017452697251702218, 'baseline'), ({(5914, 137, 5101), (5914, 137, 1074), (5914, 137, 7372)}, 0.016088287329304486, 'baseline'), ({(5914, 137, 10608), (5914, 137, 7372)}, 0.014743010444648251, 'baseline'), ({(5914, 137, 1074), (5914, 137, 11475), (5914, 137, 7372)}, 0.009651700930848257, 'baseline'), ({(5914, 137, 10608), (5914, 137, 11475)}, 0.005652050469749157, 'baseline'), ([(5100, 137, 4738), (5914, 137, 4738), (5100, 137, 9633)], 0.0056000003, 'xrule'), ([(5914, 137, 9084), (1073, 137, 9633), (1073, 137, 9084)], 0.0038000005, 'xrule'), ([(7439, 137, 9633), (7439, 137, 7440), (5914, 137, 7440)], 0.0037000002, 'xrule'), ([(5914, 137, 2463), (1073, 137, 9633), (1073, 137, 2463)], 0.0028, 'xrule'), ([(2462, 137, 9633), (5914, 137, 7440), (2462, 137, 7440)], 0.0027, 'xrule'), ({(5914, 137, 10608), (5914, 137, 1074), (5914, 137, 7372)}, 0.0019848150776880856, 'baseline'), ({(5914, 137, 10608), (5914, 137, 5101)}, -0.0056317048450371535, 'baseline')]",0.9793564081192017,"[(5914, 137, 5101), (8017, 137, 10608), (5100, 137, 1074), (5914, 137, 7372), (5100, 137, 5101), (5914, 137, 10608), (8017, 137, 9633), (5100, 137, 9633), (5100, 137, 7372), (5914, 137, 1074), (9450, 137, 9633), (9450, 137, 5178), (5914, 137, 5178)]","(5914, 137, 9633)"
[0.9547063112258911],[1],0.9600799083709717,12,1.0,1,"[({(2279, 71, 2937), (1174, 8, 2937), (2937, 6, 941), (1892, 12, 2937)}, 0.24036524776348733, 'baseline'), ({(1892, 12, 2937)}, 0.20310703979020844, 'baseline'), ({(1174, 8, 2937), (2937, 6, 941), (1892, 12, 2937)}, 0.1950394915226632, 'baseline'), ({(1174, 8, 2937), (2937, 6, 941)}, 0.15036998242826285, 'baseline'), ({(2937, 38, 7446), (1174, 8, 2937), (2937, 66, 5108), (1892, 12, 2937)}, 0.11628405293883133, 'baseline'), ({(1174, 8, 2937)}, 0.10822198825692576, 'baseline'), ({(2144, 12, 2937), (1892, 12, 2937)}, 0.10765026048678364, 'baseline'), ({(1174, 8, 2937), (2937, 6, 7213), (1892, 12, 2937)}, 0.09545491172655383, 'baseline'), ({(2937, 6, 6945), (1174, 8, 2937), (1892, 12, 2937)}, 0.09476153091072825, 'baseline'), ({(1174, 8, 2937), (2937, 8, 2269), (1892, 12, 2937)}, 0.08625201417544386, 'baseline'), ([(4353, 15, 13460), (32, 15, 13460), (2937, 143, 4353)], 0.07960001, 'xrule'), ([(5900, 28, 32), (2960, 7, 5900), (2937, 19, 2960), (5900, 30, 2960)], 0.07370001, 'xrule'), ([(7642, 48, 32), (7642, 19, 559), (2937, 19, 559)], 0.05770001, 'xrule'), ([(5900, 28, 32), (863, 7, 5900), (863, 47, 2937), (2937, 19, 863)], 0.054399997, 'xrule'), ([(5900, 28, 32), (2937, 19, 2610), (5900, 30, 2610), (2610, 7, 5900)], 0.051100016, 'xrule')]",0.9547063112258911,"[(5108, 133, 32), (2937, 66, 5108), (1174, 48, 32), (1892, 28, 32), (7446, 28, 32), (1174, 8, 2937), (2279, 71, 2937), (2937, 6, 941), (1892, 12, 2937), (2937, 38, 7446), (941, 13, 32), (2279, 151, 32)]","(2937, 48, 32)"
[0.9877967238426208],[1],0.947867214679718,11,1.0,1,"[({(2222, 119, 8617), (8617, 38, 12110), (8617, 6, 4262), (8617, 6, 4174)}, 0.03575722406927317, 'baseline'), ({(8617, 6, 4262)}, 0.02015839047018669, 'baseline'), ({(2222, 119, 8617), (8617, 6, 4262)}, 0.01965806910149123, 'baseline'), ({(2222, 45, 8617), (8617, 38, 12110), (8617, 6, 4262), (281, 8, 8617)}, 0.018546919322821008, 'baseline'), ({(2222, 45, 8617), (8617, 38, 12110), (8617, 6, 4262)}, 0.016381601730239913, 'baseline'), ({(8617, 6, 4262), (8617, 6, 8297), (8617, 6, 4174)}, 0.016294400136758435, 'baseline'), ({(8617, 6, 1959), (8617, 6, 4262)}, 0.015488366560261905, 'baseline'), ({(2222, 45, 8617), (8617, 8, 281), (8617, 160, 6615), (8617, 6, 4262)}, 0.014352838458953928, 'baseline'), ({(2222, 45, 8617), (8617, 38, 12110)}, 0.014185766633659887, 'baseline'), ({(8617, 6, 4174), (8617, 160, 6615), (8617, 6, 4262), (281, 8, 8617)}, 0.013633648817842703, 'baseline')]",0.9877967238426208,"[(2222, 119, 8617), (8617, 6, 4262), (2222, 60, 90), (281, 8, 8617), (2222, 45, 8617), (12110, 34, 90), (8617, 6, 4174), (4262, 34, 90), (4174, 34, 90), (281, 60, 90), (8617, 38, 12110)]","(8617, 60, 90)"
[0.7016275525093079],[2],0.9039296507835388,23,2.0,1,"[({(5963, 66, 1803), (1803, 127, 855), (9674, 163, 1803), (846, 106, 1803)}, 0.5255195330858831, 'baseline'), ({(10998, 24, 1803), (1803, 127, 855), (9674, 163, 1803)}, 0.4770430153828078, 'baseline'), ({(9674, 163, 1803)}, 0.4248326838939488, 'baseline'), ({(11879, 163, 1803), (10998, 24, 1803), (5963, 66, 1803), (9674, 163, 1803)}, 0.38815794565520206, 'baseline'), ({(1803, 156, 4922), (5963, 66, 1803), (7769, 24, 1803), (9674, 163, 1803)}, 0.36421207746419426, 'baseline'), ({(1803, 156, 4922), (5963, 66, 1803), (9674, 163, 1803)}, 0.35476655913396793, 'baseline'), ({(5963, 66, 1803)}, 0.3546437437606276, 'baseline'), ({(7769, 24, 1803), (1803, 156, 1503), (5963, 66, 1803), (9674, 163, 1803)}, 0.34128056111682337, 'baseline'), ({(10998, 24, 1803), (1803, 156, 1503), (5963, 66, 1803), (9674, 163, 1803)}, 0.339909266865009, 'baseline'), ({(1803, 156, 4922), (9674, 163, 1803)}, 0.09048334790947417, 'baseline'), ([(1803, 156, 1503), (1652, 156, 6317), (1652, 156, 1503)], 0.012200001, 'xrule'), ([(1803, 156, 4922), (4994, 156, 6317), (4994, 156, 4922)], 0.0112000005, 'xrule'), ([(1803, 156, 1503), (2635, 156, 6317), (2635, 156, 1503)], 0.010800001, 'xrule'), ([(1803, 156, 4922), (518, 156, 4922), (518, 156, 6317)], 0.010400001, 'xrule'), ([(1803, 156, 4922), (4921, 156, 4922), (4921, 156, 6317)], 0.0096, 'xrule')]",0.7016275525093079,"[(4083, 156, 6317), (11879, 163, 1516), (846, 106, 1803), (518, 156, 6317), (5812, 156, 6317), (4089, 127, 855), (4083, 156, 4922), (9674, 163, 1803), (10998, 24, 1803), (846, 106, 518), (1516, 156, 6317), (5963, 66, 1803), (1803, 156, 4922), (7769, 24, 1803), (10998, 39, 1327), (5963, 24, 5812), (4089, 156, 6317), (9674, 163, 8712), (8712, 156, 6317), (1803, 127, 855), (1327, 156, 6317), (7769, 39, 1327), (11879, 163, 1803)]","(1803, 156, 6317)"
[0.6422344446182251],[7],0.9906078577041626,14,7.0,1,"[({(3166, 85, 434), (4925, 85, 434), (2187, 85, 434)}, 0.01364735788352586, 'baseline'), ({(2810, 85, 434), (383, 85, 434), (4925, 85, 434), (3166, 85, 434)}, 0.00742522902360315, 'baseline'), ({(9201, 85, 434), (4925, 85, 434), (3032, 85, 434)}, 0.005600194425894236, 'baseline'), ({(3166, 85, 434), (4925, 85, 434), (3032, 85, 434)}, 0.004234055922381386, 'baseline'), ({(4925, 85, 434), (2187, 85, 434)}, 0.004050294829093605, 'baseline'), ({(9201, 85, 434), (4925, 85, 434)}, 0.003916959233566681, 'baseline'), ({(4925, 85, 434), (3032, 85, 434), (383, 85, 434)}, 0.0027166408776701724, 'baseline'), ({(2433, 85, 434), (4925, 85, 434)}, 0.0025011701274083396, 'baseline'), ({(2810, 85, 434), (4925, 85, 434)}, 0.001168291054066384, 'baseline'), ({(3166, 85, 434), (4925, 85, 434), (383, 85, 434)}, 0.0008522075997232336, 'baseline'), ([(5949, 122, 4359), (4027, 8, 4359), (4359, 8, 4027), (4027, 85, 434)], -0.0025000002, 'xrule')]",0.6422344446182251,"[(5949, 122, 383), (9201, 224, 5949), (9201, 85, 434), (2810, 85, 434), (5949, 122, 3166), (4925, 85, 434), (3032, 85, 434), (2187, 66, 5949), (3166, 85, 434), (2187, 85, 434), (2810, 224, 5949), (4925, 66, 5949), (383, 85, 434), (5949, 122, 3032)]","(434, 161, 5949)"
[0.4159538447856903],[2],0.7389125823974609,13,2.0,1,"[({(1627, 196, 2592)}, 0.14590256959927575, 'baseline'), ({(3876, 21, 2592)}, 0.13818230771305354, 'baseline'), ({(2202, 27, 2592)}, 0.133119533889366, 'baseline'), ({(2592, 21, 4603)}, 0.12906670114760085, 'baseline'), ({(10740, 20, 2592)}, 0.12079530500956596, 'baseline'), ({(2592, 196, 52)}, 0.11557094294376351, 'baseline'), ({(2592, 8, 6104)}, 0.10933712408738396, 'baseline'), ({(5933, 20, 2592)}, 0.10050580933706643, 'baseline'), ({(2592, 177, 1987)}, 0.09273937629471904, 'baseline'), ({(6104, 3, 2592)}, 0.09050670550504965, 'baseline'), ([(5933, 20, 10154), (10154, 17, 2123), (5933, 20, 2592)], 0.066900015, 'xrule'), ({(2592, 25, 62)}, 0.0651129288578878, 'baseline'), ({(1300, 42, 2592)}, 0.022542904089253055, 'baseline'), ([(6013, 17, 1415), (2592, 17, 1415), (6013, 17, 2123)], 0.018900007, 'xrule'), ({(2592, 85, 434)}, 0.009793232128436495, 'baseline'), ({(52, 196, 2592)}, 0.006324659066425487, 'baseline'), ({(1987, 42, 2592)}, 0.005431438772283459, 'baseline'), ({(2592, 17, 1415)}, 0.003080303724703031, 'baseline'), ([(2592, 17, 1415), (198, 17, 2123), (198, 17, 1415)], -0.0038000047, 'xrule'), ({(2592, 43, 141)}, -0.004206393866259237, 'baseline'), ([(2279, 71, 9730), (2279, 71, 2592), (9730, 17, 2123)], -0.041500002, 'xrule'), ({(12341, 50, 2592)}, -0.0464349137968512, 'baseline'), ({(2279, 71, 2592)}, -0.06054503191390282, 'baseline'), ([(2279, 71, 6659), (2279, 71, 2592), (6659, 17, 2123)], -0.065999985, 'xrule'), ({(3121, 21, 2592)}, -0.4360323129125151, 'baseline')]",0.4159538447856903,"[(1627, 17, 1002), (2123, 181, 1002), (2202, 27, 2592), (3876, 17, 2123), (10740, 20, 2592), (2202, 27, 4199), (4199, 17, 2123), (10740, 20, 52), (52, 17, 2123), (2592, 21, 4603), (4603, 17, 2123), (1627, 196, 2592), (3876, 21, 2592)]","(2592, 17, 2123)"
[0.9727885723114014],[1],0.9868510365486145,15,1.0,1,"[({(6054, 31, 1211), (3596, 38, 6054), (1792, 97, 6054)}, 0.16922996496923032, 'baseline'), ({(3596, 38, 6054), (6054, 97, 3969), (6054, 97, 1792), (2146, 6, 6054)}, 0.13854150025600723, 'baseline'), ({(3596, 38, 6054), (7025, 97, 6054), (6054, 97, 1792), (6054, 97, 3969)}, 0.11490486104102195, 'baseline'), ({(3596, 38, 6054), (7025, 97, 6054)}, 0.100034992250159, 'baseline'), ({(3596, 38, 6054), (6054, 97, 1792), (6054, 97, 3969)}, 0.09169719650479338, 'baseline'), ({(3596, 38, 6054)}, 0.08640072776367097, 'baseline'), ({(6054, 31, 1211), (3596, 38, 6054), (7025, 97, 6054)}, 0.08440111114727883, 'baseline'), ({(3596, 38, 6054), (7025, 97, 6054), (6054, 97, 1792)}, 0.08057502937791924, 'baseline'), ({(2625, 97, 6054), (6054, 97, 1792)}, 0.07812796067378329, 'baseline'), ({(3596, 38, 6054), (1792, 97, 6054), (6054, 97, 1792), (6054, 97, 3969)}, 0.07747886609706911, 'baseline'), ([(2573, 34, 90), (2573, 14, 160), (6054, 34, 90)], -0.0022999942, 'xrule'), ([(2030, 34, 90), (2030, 14, 160), (6054, 34, 90)], -0.0031999946, 'xrule'), ([(268, 32, 6054), (268, 32, 2573), (2573, 86, 268), (2573, 14, 160)], -0.0075999945, 'xrule'), ([(825, 34, 90), (825, 14, 160), (6054, 34, 90)], -0.010799997, 'xrule'), ([(5602, 25, 62), (5602, 100, 160), (6054, 25, 62)], -0.014599994, 'xrule')]",0.9727885723114014,"[(5034, 107, 1211), (3596, 100, 160), (7025, 97, 6054), (6054, 97, 3969), (6054, 31, 1211), (1792, 97, 6054), (2146, 100, 160), (3596, 38, 6054), (13361, 100, 160), (6054, 97, 1792), (1792, 14, 160), (2146, 6, 6054), (3969, 155, 13361), (5034, 51, 160), (7025, 14, 160)]","(6054, 14, 160)"
[0.8175668120384216],[1],0.846180260181427,15,1.0,1,"[({(1060, 47, 5839), (5839, 38, 2538)}, 0.34125934189390655, 'baseline'), ({(5839, 39, 150), (5840, 8, 5839), (5839, 19, 1060)}, 0.28257022406582866, 'baseline'), ({(5840, 8, 5839), (5839, 17, 2044), (1060, 47, 5839)}, 0.23938016181526406, 'baseline'), ({(1060, 47, 5839), (5839, 8, 5840), (5839, 38, 2538)}, 0.1928392456265985, 'baseline'), ({(5839, 39, 150), (5840, 8, 5839), (1060, 47, 5839)}, 0.1877835796733263, 'baseline'), ({(5840, 8, 5839), (5839, 38, 3044), (5839, 19, 1060), (1060, 47, 5839)}, 0.17348943211651374, 'baseline'), ({(5840, 8, 5839), (5839, 38, 2538), (5839, 19, 1060), (1060, 47, 5839)}, 0.1614905998557572, 'baseline'), ({(1060, 47, 5839)}, 0.1567989990114894, 'baseline'), ({(1060, 47, 5839), (5839, 8, 5840), (5839, 19, 1060)}, 0.11782221041780504, 'baseline'), ([(32, 139, 90), (2538, 183, 5839), (2538, 34, 90), (32, 206, 90), (32, 234, 90), (5839, 38, 2538)], 0.11649999, 'xrule'), ([(10512, 48, 32), (5839, 38, 2538), (2538, 183, 5839), (10512, 6, 2538)], 0.10949999, 'xrule'), ({(5840, 8, 5839)}, 0.10524479583815963, 'baseline'), ([(3825, 133, 32), (6838, 24, 3825), (5839, 8, 6838)], 0.0952, 'xrule'), ([(5840, 24, 2607), (2607, 133, 32), (5840, 8, 5839), (32, 15, 2607), (5839, 8, 5840)], 0.073599994, 'xrule'), ([(2520, 17, 2044), (2520, 48, 32), (5839, 17, 2044)], 0.04549998, 'xrule')]",0.8175668120384216,"[(5840, 8, 6838), (1060, 47, 5839), (5839, 8, 5840), (5839, 38, 2538), (5839, 19, 1060), (6648, 17, 2044), (5839, 17, 2044), (10437, 48, 32), (10437, 19, 1060), (32, 15, 150), (6648, 48, 32), (2538, 13, 32), (5840, 8, 5839), (5839, 39, 150), (6838, 48, 32)]","(5839, 48, 32)"
[0.8326746225357056],[1],0.9179816246032715,13,1.0,1,"[({(7681, 43, 141), (7681, 202, 1669)}, 0.4177610099958241, 'baseline'), ({(7681, 17, 818), (7681, 102, 3044), (7681, 43, 141)}, 0.36760352219479575, 'baseline'), ({(7681, 102, 3044), (7681, 43, 141), (7681, 202, 1669)}, 0.3636671122086167, 'baseline'), ({(7681, 17, 818), (7681, 43, 141)}, 0.3023692182891414, 'baseline'), ({(7681, 43, 141), (7681, 17, 393)}, 0.24318901785641572, 'baseline'), ({(7681, 39, 10717), (7681, 17, 818), (7681, 202, 1669), (7681, 17, 393)}, 0.14976624694450766, 'baseline'), ({(7681, 17, 393), (7681, 43, 141), (7681, 202, 1669)}, 0.13093135795208577, 'baseline'), ({(7681, 43, 141)}, 0.1302451892866573, 'baseline'), ({(7681, 17, 818), (7681, 102, 3044)}, 0.09621755318282527, 'baseline'), ([(13860, 43, 141), (7681, 43, 141), (13860, 48, 32)], 0.08709997, 'xrule'), ({(7681, 39, 10717), (7681, 102, 3044), (7681, 43, 141), (7681, 202, 1669)}, 0.07708964777867196, 'baseline'), ([(7681, 17, 818), (9934, 48, 32), (9934, 17, 818)], 0.032999992, 'xrule'), ([(7337, 17, 393), (7337, 48, 32), (7681, 17, 393)], 0.031199992, 'xrule'), ([(12406, 43, 141), (7681, 43, 141), (12406, 48, 32)], 0.010199964, 'xrule'), ([(7681, 17, 818), (12406, 17, 818), (12406, 48, 32)], 0.0020999908, 'xrule')]",0.8326746225357056,"[(14350, 48, 32), (7681, 17, 818), (14350, 43, 141), (1669, 222, 32), (12424, 48, 32), (7681, 102, 3044), (2797, 48, 32), (7681, 17, 393), (7681, 202, 1669), (12424, 17, 818), (7681, 43, 141), (2797, 17, 393), (3044, 13, 32)]","(7681, 48, 32)"
