exp,facts,original_score,exp_length,new_scores,new_ranks,new_score,prediction,new_rank,original_rank
"[(5660, 12, 5014), (5660, 186, 5014), (5014, 102, 5660), (462, 136, 6402), (5660, 136, 5014), (5014, 38, 5660), (5660, 109, 5014)]","[([(5660, 109, 5014), (5660, 12, 5014), (5660, 186, 5014), (5014, 102, 5660), (5014, 38, 5660), (5660, 136, 5014), (462, 136, 6402)], 0.8654995, 'xrule')]",6.9425015,7,[6.392018],[2],6.392018,"(5660, 136, 6402)",2.0,1
"[(778, 14, 160), (2258, 26, 64)]","[([(2258, 26, 64), (778, 14, 160)], 0.27560043, 'xrule')]",8.303699,2,[8.115192],[1],8.115192,"(2258, 14, 160)",1.0,1
"[(10634, 48, 32), (2664, 43, 141)]","[([(10634, 48, 32), (2664, 43, 141)], 0.8210001, 'xrule')]",7.3984365,2,[7.0795975],[1],7.0795975,"(10634, 43, 141)",1.0,1
"[(1900, 25, 62), (3742, 31, 4), (4, 2, 3742)]","[([(3742, 31, 4), (4, 2, 3742), (1900, 25, 62)], 0.49069977, 'xrule')]",3.8423574,3,[4.0810833],[1],4.0810833,"(3742, 25, 62)",1.0,1
"[(9623, 231, 4653), (4653, 231, 9623), (1445, 148, 7018)]","[([(1445, 148, 7018), (4653, 231, 9623), (9623, 231, 4653)], 0.07629967, 'xrule')]",7.140051,3,[7.1546297],[1],7.1546297,"(1445, 148, 9623)",1.0,1
"[(7412, 34, 90), (160, 70, 158)]","[([(7412, 34, 90), (160, 70, 158)], 0.31720066, 'xrule')]",8.902123,2,[8.751919],[1],8.751919,"(7412, 14, 160)",1.0,1
"[(7435, 64, 7434), (7434, 64, 7435), (7434, 35, 7238)]","[([(7435, 64, 7434), (7434, 64, 7435), (7434, 35, 7238)], 0.08139992, 'xrule')]",6.9823084,3,[7.1264076],[1],7.1264076,"(7435, 35, 7238)",1.0,1
"[(1302, 152, 1163), (1302, 58, 1163), (1329, 13, 75), (1163, 58, 1302)]","[([(1329, 13, 75), (1302, 152, 1163), (1302, 58, 1163), (1163, 58, 1302)], 0.053800583, 'xrule')]",5.9050293,4,[5.7323046],[2],5.7323046,"(1329, 13, 1163)",2.0,1
"[(4171, 77, 409), (5181, 17, 862)]","[([(4171, 77, 409), (5181, 17, 862)], 0.37909985, 'xrule')]",6.73506,2,[7.139364],[1],7.139364,"(409, 17, 862)",1.0,1
"[(10198, 25, 62), (12882, 135, 10174), (10174, 54, 12882), (10174, 144, 12882), (12882, 133, 10174), (10174, 15, 12882)]","[([(12882, 135, 10174), (10174, 54, 12882), (10174, 144, 12882), (12882, 133, 10174), (10174, 15, 12882), (10198, 25, 62)], 2.4589, 'xrule')]",6.162185,6,[9.862175],[1],9.862175,"(12882, 25, 62)",1.0,1
