prediction,facts,exp,exp_length,original_score,original_rank,new_scores,new_ranks,new_score,new_rank
"(6419, 9, 7991)","[([(11581, 9, 7991), (16014, 9, 7991), (6419, 2, 729)], 0.8748007, 'xrule')]","[(11581, 9, 7991), (16014, 9, 7991), (6419, 2, 729)]",3,7.2348557,1,[6.9304976],[1],6.9304976,1.0
"(6323, 9, 8418)","[([(24691, 9, 8418), (15050, 9, 8418), (6323, 3, 39)], 0.249099727, 'xrule')]","[(24691, 9, 8418), (15050, 9, 8418), (6323, 3, 39)]",3,9.206495,1,[8.759028],[1],8.759028,1.0
"(6427, 9, 7790)","[([(6427, 3, 278), (16023, 9, 7790), (15575, 9, 7790)], 1.4006004, 'xrule')]","[(6427, 3, 278), (16023, 9, 7790), (15575, 9, 7790)]",3,9.176519,1,[8.84454],[1],8.84454,1.0
"(5834, 11, 6729)","[([(9548, 11, 6729), (5834, 3, 40), (9576, 11, 6729)], 0.59420014, 'xrule')]","[(9548, 11, 6729), (5834, 3, 40), (9576, 11, 6729)]",3,6.305955,2,[5.5014815],[4],5.5014815,4.0
"(5133, 9, 10166)","[([(5133, 2, 5135), (10165, 9, 10166), (25154, 9, 10166)], 2.8492995, 'xrule')]","[(5133, 2, 5135), (10165, 9, 10166), (25154, 9, 10166)]",3,6.6553817,1,[4.2245154],[11],4.2245154,11.0
"(5770, 9, 1470)","[([(5770, 2, 789), (23170, 9, 1470), (21072, 9, 1470)], 0.78779983, 'xrule')]","[(5770, 2, 789), (23170, 9, 1470), (21072, 9, 1470)]",3,9.176468,1,[9.457069],[1],9.457069,1.0
"(5279, 11, 7992)","[([(24492, 11, 7992), (5279, 4, 66), (11388, 11, 7992)], 0.6342010499999999, 'xrule')]","[(24492, 11, 7992), (5279, 4, 66), (11388, 11, 7992)]",3,5.860883,1,[5.5635953],[1],5.5635953,1.0
"(6504, 11, 7992)","[([(24819, 11, 7992), (12676, 11, 7992), (24925, 12, 7992), (6504, 3, 9)], 0.363898274, 'xrule')]","[(24819, 11, 7992), (12676, 11, 7992), (24925, 12, 7992), (6504, 3, 9)]",4,6.168883,1,[5.982654],[1],5.982654,1.0
"(6848, 11, 7992)","[([(14712, 11, 7992), (22815, 11, 7992), (24925, 12, 7992), (6848, 3, 9)], 0.3412981, 'xrule')]","[(14712, 11, 7992), (24925, 12, 7992), (22815, 11, 7992), (6848, 3, 9)]",4,5.854314,1,[5.6721015],[3],5.6721015,3.0
"(7058, 9, 9349)","[([(22746, 9, 9349), (9349, 3, 12509), (7058, 3, 7062), (10310, 9, 9349), (9349, 3, 7062)], 3.1771994, 'xrule')]","[(22746, 9, 9349), (9349, 3, 12509), (7058, 3, 7062), (10310, 9, 9349), (9349, 3, 7062)]",5,6.829072,1,[5.1428466],[5],5.1428466,5.0
