original_rank,exp_length,original_score,prediction,facts,new_rank,new_score,exp,new_scores,new_ranks
1,7,6.9425015,"(5660, 136, 6402)","[([(5660, 109, 5014), (5660, 12, 5014), (5660, 186, 5014), (5014, 102, 5660), (5014, 38, 5660), (5660, 136, 5014), (462, 136, 6402)], 0.8654995, 'xrule')]",2.0,6.392018,"[(5660, 12, 5014), (5660, 186, 5014), (5014, 102, 5660), (462, 136, 6402), (5660, 136, 5014), (5014, 38, 5660), (5660, 109, 5014)]",[6.392018],[2]
1,2,8.303699,"(2258, 14, 160)","[([(2258, 26, 64), (778, 14, 160)], 0.27560043, 'xrule')]",1.0,8.115192,"[(778, 14, 160), (2258, 26, 64)]",[8.115192],[1]
1,2,7.3984365,"(10634, 43, 141)","[([(10634, 48, 32), (2664, 43, 141)], 0.8210001, 'xrule')]",1.0,7.0795975,"[(10634, 48, 32), (2664, 43, 141)]",[7.0795975],[1]
1,3,7.140051,"(1445, 148, 9623)","[([(1445, 148, 7018), (4653, 231, 9623), (9623, 231, 4653)], 0.07629967, 'xrule')]",1.0,7.1546297,"[(9623, 231, 4653), (4653, 231, 9623), (1445, 148, 7018)]",[7.1546297],[1]
1,3,3.8423574,"(3742, 25, 62)","[([(3742, 31, 4), (4, 2, 3742), (1900, 25, 62)], 0.49069977, 'xrule')]",1.0,4.0810833,"[(1900, 25, 62), (3742, 31, 4), (4, 2, 3742)]",[4.0810833],[1]
1,2,8.902123,"(7412, 14, 160)","[([(7412, 34, 90), (160, 70, 158)], 0.31720066, 'xrule')]",1.0,8.751919,"[(7412, 34, 90), (160, 70, 158)]",[8.751919],[1]
1,3,6.9823084,"(7435, 35, 7238)","[([(7435, 64, 7434), (7434, 64, 7435), (7434, 35, 7238)], 0.08139992, 'xrule')]",1.0,7.1264076,"[(7435, 64, 7434), (7434, 64, 7435), (7434, 35, 7238)]",[7.1264076],[1]
1,4,5.9050293,"(1329, 13, 1163)","[([(1329, 13, 75), (1302, 152, 1163), (1302, 58, 1163), (1163, 58, 1302)], 0.053800583, 'xrule')]",2.0,5.7323046,"[(1302, 152, 1163), (1302, 58, 1163), (1329, 13, 75), (1163, 58, 1302)]",[5.7323046],[2]
1,2,6.73506,"(409, 17, 862)","[([(4171, 77, 409), (5181, 17, 862)], 0.37909985, 'xrule')]",1.0,7.139364,"[(4171, 77, 409), (5181, 17, 862)]",[7.139364],[1]
1,6,6.162185,"(12882, 25, 62)","[([(12882, 135, 10174), (10174, 54, 12882), (10174, 144, 12882), (12882, 133, 10174), (10174, 15, 12882), (10198, 25, 62)], 2.4589, 'xrule')]",1.0,9.862175,"[(10198, 25, 62), (12882, 135, 10174), (10174, 54, 12882), (10174, 144, 12882), (12882, 133, 10174), (10174, 15, 12882)]",[9.862175],[1]
1,2,8.005735,"(7706, 17, 1002)","[([(7706, 48, 32), (8847, 17, 1002)], 0.36889935, 'xrule')]",1.0,8.132277,"[(8847, 17, 1002), (7706, 48, 32)]",[8.132277],[1]
1,2,8.090952,"(2494, 85, 434)","[([(2494, 48, 32), (434, 161, 10763)], 1.3161993, 'xrule')]",1.0,7.7424245,"[(2494, 48, 32), (434, 161, 10763)]",[7.7424245],[1]
1,3,7.616864,"(5672, 26, 64)","[([(5672, 28, 32), (5672, 13, 32), (4616, 26, 64)], 0.47520065, 'xrule')]",1.0,7.4705915,"[(4616, 26, 64), (5672, 28, 32), (5672, 13, 32)]",[7.4705915],[1]
1,2,8.392536,"(3350, 48, 32)","[([(3350, 24, 1327), (10324, 160, 32)], 0.5976, 'xrule')]",1.0,8.051252,"[(10324, 160, 32), (3350, 24, 1327)]",[8.051252],[1]
1,3,5.3587217,"(6933, 25, 62)","[([(6933, 133, 1124), (1124, 15, 6933), (4242, 25, 62)], 0.57019997, 'xrule')]",1.0,5.8068337,"[(6933, 133, 1124), (4242, 25, 62), (1124, 15, 6933)]",[5.8068337],[1]
