facts,new_score,exp_length,prediction,exp,original_rank,new_scores,original_score,new_ranks,new_rank
"[([(6427, 3, 278), (25155, 9, 7790), (25155, 3, 278)], 0.13230038, 'xrule')]",9.457964,3,"(6427, 9, 7790)","[(6427, 3, 278), (25155, 9, 7790), (25155, 3, 278)]",1,[9.457964],9.176514,[1],1.0
"[([(7125, 3, 9), (8416, 3, 9), (8416, 11, 8038)], 1.3860006, 'xrule')]",5.958953,3,"(7125, 11, 8038)","[(7125, 3, 9), (8416, 3, 9), (8416, 11, 8038)]",1,[5.958953],5.990065,[1],1.0
"[([(7788, 3, 37), (25070, 3, 37), (25070, 11, 8038)], 0.31279945, 'xrule')]",6.7979054,3,"(7788, 11, 8038)","[(7788, 3, 37), (25070, 3, 37), (25070, 11, 8038)]",1,[6.7979054],7.2885904,[1],1.0
"[([(11328, 11, 7992), (11328, 3, 10), (5822, 3, 10)], 0.74090004, 'xrule')]",6.1121817,3,"(5822, 11, 7992)","[(11328, 11, 7992), (11328, 3, 10), (5822, 3, 10)]",1,[6.1121817],6.493819,[1],1.0
"[([(8347, 11, 7992), (5279, 2, 31), (8347, 2, 31)], 0.11139965, 'xrule')]",5.663808,3,"(5279, 11, 7992)","[(8347, 11, 7992), (5279, 2, 31), (8347, 2, 31)]",1,[5.663808],5.8608837,[1],1.0
"[([(22529, 11, 7992), (6848, 3, 9), (22529, 3, 9)], 0.45219994, 'xrule')]",5.78605,3,"(6848, 11, 7992)","[(22529, 11, 7992), (6848, 3, 9), (22529, 3, 9)]",1,[5.78605],5.854315,[2],2.0
"[([(10310, 3, 7062), (10310, 9, 9349), (7058, 3, 7062)], 0.7322998, 'xrule')]",6.046132,3,"(7058, 9, 9349)","[(10310, 3, 7062), (10310, 9, 9349), (7058, 3, 7062)]",1,[6.046132],6.829075,[3],3.0
"[([(21752, 12, 8676), (21752, 3, 748), (5822, 3, 748)], 0.30010033, 'xrule')]",6.226473,3,"(5822, 12, 8676)","[(21752, 12, 8676), (21752, 3, 748), (5822, 3, 748)]",1,[6.226473],8.200344,[5],5.0
"[([(5849, 3, 6), (13995, 11, 7869), (13995, 3, 6)], 0.61310005, 'xrule')]",6.55161,3,"(5849, 11, 7869)","[(5849, 3, 6), (13995, 11, 7869), (13995, 3, 6)]",2,[6.55161],6.2528124,[1],1.0
"[([(24925, 11, 7992), (24925, 12, 7992), (5696, 3, 75), (24925, 3, 75)], 1.4561005, 'xrule')]",6.749806,4,"(5696, 11, 7992)","[(24925, 11, 7992), (24925, 12, 7992), (5696, 3, 75), (24925, 3, 75)]",1,[6.749806],6.5734153,[1],1.0
"[([(6195, 2, 3219), (25757, 2, 3219), (25757, 9, 8721)], 0.7607994, 'xrule')]",3.5129683,3,"(6195, 9, 8721)","[(6195, 2, 3219), (25757, 2, 3219), (25757, 9, 8721)]",1,[3.5129683],6.0124025,[26],26.0
"[([(5717, 3, 2014), (23410, 9, 2010), (23410, 3, 2014)], 0.46399975, 'xrule')]",6.669532,3,"(5717, 9, 2010)","[(5717, 3, 2014), (23410, 9, 2010), (23410, 3, 2014)]",1,[6.669532],7.6262035,[2],2.0
"[([(25534, 9, 13676), (25534, 3, 2586), (5179, 3, 2586)], 0.4864006, 'xrule')]",7.7621202,3,"(5179, 9, 13676)","[(25534, 9, 13676), (25534, 3, 2586), (5179, 3, 2586)]",1,[7.7621202],8.899089,[1],1.0
"[([(4912, 3, 75), (20378, 3, 75), (20378, 11, 7869)], 0.53200054, 'xrule')]",7.5664396,3,"(4912, 11, 7869)","[(4912, 3, 75), (20378, 3, 75), (20378, 11, 7869)]",1,[7.5664396],7.3935227,[1],1.0
"[([(15740, 9, 7759), (7517, 3, 2279), (15740, 3, 2279)], 0.20429993, 'xrule')]",7.679619,3,"(7517, 9, 7759)","[(15740, 9, 7759), (7517, 3, 2279), (15740, 3, 2279)]",1,[7.679619],8.731943,[1],1.0
"[([(18479, 9, 2010), (6162, 2, 31), (18479, 2, 31)], 0.34810066, 'xrule')]",7.346917,3,"(6162, 9, 2010)","[(18479, 9, 2010), (6162, 2, 31), (18479, 2, 31)]",1,[7.346917],8.629868,[1],1.0
"[([(5920, 3, 111), (25113, 9, 8418), (25113, 3, 111)], 0.1534996, 'xrule')]",9.3134775,3,"(5920, 9, 8418)","[(5920, 3, 111), (25113, 9, 8418), (25113, 3, 111)]",1,[9.3134775],9.054642,[1],1.0
"[([(6822, 3, 2043), (17096, 3, 2043), (17096, 11, 7869)], 0.18109989, 'xrule')]",6.6539583,3,"(6822, 11, 7869)","[(6822, 3, 2043), (17096, 3, 2043), (17096, 11, 7869)]",1,[6.6539583],6.63501,[1],1.0
"[([(16696, 3, 6), (7365, 3, 6), (16696, 12, 6095)], 2.2503, 'xrule')]",3.4146085,3,"(7365, 12, 6095)","[(16696, 3, 6), (7365, 3, 6), (16696, 12, 6095)]",2,[3.4146085],7.641706,[64],64.0
"[([(25172, 3, 40), (25172, 11, 6729), (5110, 3, 40)], 0.18410015, 'xrule')]",5.700758,3,"(5110, 11, 6729)","[(25172, 3, 40), (25172, 11, 6729), (5110, 3, 40)]",2,[5.700758],6.395771,[2],2.0
"[([(7655, 3, 220), (21168, 11, 8038), (21168, 3, 220)], 0.6907997, 'xrule')]",6.4811034,3,"(7655, 11, 8038)","[(7655, 3, 220), (21168, 11, 8038), (21168, 3, 220)]",1,[6.4811034],6.992312,[1],1.0
"[([(22481, 3, 10), (6812, 3, 10), (22481, 12, 13960)], 1.1051002, 'xrule')]",6.1782203,3,"(6812, 12, 13960)","[(22481, 3, 10), (6812, 3, 10), (22481, 12, 13960)]",1,[6.1782203],7.1088166,[3],3.0
"[([(18965, 2, 2083), (18965, 9, 11980), (5218, 2, 2083)], 0.56550026, 'xrule')]",5.3763847,3,"(5218, 9, 11980)","[(18965, 2, 2083), (18965, 9, 11980), (5218, 2, 2083)]",1,[5.3763847],6.9315023,[1],1.0
"[([(14237, 9, 7903), (14237, 3, 418), (7236, 3, 418)], 0.26390076, 'xrule')]",8.166038,3,"(7236, 9, 7903)","[(14237, 9, 7903), (14237, 3, 418), (7236, 3, 418)]",1,[8.166038],8.511835,[1],1.0
"[([(20946, 11, 7869), (20946, 2, 30), (5756, 2, 30)], 0.61310005, 'xrule')]",6.2427607,3,"(5756, 11, 7869)","[(20946, 11, 7869), (20946, 2, 30), (5756, 2, 30)]",2,[6.2427607],6.1215763,[1],1.0
"[([(6419, 3, 1823), (11461, 3, 1823), (11461, 9, 7991)], 0.35149956, 'xrule')]",6.560801,3,"(6419, 9, 7991)","[(6419, 3, 1823), (11461, 3, 1823), (11461, 9, 7991)]",1,[6.560801],7.2348595,[1],1.0
"[([(14712, 9, 8418), (14712, 3, 111), (6323, 3, 111)], 0.13290024, 'xrule')]",9.173464,3,"(6323, 9, 8418)","[(14712, 9, 8418), (14712, 3, 111), (6323, 3, 111)]",1,[9.173464],9.2064905,[1],1.0
"[([(6885, 2, 1166), (12340, 2, 1166), (12340, 9, 1470)], 0.21510029, 'xrule')]",7.8665657,3,"(6885, 9, 1470)","[(6885, 2, 1166), (12340, 2, 1166), (12340, 9, 1470)]",1,[7.8665657],9.047374,[1],1.0
"[([(5770, 2, 1166), (14803, 9, 1470), (14803, 2, 1166)], 0.16839981, 'xrule')]",8.646722,3,"(5770, 9, 1470)","[(5770, 2, 1166), (14803, 9, 1470), (14803, 2, 1166)]",1,[8.646722],9.176466,[1],1.0
"[([(25429, 11, 8038), (25429, 4, 66), (5575, 4, 66)], 0.8323002, 'xrule')]",6.1576223,3,"(5575, 11, 8038)","[(25429, 11, 8038), (25429, 4, 66), (5575, 4, 66)]",1,[6.1576223],6.8954225,[1],1.0
"[([(23486, 11, 7992), (23486, 3, 78), (5067, 3, 78)], 0.87199974, 'xrule')]",5.501522,3,"(5067, 11, 7992)","[(23486, 11, 7992), (23486, 3, 78), (5067, 3, 78)]",1,[5.501522],5.6155605,[1],1.0
"[([(5645, 2, 2083), (18965, 2, 2083), (18965, 9, 11980)], 0.42319965, 'xrule')]",5.5917172,3,"(5645, 9, 11980)","[(5645, 2, 2083), (18965, 2, 2083), (18965, 9, 11980)]",2,[5.5917172],6.96239,[4],4.0
"[([(24360, 12, 4492), (24360, 3, 40), (7628, 3, 40)], 0.23589993, 'xrule')]",7.9128714,3,"(7628, 12, 4492)","[(24360, 12, 4492), (7628, 3, 40), (24360, 3, 40)]",2,[7.9128714],8.398114,[2],2.0
"[([(5844, 3, 40), (23703, 11, 8038), (23703, 3, 40)], -0.04339981, 'xrule')]",5.493911,3,"(5844, 11, 8038)","[(5844, 3, 40), (23703, 11, 8038), (23703, 3, 40)]",1,[5.493911],6.3391323,[1],1.0
"[([(19548, 11, 8038), (6213, 3, 2132), (19548, 3, 2132)], 0.8337002, 'xrule')]",7.7288666,3,"(6213, 11, 8038)","[(19548, 11, 8038), (6213, 3, 2132), (19548, 3, 2132)]",2,[7.7288666],7.5643873,[2],2.0
"[([(25133, 11, 7984), (6246, 3, 7), (25133, 3, 7)], 0.81949997, 'xrule')]",6.4446526,3,"(6246, 11, 7984)","[(25133, 11, 7984), (6246, 3, 7), (25133, 3, 7)]",3,[6.4446526],5.7324796,[1],1.0
"[([(6327, 3, 279), (19207, 12, 8676), (19207, 3, 279)], 0.2652998, 'xrule')]",7.663658,3,"(6327, 12, 8676)","[(6327, 3, 279), (19207, 12, 8676), (19207, 3, 279)]",2,[7.663658],7.3364105,[2],2.0
"[([(20674, 12, 8644), (7574, 3, 1148), (20674, 3, 1148)], 1.4274001, 'xrule')]",6.6218987,3,"(7574, 12, 8644)","[(20674, 12, 8644), (7574, 3, 1148), (20674, 3, 1148)]",1,[6.6218987],8.558601,[2],2.0
"[([(19035, 11, 6729), (4978, 3, 40), (19035, 3, 40)], 0.1473999, 'xrule')]",5.9520254,3,"(4978, 11, 6729)","[(19035, 3, 40), (4978, 3, 40), (19035, 11, 6729)]",1,[5.9520254],6.7241745,[3],3.0
"[([(20036, 12, 9510), (20036, 3, 9), (7177, 3, 9)], 1.3186007, 'xrule')]",4.3966875,3,"(7177, 12, 9510)","[(20036, 12, 9510), (20036, 3, 9), (7177, 3, 9)]",2,[4.3966875],6.4412184,[34],34.0
"[([(7154, 1, 65), (23960, 9, 8418), (23960, 1, 65)], 0.14009953, 'xrule')]",9.171996,3,"(7154, 9, 8418)","[(7154, 1, 65), (23960, 9, 8418), (23960, 1, 65)]",1,[9.171996],9.283322,[1],1.0
"[([(6219, 3, 100), (20237, 9, 7790), (20237, 3, 100)], 0.09589958, 'xrule')]",9.64801,3,"(6219, 9, 7790)","[(6219, 3, 100), (20237, 9, 7790), (20237, 3, 100)]",1,[9.64801],9.5396805,[1],1.0
"[([(14301, 9, 8339), (14301, 3, 506), (6105, 3, 506)], 0.2038002, 'xrule')]",7.806156,3,"(6105, 9, 8339)","[(14301, 9, 8339), (14301, 3, 506), (6105, 3, 506)]",1,[7.806156],8.565611,[1],1.0
"[([(23138, 11, 6729), (5334, 3, 40), (23138, 3, 40)], 0.22450066, 'xrule')]",5.343625,3,"(5334, 11, 6729)","[(23138, 11, 6729), (5334, 3, 40), (23138, 3, 40)]",1,[5.343625],6.271142,[2],2.0
"[([(6812, 3, 10), (9782, 3, 10), (9782, 11, 7869)], 0.40600014, 'xrule')]",6.915748,3,"(6812, 11, 7869)","[(6812, 3, 10), (9782, 3, 10), (9782, 11, 7869)]",1,[6.915748],6.495025,[1],1.0
"[([(23697, 11, 7984), (5696, 3, 6), (23697, 3, 6)], 1.2691002, 'xrule')]",6.572447,3,"(5696, 11, 7984)","[(23697, 11, 7984), (5696, 3, 6), (23697, 3, 6)]",1,[6.572447],6.2951746,[1],1.0
"[([(6848, 3, 629), (22316, 9, 11980), (22316, 3, 629)], 0.30160046, 'xrule')]",7.009115,3,"(6848, 9, 11980)","[(6848, 3, 629), (22316, 9, 11980), (22316, 3, 629)]",1,[7.009115],8.735666,[1],1.0
"[([(5380, 3, 10), (12402, 11, 8038), (12402, 3, 10)], 0.6594, 'xrule')]",6.7683077,3,"(5380, 11, 8038)","[(5380, 3, 10), (12402, 11, 8038), (12402, 3, 10)]",1,[6.7683077],6.7899523,[1],1.0
"[([(16645, 3, 6), (16645, 12, 8340), (7933, 3, 6), (16645, 11, 8340)], 0.16740036, 'xrule')]",7.7320905,4,"(7933, 12, 8340)","[(16645, 3, 6), (16645, 12, 8340), (7933, 3, 6), (16645, 11, 8340)]",1,[7.7320905],9.299835,[1],1.0
