new_ranks,exp,original_rank,new_scores,exp_length,new_rank,new_score,facts,prediction,original_score
[1],"[(3529, 150, 32), (11761, 150, 32), (3529, 113, 5770)]",1,[0.599620521068573],3,1.0,0.599620521068573,"[([(3529, 150, 32), (11761, 150, 32), (3529, 113, 5770)], 0.048899997, 'xrule')]","(11761, 113, 5770)",0.393696665763855
[1],"[(32, 15, 13460), (2937, 143, 4353), (4353, 15, 13460)]",1,[0.9533156752586365],3,1.0,0.9533156752586365,"[([(4353, 15, 13460), (32, 15, 13460), (2937, 143, 4353)], 0.07960001, 'xrule')]","(2937, 48, 32)",0.9600799083709717
[1],"[(1803, 156, 1503), (1652, 156, 6317), (1652, 156, 1503)]",1,[0.9647903442382812],3,1.0,0.9647903442382812,"[([(1803, 156, 1503), (1652, 156, 6317), (1652, 156, 1503)], 0.012200001, 'xrule')]","(1803, 156, 6317)",0.9039296507835388
[14],"[(5949, 122, 4359), (4027, 8, 4359), (4359, 8, 4027), (4027, 85, 434)]",1,[0.9193404316902161],4,14.0,0.9193404316902161,"[([(5949, 122, 4359), (4027, 8, 4359), (4359, 8, 4027), (4027, 85, 434)], -0.0025000002, 'xrule')]","(434, 161, 5949)",0.9906078577041626
[1],"[(5933, 20, 10154), (10154, 17, 2123), (5933, 20, 2592)]",1,[0.4898577332496643],3,1.0,0.4898577332496643,"[([(5933, 20, 10154), (10154, 17, 2123), (5933, 20, 2592)], 0.066900015, 'xrule')]","(2592, 17, 2123)",0.7389125823974609
[1],"[(2573, 34, 90), (2573, 14, 160), (6054, 34, 90)]",1,[0.963485062122345],3,1.0,0.963485062122345,"[([(2573, 34, 90), (2573, 14, 160), (6054, 34, 90)], -0.0022999942, 'xrule')]","(6054, 14, 160)",0.9868510365486145
[1],"[(32, 139, 90), (2538, 183, 5839), (32, 206, 90), (32, 234, 90), (5839, 38, 2538), (2538, 34, 90)]",1,[0.6411778330802917],6,1.0,0.6411778330802917,"[([(32, 139, 90), (2538, 183, 5839), (2538, 34, 90), (32, 206, 90), (32, 234, 90), (5839, 38, 2538)], 0.11649999, 'xrule')]","(5839, 48, 32)",0.846180260181427
[1],"[(9607, 120, 791), (7268, 33, 90), (9607, 33, 90)]",1,[0.9914512038230896],3,1.0,0.9914512038230896,"[([(9607, 120, 791), (7268, 33, 90), (9607, 33, 90)], 0.13010001, 'xrule')]","(7268, 120, 791)",0.9878473281860352
[1],"[(5818, 13, 32), (3249, 13, 32), (3249, 34, 90), (3249, 28, 32)]",1,[0.9967549443244934],4,1.0,0.9967549443244934,"[([(5818, 13, 32), (3249, 13, 32), (3249, 34, 90), (3249, 28, 32)], 0.02760002, 'xrule')]","(5818, 34, 90)",0.9906631708145142
[1],"[(13860, 43, 141), (7681, 43, 141), (13860, 48, 32)]",1,[0.9153729677200317],3,1.0,0.9153729677200317,"[([(13860, 43, 141), (7681, 43, 141), (13860, 48, 32)], 0.08709997, 'xrule')]","(7681, 48, 32)",0.9179816246032715
[1],"[(9201, 85, 434), (3261, 48, 32), (3261, 85, 434)]",1,[0.7341129779815674],3,1.0,0.7341129779815674,"[([(9201, 85, 434), (3261, 48, 32), (3261, 85, 434)], 0.016900003, 'xrule')]","(9201, 48, 32)",0.6412914395332336
[2],"[(2062, 8, 8285), (8285, 8, 2062), (2788, 8, 8285), (2788, 43, 384)]",1,[0.7462382316589355],4,2.0,0.7462382316589355,"[([(2062, 8, 8285), (8285, 8, 2062), (2788, 8, 8285), (2788, 43, 384)], 0.18809998, 'xrule')]","(2062, 43, 384)",0.8457817435264587
[1],"[(409, 6, 7056), (7056, 13, 158), (160, 70, 158)]",1,[0.9833731651306152],3,1.0,0.9833731651306152,"[([(409, 6, 7056), (7056, 13, 158), (160, 70, 158)], 0.07889998, 'xrule')]","(409, 100, 160)",0.9844846725463867
[1],"[(8139, 15, 8557), (7670, 25, 62), (7670, 160, 8139)]",1,[0.9889100790023804],3,1.0,0.9889100790023804,"[([(8139, 15, 8557), (7670, 25, 62), (7670, 160, 8139)], -0.4666, 'xrule')]","(8557, 25, 62)",0.9874509572982788
[1],"[(6678, 19, 1062), (1062, 47, 4967), (4967, 43, 384)]",1,[0.9040904641151428],3,1.0,0.9040904641151428,"[([(6678, 19, 1062), (4967, 43, 384), (1062, 47, 4967)], 0.07369995, 'xrule')]","(6678, 43, 384)",0.9217239618301392
[1],"[(3140, 43, 141), (3140, 25, 62), (9774, 43, 141)]",1,[0.9918598532676697],3,1.0,0.9918598532676697,"[([(3140, 43, 141), (3140, 25, 62), (9774, 43, 141)], 0.026700005, 'xrule')]","(9774, 25, 62)",0.9894706010818481
[1],"[(4878, 25, 62), (11544, 24, 592), (11544, 25, 62)]",1,[0.22755619883537292],3,1.0,0.22755619883537292,"[([(4878, 25, 62), (11544, 24, 592), (11544, 25, 62)], 0.005900003, 'xrule')]","(4878, 39, 592)",0.1647690385580063
[1],"[(4, 2, 7614), (7773, 31, 4), (7773, 26, 494)]",1,[0.9715035557746887],3,1.0,0.9715035557746887,"[([(4, 2, 7614), (7773, 31, 4), (7773, 26, 494)], 0.015700005, 'xrule')]","(7614, 91, 494)",0.9964919686317444
[1],"[(552, 34, 90), (552, 28, 32), (7417, 133, 32), (32, 15, 7417), (32, 87, 7417)]",1,[0.9881475567817688],5,1.0,0.9881475567817688,"[([(552, 34, 90), (552, 28, 32), (32, 15, 7417), (7417, 133, 32), (32, 87, 7417)], 0.0941, 'xrule')]","(7417, 33, 90)",0.9863195419311523
