prediction,new_scores,perspective,original_rank,facts,#facts,new_rank,new_score,new_ranks,original_score
"(21561, 0, 39)","[1.107748, 1.3902236]",all,1,"[(21561, 4, 12663), (12663, 0, 39)]",2,2.0,1.2489858,"[1, 3]",1.9819248
"(9620, 0, 3716)","[1.1438966, 0.9582678]",all,1,"[(17657, 0, 3716)]",1,7.5,1.0510821,"[14, 1]",1.701146
"(22121, 0, 351)","[1.8462465, 1.1035628]",all,1,"[(512, 4, 21461), (21461, 0, 351), (512, 4, 22121)]",3,2.5,1.4749047,"[1, 4]",0.61166525
"(5134, 2, 4633)","[0.7621623, 1.5988234]",all,1,"[(13522, 2, 4633), (1167, 6, 5134), (1167, 6, 13522)]",3,3.5,1.1804929,"[2, 5]",0.51211566
"(34758, 0, 284)","[5.343717, 4.854946]",all,1,"[(7922, 4, 19787), (19787, 0, 284), (7922, 4, 34758)]",3,714.5,5.099332,"[384, 1045]",1.2893803
"(1521, 0, 532)","[1.7501144, 1.5741785]",all,1,"[(28972, 0, 532)]",1,181.0,1.6621464,"[305, 57]",2.5358155
"(15205, 0, 265)","[0.7811513, 1.5963345]",all,1,"[(34942, 0, 265)]",1,1.5,1.1887429,"[1, 2]",0.94464505
"(23212, 0, 2918)","[1.2578589, 1.0697362]",all,1,"[(1122, 9, 1123), (1123, 0, 23212), (1122, 0, 2918), (1123, 9, 1122)]",4,15.0,1.1637976,"[17, 13]",1.6729352
"(38617, 0, 21)","[4.822912, 5.3003135]",all,1,"[(1432, 4, 29299), (29299, 0, 21), (1432, 4, 38617)]",3,16156.0,5.061613,"[20962, 11350]",1.6508205
"(35945, 5, 914)","[5.6603107, 3.967604]",all,1,"[(35945, 0, 5108), (17062, 5, 914), (5108, 0, 17062)]",3,54.0,4.813957,"[90, 18]",2.8685713
"(18018, 2, 916)","[5.830614, 4.895673]",all,1,"[(18018, 2, 121), (8244, 2, 916), (8244, 2, 121)]",3,108.0,5.3631434,"[100, 116]",1.0748414
"(24513, 0, 4550)","[2.6845071, 2.9624343]",all,1,"[(17178, 4, 24513), (39700, 0, 4550), (17178, 4, 39700)]",3,1408.5,2.8234706,"[413, 2404]",1.9245131
"(22133, 0, 1730)","[0.49044544, 0.55096364]",all,1,"[(10223, 0, 1730)]",1,1.0,0.5207045,"[1, 1]",0.86834943
"(19442, 2, 1137)","[1.8279943, 2.592767]",all,1,"[(19442, 5, 774)]",1,1.0,2.2103806,"[1, 1]",1.2696587
"(19351, 0, 265)","[3.003736, 3.00999]",all,1,"[(6122, 4, 19351), (18871, 0, 265), (6122, 4, 18871)]",3,2595.0,3.006863,"[4139, 1051]",1.6982498
"(3741, 6, 11977)","[1.1964091, 1.3228798]",all,1,"[(3741, 6, 29582), (26307, 6, 11977), (26307, 6, 29582)]",3,1.0,1.2596445,"[1, 1]",1.0016706
"(14487, 0, 1244)","[3.3208132, 4.0898876]",all,1,"[(4980, 0, 1244), (4979, 4, 4980), (4979, 4, 14487)]",3,10549.5,3.7053504,"[2250, 18849]",2.14187
"(4747, 0, 22951)","[4.8544745, 5.46978]",all,1,"[(4747, 5, 3149), (22951, 5, 3149)]",2,4663.0,5.1621275,"[6192, 3134]",3.1222603
"(31376, 2, 743)","[0.6553296, 0.34473148]",all,1,"[(10052, 6, 31376), (12882, 2, 743), (10052, 6, 12882)]",3,1.0,0.5000305,"[1, 1]",0.3502208
"(18451, 5, 1238)","[1.017221, 0.7692014]",all,1,"[(19986, 5, 1238)]",1,1.0,0.8932112,"[1, 1]",0.9023785
"(3395, 0, 184)","[0.33524135, 0.254702]",all,1,"[(4508, 0, 184)]",1,1.0,0.29497167,"[1, 1]",1.168735
"(22017, 0, 883)","[5.5715895, 5.0055156]",all,1,"[(22016, 4, 32466), (32466, 0, 883), (22016, 4, 22017)]",3,2192.0,5.2885523,"[4359, 25]",0.9429634
"(37725, 0, 23377)","[5.7984457, 5.324256]",all,1,"[(15016, 4, 37725)]",1,4347.5,5.561351,"[5409, 3286]",1.7977273
"(516, 0, 292)","[1.5938873, 1.38744]",all,1,"[(1864, 4, 5061), (1864, 4, 516), (5061, 0, 292)]",3,5.0,1.4906636,"[6, 4]",0.56383824
"(29963, 5, 774)","[0.564237, 0.650628]",all,1,"[(19975, 5, 774)]",1,1.0,0.6074325,"[1, 1]",1.4715588
"(31737, 0, 16660)","[1.1629472, 1.5680404]",all,1,"[(13469, 0, 16660)]",1,1.5,1.3654938,"[1, 2]",1.8926018
"(7848, 5, 914)","[1.8923328, 1.4371411]",all,1,"[(8317, 0, 9103), (8317, 5, 914), (7848, 0, 9103)]",3,1.0,1.664737,"[1, 1]",2.4129827
"(40221, 5, 73)","[5.3812714, 5.4195313]",all,1,"[(37691, 0, 3411), (37691, 5, 73), (40221, 0, 3411)]",3,17.0,5.400401,"[8, 26]",2.976766
"(14768, 6, 24252)","[2.9682555, 3.5666757]",all,1,"[(21984, 6, 24252)]",1,1125.0,3.2674656,"[738, 1512]",2.3381553
"(33666, 0, 278)","[0.4507873, 0.19334343]",all,1,"[(15700, 0, 278)]",1,1.0,0.32206535,"[1, 1]",1.3730358
"(37417, 5, 774)","[5.9781256, 6.2179337]",all,1,"[(3584, 2, 1137), (37417, 2, 1137), (3584, 5, 774)]",3,135.0,6.0980296,"[148, 122]",2.0156152
"(3034, 2, 1137)","[0.57158744, 0.8181888]",all,1,"[(18637, 2, 1137)]",1,1.0,0.6948881,"[1, 1]",1.4543347
"(21026, 0, 306)","[1.5491921, 1.4669542]",all,1,"[(9857, 0, 306)]",1,138.0,1.5080731,"[182, 94]",2.045721
"(2381, 2, 12273)","[0.21723753, 0.4331208]",all,1,"[(4109, 6, 2381)]",1,1.0,0.32517916,"[1, 1]",0.6526841
"(7397, 0, 296)","[0.53629416, 0.75464344]",all,1,"[(7396, 4, 7397), (23572, 0, 296), (7396, 4, 23572)]",3,2.5,0.64546883,"[1, 4]",0.49443048
"(34189, 2, 916)","[1.3281901, 0.979929]",all,1,"[(1858, 2, 121), (1858, 2, 916), (34189, 2, 121)]",3,2.5,1.1540595,"[2, 3]",0.55414593
"(39279, 0, 184)","[0.54734564, 0.90097606]",all,1,"[(9321, 0, 184)]",1,1.0,0.72416085,"[1, 1]",0.8926251
"(36972, 5, 172)","[4.50166, 4.0703936]",all,1,"[(219, 0, 220), (219, 5, 172), (36972, 0, 220)]",3,30.0,4.286027,"[49, 11]",4.8635826
"(14814, 0, 292)","[0.5919708, 0.2909956]",all,1,"[(15832, 0, 292)]",1,1.0,0.4414832,"[1, 1]",0.8656637
"(16507, 0, 184)","[0.35794052, 0.4383067]",all,1,"[(26693, 0, 184)]",1,1.0,0.39812362,"[1, 1]",1.0595998
"(16074, 0, 18268)","[1.8862162, 1.6463538]",all,1,"[(18267, 0, 18268)]",1,37.5,1.766285,"[57, 18]",1.1613934
"(33791, 0, 2687)","[1.2590833, 1.2304147]",all,1,"[(9031, 0, 2687), (9031, 0, 19383), (19383, 4, 33791)]",3,6.0,1.2447491,"[7, 5]",1.1540937
"(27097, 0, 10241)","[3.499023, 4.743501]",all,1,"[(3408, 8, 27097)]",1,775.0,4.121262,"[536, 1014]",2.6455247
"(31237, 0, 2110)","[5.0920453, 4.910719]",all,1,"[(1073, 4, 31237)]",1,54.0,5.001382,"[60, 48]",1.3141148
"(30773, 0, 184)","[4.9040003, 5.6175065]",all,1,"[(1038, 4, 30773)]",1,2298.0,5.2607536,"[3536, 1060]",1.2787083
"(22501, 2, 1326)","[1.220173, 1.4000148]",all,1,"[(33284, 2, 1326)]",1,2.5,1.3100939,"[4, 1]",1.6838268
"(27757, 0, 1929)","[2.0465767, 2.7658267]",all,1,"[(450, 4, 9271), (9271, 0, 1929), (450, 4, 27757)]",3,79.0,2.4062018,"[50, 108]",1.4945084
"(39375, 0, 265)","[5.112588, 5.16989]",all,1,"[(15314, 4, 223), (15314, 4, 39375), (223, 0, 265)]",3,1879.5,5.141239,"[65, 3694]",3.3573053
"(33163, 5, 4554)","[1.0247077, 1.8037432]",all,1,"[(33163, 0, 34125)]",1,13.0,1.4142255,"[4, 22]",1.3780348
"(2173, 6, 38083)","[0.35756034, 0.3127672]",all,1,"[(2173, 6, 22326)]",1,35.5,0.33516377,"[61, 10]",0.16975777
"(9258, 2, 916)","[1.3769354, 2.150129]",all,1,"[(1513, 2, 916), (9258, 2, 121), (1513, 2, 121)]",3,6.0,1.7635322,"[2, 10]",0.6697103
"(22077, 5, 6956)","[1.2521262, 1.7538732]",all,1,"[(2485, 5, 6956)]",1,1.0,1.5029998,"[1, 1]",1.6869034
"(5767, 4, 21704)","[1.1069872, 0.66692317]",all,1,"[(5767, 4, 12886)]",1,106.5,0.8869552,"[211, 2]",1.4449646
"(40030, 0, 184)","[5.463339, 5.1706657]",all,1,"[(1038, 4, 29795), (29795, 0, 184), (1038, 4, 40030)]",3,509.5,5.3170023,"[344, 675]",1.5084891
"(8306, 2, 25327)","[5.7948236, 5.6025963]",all,1,"[(33638, 2, 25327), (33638, 2, 499), (8306, 2, 499)]",3,97.5,5.69871,"[93, 102]",1.4664829
"(12266, 4, 18612)","[1.7492912, 1.6420492]",all,1,"[(18612, 0, 6720)]",1,7230.5,1.6956701,"[11924, 2537]",1.0805113
"(14588, 2, 121)","[1.6889131, 1.8629267]",all,1,"[(3122, 2, 916), (3122, 2, 121), (14588, 2, 916)]",3,5.0,1.7759199,"[5, 5]",0.89742965
"(33711, 5, 19257)","[1.0549586, 0.79604316]",all,1,"[(33711, 0, 21113), (19256, 5, 19257), (19256, 0, 21113)]",3,1.0,0.92550087,"[1, 1]",1.6178828
