new_score,facts,new_ranks,#facts,original_score,prediction,new_scores,new_rank,original_rank,perspective
4.1978235,"[(12065, 12, 8676)]","[1, 1]",1,2.6512852,"(7628, 12, 8676)","[3.6626217, 4.7330256]",1.0,3,all
2.0835578,"[(5498, 3, 78), (14130, 3, 78), (14130, 8, 7429)]","[2, 1]",3,4.6961765,"(5498, 8, 7429)","[2.180697, 1.9864187]",1.5,1,all
2.161363,"[(8150, 8, 7410)]","[2, 2]",1,5.323513,"(6492, 8, 7410)","[2.2846544, 2.0380714]",2.0,4,all
2.5844128,"[(22917, 2, 31), (22917, 11, 7956), (6983, 2, 31)]","[1, 1]",3,2.8960073,"(6983, 11, 7956)","[2.8428898, 2.3259358]",1.0,2,all
3.251018,"[(24357, 10, 7830)]","[1, 1]",1,3.567545,"(5920, 10, 7830)","[3.38153, 3.120506]",1.0,5,all
3.205534,"[(5269, 3, 220), (25362, 10, 7830), (25362, 3, 220)]","[1, 1]",3,3.974818,"(5269, 10, 7830)","[3.407096, 3.0039718]",1.0,5,all
2.6038666,"[(21069, 11, 7956)]","[1, 1]",1,2.4277787,"(7450, 11, 7956)","[2.877024, 2.330709]",1.0,1,all
2.7802188,"[(7499, 3, 149)]","[1, 1]",1,3.4054344,"(7499, 11, 7956)","[3.0171938, 2.543244]",1.0,4,all
2.615492,"[(23950, 11, 7956)]","[1, 1]",1,2.6253808,"(5822, 11, 7956)","[2.8435936, 2.3873906]",1.0,1,all
2.2888622,"[(19226, 3, 41), (19226, 8, 7567), (4870, 3, 41)]","[4, 4]",3,5.0585365,"(4870, 8, 7567)","[2.3751025, 2.202622]",4.0,2,all
2.9127944,"[(21088, 11, 7869)]","[3, 1]",1,3.9894578,"(5107, 11, 7869)","[3.2185793, 2.6070094]",2.0,4,all
2.7128503,"[(22419, 11, 7956)]","[1, 1]",1,3.7088525,"(5073, 11, 7956)","[2.8337927, 2.591908]",1.0,5,all
2.7327468,"[(25163, 11, 7956)]","[1, 1]",1,3.3415859,"(5920, 11, 7956)","[2.8788521, 2.5866416]",1.0,3,all
2.133593,"[(24600, 8, 7427)]","[3, 1]",1,4.879652,"(5041, 8, 7427)","[2.2260597, 2.0411267]",2.0,11,all
2.8335674,"[(7998, 11, 7869), (7998, 2, 30), (7107, 2, 30)]","[3, 1]",3,2.672183,"(7107, 11, 7869)","[3.2281795, 2.4389553]",2.0,1,all
2.9001617,"[(13631, 3, 75), (4952, 3, 75), (13631, 11, 7869)]","[2, 1]",3,3.7838056,"(4952, 11, 7869)","[3.3026896, 2.497634]",1.5,3,all
2.281845,"[(11328, 8, 7566)]","[1, 8]",1,5.7202277,"(7058, 8, 7566)","[2.298567, 2.265123]",4.5,1,all
2.3404918,"[(16437, 3, 177), (16437, 8, 7566), (5907, 3, 177)]","[1, 4]",3,5.352762,"(5907, 8, 7566)","[2.3744693, 2.3065143]",2.5,1,all
2.1442306,"[(18600, 8, 7429)]","[1, 1]",1,5.230544,"(7335, 8, 7429)","[2.2580776, 2.0303836]",1.0,7,all
2.544788,"[(5279, 3, 38)]","[3, 1]",1,4.3664303,"(5279, 8, 7429)","[2.6143088, 2.475267]",2.0,1,all
2.2697024,"[(24739, 8, 7410)]","[3, 3]",1,4.519601,"(6619, 8, 7410)","[2.380503, 2.1589017]",3.0,3,all
2.198852,"[(23950, 8, 7410)]","[3, 1]",1,4.1836443,"(7201, 8, 7410)","[2.3144581, 2.0832458]",2.0,2,all
2.5033445,"[(25523, 3, 41), (6900, 3, 41), (25523, 8, 7566)]","[1, 5]",3,5.7092123,"(6900, 8, 7566)","[2.4089587, 2.5977306]",3.0,1,all
2.1630065,"[(23558, 2, 68), (4870, 2, 68), (23558, 8, 7410)]","[1, 3]",3,5.1274643,"(4870, 8, 7410)","[2.213819, 2.112194]",2.0,2,all
2.6837153,"[(19413, 11, 7956)]","[1, 1]",1,3.5308044,"(7080, 11, 7956)","[2.9522502, 2.4151807]",1.0,4,all
2.3268375,"[(24579, 8, 7566)]","[2, 8]",1,5.118734,"(4799, 8, 7566)","[2.3274863, 2.326189]",5.0,2,all
2.180735,"[(10833, 3, 40), (10833, 8, 7393), (6492, 3, 40)]","[3, 2]",3,5.3959875,"(6492, 8, 7393)","[2.2976012, 2.0638692]",2.5,5,all
2.1949158,"[(10112, 8, 7566), (10112, 3, 40), (6115, 3, 40)]","[1, 7]",3,4.404839,"(6115, 8, 7566)","[2.2448404, 2.144991]",4.0,1,all
3.2899117,"[(7756, 3, 149)]","[1, 1]",1,2.9227967,"(7756, 10, 7830)","[3.4116566, 3.168167]",1.0,5,all
2.1535974,"[(14940, 8, 7429)]","[2, 2]",1,5.1737347,"(6492, 8, 7429)","[2.2695894, 2.0376055]",2.0,1,all
3.253304,"[(7125, 3, 2593)]","[1, 1]",1,4.007418,"(7125, 10, 7830)","[3.4354734, 3.0711348]",1.0,5,all
3.20473,"[(5645, 3, 4809)]","[1, 1]",1,3.5500622,"(5645, 10, 7830)","[3.3967428, 3.012717]",1.0,5,all
2.6324744,"[(14940, 11, 7956)]","[1, 1]",1,2.9549463,"(7655, 11, 7956)","[2.8865776, 2.378371]",1.0,3,all
2.1374059,"[(9956, 8, 7427)]","[2, 1]",1,3.8982012,"(6394, 8, 7427)","[2.2270665, 2.0477452]",1.5,1,all
