prediction,facts,exp,exp_length,original_score,original_rank,new_scores,new_ranks,new_score,new_rank
"(6053, 48, 32)","[([(1186, 24, 32), (5515, 66, 32), (9402, 159, 32), (6053, 85, 434), (6102, 160, 32)], 5.3885995, 'xrule'), ([(6053, 24, 6277), (3289, 48, 32), (32, 15, 6277), (6277, 133, 32), (4847, 48, 32)], 1.66539954, 'xrule'), ([(9670, 48, 32), (6053, 66, 2274), (9879, 48, 32), (32, 15, 2274), (32, 15, 2162)], 0.90309907, 'xrule')]","[(1186, 24, 32), (9670, 48, 32), (6053, 24, 6277), (5515, 66, 32), (3289, 48, 32), (6053, 66, 2274), (32, 15, 6277), (6277, 133, 32), (9879, 48, 32), (9402, 159, 32), (32, 15, 2274), (32, 15, 2162), (6053, 85, 434), (6102, 160, 32), (4847, 48, 32)]",15,8.074709,1,[7.4643016],[1],7.4643016,1.0
"(7744, 13, 2046)","[([(236, 37, 2046), (1303, 13, 2046), (236, 44, 2046), (7744, 13, 331), (6026, 15, 2046)], 0.190201758, 'xrule'), ([(7744, 13, 4474), (1229, 13, 2046), (932, 13, 2046), (11033, 37, 2046)], 0.097702027, 'xrule'), ([(1303, 13, 2046), (840, 28, 2046), (6026, 15, 2046), (7744, 13, 816)], 0.060400962999999995, 'xrule')]","[(932, 13, 2046), (236, 37, 2046), (1303, 13, 2046), (236, 44, 2046), (7744, 13, 816), (7744, 13, 331), (6026, 15, 2046), (1229, 13, 2046), (840, 28, 2046), (7744, 13, 4474), (11033, 37, 2046)]",11,5.7034483,1,[5.519963],[4],5.519963,4.0
"(4552, 35, 2732)","[([(2732, 18, 1424), (2732, 222, 10671), (4552, 35, 3796), (2732, 58, 3796)], 0.163499836, 'xrule'), ([(4552, 35, 1562), (2732, 58, 3408), (2732, 18, 1424), (2732, 58, 1562), (3408, 58, 2732)], 0.123300553, 'xrule'), ([(3282, 35, 2732), (2617, 35, 2732), (2617, 64, 4552), (4552, 64, 2617), (960, 35, 2732)], 0.08570003500000001, 'xrule')]","[(4552, 35, 1562), (4552, 35, 3796), (3282, 35, 2732), (4552, 64, 2617), (2732, 58, 3408), (2617, 35, 2732), (2617, 64, 4552), (2732, 18, 1424), (2732, 58, 1562), (2732, 58, 3796), (960, 35, 2732), (2732, 222, 10671), (3408, 58, 2732)]",13,6.999006,1,[6.928509],[1],6.928509,1.0
"(5660, 136, 6402)","[([(1075, 155, 6402), (5660, 31, 1314), (462, 136, 6402), (1075, 136, 6402), (1314, 2, 5660)], 1.43470001, 'xrule'), ([(5660, 109, 5014), (5660, 12, 5014), (5660, 186, 5014), (5014, 102, 5660), (5014, 38, 5660), (5660, 136, 5014), (462, 136, 6402)], 1.0671997, 'xrule'), ([(6402, 43, 141), (462, 136, 6402), (6402, 17, 818), (5660, 227, 10080), (6402, 48, 32)], 0.78779984, 'xrule')]","[(6402, 43, 141), (5660, 12, 5014), (1075, 155, 6402), (5660, 31, 1314), (5660, 186, 5014), (5014, 102, 5660), (462, 136, 6402), (1075, 136, 6402), (1314, 2, 5660), (6402, 17, 818), (5660, 136, 5014), (5014, 38, 5660), (5660, 227, 10080), (6402, 48, 32), (5660, 109, 5014)]",15,6.9425106,1,[5.550788],[5],5.550788,5.0
"(8758, 19, 1724)","[([(9207, 19, 1724), (8758, 6, 4975), (7498, 19, 1724), (1724, 7, 4975), (1724, 47, 7498)], 0.7311010400000001, 'xrule'), ([(8758, 17, 862), (1724, 47, 12028), (11164, 19, 1724), (1724, 47, 11164)], 0.55510046, 'xrule'), ([(4177, 30, 1724), (8376, 30, 1724), (1724, 7, 8376), (8758, 19, 4418)], 0.52870083, 'xrule')]","[(9207, 19, 1724), (11164, 19, 1724), (8758, 19, 4418), (8758, 6, 4975), (8758, 17, 862), (1724, 47, 11164), (1724, 47, 12028), (1724, 7, 8376), (7498, 19, 1724), (1724, 7, 4975), (1724, 47, 7498), (4177, 30, 1724), (8376, 30, 1724)]",13,7.77584,1,[6.444984],[2],6.444984,2.0
"(3794, 23, 209)","[([(1718, 157, 3794), (2121, 23, 209), (3794, 72, 1718), (1928, 23, 209), (3794, 69, 1718)], 1.0102997, 'xrule'), ([(3485, 23, 209), (1394, 23, 209), (92, 23, 209), (1179, 13, 3794)], 0.239699366, 'xrule'), ([(637, 23, 209), (32, 152, 209), (374, 13, 3794), (993, 23, 209), (32, 23, 209)], 0.22939873100000002, 'xrule')]","[(637, 23, 209), (1718, 157, 3794), (1179, 13, 3794), (2121, 23, 209), (92, 23, 209), (32, 152, 209), (374, 13, 3794), (3485, 23, 209), (3794, 72, 1718), (1394, 23, 209), (1928, 23, 209), (3794, 69, 1718), (993, 23, 209), (32, 23, 209)]",14,8.168223,1,[8.561936],[1],8.561936,1.0
"(5090, 85, 434)","[([(434, 161, 6123), (434, 161, 382), (434, 161, 11351), (5090, 48, 382), (434, 161, 14159)], 2.63580036, 'xrule'), ([(434, 118, 774), (434, 161, 11351), (11167, 85, 434), (5090, 66, 249), (434, 161, 14159)], 1.71150112, 'xrule'), ([(434, 161, 6123), (434, 118, 774), (434, 161, 3435), (434, 161, 13595), (5090, 48, 308)], 1.33850048, 'xrule')]","[(434, 161, 6123), (434, 118, 774), (434, 161, 382), (434, 161, 3435), (434, 161, 13595), (434, 161, 11351), (11167, 85, 434), (5090, 48, 308), (5090, 48, 382), (5090, 66, 249), (434, 161, 14159)]",11,6.943883,1,[6.8698854],[1],6.8698854,1.0
"(1927, 212, 4563)","[([(4563, 55, 4726), (1927, 48, 1928), (4563, 55, 4346), (2156, 212, 4563), (4563, 55, 517)], 0.5360012000000001, 'xrule'), ([(34, 212, 4563), (10296, 212, 4563), (1927, 17, 862)], 0.44910048999999996, 'xrule'), ([(1252, 212, 4563), (12644, 212, 4563), (1927, 19, 1724), (4563, 55, 517), (1724, 47, 1927)], 0.42059992999999996, 'xrule')]","[(1252, 212, 4563), (10296, 212, 4563), (1927, 17, 862), (34, 212, 4563), (4563, 55, 4726), (1927, 48, 1928), (4563, 55, 4346), (12644, 212, 4563), (1927, 19, 1724), (2156, 212, 4563), (4563, 55, 517), (1724, 47, 1927)]",12,7.7083993,1,[7.463646],[1],7.463646,1.0
"(3577, 48, 32)","[([(32, 15, 4986), (4986, 133, 32), (186, 48, 32), (3577, 24, 4986), (3577, 66, 4986)], 0.91830015, 'xrule'), ([(3577, 66, 3796), (3554, 205, 32), (3554, 62, 32), (3554, 133, 32), (32, 15, 3554), (3554, 135, 32)], 0.45639992, 'xrule'), ([(3333, 48, 32), (364, 12, 3577), (3577, 38, 364), (7678, 48, 32), (364, 1, 3577)], 0.35319996, 'xrule')]","[(32, 15, 4986), (4986, 133, 32), (3333, 48, 32), (3577, 66, 3796), (3554, 205, 32), (3554, 62, 32), (3554, 133, 32), (364, 12, 3577), (3577, 38, 364), (7678, 48, 32), (32, 15, 3554), (186, 48, 32), (3577, 24, 4986), (3554, 135, 32), (3577, 66, 4986), (364, 1, 3577)]",16,6.675917,1,[6.0511923],[1],6.0511923,1.0
"(2258, 14, 160)","[([(12283, 100, 160), (367, 100, 160), (588, 101, 160), (2258, 84, 7557), (456, 14, 160)], 0.84620094, 'xrule'), ([(5413, 14, 160), (1942, 14, 160), (2258, 31, 658), (7641, 14, 160), (3598, 14, 160)], 0.63800144, 'xrule'), ([(732, 100, 160), (2037, 6, 2258), (2258, 12, 2037), (7265, 198, 160), (11835, 214, 160)], 0.56550122, 'xrule')]","[(732, 100, 160), (12283, 100, 160), (5413, 14, 160), (367, 100, 160), (2037, 6, 2258), (1942, 14, 160), (2258, 12, 2037), (588, 101, 160), (2258, 84, 7557), (2258, 31, 658), (7265, 198, 160), (11835, 214, 160), (7641, 14, 160), (3598, 14, 160), (456, 14, 160)]",15,8.303698,1,[8.419806],[1],8.419806,1.0
