prediction,facts,exp,exp_length,original_score,original_rank,new_scores,new_ranks,new_score,new_rank
"(8776, 1, 1347)","[([(4276, 0, 8776), (4276, 1, 1347)], 0.1234, 'xrule')]","[(4276, 1, 1347), (4276, 0, 8776)]",2,0.7884548902511597,1,[0.7112810015678406],[1],0.7112810015678406,1.0
"(22848, 1, 33665)",[],[],0,0.8634377717971802,1,[0.8825056552886963],[1],0.8825056552886963,1.0
"(15028, 1, 5116)","[([(15527, 1, 5116), (15028, 1, 21701), (5116, 1, 15527), (19324, 1, 5116), (21701, 1, 15028)], 0.0322, 'xrule'), ([(16314, 1, 15028), (19324, 1, 5116), (5116, 1, 3999), (3999, 1, 5116)], 0.0191999993, 'xrule'), ([(15028, 1, 6422), (15527, 1, 5116), (5116, 1, 15527)], 0.0092, 'xrule')]","[(15527, 1, 5116), (15028, 1, 21701), (3999, 1, 5116), (5116, 1, 15527), (15028, 1, 6422), (16314, 1, 15028), (5116, 1, 3999), (19324, 1, 5116), (21701, 1, 15028)]",9,0.9404630661010742,1,[0.990446925163269],[1],0.990446925163269,1.0
"(4547, 1, 21674)",[],[],0,0.9718466401100159,1,[0.9418304562568665],[1],0.9418304562568665,1.0
"(8310, 6, 12531)","[([(4632, 6, 12531), (8310, 6, 8984), (11942, 6, 12531), (12531, 2, 7)], 0.0153999985, 'xrule'), ([(8310, 6, 22600), (12531, 2, 7)], 0.005, 'xrule'), ([(8310, 6, 11942), (4632, 6, 12531)], 0.0038999994, 'xrule')]","[(11942, 6, 12531), (8310, 6, 11942), (12531, 2, 7), (4632, 6, 12531), (8310, 6, 22600), (8310, 6, 8984)]",6,0.4837392270565033,1,[0.00010750620276667178],[11008],0.00010750620276667178,11008.0
"(26770, 5, 6829)","[([(26770, 0, 7635), (24162, 5, 6829)], 0.0009, 'xrule')]","[(26770, 0, 7635), (24162, 5, 6829)]",2,0.45097658038139343,1,[0.0005051901680417359],[198],0.0005051901680417359,198.0
"(3136, 1, 16161)",[],[],0,0.92377108335495,1,[0.8311940431594849],[1],0.8311940431594849,1.0
"(22752, 1, 11603)",[],[],0,0.9543496966362,1,[0.9405517578125],[1],0.9405517578125,1.0
"(903, 5, 5742)","[([(34444, 1, 903), (903, 1, 34444), (5211, 5, 5742)], 0.0016999999, 'xrule')]","[(34444, 1, 903), (5211, 5, 5742), (903, 1, 34444)]",3,0.4814487099647522,1,[0.12436381727457047],[1],0.12436381727457047,1.0
"(14612, 1, 19739)","[([(8883, 1, 19739), (17887, 1, 19739), (19739, 1, 17887), (14612, 1, 8884)], 0.00099999999, 'xrule'), ([(14612, 1, 14613), (19739, 1, 17887), (17887, 1, 19739)], 0.0008, 'xrule')]","[(8883, 1, 19739), (14612, 1, 14613), (14612, 1, 8884), (19739, 1, 17887), (17887, 1, 19739)]",5,0.8138606548309326,1,[0.959097146987915],[2],0.959097146987915,2.0
"(15588, 1, 15587)","[([(31654, 1, 15588), (15588, 1, 31654), (15587, 1, 2739), (2739, 1, 15587)], 0.0005, 'xrule'), ([(27163, 1, 15588), (15587, 1, 2739), (2739, 1, 15587)], 0.0005, 'xrule'), ([(15588, 1, 14064), (14064, 1, 15588), (15587, 1, 2739), (2739, 1, 15587)], 0.00040000002, 'xrule')]","[(15588, 1, 31654), (14064, 1, 15588), (15587, 1, 2739), (31654, 1, 15588), (27163, 1, 15588), (15588, 1, 14064), (2739, 1, 15587)]",7,0.9287481307983398,1,[0.7819555401802063],[2],0.7819555401802063,2.0
"(31393, 0, 292)","[([(1864, 4, 31393), (15217, 0, 292)], 0.0027, 'xrule')]","[(1864, 4, 31393), (15217, 0, 292)]",2,0.5122714638710022,1,[0.00016484571096953005],[26],0.00016484571096953005,26.0
"(14940, 1, 12227)","[([(14940, 1, 5927), (1025, 1, 12227)], 0.009099999, 'xrule')]","[(1025, 1, 12227), (14940, 1, 5927)]",2,0.838533341884613,1,[0.8909178376197815],[2],0.8909178376197815,2.0
"(9303, 9, 21981)",[],[],0,0.9587638974189758,1,[0.9640457034111023],[1],0.9640457034111023,1.0
"(20115, 2, 2580)",[],[],0,0.19860407710075378,1,[0.31155163049697876],[1],0.31155163049697876,1.0
"(15729, 1, 12999)","[([(16455, 1, 15729), (15171, 1, 12999), (12999, 1, 15171)], 0.041899998, 'xrule'), ([(15730, 1, 15729), (15171, 1, 12999), (12999, 1, 15171)], 0.0418, 'xrule'), ([(15729, 1, 31425), (15171, 1, 12999), (12999, 1, 15171)], 0.0416, 'xrule')]","[(15730, 1, 15729), (15171, 1, 12999), (12999, 1, 15171), (16455, 1, 15729), (15729, 1, 31425)]",5,0.19728229939937592,1,[0.00030160247115418315],[2039],0.00030160247115418315,2039.0
"(8734, 1, 1538)",[],[],0,0.9375073909759521,1,[0.9130463600158691],[1],0.9130463600158691,1.0
"(24115, 1, 18755)","[([(24115, 1, 2300), (18755, 1, 18754), (18754, 1, 18755)], 0.0026, 'xrule')]","[(18755, 1, 18754), (24115, 1, 2300), (18754, 1, 18755)]",3,0.970401406288147,1,[0.9856806993484497],[2],0.9856806993484497,2.0
"(8574, 1, 8573)","[([(8574, 1, 29585), (815, 1, 8573), (8573, 1, 815)], 0.028800001, 'xrule'), ([(8574, 1, 12655), (815, 1, 8573), (8573, 1, 815)], 0.0273, 'xrule'), ([(8574, 1, 814), (815, 1, 8573), (8573, 1, 815)], 0.026100002, 'xrule')]","[(8573, 1, 815), (8574, 1, 814), (8574, 1, 29585), (8574, 1, 12655), (815, 1, 8573)]",5,0.8929891586303711,1,[0.9653626084327698],[3],0.9653626084327698,3.0
"(23239, 1, 15927)",[],[],0,0.9537962079048157,1,[0.8529856204986572],[1],0.8529856204986572,1.0
"(16918, 1, 2507)","[([(16918, 1, 16919), (16919, 1, 16918), (2507, 5, 6166), (22108, 1, 2507), (2507, 1, 22108)], 0.00030000000000000003, 'xrule'), ([(16918, 1, 20126), (2507, 5, 6166)], 0.0002, 'xrule'), ([(2507, 1, 21185), (6789, 1, 16918), (2507, 5, 6166), (16918, 1, 6789), (21185, 1, 2507)], 0.0002, 'xrule')]","[(16918, 1, 16919), (2507, 1, 21185), (6789, 1, 16918), (16918, 1, 20126), (16919, 1, 16918), (2507, 5, 6166), (22108, 1, 2507), (16918, 1, 6789), (21185, 1, 2507), (2507, 1, 22108)]",10,0.9153757691383362,1,[0.957984983921051],[1],0.957984983921051,1.0
"(31721, 1, 24228)",[],[],0,0.8690681457519531,1,[0.782745897769928],[1],0.782745897769928,1.0
"(12141, 1, 2443)",[],[],0,0.9717803597450256,1,[0.9721437692642212],[1],0.9721437692642212,1.0
"(3447, 1, 9780)","[([(3447, 1, 2835), (2835, 1, 3447), (9780, 1, 2834), (2834, 1, 9780)], 0.012800001, 'xrule'), ([(7044, 1, 3447), (9780, 1, 2834), (2834, 1, 9780)], 0.010100001, 'xrule')]","[(2834, 1, 9780), (9780, 1, 2834), (7044, 1, 3447), (3447, 1, 2835), (2835, 1, 3447)]",5,0.9036062955856323,1,[0.8929181694984436],[1],0.8929181694984436,1.0
"(34310, 0, 184)","[([(34624, 0, 184), (3889, 0, 184), (1038, 4, 34310)], 0.0002, 'xrule')]","[(34624, 0, 184), (3889, 0, 184), (1038, 4, 34310)]",3,0.5521760582923889,1,[0.00016894328291527927],[2266],0.00016894328291527927,2266.0
"(4697, 1, 3858)",[],[],0,0.8556263446807861,1,[0.8972756862640381],[1],0.8972756862640381,1.0
"(7982, 1, 20572)","[([(14618, 3, 7982), (7982, 3, 14618), (7983, 1, 20572), (20572, 1, 7983)], 0.0067000003, 'xrule'), ([(7982, 3, 7983), (7983, 1, 20572), (20572, 1, 7983)], 0.0064000003, 'xrule')]","[(20572, 1, 7983), (14618, 3, 7982), (7982, 3, 14618), (7983, 1, 20572), (7982, 3, 7983)]",5,0.9877474308013916,1,[0.9653478264808655],[1],0.9653478264808655,1.0
"(27198, 1, 6242)",[],[],0,0.9874051213264465,1,[0.9867334961891174],[1],0.9867334961891174,1.0
"(27089, 0, 25460)",[],[],0,0.5863993167877197,1,[0.491183876991272],[1],0.491183876991272,1.0
