new_ranks,facts,prediction,new_scores,#facts,original_rank,new_score,original_score,new_rank,perspective
"[3, 1]","[(4638, 20, 1727), (4638, 20, 1727), (4638, 20, 6104), (6104, 17, 432), (4638, 20, 527), (4638, 20, 1727), (527, 17, 432)]","(1727, 17, 432)","[6.7648816, 7.015547]",7,1,6.890214,7.2044873,2.0,all
"[4, 4]","[(816, 69, 626), (3306, 13, 816), (1682, 69, 626), (3306, 13, 27), (7552, 13, 27), (7552, 13, 1682), (3306, 13, 202), (1521, 13, 202), (1521, 13, 1682)]","(3306, 13, 1682)","[5.662829, 5.735821]",9,1,5.6993246,5.862156,4.0,all
"[1, 1]","[(2820, 10, 7869), (2820, 47, 186), (186, 19, 457), (186, 19, 2820), (2820, 10, 7869), (370, 30, 2820), (457, 7, 370), (370, 30, 457), (2820, 10, 7869)]","(457, 10, 7869)","[6.037752, 6.3380527]",9,1,6.1879025,6.1483383,1.0,all
"[1, 1]","[(5400, 28, 32), (8270, 28, 32), (5400, 14, 160), (8270, 13, 32), (5400, 13, 32), (8401, 14, 160), (8270, 28, 32), (8401, 28, 32), (8270, 13, 32), (9068, 14, 160), (8270, 28, 32), (9068, 13, 32), (8270, 13, 32)]","(8270, 14, 160)","[8.376667, 8.283787]",13,1,8.330227,8.478947,1.0,all
"[1, 1]","[(8758, 19, 4418), (8758, 6, 4975), (6094, 19, 1724), (8758, 19, 4418), (6094, 19, 4418)]","(8758, 19, 1724)","[6.8628387, 6.408292]",5,1,6.6355653,7.7758446,1.0,all
"[1, 1]","[(3861, 28, 32), (5905, 13, 32), (5905, 26, 64), (3861, 13, 32), (5905, 28, 32), (3861, 28, 32), (9876, 13, 32), (3861, 13, 32), (9876, 26, 64), (3861, 28, 32), (1606, 26, 64), (1606, 193, 32), (1606, 28, 32), (3861, 13, 32)]","(3861, 26, 64)","[7.6193533, 8.090232]",14,1,7.8547926,7.833797,1.0,all
"[1, 1]","[(10437, 48, 32), (5773, 48, 32), (5773, 43, 141), (10437, 48, 32), (904, 48, 32), (904, 43, 141), (10437, 48, 32), (6958, 48, 32), (6958, 43, 141)]","(10437, 43, 141)","[7.830437, 7.1292176]",9,1,7.4798274,8.017205,1.0,all
"[2, 2]","[(786, 35, 12986), (3282, 35, 12545), (688, 35, 12545)]","(786, 35, 12545)","[5.3685265, 6.2488785]",3,1,5.8087025,6.4405465,2.0,all
"[1, 1]","[(482, 38, 3742), (3742, 12, 482), (482, 32, 3742), (3742, 86, 482), (371, 7, 3742), (1883, 25, 62), (371, 7, 1883), (3742, 30, 371), (268, 32, 3742), (4333, 25, 62), (4333, 86, 268)]","(3742, 25, 62)","[3.7725682, 3.7547345]",11,1,3.7636514,3.8423574,1.0,all
"[3, 2]","[(3358, 13, 1934), (1933, 13, 1934), (3481, 13, 816)]","(3481, 13, 1934)","[6.2667155, 5.9327316]",3,1,6.099724,6.271813,2.5,all
