new_ranks,new_rank,new_scores,facts,prediction,original_rank,#facts,original_score,perspective,new_score
"[1, 1]",1.0,"[7.24626, 7.3358994]","[(24175, 9, 8339), (24175, 2, 1662), (7382, 2, 1662), (7382, 3, 1664), (24175, 9, 8339), (24175, 3, 1664), (21943, 3, 506), (7382, 3, 506), (21943, 9, 8339)]","(7382, 9, 8339)",1,9,8.900803,all,7.2910795
"[3, 3]",3.0,"[5.4201975, 5.499056]","[(24384, 1, 65), (24384, 11, 6729), (5781, 1, 65), (23181, 11, 6729), (23181, 1, 65), (5781, 1, 65), (10280, 11, 6729), (10280, 1, 65), (5781, 1, 65)]","(5781, 11, 6729)",2,9,5.655415,all,5.4596267
"[1, 1]",1.0,"[8.71997, 8.802058]","[(6323, 3, 2638), (6323, 3, 111), (6323, 2, 69)]","(6323, 9, 8418)",1,3,9.2064905,all,8.761014
"[1, 1]",1.0,"[6.8531814, 6.762988]","[(6263, 3, 2132), (23688, 9, 9452), (23688, 3, 2132), (6263, 3, 40), (23688, 9, 9452), (23688, 3, 40), (23688, 9, 9452), (6263, 3, 732), (23688, 3, 732)]","(6263, 9, 9452)",1,9,7.2706003,all,6.8080845
"[9, 3]",6.0,"[6.2568846, 7.0786147]","[(7628, 3, 279), (16674, 3, 279), (16674, 12, 8676), (16674, 3, 7), (7628, 3, 7), (16674, 12, 8676), (16674, 3, 40), (7628, 3, 40), (16674, 12, 8676)]","(7628, 12, 8676)",2,9,8.142027,all,6.6677494
"[6, 3]",4.5,"[5.3418846, 4.862486]","[(18965, 2, 2083), (18965, 9, 11980), (5218, 2, 2083), (5218, 3, 2085), (18965, 3, 2085), (18965, 9, 11980), (18965, 2, 2082), (5218, 2, 2082), (18965, 9, 11980)]","(5218, 9, 11980)",1,9,6.9315023,all,5.1021852
"[1, 1]",1.0,"[7.967922, 7.594939]","[(20181, 2, 171), (20181, 9, 8151), (4870, 2, 171), (15245, 2, 171), (15245, 9, 8151), (4870, 2, 171), (24100, 9, 8151), (24100, 3, 890), (4870, 3, 890)]","(4870, 9, 8151)",1,9,8.065897,all,7.7814307
"[1, 1]",1.0,"[8.658341, 8.809442]","[(5920, 3, 111), (25113, 9, 8418), (25113, 3, 111), (25812, 9, 8418), (25812, 3, 111), (5920, 3, 111), (22405, 3, 111), (22405, 9, 8418), (5920, 3, 111)]","(5920, 9, 8418)",1,9,9.054642,all,8.7338915
"[3, 3]",3.0,"[6.985507, 6.552884]","[(6327, 3, 279), (19207, 12, 8676), (19207, 3, 279), (6327, 3, 279), (25448, 12, 8676), (25448, 3, 279), (6327, 3, 279), (22349, 12, 8676), (22349, 3, 279)]","(6327, 12, 8676)",2,9,7.3364105,all,6.7691956
"[1, 4]",2.5,"[7.451894, 7.0432997]","[(21902, 12, 8626), (7769, 3, 219), (21902, 3, 219), (21902, 12, 8626), (7769, 3, 185), (21902, 3, 185), (7769, 3, 219)]","(7769, 12, 8626)",1,7,8.398724,all,7.2475967
"[3, 4]",3.5,"[6.4733987, 6.0476866]","[(21752, 12, 8676), (21752, 3, 748), (5822, 3, 748), (20591, 3, 748), (20591, 12, 8676), (5822, 3, 748), (23237, 12, 8676), (23237, 3, 748), (5822, 3, 748)]","(5822, 12, 8676)",1,9,8.200344,all,6.260543
"[1, 2]",1.5,"[6.217119, 5.6622496]","[(6437, 2, 68), (25103, 11, 8038), (25103, 2, 68), (6437, 2, 68), (23703, 2, 68), (23703, 11, 8038), (25103, 3, 37), (6437, 3, 37), (25103, 11, 8038)]","(6437, 11, 8038)",1,9,6.6256256,all,5.9396844
