original_rank,new_score,facts,perspective,prediction,new_scores,new_rank,#facts,original_score,new_ranks
1,-1.0400888,"[(24859, 1, 24512), (24859, 1, 24512), (24859, 1, 24512)]",all,"(24512, 1, 24859)","[-1.1355991, -0.9445784]",8361.0,3,10.221,"[9571, 7151]"
1,7.5888553,"[(512, 4, 22121), (512, 4, 4929), (512, 4, 22121), (4929, 0, 351), (512, 4, 15290), (15290, 0, 351), (512, 4, 22121)]",all,"(22121, 0, 351)","[7.440898, 7.7368126]",1.0,7,8.308378,"[1, 1]"
1,0.19327858,"[(5329, 1, 12530), (5329, 1, 12530), (5329, 1, 12530)]",all,"(12530, 1, 5329)","[0.037819937, 0.34873724]",2009.5,3,10.27132,"[3056, 963]"
1,3.438457,"[(9012, 0, 2536), (2536, 9, 2537), (2537, 5, 7786), (2537, 9, 2536), (9012, 0, 2536), (12245, 0, 2536), (12245, 5, 7786), (9012, 0, 2536), (21593, 5, 7786), (21593, 0, 2536)]",all,"(9012, 5, 7786)","[3.8280885, 3.0488253]",97.0,10,8.305224,"[71, 123]"
1,5.918617,"[(9268, 1, 12274), (9268, 1, 12274), (9268, 1, 12274)]",all,"(12274, 1, 9268)","[6.0958853, 5.7413483]",1.5,3,10.34638,"[1, 2]"
1,-1.2895525,"[(15249, 1, 26185), (15249, 1, 26185), (15249, 1, 26185)]",all,"(26185, 1, 15249)","[-1.1636461, -1.4154587]",14808.5,3,11.001265,"[15956, 13661]"
1,-1.3453491,"[(17464, 1, 17465), (17464, 1, 17465), (17464, 1, 17465)]",all,"(17465, 1, 17464)","[-2.0267925, -0.66390574]",23834.0,3,9.928814,"[36479, 11189]"
1,0.033128023,"[(10722, 1, 5826), (10722, 1, 5826), (10722, 1, 5826)]",all,"(5826, 1, 10722)","[-0.39026016, 0.4565162]",5097.0,3,9.052063,"[9280, 914]"
1,2.8411815,"[(2944, 9, 2945), (2944, 9, 2945), (2944, 9, 2945)]",all,"(2945, 9, 2944)","[2.804047, 2.878316]",7.5,3,10.549395,"[7, 8]"
1,4.3770437,"[(21524, 1, 20692), (21524, 1, 20692), (21524, 1, 20692)]",all,"(20692, 1, 21524)","[4.4365144, 4.3175726]",12.0,3,9.7515745,"[12, 12]"
1,0.8151393,"[(19504, 1, 21993), (19504, 1, 21993), (19504, 1, 21993)]",all,"(21993, 1, 19504)","[1.0224744, 0.60780424]",1307.0,3,8.579209,"[814, 1800]"
1,4.395545,"[(8885, 1, 17578), (8885, 1, 17578), (8885, 1, 17578)]",all,"(17578, 1, 8885)","[4.627445, 4.163645]",7.0,3,9.063567,"[7, 7]"
1,6.4951267,"[(3408, 6, 2381), (3684, 2, 12273), (3408, 6, 2381), (3408, 6, 3684), (7129, 2, 12273), (3408, 6, 2381), (3408, 6, 7129)]",all,"(2381, 2, 12273)","[6.548784, 6.4414697]",1.0,7,8.170172,"[1, 1]"
1,4.8995514,"[(14493, 1, 37743), (14493, 1, 37743), (14493, 1, 37743)]",all,"(37743, 1, 14493)","[4.6534967, 5.145606]",1.5,3,9.327404,"[2, 1]"
1,5.171191,"[(8525, 4, 23270), (8525, 4, 21505), (23270, 0, 296), (8525, 4, 21505), (23270, 0, 296)]",all,"(21505, 0, 296)","[5.661485, 4.680897]",31.0,5,6.9597425,"[24, 38]"
1,5.1879573,"[(1770, 1, 1771), (1770, 1, 1771), (1770, 1, 1771)]",all,"(1771, 1, 1770)","[5.0695553, 5.3063593]",12.5,3,8.726723,"[14, 11]"
1,1.3314601,"[(44, 1, 45), (44, 1, 45), (44, 1, 45)]",all,"(45, 1, 44)","[1.3520768, 1.3108435]",406.0,3,8.879241,"[515, 297]"
1,5.388187,"[(10107, 5, 1819), (10107, 0, 14885), (3210, 0, 14885), (15370, 0, 14885), (15370, 5, 1819), (3210, 0, 14885), (14885, 5, 1819), (3210, 0, 14885)]",all,"(3210, 5, 1819)","[5.2772574, 5.4991164]",1.0,8,6.574163,"[1, 1]"
1,6.0823812,"[(20114, 6, 20115), (20114, 6, 4716), (20114, 6, 20115), (4716, 2, 2580), (20114, 6, 22561), (20114, 6, 20115), (22561, 2, 2580)]",all,"(20115, 2, 2580)","[5.7952957, 6.369467]",1.5,7,8.1901455,"[2, 1]"
1,5.5830626,"[(6752, 1, 3450), (6752, 1, 3450), (6752, 1, 3450)]",all,"(3450, 1, 6752)","[5.600374, 5.565751]",4.5,3,8.6875305,"[5, 4]"
1,3.2555115,"[(7707, 1, 7708), (7707, 1, 7708), (7707, 1, 7708)]",all,"(7708, 1, 7707)","[3.034655, 3.476368]",9.0,3,8.797766,"[12, 6]"
1,1.2150431,"[(11702, 1, 26645), (11702, 1, 26645), (11702, 1, 26645)]",all,"(26645, 1, 11702)","[0.9263332, 1.5037528]",214.5,3,10.44846,"[291, 138]"
