perspective,prediction,original_score,new_ranks,facts,new_scores,#facts,new_score,new_rank,original_rank
all,"(1888, 14, 2272)",0.154959037899971,"[1, 4]","[(744, 38, 1888), (744, 6, 1888), (145, 6, 1888), (5335, 14, 2272)]","[0.22917455434799194, 0.02122480794787407]",4,0.125199681147933,2.5,1
all,"(6260, 8, 3691)",0.664778470993042,"[2, 1]","[(1912, 8, 3691), (1912, 3, 3691), (3691, 8, 1912), (6260, 8, 8095), (3691, 3, 1912), (8095, 8, 1912), (6260, 8, 8095), (3691, 232, 160), (8095, 100, 160), (6260, 8, 6571), (1912, 8, 6571), (1912, 8, 3691), (1912, 3, 3691), (6571, 45, 1912), (3691, 8, 1912), (6571, 8, 1912), (6571, 8, 6260), (3691, 3, 1912), (6571, 3, 1912), (1912, 45, 6571)]","[0.544485867023468, 0.4743324816226959]",20,0.509409174323082,1.5,1
all,"(535, 48, 32)",0.8807279467582703,"[1, 1]","[(535, 17, 243), (8267, 48, 32), (212, 42, 535)]","[0.6790503859519958, 0.5587115287780762]",3,0.618880957365036,1.0,1
all,"(8557, 25, 62)",0.9874509572982788,"[1, 1]","[(7670, 25, 62), (90, 25, 62), (11478, 25, 62)]","[0.9916519522666931, 0.9930691719055176]",3,0.9923605620861053,1.0,1
all,"(1504, 14, 5334)",0.5538073182106018,"[1, 4]","[(11471, 221, 5334), (1888, 14, 5334), (57, 198, 5334)]","[0.46682634949684143, 0.09992504864931107]",3,0.28337569907307625,2.5,1
all,"(10740, 20, 1366)",0.8317307829856873,"[1, 1]","[(10740, 20, 3125), (10740, 20, 1328), (10740, 20, 52)]","[0.6673220992088318, 0.759793221950531]",3,0.7135576605796814,1.0,1
all,"(7268, 120, 791)",0.9878473281860352,"[1, 1]","[(9607, 120, 791), (7268, 33, 90), (9607, 33, 90), (10375, 120, 791), (7268, 33, 90), (10375, 33, 90), (11950, 120, 791), (7268, 33, 90), (11950, 33, 90)]","[0.9664485454559326, 0.9909204244613647]",9,0.9786844849586487,1.0,1
all,"(5632, 46, 259)",0.7034265398979187,"[2, 1]","[(5632, 3, 410), (5632, 8, 410), (410, 3, 5632), (6865, 86, 5632), (5632, 19, 929), (929, 47, 5632)]","[0.07772170752286911, 0.3684349060058594]",6,0.22307830676436424,1.5,1
all,"(8623, 43, 384)",0.9801432490348816,"[2, 2]","[(9874, 47, 8623), (8623, 19, 9874), (6906, 17, 862), (8623, 17, 862), (6906, 43, 384), (4269, 43, 384)]","[0.33180904388427734, 0.6718719601631165]",6,0.5018405020236969,2.0,1
all,"(7278, 118, 774)",0.9920915365219116,"[1, 1]","[(226, 15, 592), (592, 127, 226), (592, 62, 226), (226, 118, 774), (7278, 66, 592), (7278, 82, 1424), (773, 18, 1424), (773, 118, 774), (1088, 18, 1424), (7278, 82, 1424), (1088, 118, 774)]","[0.9961572289466858, 0.9949086308479309]",11,0.9955329298973083,1.0,1
all,"(8617, 60, 90)",0.947867214679718,"[1, 1]","[(611, 219, 90), (2526, 213, 90), (2526, 208, 90), (2526, 166, 90), (2526, 128, 90), (2526, 129, 90), (181, 219, 90), (181, 206, 90), (181, 234, 90), (181, 139, 90)]","[0.9740479588508606, 0.9936832189559937]",10,0.9838655889034271,1.0,1
all,"(5263, 48, 32)",0.9680300951004028,"[1, 1]","[(4424, 8, 5263), (5263, 8, 4424), (5263, 8, 2110), (2110, 8, 5263), (6010, 47, 5263), (5263, 19, 6010)]","[0.8645148277282715, 0.9873644709587097]",6,0.9259396493434906,1.0,1
all,"(10130, 131, 181)",0.8042064309120178,"[2, 6]","[(10130, 131, 2895), (10130, 88, 2895), (10130, 131, 6129), (10130, 88, 6129), (10130, 131, 274)]","[0.5016205906867981, 0.15070700645446777]",5,0.32616379857063293,4.0,1
all,"(6678, 43, 384)",0.9217239618301392,"[1, 2]","[(6678, 19, 1062), (4967, 43, 384), (1062, 47, 4967), (6678, 19, 601), (6678, 19, 1062), (3860, 19, 1062), (3860, 43, 384)]","[0.906276524066925, 0.8097469806671143]",7,0.8580117523670197,1.5,1
all,"(5914, 137, 9633)",0.987588107585907,"[1, 1]","[(5914, 137, 4738), (1073, 137, 9633), (7439, 137, 9633)]","[0.8758623003959656, 0.9548429846763611]",3,0.9153526425361633,1.0,1
all,"(7417, 33, 90)",0.9863195419311523,"[1, 1]","[(552, 34, 90), (552, 28, 32), (32, 15, 7417), (7417, 133, 32), (32, 87, 7417), (3443, 60, 90), (32, 15, 7417), (7417, 133, 32), (32, 87, 7417), (3443, 48, 32), (32, 15, 7417), (32, 87, 7417), (11275, 129, 90), (7417, 133, 32), (11275, 150, 32)]","[0.9729363918304443, 0.9941267967224121]",15,0.9835315942764282,1.0,1
all,"(1501, 10, 11145)",0.9204357266426086,"[1, 3]","[(356, 10, 11145), (1501, 7, 188), (1062, 10, 11145)]","[0.9345797896385193, 0.7147711515426636]",3,0.8246754705905914,2.0,1
all,"(14357, 25, 62)",0.9901472926139832,"[1, 1]","[(14357, 52, 1374), (48, 25, 62), (2290, 25, 62)]","[0.9913055300712585, 0.9930794835090637]",3,0.9921925067901611,1.0,1
all,"(6998, 101, 1467)",0.886987566947937,"[2, 2]","[(6998, 172, 1978), (6998, 22, 5060), (6998, 61, 521)]","[0.7140176892280579, 0.738118588924408]",3,0.7260681390762329,2.0,1
all,"(3794, 23, 57)",0.9237578511238098,"[1, 1]","[(6249, 13, 3794), (330, 15, 3794), (330, 78, 3794), (1598, 13, 3794)]","[0.8547227382659912, 0.9807692766189575]",4,0.9177460074424744,1.0,1
all,"(5912, 100, 1672)",0.902134120464325,"[1, 1]","[(6164, 100, 1672), (1672, 70, 640), (9712, 100, 1672)]","[0.6133279800415039, 0.7284159064292908]",3,0.6708719432353973,1.0,1
all,"(805, 115, 747)",0.9535616040229797,"[1, 1]","[(1250, 7, 805), (805, 13, 75), (805, 13, 1934)]","[0.8899040222167969, 0.8149219155311584]",3,0.8524129688739777,1.0,1
all,"(2091, 23, 3486)",0.9085858464241028,"[2, 1]","[(2649, 13, 2091), (473, 13, 2091), (6278, 13, 2091)]","[0.6123256087303162, 0.9053426384925842]",3,0.7588341236114502,1.5,1
all,"(3381, 52, 2028)",0.8979125618934631,"[1, 1]","[(2028, 20, 4955), (13369, 52, 2028), (2028, 20, 7587)]","[0.575526773929596, 0.9382669925689697]",3,0.7568968832492828,1.0,1
