perspective,original_rank,new_rank,#facts,new_score,new_ranks,new_scores,original_score,prediction,facts
all,1,9.5,3,2.934166758894463e-06,"[10, 9]","[9.297708380984204e-09, 5.859035809407942e-06]",4.9305614084005356e-05,"(7392, 8, 7409)","[(23979, 8, 7409), (23754, 8, 7409), (7536, 8, 7409)]"
all,1,5.5,3,2.9593396675409167e-06,"[5, 6]","[5.652686013490893e-06, 2.6599332159094047e-07]",1.2131610382937197e-08,"(6914, 10, 7830)","[(6914, 3, 6), (6914, 3, 20), (6914, 2, 27)]"
all,1,14.0,9,6.507390023224868e-07,"[14, 14]","[2.6427587895838656e-10, 1.3012137287660153e-06]",0.0005110133206471801,"(6722, 8, 7427)","[(14565, 2, 30), (14565, 8, 7427), (6722, 2, 30), (6722, 3, 40), (23558, 3, 40), (23558, 8, 7427), (24894, 8, 7427), (6722, 2, 30), (24894, 2, 30)]"
all,1,13.5,7,6.496617579454522e-07,"[13, 14]","[3.106096269078762e-09, 1.2962174196218257e-06]",0.001002475735731423,"(6105, 8, 7427)","[(23766, 3, 6), (23766, 8, 7427), (6105, 3, 6), (12691, 3, 6), (12691, 8, 7427), (6105, 3, 6), (6105, 5, 6106)]"
all,1,5.0,3,1.7347116454402567e-06,"[2, 8]","[2.29826764552854e-06, 1.1711556453519734e-06]",3.679509363863076e-09,"(7097, 10, 7830)","[(7097, 1, 65), (7097, 3, 1074), (7097, 3, 5362)]"
all,1,2.0,3,0.002471347383561806,"[3, 1]","[2.164481884392444e-06, 0.00494053028523922]",0.07745267450809479,"(5234, 8, 7567)","[(24893, 8, 7567), (17976, 8, 7567), (21865, 8, 7567)]"
all,1,5.5,5,6.340635590618149e-05,"[4, 7]","[7.570080811092339e-07, 0.00012605570373125374]",0.0011432610917836428,"(5897, 8, 7410)","[(18573, 8, 7410), (5897, 3, 9), (20629, 3, 9), (20629, 8, 7410), (9633, 8, 7410)]"
all,1,65.0,3,1.370198833873515e-07,"[97, 33]","[8.48422512800262e-11, 2.7395492452342296e-07]",0.00019900716142728925,"(5930, 8, 7427)","[(5930, 3, 5944), (5930, 4, 66), (5930, 3, 39)]"
all,1,3.0,3,0.005692063076821796,"[2, 4]","[0.011360353790223598, 2.377236341999378e-05]",4.18413728766609e-05,"(6344, 11, 7956)","[(6344, 2, 31), (6344, 4, 485), (6344, 3, 83)]"
all,1,4.5,3,3.9141973218193016e-07,"[4, 5]","[1.725686331610632e-07, 6.102708312027971e-07]",8.690136610312038e-09,"(7499, 10, 7830)","[(7499, 2, 1323), (7499, 4, 485), (7499, 8, 7427)]"
all,1,2.5,3,1.0798095217978698e-05,"[2, 3]","[1.586153666721657e-05, 5.734653768740827e-06]",6.148118458781937e-09,"(6373, 10, 7830)","[(6373, 1, 65), (6373, 3, 3669), (6373, 3, 165)]"
all,1,25.5,9,8.576467169230106e-07,"[33, 18]","[4.121835095460824e-10, 1.7148812503364752e-06]",4.635970981325954e-05,"(6383, 8, 7429)","[(6383, 2, 68), (8641, 8, 7429), (8641, 2, 68), (6383, 3, 476), (7833, 8, 7429), (7833, 3, 476), (7833, 8, 7429), (7833, 3, 7), (6383, 3, 7)]"
all,1,6.0,3,8.66745061500751e-07,"[3, 9]","[1.564200033499219e-06, 1.6929008950228308e-07]",9.566154979268049e-09,"(6300, 10, 7830)","[(6300, 3, 6), (6300, 3, 7), (6300, 3, 10)]"
all,1,7.5,3,8.542396227539939e-05,"[7, 8]","[7.400082040476264e-07, 0.00017010791634675115]",0.0042869639582931995,"(7058, 8, 7410)","[(13122, 8, 7410), (12936, 8, 7410), (9221, 8, 7410)]"
all,1,11.0,3,2.59486292319977e-05,"[14, 8]","[7.031422555314748e-09, 5.1890227041440085e-05]",0.00013452144048642367,"(6766, 8, 7410)","[(19498, 8, 7410), (14458, 8, 7410), (20731, 8, 7410)]"
all,1,3.0,3,5.7219268683184055e-06,"[3, 3]","[3.3191674901900114e-06, 8.1246862464468e-06]",9.406750933749208e-09,"(5380, 10, 7830)","[(5380, 3, 2), (5380, 3, 40), (5380, 2, 31)]"
all,1,3.5,3,4.3303942220518366e-05,"[3, 4]","[7.928611012175679e-07, 8.581502333981916e-05]",0.011794748716056347,"(5756, 8, 7410)","[(5756, 3, 37), (5756, 3, 462), (5756, 2, 31)]"
all,1,3.5,3,8.47319269325908e-06,"[2, 5]","[1.6807836800580844e-05, 1.3854858593731478e-07]",4.969827660517012e-09,"(5593, 10, 7830)","[(5593, 3, 9), (5593, 2, 28), (5593, 3, 34)]"
all,1,5.0,3,3.112364481694385e-06,"[6, 4]","[1.887871690087195e-06, 4.336857273301575e-06]",4.1949319573575394e-09,"(5645, 10, 7830)","[(5645, 1, 65), (5645, 4, 66), (5645, 3, 20)]"
all,1,4.5,3,3.521324174471374e-06,"[3, 6]","[2.924561840700335e-06, 4.118086508242413e-06]",1.688314910097688e-08,"(6263, 10, 7830)","[(6263, 3, 9), (6263, 3, 20), (6263, 2, 30)]"
all,1,3.5,5,0.00015014519709666274,"[4, 3]","[5.409057166616549e-07, 0.00029974948847666383]",0.00042496295645833015,"(6900, 8, 7393)","[(6900, 3, 741), (21872, 8, 7393), (21872, 3, 741), (24326, 8, 7393), (15522, 8, 7393)]"
all,1,1.0,3,0.008635598656837828,"[1, 1]","[0.017208436504006386, 6.276080966927111e-05]",1.3795589438814204e-05,"(6976, 11, 7956)","[(6976, 4, 485), (6976, 3, 180), (6976, 3, 6)]"
all,1,14.5,3,2.369270121205247e-07,"[16, 13]","[5.453644202901842e-10, 4.733086598207592e-07]",0.00212707556784153,"(5665, 8, 7427)","[(18777, 8, 7427), (14330, 8, 7427), (12077, 8, 7427)]"
all,1,1.5,3,0.0028738571345456876,"[1, 2]","[0.005665611010044813, 8.210325904656202e-05]",0.00013240447151474655,"(5627, 11, 7956)","[(5627, 4, 485), (5627, 5, 3856), (5627, 2, 31)]"
all,1,26.0,3,0.00014279673653816438,"[42, 10]","[4.2204777450649544e-09, 0.0002855892525985837]",0.001694337697699666,"(5517, 9, 7903)","[(5517, 3, 5520), (5517, 2, 1188), (5517, 2, 1323)]"
all,1,9.0,3,2.2451886931840193e-05,"[11, 7]","[2.1901991331674253e-08, 4.488187187234871e-05]",0.0001737351849442348,"(5269, 8, 7410)","[(5269, 1, 65), (19185, 8, 7410), (5269, 3, 46)]"
all,1,2.5,8,0.22462990722851828,"[4, 1]","[0.00143575354013592, 0.44782406091690063]",0.022079473361372948,"(7628, 12, 4492)","[(7628, 2, 31), (4492, 2, 31), (7628, 3, 6), (23140, 12, 4492), (23140, 3, 6), (7628, 2, 31), (23140, 12, 4492), (23140, 2, 31)]"
