original_score,#facts,original_rank,prediction,new_scores,new_score,new_rank,perspective,new_ranks,facts
4.1836443,3,2,"(7201, 8, 7410)","[2.5334172, 2.1593947]",2.346406,1.5,all,"[2, 1]","[(23950, 8, 7410), (24786, 8, 7410), (16174, 8, 7410)]"
3.5500622,3,5,"(5645, 10, 7830)","[3.5493207, 2.8175144]",3.1834176,1.0,all,"[1, 1]","[(5645, 3, 4809), (5645, 1, 65), (5645, 3, 9)]"
5.118734,3,2,"(4799, 8, 7566)","[2.6086347, 2.3778217]",2.4932282,6.5,all,"[5, 8]","[(24579, 8, 7566), (25054, 8, 7566), (13828, 8, 7566)]"
5.244982,5,1,"(6730, 8, 7408)","[2.7442255, 2.6214056]",2.6828156,4.0,all,"[5, 3]","[(6730, 3, 10), (25390, 8, 7408), (25390, 3, 10), (21364, 8, 7408), (15227, 8, 7408)]"
2.9227967,3,5,"(7756, 10, 7830)","[3.4494433, 3.092422]",3.2709327,1.0,all,"[1, 1]","[(7756, 3, 149), (7756, 3, 427), (11340, 10, 7830)]"
5.7092123,9,1,"(6900, 8, 7566)","[2.6669512, 2.5880523]",2.6275017,3.5,all,"[3, 4]","[(25523, 3, 41), (6900, 3, 41), (25523, 8, 7566), (6900, 3, 297), (24271, 3, 297), (24271, 8, 7566), (11842, 3, 41), (6900, 3, 41), (11842, 8, 7566)]"
2.6512852,3,3,"(7628, 12, 8676)","[3.3100524, 4.571527]",3.9407897,1.0,all,"[1, 1]","[(12065, 12, 8676), (14594, 12, 8676), (13971, 12, 8676)]"
5.1737347,3,1,"(6492, 8, 7429)","[2.3973708, 2.191537]",2.2944539,1.5,all,"[2, 1]","[(14940, 8, 7429), (24248, 8, 7429), (25417, 8, 7429)]"
3.7173736,3,5,"(7177, 10, 7830)","[3.4604979, 2.8719249]",3.1662114,1.0,all,"[1, 1]","[(24927, 10, 7830), (15316, 10, 7830), (7177, 3, 39)]"
2.6694508,5,2,"(5380, 10, 7830)","[3.4458523, 2.7785306]",3.1121914,1.0,all,"[1, 1]","[(5380, 2, 729), (23193, 10, 7830), (23193, 3, 476), (5380, 3, 476), (5380, 1, 65)]"
3.5309901,3,36,"(6587, 9, 8151)","[5.5389256, 3.6512346]",4.5950804,3.0,all,"[5, 1]","[(6587, 3, 78), (6587, 3, 7), (6587, 3, 38)]"
2.6253808,5,1,"(5822, 11, 7956)","[3.1373677, 2.270074]",2.7037208,1.0,all,"[1, 1]","[(23950, 11, 7956), (5822, 2, 31), (23950, 2, 31), (23950, 11, 7956), (5822, 3, 100)]"
4.6961765,9,1,"(5498, 8, 7429)","[2.4621024, 2.1050792]",2.2835908,1.5,all,"[1, 2]","[(5498, 3, 78), (14130, 3, 78), (14130, 8, 7429), (14130, 8, 7429), (14130, 3, 10), (5498, 3, 10), (5498, 3, 78), (12405, 8, 7429), (12405, 3, 78)]"
2.9549463,3,3,"(7655, 11, 7956)","[3.2201076, 2.3280227]",2.774065,1.0,all,"[1, 1]","[(14940, 11, 7956), (25559, 11, 7956), (16511, 11, 7956)]"
4.852529,3,3,"(5110, 8, 7410)","[2.4550967, 2.284953]",2.370025,1.5,all,"[2, 1]","[(24252, 8, 7410), (20934, 8, 7410), (19472, 8, 7410)]"
5.230544,3,7,"(7335, 8, 7429)","[2.4929774, 2.21937]",2.3561735,1.0,all,"[1, 1]","[(18600, 8, 7429), (7450, 8, 7429), (14580, 8, 7429)]"
3.567545,3,5,"(5920, 10, 7830)","[3.4211202, 2.841633]",3.1313767,1.0,all,"[1, 1]","[(24357, 10, 7830), (8476, 10, 7830), (10310, 10, 7830)]"
3.8982012,5,1,"(6394, 8, 7427)","[2.4106102, 2.151877]",2.2812436,2.0,all,"[2, 2]","[(9956, 8, 7427), (9818, 8, 7427), (6394, 3, 479), (14330, 3, 479), (14330, 8, 7427)]"
