prediction,perspective,new_scores,facts,new_rank,original_rank,new_ranks,new_score,original_score,#facts
"(8386, 85, 434)",all,"[0.6520555, 0.31642878]","[(6224, 43, 141), (8386, 43, 141), (6224, 85, 434), (434, 161, 3243), (8386, 48, 32), (32, 15, 3243), (3243, 133, 32), (8238, 43, 141), (8238, 85, 434), (8386, 43, 141)]",1.0,1,"[1, 1]",0.48424214,0.86785144,10
"(11754, 85, 434)",all,"[1.0185372, 0.43830442]","[(4311, 85, 434), (4311, 17, 862), (11754, 17, 862), (5159, 85, 434), (5159, 17, 818), (11754, 17, 818), (1253, 71, 11754)]",1.0,1,"[1, 1]",0.7284208,0.772665,7
"(7155, 25, 62)",all,"[5.30346, 6.179482]","[(272, 25, 62), (272, 80, 911), (7155, 67, 911), (1378, 25, 62), (1378, 80, 911), (7155, 67, 911), (3412, 25, 62), (3412, 80, 911), (7155, 67, 911)]",1.0,1,"[1, 1]",5.7414713,4.0457983,9
"(9448, 0, 4494)",all,"[0.79615647, 1.7049918]","[(8139, 0, 4494), (1280, 0, 4494), (8307, 0, 4494)]",11.5,1,"[1, 22]",1.2505741,0.49552628,3
"(1432, 98, 8236)",all,"[0.7102854, 1.3684916]","[(11759, 98, 8236), (1432, 98, 3175), (1853, 98, 8236)]",1.0,1,"[1, 1]",1.0393885,1.0491734,3
"(1927, 212, 4563)",all,"[1.2559662, 2.815908]","[(9555, 212, 4563), (6936, 212, 4563), (3608, 212, 4563)]",28.5,1,"[1, 56]",2.035937,1.064143,3
"(1956, 98, 8986)",all,"[0.8150876, 1.816017]","[(164, 98, 8986), (6780, 98, 8986), (520, 98, 8986)]",1.5,1,"[1, 2]",1.3155524,0.8193542,3
"(5302, 122, 3325)",all,"[0.7822241, 0.91640043]","[(3325, 6, 9594), (688, 35, 5302), (688, 35, 854), (854, 122, 3325), (229, 66, 5302), (3325, 17, 862), (229, 17, 862)]",922.0,1,"[550, 1294]",0.8493123,0.94748455,7
"(8913, 13, 4474)",all,"[0.13797586, 0.3456915]","[(7139, 131, 4474), (7139, 88, 4474), (1836, 13, 4474), (4726, 13, 4474)]",3.0,1,"[3, 3]",0.24183369,0.1852721,4
"(848, 17, 862)",all,"[0.6069932, 0.34872326]","[(848, 38, 635), (848, 6, 7458), (848, 6, 1322)]",1.5,1,"[1, 2]",0.47785825,0.6281446,3
"(2302, 60, 90)",all,"[0.2449092, 0.21356592]","[(1126, 25, 62), (90, 25, 62), (2302, 19, 1126), (2302, 19, 2610), (564, 45, 2302), (564, 53, 2302), (2302, 77, 564), (2302, 45, 564), (564, 3, 2302), (2302, 3, 564)]",1.0,1,"[1, 1]",0.22923756,0.32064235,10
"(1392, 43, 141)",all,"[1.8863771, 2.236261]","[(9726, 88, 1392), (1392, 48, 382), (1392, 236, 382), (3402, 43, 141), (1392, 48, 382), (1392, 236, 382), (3402, 48, 382)]",1.5,1,"[1, 2]",2.0613189,1.3807638,7
"(1259, 13, 202)",all,"[0.3153137, 0.22513534]","[(2499, 13, 202), (1259, 31, 4), (1259, 30, 371), (371, 7, 1259)]",6.5,1,"[11, 2]",0.2702245,0.29367885,4
"(2181, 17, 818)",all,"[1.4296118, 0.5968062]","[(138, 42, 2181), (10368, 84, 2181), (10368, 109, 2181), (2181, 43, 141)]",5.0,1,"[5, 5]",1.013209,0.5652913,4
"(4282, 25, 62)",all,"[1.6140697, 1.8999872]","[(3032, 6, 4282), (4282, 28, 32), (4282, 13, 32), (4282, 136, 689), (4282, 12, 689), (689, 38, 4282)]",1.0,1,"[1, 1]",1.7570285,0.7406258,6
"(4551, 26, 1098)",all,"[0.24464135, 0.19820984]","[(4551, 31, 163), (4551, 26, 64), (533, 26, 1098)]",1.0,1,"[1, 1]",0.2214256,0.2757606,3
"(3683, 172, 1978)",all,"[0.6097865, 0.40819007]","[(4683, 172, 1978), (2754, 172, 1978), (4511, 172, 1978)]",1.0,1,"[1, 1]",0.50898826,0.72316766,3
"(3592, 26, 342)",all,"[0.36219907, 0.41509214]","[(5733, 26, 342), (3592, 14, 160), (5733, 14, 160), (7175, 59, 3592), (1879, 14, 160), (3592, 14, 160), (1879, 26, 342)]",3.5,1,"[1, 6]",0.3886456,0.78242016,7
"(13632, 25, 62)",all,"[2.5065029, 4.8870945]","[(11934, 25, 62), (10153, 25, 62), (10787, 25, 62)]",1.0,1,"[1, 1]",3.6967988,3.6988935,3
"(12589, 43, 141)",all,"[1.401823, 1.437774]","[(7262, 43, 141), (12589, 48, 32), (7262, 48, 32), (7166, 43, 141), (12589, 48, 32), (9078, 43, 141), (9078, 48, 32)]",1.0,1,"[1, 1]",1.4197985,1.8521459,7
"(6433, 85, 434)",all,"[0.4706917, 0.9358107]","[(10412, 17, 818), (6433, 17, 818), (10412, 85, 434), (5783, 17, 818), (6433, 17, 818), (5783, 85, 434), (4974, 48, 32), (6433, 48, 32), (4974, 85, 434)]",1.0,1,"[1, 1]",0.7032512,0.99297744,9
"(148, 26, 1098)",all,"[0.33730143, 0.32471925]","[(148, 13, 32), (1041, 28, 32), (148, 28, 32), (1041, 26, 1098), (4604, 26, 1098), (148, 31, 8186)]",2.5,1,"[3, 2]",0.33101034,0.34872115,6
"(9418, 66, 592)",all,"[0.5022044, 0.91790766]","[(9418, 48, 32), (2352, 28, 32), (9418, 48, 32), (2352, 106, 592), (5456, 106, 592)]",5.5,1,"[3, 8]",0.71005607,0.39250824,5
"(3120, 148, 3021)",all,"[0.54159325, 0.6374167]","[(4896, 148, 3021), (5778, 25, 62), (3120, 25, 62), (5778, 148, 3021), (5445, 148, 3021)]",1.0,1,"[1, 1]",0.58950496,0.98317444,5
"(1174, 60, 90)",all,"[0.19031376, 0.19884504]","[(9871, 60, 90), (5923, 34, 90), (8541, 166, 90), (8541, 128, 90)]",1.0,1,"[1, 1]",0.1945794,0.36387604,4
"(4945, 17, 871)",all,"[1.1417267, 1.9957479]","[(8315, 17, 871), (4945, 17, 862), (8315, 17, 862), (3413, 17, 871), (4945, 17, 2006), (3413, 17, 2006), (4365, 17, 862), (4945, 17, 862), (4365, 17, 871)]",2.0,1,"[3, 1]",1.5687373,1.3821117,9
"(9896, 167, 1768)",all,"[0.88340306, 0.7024371]","[(32, 15, 9896), (9896, 16, 32), (32, 15, 972), (972, 167, 1768), (32, 15, 9896), (32, 15, 1764), (1764, 167, 1768), (9896, 16, 32), (1764, 16, 32), (2665, 167, 1768)]",1.0,1,"[1, 1]",0.7929201,1.7137808,10
"(1431, 91, 494)",all,"[0.46697584, 0.54922247]","[(2207, 91, 494), (1918, 110, 494), (1795, 91, 494)]",1.0,1,"[1, 1]",0.50809914,0.96278536,3
"(5672, 26, 64)",all,"[0.27281722, 0.4322684]","[(5672, 31, 3939), (3939, 2, 5672), (5595, 26, 1936), (5672, 26, 1936), (5595, 26, 64), (5672, 26, 1960)]",1.5,1,"[1, 2]",0.35254282,0.43769473,6
"(9329, 172, 2759)",all,"[0.7823495, 1.1495032]","[(9329, 14, 160), (1121, 7, 9329), (9329, 30, 1121), (220, 59, 9329)]",1.0,1,"[1, 1]",0.9659264,0.62643886,4
"(80, 19, 559)",all,"[0.13475487, 0.113028094]","[(80, 8, 2891), (80, 3, 2891), (2891, 8, 80), (80, 6, 7606), (936, 27, 80)]",1.0,1,"[1, 1]",0.12389148,0.13642684,5
"(10459, 26, 1098)",all,"[0.46960986, 0.48041934]","[(10459, 28, 32), (2676, 13, 32), (2676, 26, 1098), (10459, 28, 32), (4257, 26, 1098), (4257, 28, 32), (10459, 28, 32), (5099, 26, 1098), (5099, 28, 32)]",1.0,1,"[1, 1]",0.4750146,0.18188997,9
"(10238, 85, 434)",all,"[2.25794, 1.3597059]","[(10238, 66, 592), (8914, 85, 434), (10730, 22, 10238)]",2.0,1,"[2, 2]",1.808823,1.1349618,3
"(7474, 85, 434)",all,"[0.9857291, 1.2629879]","[(9263, 85, 434), (8975, 85, 434), (7474, 6, 2574)]",1.5,1,"[2, 1]",1.1243584,1.3096819,3
"(5563, 34, 90)",all,"[0.19436128, 0.19630194]","[(9321, 60, 90), (7937, 34, 90), (4950, 60, 90)]",1.0,1,"[1, 1]",0.1953316,0.22799438,3
"(5745, 35, 2589)",all,"[0.33467066, 0.31302735]","[(2473, 35, 2589), (2473, 35, 2792), (5745, 35, 2792), (688, 35, 2589), (688, 35, 2792), (5745, 35, 2792), (2589, 18, 1771)]",6.0,1,"[6, 6]",0.32384902,0.62112427,7
"(6223, 167, 1768)",all,"[0.7248055, 1.5688411]","[(6223, 101, 2370), (6223, 25, 62), (3317, 167, 1768)]",1.0,1,"[1, 1]",1.1468233,1.2521012,3
"(11326, 25, 62)",all,"[6.2761717, 6.472374]","[(3466, 23, 57), (57, 25, 62), (3466, 15, 11326), (4965, 25, 62), (3466, 234, 90), (90, 25, 62), (3466, 139, 90), (3466, 206, 90), (3466, 15, 11326)]",1.0,1,"[1, 1]",6.374273,5.720357,9
