prediction,original_rank,facts,original_score,perspective,new_rank,new_scores,new_score,#facts,new_ranks
"(3741, 6, 11977)",1,"[(3741, 6, 29582), (26307, 6, 11977), (26307, 6, 29582), (2857, 0, 3742), (2857, 6, 11977), (3741, 0, 3742), (11976, 0, 3742), (11976, 6, 11977), (3741, 0, 3742)]",1.0016706,all,38049.0,"[4.687175, 6.218334]",5.4527545,9,"[36111, 39987]"
"(829, 0, 1677)",1,"[(3160, 1, 1677), (1677, 1, 3160), (829, 1, 830), (830, 1, 829), (830, 1, 13975), (13975, 0, 1677), (13975, 1, 830), (10621, 0, 1677)]",1.4397378,all,145.0,"[1.218459, 1.052878]",1.1356685,8,"[169, 121]"
"(9258, 2, 916)",1,"[(1513, 2, 916), (9258, 2, 121), (1513, 2, 121), (3766, 6, 9258), (9258, 2, 121), (19715, 2, 121), (19715, 2, 916)]",0.6697103,all,58.0,"[4.6063313, 6.6245823]",5.6154566,7,"[18, 98]"
"(27757, 0, 1929)",1,"[(450, 4, 9271), (9271, 0, 1929), (450, 4, 27757), (450, 4, 26034), (450, 4, 27757), (26034, 0, 1929), (24690, 0, 1929)]",1.4945084,all,43.5,"[2.0853655, 2.7161238]",2.4007447,7,"[51, 36]"
"(4747, 0, 22951)",1,"[(4747, 5, 3149), (22951, 5, 3149), (4747, 5, 3149), (3148, 5, 3149), (3148, 0, 22951), (4747, 5, 3149)]",3.1222603,all,3854.5,"[6.3866615, 5.604254]",5.9954576,6,"[6276, 1433]"
"(31737, 0, 16660)",1,"[(13469, 0, 16660), (31985, 0, 16660), (34851, 0, 4448), (31737, 0, 4448), (34851, 0, 16660)]",1.8926018,all,901.0,"[4.2742405, 5.384403]",4.829322,5,"[496, 1306]"
"(37285, 0, 184)",1,"[(1988, 0, 184), (22010, 0, 184), (1906, 4, 37285)]",1.4167567,all,92.0,"[4.9691544, 5.397548]",5.1833515,3,"[122, 62]"
"(18018, 2, 916)",1,"[(18018, 2, 121), (8244, 2, 916), (8244, 2, 121), (18018, 2, 121), (6864, 2, 121), (6864, 2, 916), (18018, 2, 121), (3016, 2, 121), (3016, 2, 916)]",1.0748414,all,47.0,"[6.080784, 4.984977]",5.5328803,9,"[87, 7]"
"(78, 5, 172)",1,"[(78, 0, 79), (15966, 5, 172), (79, 5, 172)]",2.3237505,all,84.5,"[5.096246, 5.6878185]",5.392032,3,"[3, 166]"
"(35086, 0, 1929)",1,"[(13085, 0, 1929), (13084, 4, 13085), (13084, 4, 35086), (13085, 0, 1929), (13084, 4, 35086)]",1.266521,all,194.5,"[2.093261, 2.1054847]",2.0993729,5,"[43, 346]"
