prediction,facts,exp,exp_length,original_score,original_rank,new_scores,new_ranks,new_score,new_rank
"(12905, 1, 5832)","[([(28697, 1, 12905), (12905, 1, 28697), (5832, 1, 1757), (1757, 1, 5832)], 14.544, 'xrule'), ([(12904, 1, 12905), (5832, 1, 1757), (1757, 1, 5832)], 14.3277, 'xrule')]","[(1757, 1, 5832), (5832, 1, 1757), (12905, 1, 28697), (28697, 1, 12905), (12904, 1, 12905)]",5,9.152348,1,[9.93118],[1],9.93118,1.0
"(17014, 2, 3167)","[([(8221, 2, 3167), (17219, 2, 3167), (17014, 2, 909)], 25.700101, 'xrule')]","[(8221, 2, 3167), (17219, 2, 3167), (17014, 2, 909)]",3,7.138198,1,[3.8096857],[114],3.8096857,114.0
"(32701, 0, 522)","[([(522, 1, 4393), (1049, 1, 32701), (32701, 1, 1049), (4393, 1, 522), (1048, 0, 522)], 31.5166, 'xrule')]","[(522, 1, 4393), (1049, 1, 32701), (32701, 1, 1049), (4393, 1, 522), (1048, 0, 522)]",5,6.671388,1,[0.83093417],[340],0.83093417,340.0
"(39279, 0, 184)","[([(1038, 4, 39279), (3686, 0, 184), (34624, 0, 184)], 28.6603, 'xrule')]","[(1038, 4, 39279), (3686, 0, 184), (34624, 0, 184)]",3,8.772864,1,[6.633228],[1],6.633228,1.0
"(15028, 1, 5116)","[([(16314, 1, 15028), (5116, 1, 15527), (15527, 1, 5116), (3999, 1, 5116)], 0.55620098, 'xrule'), ([(15527, 1, 5116), (15028, 1, 21701), (5116, 1, 19324), (5116, 1, 15527), (21701, 1, 15028)], 0.41720009, 'xrule'), ([(15527, 1, 5116), (5116, 1, 15527), (3999, 1, 5116), (15028, 1, 6422)], 0.23960018400000002, 'xrule')]","[(15527, 1, 5116), (15028, 1, 21701), (5116, 1, 19324), (3999, 1, 5116), (5116, 1, 15527), (15028, 1, 6422), (16314, 1, 15028), (21701, 1, 15028)]",8,9.27175,1,[8.666831],[2],8.666831,2.0
"(26645, 1, 11702)","[([(26645, 5, 129), (11702, 0, 6759)], 5.6067, 'xrule')]","[(11702, 0, 6759), (26645, 5, 129)]",2,10.448455,1,[10.243415],[1],10.243415,1.0
"(31376, 2, 743)","[([(23887, 6, 31376), (742, 2, 743), (32045, 2, 743)], 1.0874986400000002, 'xrule'), ([(10052, 6, 31376), (33423, 2, 743), (10053, 2, 743)], 0.59089947, 'xrule'), ([(33423, 2, 743), (12272, 6, 31376), (10053, 2, 743)], 0.33979893, 'xrule')]","[(32045, 2, 743), (742, 2, 743), (23887, 6, 31376), (10052, 6, 31376), (10053, 2, 743), (33423, 2, 743), (12272, 6, 31376)]",7,7.7001657,1,[5.633912],[48],5.633912,48.0
"(9372, 1, 1508)","[([(3796, 1, 1508), (9372, 1, 3795), (1508, 9, 3795), (1508, 1, 3796), (3795, 1, 9372)], 26.753300000000003, 'xrule')]","[(3796, 1, 1508), (9372, 1, 3795), (1508, 9, 3795), (1508, 1, 3796), (3795, 1, 9372)]",5,9.99363,1,[10.33667],[1],10.33667,1.0
"(5394, 1, 2601)","[([(19801, 0, 5394), (19802, 0, 2601)], 0.5208998, 'xrule'), ([(20358, 0, 5394), (20359, 0, 2601)], 0.20830059, 'xrule'), ([(13722, 0, 5394), (15112, 0, 2601)], 0.04129982, 'xrule')]","[(13722, 0, 5394), (20359, 0, 2601), (20358, 0, 5394), (15112, 0, 2601), (19801, 0, 5394), (19802, 0, 2601)]",6,9.647273,1,[9.067392],[1],9.067392,1.0
"(4765, 1, 4764)","[([(4765, 1, 29462), (29462, 1, 4765), (21665, 1, 4764), (29140, 1, 4764)], 27.204300000000003, 'xrule')]","[(4765, 1, 29462), (29462, 1, 4765), (21665, 1, 4764), (29140, 1, 4764)]",4,9.360673,1,[9.535983],[1],9.535983,1.0
