prediction,facts,exp,exp_length,original_score,original_rank,new_scores,new_ranks,new_score,new_rank
"(11761, 113, 5770)","[([(5514, 113, 5770), (4413, 63, 11761), (4800, 113, 5770), (5770, 44, 4836), (5770, 44, 4280)], 0.279600029, 'xrule'), ([(11761, 150, 32), (7392, 26, 5770), (11221, 113, 5770), (10139, 26, 5770), (5770, 44, 4280)], 0.10710001039999999, 'xrule'), ([(11761, 113, 737), (11020, 113, 5770), (424, 113, 5770)], 0.02429997895, 'xrule'), ([(11761, 172, 5721), (5770, 44, 4280)], 0.00019997358, 'xrule')]","[(5514, 113, 5770), (11761, 150, 32), (4413, 63, 11761), (11761, 172, 5721), (4800, 113, 5770), (7392, 26, 5770), (11221, 113, 5770), (10139, 26, 5770), (5770, 44, 4836), (5770, 44, 4280), (11761, 113, 737), (11020, 113, 5770), (424, 113, 5770)]",13,0.3936966061592102,1,[0.23876681923866272],[3],0.23876681923866272,3.0
"(5914, 137, 9633)","[([(5914, 137, 10608), (3211, 137, 9633), (3635, 137, 9633)], 0.022800001, 'xrule'), ([(5883, 137, 9633), (5914, 137, 11475), (5756, 137, 9633)], 0.0204000003, 'xrule'), ([(5914, 137, 5101), (9450, 137, 9633), (3803, 137, 9633)], 0.019600002, 'xrule'), ([(3211, 137, 9633), (6008, 137, 9633), (5914, 137, 7372)], 0.015700001300000002, 'xrule'), ([(8724, 137, 9633), (9208, 137, 9633), (5914, 137, 5178)], 0.0134000037, 'xrule')]","[(5756, 137, 9633), (3803, 137, 9633), (6008, 137, 9633), (3635, 137, 9633), (5914, 137, 7372), (8724, 137, 9633), (5914, 137, 10608), (5883, 137, 9633), (9208, 137, 9633), (5914, 137, 5101), (5914, 137, 11475), (3211, 137, 9633), (9450, 137, 9633), (5914, 137, 5178)]",14,0.987588107585907,1,[0.8739582896232605],[7],0.8739582896232605,7.0
"(2937, 48, 32)","[([(2937, 6, 6945), (2626, 48, 32), (5910, 48, 32)], 0.061200038, 'xrule'), ([(2937, 8, 1174), (7551, 48, 32), (2986, 48, 32), (1174, 8, 2937)], 0.04190000939999999, 'xrule'), ([(2937, 38, 1892), (2937, 6, 1892), (1892, 12, 2937), (1337, 48, 32)], 0.03570001, 'xrule'), ([(2937, 6, 941), (75, 58, 32)], 0.034500003, 'xrule'), ([(2301, 48, 32), (6826, 48, 32), (2937, 6, 7213)], 0.032000006, 'xrule')]","[(2986, 48, 32), (2937, 8, 1174), (2937, 6, 7213), (7551, 48, 32), (1337, 48, 32), (1174, 8, 2937), (5910, 48, 32), (75, 58, 32), (6826, 48, 32), (2937, 38, 1892), (2937, 6, 1892), (1892, 12, 2937), (2937, 6, 6945), (2937, 6, 941), (2626, 48, 32), (2301, 48, 32)]",16,0.9600799083709717,1,[0.9811459183692932],[1],0.9811459183692932,1.0
"(7417, 33, 90)",[],[],0,0.9863195419311523,1,[0.9941767454147339],[1],0.9941767454147339,1.0
"(5912, 100, 1672)","[([(1672, 2, 8376), (8376, 14, 1672), (162, 14, 1672), (1672, 2, 162), (5912, 100, 8832)], 0.098100006, 'xrule'), ([(1672, 2, 8376), (5912, 48, 1928), (11442, 100, 1672), (8376, 14, 1672)], 0.040100038000000005, 'xrule'), ([(5912, 100, 160), (10039, 214, 1672)], 0.02609998, 'xrule'), ([(5912, 85, 434), (10467, 100, 1672)], 0.018299997, 'xrule'), ([(5912, 17, 862), (10467, 100, 1672)], 0.015900016, 'xrule')]","[(10039, 214, 1672), (1672, 2, 8376), (8376, 14, 1672), (5912, 17, 862), (11442, 100, 1672), (162, 14, 1672), (5912, 48, 1928), (1672, 2, 162), (10467, 100, 1672), (5912, 100, 160), (5912, 100, 8832), (5912, 85, 434)]",12,0.902134120464325,1,[0.34871307015419006],[2],0.34871307015419006,2.0
"(4550, 60, 90)","[([(10925, 60, 90), (8328, 8, 4550), (4550, 8, 8328), (10909, 34, 90), (8328, 60, 90)], 0.091600002, 'xrule'), ([(4550, 25, 62), (90, 25, 62), (5308, 108, 90), (10819, 213, 90), (11397, 166, 90)], 0.0697000104, 'xrule'), ([(32, 139, 90), (32, 206, 90), (32, 234, 90), (4550, 123, 10558), (10909, 34, 90)], 0.056299998000000004, 'xrule'), ([(4550, 48, 32), (11160, 60, 90), (7689, 129, 90), (2879, 33, 90)], 0.0513000037, 'xrule'), ([(32, 139, 90), (32, 206, 90), (5316, 123, 4550), (32, 234, 90), (90, 25, 62)], 0.042500004, 'xrule')]","[(4550, 25, 62), (5316, 123, 4550), (32, 234, 90), (4550, 123, 10558), (2879, 33, 90), (10909, 34, 90), (32, 139, 90), (10925, 60, 90), (4550, 48, 32), (4550, 8, 8328), (8328, 8, 4550), (5308, 108, 90), (11160, 60, 90), (10819, 213, 90), (8328, 60, 90), (7689, 129, 90), (90, 25, 62), (32, 206, 90), (11397, 166, 90)]",19,0.9950908422470093,1,[0.9825981259346008],[1],0.9825981259346008,1.0
"(1504, 14, 5334)","[([(5334, 70, 637), (637, 221, 5334), (5334, 2, 6172), (1504, 13, 622)], 0.0058999974999999994, 'xrule'), ([(181, 221, 5334), (5334, 70, 92), (4346, 230, 1504), (92, 221, 5334)], 0.0051999967999999995, 'xrule'), ([(1504, 13, 32), (1504, 28, 32), (5334, 2, 1229), (8363, 51, 5334), (1229, 14, 5334)], 0.0050999969, 'xrule'), ([(8190, 14, 5334), (1504, 13, 2046), (5334, 2, 1229), (6606, 14, 5334), (1229, 14, 5334)], 0.0045999959, 'xrule'), ([(1504, 13, 637), (5334, 70, 92), (92, 221, 5334)], 0.003899999, 'xrule')]","[(1504, 13, 32), (4346, 230, 1504), (92, 221, 5334), (1504, 28, 32), (8363, 51, 5334), (8190, 14, 5334), (5334, 70, 637), (1504, 13, 2046), (5334, 2, 1229), (1504, 13, 622), (637, 221, 5334), (5334, 2, 6172), (6606, 14, 5334), (1504, 13, 637), (181, 221, 5334), (5334, 70, 92), (1229, 14, 5334)]",17,0.5538073182106018,1,[0.2582603693008423],[2],0.2582603693008423,2.0
"(8105, 52, 1374)","[([(9571, 52, 1374), (8105, 20, 6191), (1374, 20, 6191)], 0.0196, 'xrule'), ([(8105, 20, 6419), (9783, 52, 1374), (1374, 20, 6419)], 0.0117999983, 'xrule'), ([(11958, 52, 1374), (8105, 20, 8947), (1374, 20, 8947)], 0.011299999000000002, 'xrule'), ([(8105, 20, 9961), (1374, 20, 9961)], 0.010299999, 'xrule'), ([(1374, 20, 7290), (3117, 52, 1374), (8105, 20, 7290)], 0.00950000066, 'xrule')]","[(1374, 20, 7290), (1374, 20, 6419), (11958, 52, 1374), (1374, 20, 9961), (3117, 52, 1374), (8105, 20, 8947), (9571, 52, 1374), (8105, 20, 6191), (1374, 20, 8947), (8105, 20, 7290), (8105, 20, 6419), (9783, 52, 1374), (1374, 20, 6191), (8105, 20, 9961)]",14,0.8518563508987427,1,[0.387281209230423],[1],0.387281209230423,1.0
"(7870, 17, 862)","[([(7870, 48, 32), (5114, 17, 862)], 0.0163, 'xrule'), ([(7870, 8, 10441), (10441, 8, 7870), (10441, 3, 7870), (7870, 3, 10441), (10441, 17, 862)], 0.011700004, 'xrule'), ([(7870, 6, 7458), (4027, 17, 862)], 0.0047999993, 'xrule'), ([(7870, 8, 4018), (4018, 3, 7870), (1856, 17, 862)], 0.0028000027, 'xrule'), ([(7870, 192, 11150), (11150, 192, 7870), (11150, 17, 862)], 0.0014000013, 'xrule')]","[(5114, 17, 862), (7870, 192, 11150), (10441, 8, 7870), (10441, 3, 7870), (11150, 17, 862), (10441, 17, 862), (4027, 17, 862), (4018, 3, 7870), (1856, 17, 862), (7870, 8, 10441), (7870, 3, 10441), (7870, 6, 7458), (7870, 48, 32), (11150, 192, 7870), (7870, 8, 4018)]",15,0.8808959126472473,1,[0.9101019501686096],[1],0.9101019501686096,1.0
"(10740, 20, 1366)","[([(10740, 20, 2592), (1366, 19, 11195), (11195, 47, 1366)], 0.001199998, 'xrule'), ([(10740, 20, 2459), (1366, 41, 1245)], 0.00019999966, 'xrule')]","[(10740, 20, 2592), (1366, 41, 1245), (11195, 47, 1366), (1366, 19, 11195), (10740, 20, 2459)]",5,0.8317307829856873,1,[0.25261029601097107],[4],0.25261029601097107,4.0
"(434, 161, 5949)","[([(5949, 122, 383), (5949, 122, 4268), (5949, 122, 4342), (383, 85, 434), (5949, 122, 4472)], 0.01079999924, 'xrule'), ([(9201, 85, 434), (1665, 161, 5949), (9201, 224, 5949), (8357, 224, 5949)], 0.0105, 'xrule'), ([(5949, 15, 7629), (4925, 85, 434), (4925, 66, 5949), (7629, 143, 5949)], 0.0071, 'xrule'), ([(5949, 122, 4359), (5949, 122, 3032), (3032, 85, 434)], 0.0059999992, 'xrule'), ([(2187, 85, 434), (32, 15, 5949), (5949, 205, 32), (5949, 135, 32), (5949, 133, 32)], 0.0026000002, 'xrule')]","[(5949, 205, 32), (9201, 85, 434), (5949, 122, 4342), (32, 15, 5949), (9201, 224, 5949), (8357, 224, 5949), (5949, 122, 4268), (3032, 85, 434), (5949, 15, 7629), (4925, 66, 5949), (5949, 122, 3032), (5949, 122, 4472), (5949, 122, 4359), (4925, 85, 434), (5949, 122, 383), (7629, 143, 5949), (5949, 133, 32), (2187, 85, 434), (383, 85, 434), (1665, 161, 5949), (5949, 135, 32)]",21,0.9906078577041626,1,[0.7654317021369934],[62],0.7654317021369934,62.0
"(535, 48, 32)","[([(5006, 160, 32), (2664, 160, 32), (2815, 20, 535), (1338, 48, 32), (10113, 66, 32)], 0.09180000399999999, 'xrule'), ([(9783, 20, 535), (538, 48, 32), (9321, 48, 32)], 0.054499999, 'xrule'), ([(9321, 48, 32), (10650, 20, 535), (1742, 48, 32)], 0.050799996, 'xrule'), ([(12535, 20, 535), (7334, 48, 32), (2493, 48, 32)], 0.041899993999999996, 'xrule'), ([(5206, 48, 32), (32, 15, 592), (4215, 76, 535), (592, 135, 32), (10668, 150, 32)], 0.035300001299999995, 'xrule')]","[(9783, 20, 535), (538, 48, 32), (9321, 48, 32), (10650, 20, 535), (1742, 48, 32), (5006, 160, 32), (5206, 48, 32), (32, 15, 592), (2664, 160, 32), (7334, 48, 32), (4215, 76, 535), (2493, 48, 32), (2815, 20, 535), (592, 135, 32), (1338, 48, 32), (10113, 66, 32), (12535, 20, 535), (10668, 150, 32)]",18,0.8807279467582703,1,[0.5433487296104431],[1],0.5433487296104431,1.0
"(2592, 17, 2123)","[([(3787, 17, 2123), (1300, 42, 2592), (2696, 17, 2123), (2048, 17, 2123), (1969, 17, 2123)], 0.166800022, 'xrule'), ([(52, 196, 2592), (2123, 181, 1002), (2592, 196, 52), (3876, 17, 2123), (52, 17, 2123)], 0.11760000999999999, 'xrule'), ([(2123, 181, 1002), (7723, 17, 2123), (1951, 17, 2123), (4339, 17, 2123), (2592, 21, 4603)], 0.114200011, 'xrule'), ([(3876, 21, 2592), (3876, 17, 2123), (7621, 17, 2123), (52, 17, 2123)], 0.10240000499999999, 'xrule'), ([(3121, 17, 2123), (52, 17, 2123), (3121, 21, 2592)], 0.072100015, 'xrule')]","[(52, 196, 2592), (7621, 17, 2123), (3787, 17, 2123), (2123, 181, 1002), (2592, 196, 52), (3876, 17, 2123), (7723, 17, 2123), (1300, 42, 2592), (1951, 17, 2123), (4339, 17, 2123), (52, 17, 2123), (2592, 21, 4603), (2696, 17, 2123), (3121, 17, 2123), (2048, 17, 2123), (3876, 21, 2592), (3121, 21, 2592), (1969, 17, 2123)]",18,0.7389126420021057,1,[0.4314620792865753],[2],0.4314620792865753,2.0
"(7535, 17, 215)","[([(270, 47, 7535), (3597, 17, 215), (3313, 17, 215), (5078, 17, 215), (7535, 19, 270)], 0.13260001, 'xrule'), ([(12677, 17, 215), (7030, 17, 215), (7535, 19, 1017), (10661, 17, 215)], 0.100800007, 'xrule'), ([(2984, 47, 7535), (1128, 17, 215)], 0.097100005, 'xrule'), ([(5125, 47, 7535), (2790, 17, 215)], 0.04429999, 'xrule'), ([(7535, 19, 1127), (3563, 17, 215), (5093, 17, 215)], 0.0180999935, 'xrule')]","[(270, 47, 7535), (12677, 17, 215), (2790, 17, 215), (7535, 19, 1127), (3563, 17, 215), (7535, 19, 1017), (5125, 47, 7535), (3597, 17, 215), (7030, 17, 215), (10661, 17, 215), (5093, 17, 215), (3313, 17, 215), (5078, 17, 215), (7535, 19, 270), (1128, 17, 215), (2984, 47, 7535)]",16,0.8892365097999573,1,[0.4905032515525818],[1],0.4905032515525818,1.0
