facts,new_rank,exp_length,prediction,new_scores,exp,new_score,original_rank,new_ranks,original_score
"[([(1347, 1, 8776)], 0.18509999, 'xrule'), ([(4276, 1, 1347), (4276, 0, 8776)], 0.112799995, 'xrule')]",6180.0,3,"(8776, 1, 1347)",[0.00011085509322583675],"[(4276, 1, 1347), (1347, 1, 8776), (4276, 0, 8776)]",0.00011085509322583675,1,[6180],0.7884548306465149
"[([(1864, 4, 14380), (14380, 0, 292), (1864, 4, 39499)], -0.9007, 'xrule'), ([(12084, 0, 292), (1864, 4, 39499), (1864, 4, 12084)], -0.9025, 'xrule'), ([(2463, 0, 292), (1864, 4, 2463), (1864, 4, 39499)], -0.91249996, 'xrule'), ([(1864, 4, 15534), (1864, 4, 39499), (15534, 0, 292)], -0.9277, 'xrule'), ([(1864, 4, 3352), (1864, 4, 39499), (3352, 0, 292)], -0.9295, 'xrule')]",726.0,11,"(39499, 0, 292)",[4.845559305977076e-05],"[(1864, 4, 2463), (3352, 0, 292), (1864, 4, 3352), (12084, 0, 292), (1864, 4, 14380), (14380, 0, 292), (2463, 0, 292), (1864, 4, 15534), (1864, 4, 12084), (1864, 4, 39499), (15534, 0, 292)]",4.845559305977076e-05,1,[726],0.6023808717727661
"[([(193, 6, 28640), (193, 6, 21829), (21829, 2, 741)], 0.0001, 'xrule'), ([(193, 6, 28640), (11427, 2, 741), (193, 6, 11427)], 0.0001, 'xrule'), ([(740, 2, 741), (193, 6, 28640), (193, 6, 740)], 0.0, 'xrule'), ([(193, 6, 18035), (18035, 2, 741), (193, 6, 28640)], 0.0, 'xrule'), ([(193, 6, 28640), (193, 6, 30784), (30784, 2, 741)], 0.0, 'xrule')]",4.0,11,"(28640, 2, 741)",[0.06491068750619888],"[(18035, 2, 741), (193, 6, 28640), (193, 6, 11427), (21829, 2, 741), (193, 6, 30784), (193, 6, 18035), (30784, 2, 741), (11427, 2, 741), (740, 2, 741), (193, 6, 740), (193, 6, 21829)]",0.06491068750619888,1,[4],0.6571306586265564
"[([(14753, 1, 34777)], 0.7542, 'xrule')]",962.0,1,"(34777, 1, 14753)",[0.0001612943015061319],"[(14753, 1, 34777)]",0.0001612943015061319,1,[962],0.9449015259742737
"[([(24162, 6, 26771), (26770, 6, 26771), (24162, 5, 6829)], 0.0141, 'xrule'), ([(26770, 6, 26771), (26771, 5, 6829)], 0.0055, 'xrule'), ([(26770, 0, 7635), (24162, 0, 7635), (24162, 5, 6829)], -0.0227, 'xrule')]",84.0,6,"(26770, 5, 6829)",[0.0006475303089246154],"[(26770, 6, 26771), (24162, 0, 7635), (26770, 0, 7635), (26771, 5, 6829), (24162, 6, 26771), (24162, 5, 6829)]",0.0006475303089246154,1,[84],0.45097658038139343
"[([(12441, 1, 11565)], 0.0481, 'xrule')]",23352.0,1,"(11565, 1, 12441)",[3.106933581875637e-05],"[(12441, 1, 11565)]",3.106933581875637e-05,1,[23352],0.9488105773925781
"[([(5211, 5, 5742), (34444, 1, 903), (5211, 6, 34444), (903, 1, 34444)], 0.0034999999, 'xrule'), ([(23276, 0, 904), (23276, 5, 5742), (903, 0, 904)], -0.0042999997, 'xrule')]",18.0,7,"(903, 5, 5742)",[0.0025165071710944176],"[(5211, 5, 5742), (5211, 6, 34444), (903, 0, 904), (23276, 5, 5742), (903, 1, 34444), (23276, 0, 904), (34444, 1, 903)]",0.0025165071710944176,1,[18],0.4814486503601074
"[([(19739, 1, 14612)], 0.55799997, 'xrule'), ([(19739, 1, 8883), (8883, 1, 19739), (8884, 1, 8883), (8883, 1, 8884), (14612, 1, 8884)], 0.49159998, 'xrule'), ([(17887, 1, 8884), (14612, 1, 8884), (8884, 1, 17887), (19739, 1, 17887), (17887, 1, 19739)], -0.031000018, 'xrule'), ([(14613, 1, 14612), (17887, 1, 14613), (14613, 1, 17887), (14612, 1, 14613), (19739, 1, 17887), (17887, 1, 19739)], -0.20540005, 'xrule')]",22623.0,14,"(14612, 1, 19739)",[1.9811173842754215e-05],"[(19739, 1, 8883), (8883, 1, 19739), (8884, 1, 8883), (8883, 1, 8884), (17887, 1, 8884), (14613, 1, 17887), (14612, 1, 14613), (19739, 1, 14612), (14613, 1, 14612), (17887, 1, 14613), (14612, 1, 8884), (8884, 1, 17887), (19739, 1, 17887), (17887, 1, 19739)]",1.9811173842754215e-05,1,[22623],0.8138606548309326
"[([(36079, 1, 24146)], 0.2896, 'xrule')]",271.0,1,"(24146, 1, 36079)",[0.00034416874404996634],"[(36079, 1, 24146)]",0.00034416874404996634,1,[271],0.8771597146987915
"[([(1864, 4, 14380), (14380, 0, 292), (1864, 4, 31393)], -0.5959, 'xrule'), ([(1864, 4, 31393), (15217, 0, 292), (1864, 4, 15217)], -0.8035, 'xrule'), ([(1864, 4, 9565), (9565, 0, 292), (1864, 4, 31393)], -0.8371, 'xrule'), ([(2126, 0, 292), (1864, 4, 2126), (1864, 4, 31393)], -0.8416, 'xrule'), ([(1864, 4, 15332), (1864, 4, 31393), (15332, 0, 292)], -0.8429, 'xrule')]",760.0,11,"(31393, 0, 292)",[4.764660116052255e-05],"[(2126, 0, 292), (15332, 0, 292), (1864, 4, 15217), (1864, 4, 2126), (1864, 4, 15332), (15217, 0, 292), (1864, 4, 14380), (14380, 0, 292), (1864, 4, 9565), (1864, 4, 31393), (9565, 0, 292)]",4.764660116052255e-05,1,[760],0.512271523475647
