new_score,new_ranks,new_rank,new_scores,prediction,original_score,exp,exp_length,original_rank,facts
5.073961,[6],6.0,[5.073961],"(5660, 136, 6402)",6.9425015,"[(6402, 43, 141), (5660, 12, 5014), (5660, 186, 5014), (5660, 31, 1314), (5014, 102, 5660), (1945, 136, 6402), (462, 136, 6402), (1314, 2, 5660), (6402, 17, 818), (6402, 17, 1753), (5660, 136, 5014), (5014, 38, 5660), (5660, 109, 5014)]",13,1,"[([(5660, 109, 5014), (5660, 12, 5014), (5660, 186, 5014), (5014, 102, 5660), (5014, 38, 5660), (5660, 136, 5014), (462, 136, 6402)], 0.8654995, 'xrule'), ([(1314, 2, 5660), (5660, 31, 1314), (1945, 136, 6402)], 0.8104, 'xrule'), ([(5660, 109, 5014), (5660, 12, 5014), (5660, 186, 5014), (5014, 102, 5660), (5014, 38, 5660), (5660, 136, 5014), (6402, 17, 818)], 0.6470003, 'xrule'), ([(5660, 109, 5014), (5660, 12, 5014), (5660, 186, 5014), (5014, 102, 5660), (5014, 38, 5660), (5660, 136, 5014), (6402, 17, 1753)], 0.6378994, 'xrule'), ([(5660, 109, 5014), (5660, 12, 5014), (5660, 186, 5014), (5014, 102, 5660), (5014, 38, 5660), (5660, 136, 5014), (6402, 43, 141)], 0.6147995, 'xrule')]"
8.107105,[1],1.0,[8.107105],"(2258, 14, 160)",8.303699,"[(778, 14, 160), (5447, 14, 160), (9679, 51, 160), (2258, 26, 64), (4261, 51, 160), (2258, 31, 658), (2258, 26, 1098)]",7,1,"[([(2258, 26, 64), (778, 14, 160)], 0.27560043, 'xrule'), ([(2258, 26, 64), (4261, 51, 160)], 0.26799965, 'xrule'), ([(2258, 31, 658), (5447, 14, 160)], 0.24429989, 'xrule'), ([(2258, 26, 1098), (9679, 51, 160)], 0.24230003, 'xrule'), ([(2258, 26, 1098), (4261, 51, 160)], 0.24190044, 'xrule')]"
6.4433002,[1],1.0,[6.4433002],"(10634, 43, 141)",7.3984365,"[(5514, 43, 141), (1145, 43, 141), (10634, 48, 32), (2664, 43, 141), (4779, 43, 141), (3857, 43, 141)]",6,1,"[([(10634, 48, 32), (2664, 43, 141)], 0.8210001, 'xrule'), ([(10634, 48, 32), (1145, 43, 141)], 0.8153, 'xrule'), ([(10634, 48, 32), (3857, 43, 141)], 0.7922001, 'xrule'), ([(10634, 48, 32), (5514, 43, 141)], 0.7411003, 'xrule'), ([(10634, 48, 32), (4779, 43, 141)], 0.70930004, 'xrule')]"
6.916558,[4],4.0,[6.916558],"(1445, 148, 9623)",7.140051,"[(9623, 231, 2861), (1445, 148, 6025), (1445, 148, 7018), (9623, 231, 4599), (6025, 231, 9623), (9623, 231, 4653), (9623, 231, 6025), (1445, 148, 1449), (2861, 231, 9623), (9623, 231, 7018), (4599, 231, 9623), (4653, 231, 9623)]",12,1,"[([(1445, 148, 7018), (4653, 231, 9623), (9623, 231, 4653)], 0.07629967, 'xrule'), ([(1445, 148, 6025), (9623, 231, 4599), (4599, 231, 9623)], 0.07530022, 'xrule'), ([(1445, 148, 7018), (9623, 231, 7018)], 0.06820011, 'xrule'), ([(1445, 148, 1449), (9623, 231, 2861), (2861, 231, 9623)], 0.0649004, 'xrule'), ([(1445, 148, 6025), (6025, 231, 9623), (9623, 231, 6025)], 0.06270027, 'xrule')]"
3.7577066,[1],1.0,[3.7577066],"(3742, 25, 62)",3.8423574,"[(2316, 25, 62), (4, 2, 3742), (1900, 25, 62), (2985, 25, 62), (268, 32, 3742), (3742, 31, 4), (3901, 25, 62), (6668, 25, 62)]",8,1,"[([(3742, 31, 4), (4, 2, 3742), (1900, 25, 62)], 0.49069977, 'xrule'), ([(268, 32, 3742), (3901, 25, 62)], 0.25110006, 'xrule'), ([(268, 32, 3742), (2985, 25, 62)], 0.17889977, 'xrule'), ([(268, 32, 3742), (6668, 25, 62)], 0.17669964, 'xrule'), ([(268, 32, 3742), (2316, 25, 62)], 0.16149998, 'xrule')]"
8.820269,[1],1.0,[8.820269],"(7412, 14, 160)",8.902123,"[(160, 70, 382), (7412, 34, 90), (4143, 198, 160), (160, 70, 158), (382, 221, 160), (2715, 101, 160), (3183, 198, 160), (3183, 101, 160)]",8,1,"[([(7412, 34, 90), (160, 70, 158)], 0.31720066, 'xrule'), ([(7412, 34, 90), (160, 70, 382), (382, 221, 160)], 0.31449986, 'xrule'), ([(7412, 34, 90), (2715, 101, 160)], 0.30959988, 'xrule'), ([(7412, 34, 90), (3183, 198, 160), (3183, 101, 160)], 0.30630016, 'xrule'), ([(7412, 34, 90), (4143, 198, 160)], 0.30590057, 'xrule')]"
6.9606056,[1],1.0,[6.9606056],"(7435, 35, 7238)",6.9823084,"[(7435, 64, 7434), (6615, 58, 7238), (7435, 35, 7125), (7238, 18, 2528), (7238, 18, 6851), (7434, 64, 7435), (7435, 35, 611), (7434, 35, 7238), (7238, 18, 1771), (7238, 58, 6615)]",10,1,"[([(7435, 64, 7434), (7434, 64, 7435), (7434, 35, 7238)], 0.08139992, 'xrule'), ([(7435, 35, 7125), (7238, 18, 2528)], 0.063500404, 'xrule'), ([(7435, 64, 7434), (7434, 64, 7435), (6615, 58, 7238), (7238, 58, 6615)], 0.053199768, 'xrule'), ([(7435, 35, 611), (7238, 18, 1771)], 0.05130005, 'xrule'), ([(7435, 35, 611), (7238, 18, 6851)], 0.049099922, 'xrule')]"
6.1679897,[2],2.0,[6.1679897],"(1329, 13, 1163)",5.9050293,"[(1329, 13, 449), (330, 78, 1163), (1329, 13, 834), (1329, 13, 75), (1302, 152, 1163), (1302, 58, 1163), (1163, 58, 1302), (11033, 37, 1163)]",8,1,"[([(1329, 13, 75), (1302, 152, 1163), (1302, 58, 1163), (1163, 58, 1302)], 0.053800583, 'xrule'), ([(1329, 13, 834), (1302, 152, 1163), (1302, 58, 1163), (1163, 58, 1302)], 0.0503006, 'xrule'), ([(1329, 13, 834), (330, 78, 1163)], 0.04690075, 'xrule'), ([(1329, 13, 834), (11033, 37, 1163)], 0.046200752, 'xrule'), ([(1329, 13, 449), (1302, 152, 1163), (1302, 58, 1163), (1163, 58, 1302)], 0.045700073, 'xrule')]"
7.169674,[1],1.0,[7.169674],"(409, 17, 862)",6.73506,"[(4861, 17, 862), (409, 77, 8646), (7051, 17, 862), (3108, 17, 862), (8685, 17, 862), (5181, 17, 862), (4171, 77, 409), (8646, 77, 409)]",8,1,"[([(4171, 77, 409), (5181, 17, 862)], 0.37909985, 'xrule'), ([(8646, 77, 409), (409, 77, 8646), (4861, 17, 862)], 0.36670017, 'xrule'), ([(4171, 77, 409), (7051, 17, 862)], 0.3529005, 'xrule'), ([(4171, 77, 409), (8685, 17, 862)], 0.33410072, 'xrule'), ([(4171, 77, 409), (3108, 17, 862)], 0.31620026, 'xrule')]"
9.716209,[1],1.0,[9.716209],"(12882, 25, 62)",6.162185,"[(4744, 25, 62), (10198, 25, 62), (1748, 25, 62), (90, 25, 62), (12882, 135, 10174), (526, 25, 62), (10174, 54, 12882), (10174, 144, 12882), (12882, 133, 10174), (10174, 15, 12882)]",10,1,"[([(12882, 135, 10174), (10174, 54, 12882), (10174, 144, 12882), (12882, 133, 10174), (10174, 15, 12882), (10198, 25, 62)], 2.4589, 'xrule'), ([(12882, 135, 10174), (10174, 54, 12882), (10174, 144, 12882), (12882, 133, 10174), (10174, 15, 12882), (90, 25, 62)], 2.1785002, 'xrule'), ([(12882, 135, 10174), (10174, 54, 12882), (10174, 144, 12882), (12882, 133, 10174), (10174, 15, 12882), (526, 25, 62)], 2.1462002, 'xrule'), ([(12882, 135, 10174), (10174, 54, 12882), (10174, 144, 12882), (12882, 133, 10174), (10174, 15, 12882), (4744, 25, 62)], 2.0706, 'xrule'), ([(12882, 135, 10174), (10174, 54, 12882), (10174, 144, 12882), (12882, 133, 10174), (10174, 15, 12882), (1748, 25, 62)], 2.055, 'xrule')]"
8.151031,[1],1.0,[8.151031],"(7706, 17, 1002)",8.005735,"[(8847, 17, 1002), (3857, 17, 1002), (7706, 48, 32), (10113, 17, 1002), (7095, 17, 1002), (2664, 17, 1002)]",6,1,"[([(7706, 48, 32), (8847, 17, 1002)], 0.36889935, 'xrule'), ([(7706, 48, 32), (3857, 17, 1002)], 0.3619995, 'xrule'), ([(7706, 48, 32), (2664, 17, 1002)], 0.34959984, 'xrule'), ([(7706, 48, 32), (7095, 17, 1002)], 0.34599972, 'xrule'), ([(7706, 48, 32), (10113, 17, 1002)], 0.33409977, 'xrule')]"
