new_scores,prediction,exp_length,new_ranks,original_score,facts,new_score,new_rank,exp,original_rank
[8.503062],"(6427, 9, 7790)",12,[1],9.176514,"[([(6427, 3, 278), (25155, 9, 7790), (25155, 3, 278)], 0.13230038, 'xrule'), ([(24248, 9, 7790), (6427, 3, 100), (24248, 3, 100)], 0.12720013, 'xrule'), ([(6427, 3, 278), (24248, 3, 278), (24248, 9, 7790)], 0.12440014, 'xrule'), ([(6427, 3, 2561), (18187, 3, 2561), (18187, 9, 7790)], 0.12440014, 'xrule'), ([(6427, 3, 2561), (11781, 9, 7790), (11781, 3, 2561)], 0.12390041, 'xrule')]",8.503062,1.0,"[(24248, 3, 278), (6427, 3, 100), (11781, 3, 2561), (11781, 9, 7790), (24248, 9, 7790), (25155, 9, 7790), (24248, 3, 100), (18187, 9, 7790), (6427, 3, 2561), (18187, 3, 2561), (6427, 3, 278), (25155, 3, 278)]",1
[5.8705626],"(7125, 11, 8038)",14,[2],5.990065,"[([(7125, 3, 9), (8416, 3, 9), (8416, 11, 8038)], 1.3860006, 'xrule'), ([(7125, 3, 9), (21341, 3, 9), (21341, 11, 8038)], 1.1704006, 'xrule'), ([(12691, 3, 78), (7125, 3, 78), (12691, 11, 8038)], 1.0356007, 'xrule'), ([(19983, 11, 8038), (7125, 3, 40), (19983, 3, 40)], 1.0355005, 'xrule'), ([(15695, 11, 8038), (7125, 3, 479), (15695, 3, 479)], 1.0150003, 'xrule')]",5.8705626,2.0,"[(12691, 3, 78), (19983, 3, 40), (8416, 11, 8038), (7125, 3, 479), (21341, 11, 8038), (15695, 3, 479), (19983, 11, 8038), (7125, 3, 9), (15695, 11, 8038), (7125, 3, 40), (8416, 3, 9), (7125, 3, 78), (21341, 3, 9), (12691, 11, 8038)]",1
[6.4395723],"(7788, 11, 8038)",12,[1],7.2885904,"[([(7788, 3, 37), (25070, 3, 37), (25070, 11, 8038)], 0.31279945, 'xrule'), ([(7788, 3, 9), (23745, 11, 8038), (23745, 3, 9)], 0.2546997, 'xrule'), ([(23745, 11, 8038), (7788, 3, 78), (23745, 3, 78)], 0.23519993, 'xrule'), ([(23745, 3, 479), (23745, 11, 8038), (7788, 3, 479)], 0.18379974, 'xrule'), ([(23745, 3, 651), (7788, 3, 651), (23745, 11, 8038)], 0.1775999, 'xrule')]",6.4395723,1.0,"[(7788, 3, 78), (23745, 3, 479), (7788, 3, 479), (23745, 3, 651), (23745, 3, 78), (7788, 3, 651), (23745, 11, 8038), (7788, 3, 9), (23745, 3, 9), (7788, 3, 37), (25070, 3, 37), (25070, 11, 8038)]",1
[6.0902233],"(5822, 11, 7992)",12,[1],6.493819,"[([(11328, 11, 7992), (11328, 3, 10), (5822, 3, 10)], 0.74090004, 'xrule'), ([(11328, 11, 7992), (5822, 3, 476), (11328, 3, 476)], 0.7325001, 'xrule'), ([(11328, 3, 278), (5822, 3, 278), (11328, 11, 7992)], 0.5142002, 'xrule'), ([(17274, 11, 7992), (17274, 3, 10), (5822, 3, 10)], 0.32999992, 'xrule'), ([(16070, 3, 9), (5822, 3, 9), (16070, 11, 7992)], 0.31299973, 'xrule')]",6.0902233,1.0,"[(11328, 3, 10), (16070, 11, 7992), (16070, 3, 9), (17274, 11, 7992), (5822, 3, 9), (11328, 3, 278), (5822, 3, 278), (11328, 11, 7992), (17274, 3, 10), (11328, 3, 476), (5822, 3, 476), (5822, 3, 10)]",1
[5.721637],"(5279, 11, 7992)",13,[1],5.8608837,"[([(8347, 11, 7992), (5279, 2, 31), (8347, 2, 31)], 0.11139965, 'xrule'), ([(8347, 11, 7992), (5279, 3, 6), (8347, 3, 6)], -0.067100525, 'xrule'), ([(18840, 11, 7992), (5279, 3, 6), (18840, 3, 6)], -0.13720036, 'xrule'), ([(21081, 1, 1054), (21081, 11, 7992), (5279, 1, 1054)], -0.22099972, 'xrule'), ([(25096, 3, 40), (5279, 3, 40), (25096, 11, 7992)], -0.2425003, 'xrule')]",5.721637,1.0,"[(5279, 1, 1054), (25096, 3, 40), (5279, 3, 40), (18840, 3, 6), (21081, 1, 1054), (5279, 2, 31), (25096, 11, 7992), (18840, 11, 7992), (5279, 3, 6), (8347, 3, 6), (8347, 2, 31), (21081, 11, 7992), (8347, 11, 7992)]",1
[5.46106],"(6848, 11, 7992)",11,[2],5.854315,"[([(22529, 11, 7992), (6848, 3, 9), (22529, 3, 9)], 0.45219994, 'xrule'), ([(22529, 11, 7992), (6848, 3, 75), (22529, 3, 75)], 0.37129974, 'xrule'), ([(22529, 11, 7992), (6848, 3, 6), (22529, 3, 6)], 0.1451006, 'xrule'), ([(23258, 3, 75), (6848, 3, 75), (23258, 11, 7992)], 0.099900246, 'xrule'), ([(22529, 11, 7992), (6848, 3, 39), (22529, 3, 39)], -0.021100044, 'xrule')]",5.46106,2.0,"[(6848, 3, 39), (22529, 3, 6), (23258, 3, 75), (22529, 3, 9), (23258, 11, 7992), (6848, 3, 6), (6848, 3, 9), (22529, 3, 75), (22529, 11, 7992), (22529, 3, 39), (6848, 3, 75)]",1
[4.5245676],"(7058, 9, 9349)",10,[10],6.829075,"[([(10310, 3, 7062), (10310, 9, 9349), (7058, 3, 7062)], 0.7322998, 'xrule'), ([(7058, 2, 7059), (10310, 9, 9349), (10310, 2, 7059)], 0.68449974, 'xrule'), ([(20818, 9, 9349), (20818, 3, 7062), (7058, 3, 7062)], 0.6520004, 'xrule'), ([(24095, 9, 9349), (24095, 3, 7062), (7058, 3, 7062)], 0.6451006, 'xrule'), ([(7058, 2, 7059), (20818, 2, 7059), (20818, 9, 9349)], 0.60060024, 'xrule')]",4.5245676,10.0,"[(20818, 3, 7062), (10310, 2, 7059), (24095, 3, 7062), (7058, 2, 7059), (7058, 3, 7062), (20818, 9, 9349), (24095, 9, 9349), (10310, 3, 7062), (10310, 9, 9349), (20818, 2, 7059)]",1
[6.626508],"(5822, 12, 8676)",11,[4],8.200344,"[([(21752, 12, 8676), (21752, 3, 748), (5822, 3, 748)], 0.30010033, 'xrule'), ([(20591, 3, 748), (20591, 12, 8676), (5822, 3, 748)], 0.28209972, 'xrule'), ([(23237, 12, 8676), (23237, 3, 748), (5822, 3, 748)], 0.27330017, 'xrule'), ([(10818, 12, 8676), (10818, 3, 748), (5822, 3, 748)], 0.2727995, 'xrule'), ([(9083, 12, 8676), (9083, 3, 748), (5822, 3, 748)], 0.2574997, 'xrule')]",6.626508,4.0,"[(21752, 12, 8676), (23237, 12, 8676), (23237, 3, 748), (20591, 3, 748), (10818, 12, 8676), (9083, 3, 748), (5822, 3, 748), (9083, 12, 8676), (21752, 3, 748), (20591, 12, 8676), (10818, 3, 748)]",1
[6.7372184],"(5849, 11, 7869)",14,[2],6.2528124,"[([(5849, 3, 6), (13995, 11, 7869), (13995, 3, 6)], 0.61310005, 'xrule'), ([(8230, 3, 418), (5849, 3, 418), (8230, 11, 7869)], 0.54920006, 'xrule'), ([(10061, 3, 88), (5849, 3, 88), (10061, 11, 7869)], 0.4656, 'xrule'), ([(16337, 3, 39), (16337, 11, 7869), (5849, 3, 39)], 0.4612999, 'xrule'), ([(15227, 3, 88), (15227, 11, 7869), (5849, 3, 88)], 0.45680046, 'xrule')]",6.7372184,2.0,"[(5849, 3, 418), (10061, 3, 88), (15227, 11, 7869), (5849, 3, 6), (8230, 3, 418), (8230, 11, 7869), (13995, 3, 6), (16337, 11, 7869), (15227, 3, 88), (5849, 3, 88), (10061, 11, 7869), (16337, 3, 39), (13995, 11, 7869), (5849, 3, 39)]",2
[6.355438],"(5696, 11, 7992)",11,[1],6.5734153,"[([(24925, 11, 7992), (24925, 12, 7992), (5696, 3, 75), (24925, 3, 75)], 1.4561005, 'xrule'), ([(24925, 11, 7992), (5696, 3, 6), (24925, 12, 7992), (24925, 3, 6)], 1.2075005, 'xrule'), ([(24925, 12, 7992), (24925, 11, 7992), (24925, 3, 40), (5696, 3, 40)], 1.1346998, 'xrule'), ([(23597, 3, 75), (23597, 11, 7992), (5696, 3, 75)], 1.0871, 'xrule'), ([(23597, 11, 7992), (5696, 3, 40), (23597, 3, 40)], 1.0417004, 'xrule')]",6.355438,1.0,"[(23597, 3, 75), (23597, 11, 7992), (24925, 3, 40), (24925, 3, 75), (24925, 11, 7992), (24925, 12, 7992), (5696, 3, 6), (24925, 3, 6), (23597, 3, 40), (5696, 3, 40), (5696, 3, 75)]",1
