exp,new_scores,facts,new_ranks,original_score,new_score,new_rank,prediction,original_rank,exp_length
"[(6451, 13, 32), (11761, 129, 90), (11761, 150, 32), (6054, 26, 5770), (6054, 34, 90), (11761, 113, 737), (11761, 213, 90), (3529, 113, 737), (3529, 208, 90), (3529, 150, 32), (3529, 113, 5770), (3529, 213, 90), (6451, 26, 5770)]",[0.22765545547008514],"[([(3529, 150, 32), (11761, 150, 32), (3529, 113, 5770)], 0.048899997, 'xrule'), ([(6451, 13, 32), (11761, 150, 32), (6451, 26, 5770)], 0.032499995, 'xrule'), ([(11761, 129, 90), (3529, 208, 90), (11761, 213, 90), (3529, 113, 5770), (3529, 213, 90)], 0.030799996, 'xrule'), ([(11761, 213, 90), (11761, 129, 90), (6054, 26, 5770), (6054, 34, 90)], 0.023099996, 'xrule'), ([(11761, 113, 737), (3529, 113, 5770), (3529, 113, 737)], 0.020299993, 'xrule')]",[2],0.393696665763855,0.22765545547008514,2.0,"(11761, 113, 5770)",1,13
"[(2960, 7, 5900), (7642, 19, 559), (863, 47, 2937), (7642, 48, 32), (2610, 7, 5900), (2937, 19, 2610), (5900, 30, 2610), (2937, 19, 2960), (4353, 15, 13460), (5900, 30, 2960), (2937, 19, 559), (2937, 143, 4353), (5900, 28, 32), (863, 7, 5900), (32, 15, 13460), (2937, 19, 863)]",[0.9220299124717712],"[([(4353, 15, 13460), (32, 15, 13460), (2937, 143, 4353)], 0.07960001, 'xrule'), ([(5900, 28, 32), (2960, 7, 5900), (2937, 19, 2960), (5900, 30, 2960)], 0.07370001, 'xrule'), ([(7642, 48, 32), (7642, 19, 559), (2937, 19, 559)], 0.05770001, 'xrule'), ([(5900, 28, 32), (863, 7, 5900), (863, 47, 2937), (2937, 19, 863)], 0.054399997, 'xrule'), ([(5900, 28, 32), (2937, 19, 2610), (5900, 30, 2610), (2610, 7, 5900)], 0.051100016, 'xrule')]",[1],0.9600799083709717,0.9220299124717712,1.0,"(2937, 48, 32)",1,16
"[(1803, 156, 4922), (2635, 156, 6317), (4921, 156, 4922), (4921, 156, 6317), (1652, 156, 6317), (4994, 156, 6317), (1803, 156, 1503), (518, 156, 4922), (2635, 156, 1503), (518, 156, 6317), (1652, 156, 1503), (4994, 156, 4922)]",[0.9302639961242676],"[([(1803, 156, 1503), (1652, 156, 6317), (1652, 156, 1503)], 0.012200001, 'xrule'), ([(1803, 156, 4922), (4994, 156, 6317), (4994, 156, 4922)], 0.0112000005, 'xrule'), ([(1803, 156, 1503), (2635, 156, 6317), (2635, 156, 1503)], 0.010800001, 'xrule'), ([(1803, 156, 4922), (518, 156, 4922), (518, 156, 6317)], 0.010400001, 'xrule'), ([(1803, 156, 4922), (4921, 156, 4922), (4921, 156, 6317)], 0.0096, 'xrule')]",[3],0.9039296507835388,0.9302639961242676,3.0,"(1803, 156, 6317)",1,12
"[(5949, 122, 4359), (4027, 8, 4359), (4359, 8, 4027), (4027, 85, 434)]",[0.946894109249115],"[([(5949, 122, 4359), (4027, 8, 4359), (4359, 8, 4027), (4027, 85, 434)], -0.0025000002, 'xrule')]",[1],0.9906078577041626,0.946894109249115,1.0,"(434, 161, 5949)",1,4
"[(5933, 20, 10154), (2279, 71, 9730), (198, 17, 2123), (2279, 71, 6659), (2592, 17, 1415), (198, 17, 1415), (6013, 17, 2123), (9730, 17, 2123), (10154, 17, 2123), (2279, 71, 2592), (5933, 20, 2592), (6013, 17, 1415), (6659, 17, 2123)]",[0.4643676280975342],"[([(5933, 20, 10154), (10154, 17, 2123), (5933, 20, 2592)], 0.066900015, 'xrule'), ([(6013, 17, 1415), (2592, 17, 1415), (6013, 17, 2123)], 0.018900007, 'xrule'), ([(2592, 17, 1415), (198, 17, 2123), (198, 17, 1415)], -0.0038000047, 'xrule'), ([(2279, 71, 9730), (2279, 71, 2592), (9730, 17, 2123)], -0.041500002, 'xrule'), ([(2279, 71, 6659), (2279, 71, 2592), (6659, 17, 2123)], -0.065999985, 'xrule')]",[2],0.7389125823974609,0.4643676280975342,2.0,"(2592, 17, 2123)",1,13
"[(6054, 34, 90), (5602, 25, 62), (825, 34, 90), (825, 14, 160), (2573, 86, 268), (268, 32, 6054), (268, 32, 2573), (5602, 100, 160), (6054, 25, 62), (2030, 34, 90), (2030, 14, 160), (2573, 34, 90), (2573, 14, 160)]",[0.9417839646339417],"[([(2573, 34, 90), (2573, 14, 160), (6054, 34, 90)], -0.0022999942, 'xrule'), ([(2030, 34, 90), (2030, 14, 160), (6054, 34, 90)], -0.0031999946, 'xrule'), ([(268, 32, 6054), (268, 32, 2573), (2573, 86, 268), (2573, 14, 160)], -0.0075999945, 'xrule'), ([(825, 34, 90), (825, 14, 160), (6054, 34, 90)], -0.010799997, 'xrule'), ([(5602, 25, 62), (5602, 100, 160), (6054, 25, 62)], -0.014599994, 'xrule')]",[1],0.9868510365486145,0.9417839646339417,1.0,"(6054, 14, 160)",1,13
"[(32, 234, 90), (10512, 6, 2538), (2607, 133, 32), (5840, 8, 5839), (5840, 24, 2607), (6838, 24, 3825), (2520, 17, 2044), (32, 139, 90), (3825, 133, 32), (10512, 48, 32), (2538, 183, 5839), (32, 15, 2607), (5839, 38, 2538), (2538, 34, 90), (5839, 8, 6838), (2520, 48, 32), (32, 206, 90), (5839, 8, 5840), (5839, 17, 2044)]",[0.7324814200401306],"[([(32, 139, 90), (2538, 183, 5839), (2538, 34, 90), (32, 206, 90), (32, 234, 90), (5839, 38, 2538)], 0.11649999, 'xrule'), ([(10512, 48, 32), (5839, 38, 2538), (2538, 183, 5839), (10512, 6, 2538)], 0.10949999, 'xrule'), ([(3825, 133, 32), (6838, 24, 3825), (5839, 8, 6838)], 0.0952, 'xrule'), ([(5840, 24, 2607), (2607, 133, 32), (5840, 8, 5839), (32, 15, 2607), (5839, 8, 5840)], 0.073599994, 'xrule'), ([(2520, 17, 2044), (2520, 48, 32), (5839, 17, 2044)], 0.04549998, 'xrule')]",[1],0.846180260181427,0.7324814200401306,1.0,"(5839, 48, 32)",1,19
"[(13860, 43, 141), (7681, 17, 818), (7337, 48, 32), (12406, 17, 818), (7681, 17, 393), (13860, 48, 32), (7681, 43, 141), (9934, 17, 818), (12406, 48, 32), (7337, 17, 393), (9934, 48, 32), (12406, 43, 141)]",[0.876072883605957],"[([(13860, 43, 141), (7681, 43, 141), (13860, 48, 32)], 0.08709997, 'xrule'), ([(7681, 17, 818), (9934, 48, 32), (9934, 17, 818)], 0.032999992, 'xrule'), ([(7337, 17, 393), (7337, 48, 32), (7681, 17, 393)], 0.031199992, 'xrule'), ([(12406, 43, 141), (7681, 43, 141), (12406, 48, 32)], 0.010199964, 'xrule'), ([(7681, 17, 818), (12406, 17, 818), (12406, 48, 32)], 0.0020999908, 'xrule')]",[1],0.9179816246032715,0.876072883605957,1.0,"(7681, 48, 32)",1,12
"[(10555, 208, 90), (226, 219, 90), (226, 133, 32), (10555, 166, 90), (5688, 28, 32), (226, 135, 32), (3249, 11, 23), (32, 15, 10555), (226, 62, 32), (10555, 16, 32), (5688, 34, 90), (10555, 128, 90), (3249, 13, 32), (10555, 108, 90), (5818, 11, 23), (3249, 28, 32), (3249, 34, 90), (5818, 13, 32), (10555, 129, 90), (5688, 13, 32), (32, 15, 226)]",[0.9922952651977539],"[([(5818, 13, 32), (3249, 13, 32), (3249, 34, 90), (3249, 28, 32)], 0.02760002, 'xrule'), ([(3249, 34, 90), (5818, 11, 23), (3249, 11, 23)], -0.062000006, 'xrule'), ([(226, 219, 90), (5818, 13, 32), (226, 62, 32), (226, 135, 32), (226, 133, 32), (32, 15, 226)], -0.08249998, 'xrule'), ([(5818, 13, 32), (5688, 28, 32), (5688, 13, 32), (5688, 34, 90)], -0.0828, 'xrule'), ([(10555, 208, 90), (10555, 108, 90), (5818, 13, 32), (10555, 16, 32), (32, 15, 10555), (10555, 166, 90), (10555, 128, 90), (10555, 129, 90)], -0.109699994, 'xrule')]",[1],0.9906631708145142,0.9922952651977539,1.0,"(5818, 34, 90)",1,21
"[(11620, 120, 791), (9607, 120, 791), (7268, 154, 2438), (12125, 120, 791), (12125, 33, 90), (11620, 154, 2438), (7268, 33, 90), (9607, 33, 90), (10375, 120, 791), (11950, 120, 791), (10375, 33, 90), (11950, 33, 90)]",[0.9947250485420227],"[([(9607, 120, 791), (7268, 33, 90), (9607, 33, 90)], 0.13010001, 'xrule'), ([(10375, 120, 791), (7268, 33, 90), (10375, 33, 90)], 0.1067, 'xrule'), ([(11950, 120, 791), (7268, 33, 90), (11950, 33, 90)], 0.09570001, 'xrule'), ([(12125, 33, 90), (7268, 33, 90), (12125, 120, 791)], 0.07650001, 'xrule'), ([(11620, 120, 791), (7268, 154, 2438), (11620, 154, 2438)], 0.0759, 'xrule')]",[1],0.9878473281860352,0.9947250485420227,1.0,"(7268, 120, 791)",1,12
