original_rank,original_score,exp,facts,new_ranks,new_rank,new_scores,new_score,prediction,exp_length
1,6.464199395850301e-05,"[(7788, 3, 666), (10558, 11, 7956), (9818, 11, 7956), (8092, 2, 31), (9756, 2, 31), (10558, 3, 666), (9818, 3, 666), (7788, 2, 31), (8092, 11, 7956), (9756, 11, 7956), (9818, 2, 31)]","[([(7788, 3, 666), (9818, 3, 666), (9818, 11, 7956)], 0.0, 'xrule'), ([(7788, 3, 666), (10558, 3, 666), (10558, 11, 7956)], 0.0, 'xrule'), ([(8092, 11, 7956), (8092, 2, 31), (7788, 2, 31)], 0.0, 'xrule'), ([(9756, 2, 31), (9756, 11, 7956), (7788, 2, 31)], 0.0, 'xrule'), ([(9818, 2, 31), (9818, 11, 7956), (7788, 2, 31)], 0.0, 'xrule')]",[1],1.0,[0.9992884397506714],0.9992884397506714,"(7788, 11, 7956)",11
1,5.031374872288552e-09,"[(7922, 3, 40), (7328, 3, 479), (7922, 10, 7830), (8007, 3, 479), (8007, 10, 7830), (8287, 10, 7830), (7922, 3, 479), (7328, 3, 40), (22881, 3, 479), (8287, 3, 40), (22881, 10, 7830)]","[([(7922, 3, 479), (7328, 3, 479), (7922, 10, 7830)], 0.0, 'xrule'), ([(22881, 3, 479), (7328, 3, 479), (22881, 10, 7830)], 0.0, 'xrule'), ([(8007, 3, 479), (8007, 10, 7830), (7328, 3, 479)], 0.0, 'xrule'), ([(7922, 3, 40), (7328, 3, 40), (7922, 10, 7830)], 0.0, 'xrule'), ([(8287, 10, 7830), (8287, 3, 40), (7328, 3, 40)], 0.0, 'xrule')]",[1],1.0,[0.9960746765136719],0.9960746765136719,"(7328, 10, 7830)",11
1,1.2816738490073476e-05,"[(25035, 11, 8038), (16972, 11, 8038), (23233, 11, 8038), (23233, 3, 220), (9267, 11, 8038), (16972, 3, 220), (18054, 11, 8038), (18054, 3, 220), (7125, 3, 220), (25035, 3, 220), (9267, 3, 220)]","[([(9267, 11, 8038), (9267, 3, 220), (7125, 3, 220)], 0.0, 'xrule'), ([(16972, 11, 8038), (16972, 3, 220), (7125, 3, 220)], 0.0, 'xrule'), ([(18054, 11, 8038), (18054, 3, 220), (7125, 3, 220)], 0.0, 'xrule'), ([(23233, 3, 220), (7125, 3, 220), (23233, 11, 8038)], 0.0, 'xrule'), ([(25035, 11, 8038), (7125, 3, 220), (25035, 3, 220)], 0.0, 'xrule')]",[4],4.0,[0.0007219352410174906],0.0007219352410174906,"(7125, 11, 8038)",11
1,0.00025431104586459696,"[(7788, 3, 33), (7788, 2, 27), (7788, 2, 31), (25137, 3, 33), (25474, 3, 33), (13114, 11, 8038), (25474, 11, 8038), (25137, 2, 27), (25137, 11, 8038), (13114, 2, 31), (25474, 2, 27)]","[([(25137, 3, 33), (25137, 11, 8038), (7788, 3, 33)], 0.0, 'xrule'), ([(25474, 3, 33), (25474, 11, 8038), (7788, 3, 33)], 0.0, 'xrule'), ([(7788, 2, 27), (25137, 11, 8038), (25137, 2, 27)], 0.0, 'xrule'), ([(7788, 2, 27), (25474, 11, 8038), (25474, 2, 27)], 0.0, 'xrule'), ([(13114, 11, 8038), (13114, 2, 31), (7788, 2, 31)], 0.0, 'xrule')]",[3],3.0,[0.001545184524729848],0.001545184524729848,"(7788, 11, 8038)",11
1,0.0003303271369077265,"[(9020, 8, 7393), (6105, 3, 2350), (6105, 3, 39), (10833, 8, 7393), (6105, 3, 6), (20357, 3, 6), (20357, 3, 276), (6105, 3, 276), (10833, 3, 6), (20357, 8, 7393), (9020, 3, 2350), (9020, 3, 39)]","[([(9020, 8, 7393), (6105, 3, 2350), (9020, 3, 2350)], 0.2209, 'xrule'), ([(9020, 8, 7393), (6105, 3, 39), (9020, 3, 39)], 0.20809996, 'xrule'), ([(10833, 3, 6), (10833, 8, 7393), (6105, 3, 6)], 0.08340001, 'xrule'), ([(20357, 3, 6), (20357, 8, 7393), (6105, 3, 6)], 0.07910001, 'xrule'), ([(20357, 3, 276), (20357, 8, 7393), (6105, 3, 276)], 0.05549997, 'xrule')]",[2],2.0,[4.075319282037526e-07],4.075319282037526e-07,"(6105, 8, 7393)",12
1,1.7677559416284794e-09,"[(9083, 10, 7830), (8486, 10, 7830), (16862, 10, 7830), (16862, 2, 31), (9083, 2, 31), (17277, 2, 31), (16427, 2, 31), (17277, 10, 7830), (8486, 2, 31), (6853, 2, 31), (16427, 10, 7830)]","[([(8486, 2, 31), (6853, 2, 31), (8486, 10, 7830)], 0.0, 'xrule'), ([(9083, 10, 7830), (6853, 2, 31), (9083, 2, 31)], 0.0, 'xrule'), ([(6853, 2, 31), (16427, 10, 7830), (16427, 2, 31)], 0.0, 'xrule'), ([(6853, 2, 31), (16862, 2, 31), (16862, 10, 7830)], 0.0, 'xrule'), ([(6853, 2, 31), (17277, 2, 31), (17277, 10, 7830)], 0.0, 'xrule')]",[1],1.0,[0.9928083419799805],0.9928083419799805,"(6853, 10, 7830)",11
1,0.006617997772991657,"[(22281, 3, 6), (6427, 2, 30), (7553, 3, 479), (6427, 3, 479), (7553, 3, 9), (6427, 3, 9), (22281, 2, 30), (6427, 3, 6), (22281, 8, 7410), (7553, 3, 78), (6427, 3, 78), (7553, 8, 7410)]","[([(7553, 3, 9), (6427, 3, 9), (7553, 8, 7410)], 0.22960001, 'xrule'), ([(22281, 2, 30), (22281, 8, 7410), (6427, 2, 30)], 0.21829998, 'xrule'), ([(6427, 3, 479), (7553, 8, 7410), (7553, 3, 479)], 0.17010003, 'xrule'), ([(22281, 3, 6), (22281, 8, 7410), (6427, 3, 6)], 0.10159999, 'xrule'), ([(7553, 3, 78), (6427, 3, 78), (7553, 8, 7410)], 0.0959, 'xrule')]",[6],6.0,[8.900193648742061e-08],8.900193648742061e-08,"(6427, 8, 7410)",12
1,0.0001737351849442348,"[(5269, 3, 20), (19185, 2, 30), (7688, 8, 7410), (7688, 2, 30), (5269, 3, 39), (7688, 3, 20), (23649, 3, 39), (23649, 8, 7410), (7688, 3, 39), (19185, 8, 7410), (5269, 2, 30)]","[([(19185, 2, 30), (19185, 8, 7410), (5269, 2, 30)], 0.004600048, 'xrule'), ([(7688, 3, 20), (5269, 3, 20), (7688, 8, 7410)], 0.0036000013, 'xrule'), ([(7688, 8, 7410), (7688, 2, 30), (5269, 2, 30)], 0.00069999695, 'xrule'), ([(7688, 3, 39), (7688, 8, 7410), (5269, 3, 39)], 0.0, 'xrule'), ([(23649, 3, 39), (23649, 8, 7410), (5269, 3, 39)], 0.0, 'xrule')]",[8],8.0,[2.1063146959932055e-07],2.1063146959932055e-07,"(5269, 8, 7410)",11
1,2.7475641761753877e-09,"[(8628, 2, 31), (8628, 10, 7830), (16468, 10, 7830), (11233, 10, 7830), (5073, 2, 31), (9346, 2, 31), (16468, 2, 31), (17014, 10, 7830), (11233, 2, 31), (9346, 10, 7830), (17014, 2, 31)]","[([(8628, 2, 31), (8628, 10, 7830), (5073, 2, 31)], 0.0, 'xrule'), ([(9346, 2, 31), (9346, 10, 7830), (5073, 2, 31)], 0.0, 'xrule'), ([(11233, 10, 7830), (11233, 2, 31), (5073, 2, 31)], 0.0, 'xrule'), ([(16468, 2, 31), (16468, 10, 7830), (5073, 2, 31)], 0.0, 'xrule'), ([(17014, 10, 7830), (17014, 2, 31), (5073, 2, 31)], 0.0, 'xrule')]",[1],1.0,[0.9711287021636963],0.9711287021636963,"(5073, 10, 7830)",11
1,0.00013452144048642367,"[(6766, 3, 39), (6766, 1, 65), (20731, 1, 65), (15042, 1, 65), (20731, 8, 7410), (14458, 8, 7410), (15227, 8, 7410), (21843, 8, 7410), (14458, 1, 65), (21843, 3, 39), (15042, 8, 7410), (15227, 3, 39)]","[([(6766, 1, 65), (20731, 1, 65), (20731, 8, 7410)], 0.000100016594, 'xrule'), ([(6766, 1, 65), (14458, 8, 7410), (14458, 1, 65)], 0.000100016594, 'xrule'), ([(15227, 8, 7410), (6766, 3, 39), (15227, 3, 39)], 0.000100016594, 'xrule'), ([(21843, 3, 39), (6766, 3, 39), (21843, 8, 7410)], 0.000100016594, 'xrule'), ([(6766, 1, 65), (15042, 8, 7410), (15042, 1, 65)], 0.000100016594, 'xrule')]",[3],3.0,[7.488279152312316e-06],7.488279152312316e-06,"(6766, 8, 7410)",12
