new_ranks,original_rank,new_rank,original_score,new_score,facts,#facts,prediction,perspective,new_scores
"[9, 30, 33]",1,24.0,0.001694336999207735,5.843468882934152e-05,"[(5517, 3, 5520)]",1,"(5517, 9, 7903)",all,"[0.00011848467693198472, 4.467517555895029e-06, 5.2351872000144795e-05]"
"[3, 2, 24]",1,9.666666666666666,0.0007456704042851925,3.193690680802774e-05,"[(5558, 1, 65), (25753, 1, 65), (25753, 8, 7393)]",3,"(5558, 8, 7393)",all,"[5.472187694977038e-06, 9.021928417496383e-05, 1.1924855414235935e-07]"
"[2, 3, 16]",1,7.0,0.00014518971147481352,0.005849593275343068,"[(11633, 3, 6059), (11633, 9, 8151), (6054, 3, 6059)]",3,"(6054, 9, 8151)",all,"[0.013159614987671375, 0.00426254328340292, 0.0001266215549549088]"
"[2, 2, 25]",1,9.666666666666666,0.026959829032421112,2.6335581954602578e-05,"[(15535, 8, 7410)]",1,"(5781, 8, 7410)",all,"[4.6744196879444644e-05, 3.1979703635443e-05, 2.8284534892009106e-07]"
"[6, 2, 1]",1,3.0,1.2816738490073476e-05,0.0037060030580562398,"[(7125, 4, 66)]",1,"(7125, 11, 8038)",all,"[2.1276056827446155e-07, 0.004179023671895266, 0.006938772741705179]"
"[2, 4, 34]",1,13.333333333333334,0.0005110136116854846,1.1952093037947975e-05,"[(14565, 2, 30), (14565, 8, 7427), (6722, 2, 30)]",3,"(6722, 8, 7427)",all,"[7.997390639502555e-06, 2.7850488550029695e-05, 8.399924311675022e-09]"
"[8, 5, 20]",1,11.0,0.07745271921157837,0.00010004059248558406,"[(24893, 8, 7567)]",1,"(5234, 8, 7567)",all,"[5.144147962710122e-06, 0.0002940807898994535, 8.968395945885277e-07]"
"[5, 1, 1]",1,2.3333333333333335,1.0150889018234466e-08,0.0045828133780953335,"[(5897, 3, 9)]",1,"(5897, 10, 7830)",all,"[4.148062515696438e-08, 0.01374010369181633, 8.294961844512727e-06]"
"[1, 5, 10]",1,5.333333333333333,7.978096982697025e-05,0.0053949058055877686,"[(16088, 2, 171), (16088, 9, 8151), (4870, 2, 171)]",3,"(4870, 9, 8151)",all,"[0.01195033360272646, 0.0007199791725724936, 0.0035144046414643526]"
"[2, 4, 19]",1,8.333333333333334,0.003208134090527892,2.3196194045264445e-05,"[(23089, 8, 7410), (7335, 2, 30), (23089, 2, 30)]",3,"(7335, 8, 7410)",all,"[3.001348886755295e-05, 3.925208147848025e-05, 3.2301178976013034e-07]"
"[3, 1, 1]",1,1.6666666666666667,4.969827660517012e-09,0.00481612663157686,"[(5593, 3, 9)]",1,"(5593, 10, 7830)",all,"[1.9019606156689406e-07, 0.014418205246329308, 2.998445233970415e-05]"
"[3, 1, 1]",1,1.6666666666666667,3.580385055101942e-08,0.021018768884161432,"[(6320, 3, 6)]",1,"(6320, 10, 7830)",all,"[4.093728023235599e-08, 0.06303328275680542, 2.298295839864295e-05]"
"[11, 11, 22]",1,14.666666666666666,0.00033357981010340154,0.00030268272530520335,"[(23692, 9, 7903)]",1,"(7610, 9, 7903)",all,"[0.0006213344749994576, 0.00016910297563299537, 0.00011761072528315708]"
