new_scores,new_score,original_score,new_ranks,new_rank,original_rank,facts,#facts,prediction,perspective
"[0.7210509181022644, 0.38645288348197937, 0.3952372670173645]",0.5009136895338694,0.19860407710075378,"[1, 1, 1]",1.0,1,"[(4716, 2, 2580)]",1,"(20115, 2, 2580)",all
"[0.047214191406965256, 0.015569652430713177, 0.049405086785554886]",0.03739631020774444,0.8385334610939026,"[3, 3, 4]",3.3333333333333335,1,"[(12227, 1, 14940)]",1,"(14940, 1, 12227)",all
"[0.053283922374248505, 0.11589743196964264, 0.033929724246263504]",0.06770369286338489,0.8138606548309326,"[3, 2, 5]",3.3333333333333335,1,"[(19739, 1, 14612)]",1,"(14612, 1, 19739)",all
"[3.32346317009069e-05, 7.704809831921011e-05, 7.931598702271003e-06]",3.9404776240796004e-05,0.9748260378837585,"[19958, 12764, 34791]",22504.333333333332,1,"[(34337, 1, 624)]",1,"(624, 1, 34337)",all
"[0.14747202396392822, 0.06749369949102402, 0.2296207696199417]",0.14819549769163132,0.8736011981964111,"[3, 2, 3]",2.6666666666666665,1,"[(6944, 1, 6572)]",1,"(6572, 1, 6944)",all
"[0.00031046278309077024, 7.423074566759169e-05, 4.08717714890372e-05]",0.00014185510008246638,0.9296045303344727,"[3022, 12955, 18223]",11400.0,1,"[(13633, 1, 4225)]",1,"(4225, 1, 13633)",all
"[0.16657203435897827, 0.042824678122997284, 0.14766284823417664]",0.11901985357205074,0.8748989105224609,"[2, 3, 2]",2.3333333333333335,1,"[(26527, 1, 11366)]",1,"(11366, 1, 26527)",all
"[1.4900037967890967e-05, 6.522380135720596e-05, 1.9519964553182945e-05]",3.321460129275996e-05,0.9725252389907837,"[26722, 7147, 28683]",20850.666666666668,1,"[(15106, 1, 15107)]",1,"(15107, 1, 15106)",all
"[0.44574612379074097, 0.23699042201042175, 0.29502129554748535]",0.3259192804495494,0.9558466672897339,"[1, 2, 1]",1.3333333333333333,1,"[(16314, 1, 15028)]",1,"(15028, 1, 16314)",all
"[1.6503825463587418e-05, 8.087858441285789e-05, 0.00017038322403095663]",8.925521130246732e-05,0.9615100622177124,"[29384, 10258, 4112]",14584.666666666666,1,"[(18592, 1, 20124)]",1,"(20124, 1, 18592)",all
"[8.091468043858185e-05, 0.0008545417804270983, 0.00022432739206124097]",0.000386594617642307,0.9488105773925781,"[13733, 1444, 4743]",6640.0,1,"[(12441, 1, 11565)]",1,"(11565, 1, 12441)",all
"[0.025186661630868912, 0.010861807502806187, 0.0017692577093839645]",0.012605908947686354,0.9718466401100159,"[17, 48, 503]",189.33333333333334,1,"[(21674, 1, 4547)]",1,"(4547, 1, 21674)",all
"[0.0031654194463044405, 0.002203426556661725, 0.011582798324525356]",0.00565054810916384,0.04805701971054077,"[5, 5, 3]",4.333333333333333,1,"[(33234, 2, 4090)]",1,"(33234, 2, 2524)",all
"[0.015086635947227478, 0.0008337803301401436, 0.0006605841335840523]",0.005527000136983891,0.9776057600975037,"[20, 1005, 1068]",697.6666666666666,1,"[(19068, 1, 8742)]",1,"(8742, 1, 19068)",all
"[8.485941361868754e-05, 6.480197043856606e-05, 0.00015722053649369627]",0.00010229397351698329,0.9786085486412048,"[11960, 16329, 8518]",12269.0,1,"[(30361, 1, 11813)]",1,"(11813, 1, 30361)",all
"[5.148756463313475e-05, 7.599572563776746e-05, 3.6496527172857895e-05]",5.4659939147920035e-05,0.9478031992912292,"[7189, 3141, 16786]",9038.666666666666,1,"[(33545, 1, 18247)]",1,"(18247, 1, 33545)",all
"[8.007502037798986e-05, 6.625300738960505e-05, 0.00019730500935111195]",0.00011454434570623562,0.7884548306465149,"[7703, 11885, 1883]",7157.0,1,"[(1347, 1, 8776)]",1,"(8776, 1, 1347)",all
"[3.5225199098931625e-05, 3.1230283639160916e-05, 5.7098553952528164e-05]",4.118467889687357e-05,0.969196081161499,"[20135, 14638, 10509]",15094.0,1,"[(12684, 1, 22584)]",1,"(22584, 1, 12684)",all
"[7.854020077502355e-05, 8.671809337101877e-05, 6.679762009298429e-05]",7.735197141300887e-05,0.6023808717727661,"[105, 71, 355]",177.0,1,"[(1864, 4, 39499)]",1,"(39499, 0, 292)",all
"[0.025643248111009598, 0.03203625604510307, 0.16559597849845886]",0.07442516088485718,0.9723116159439087,"[11, 14, 10]",11.666666666666666,1,"[(20544, 1, 3291)]",1,"(3291, 1, 20544)",all
"[2.8494778234744444e-05, 2.3916438294691034e-05, 6.281973037403077e-05]",3.841031563448875e-05,0.9246744513511658,"[19654, 18629, 8214]",15499.0,1,"[(20593, 1, 25852)]",1,"(25852, 1, 20593)",all
"[0.004731408786028624, 0.00011860133236041293, 0.0001009478437481448]",0.0016503193207123938,0.5521760582923889,"[8, 2887, 5037]",2644.0,1,"[(1038, 4, 34310)]",1,"(34310, 0, 184)",all
"[2.0892905467917444e-06, 1.8773129340843298e-05, 4.71557450509863e-06]",8.525998130911224e-06,0.9656851887702942,"[39356, 22130, 33239]",31575.0,1,"[(15794, 9, 16624)]",1,"(16624, 9, 15794)",all
"[0.0018201743951067328, 0.00014842662494629622, 0.002668212866410613]",0.001545604628821214,0.926688015460968,"[100, 5474, 101]",1891.6666666666667,1,"[(18054, 1, 13338)]",1,"(13338, 1, 18054)",all
"[0.02475990355014801, 0.005298337433487177, 0.0032777758315205574]",0.011112005605051914,0.8933057188987732,"[11, 43, 59]",37.666666666666664,1,"[(757, 1, 17190)]",1,"(17190, 1, 757)",all
"[7.807834481354803e-05, 8.800232171779498e-05, 6.791031046304852e-05]",7.799699233146384e-05,0.512271523475647,"[106, 68, 334]",169.33333333333334,1,"[(1864, 4, 31393)]",1,"(31393, 0, 292)",all
"[0.10339462757110596, 0.07168091088533401, 0.10915324836969376]",0.09474292894204457,0.9036061763763428,"[3, 5, 3]",3.6666666666666665,1,"[(9780, 1, 3447)]",1,"(3447, 1, 9780)",all
"[3.436706174397841e-05, 5.718944521504454e-05, 8.565060852561146e-05]",5.9069038494878136e-05,0.9073452353477478,"[20292, 12758, 6691]",13247.0,1,"[(10508, 1, 24179)]",1,"(24179, 1, 10508)",all
"[0.309432715177536, 0.1845550388097763, 0.15462970733642578]",0.21620582044124603,0.9404630661010742,"[2, 2, 2]",2.0,1,"[(5116, 1, 15028)]",1,"(15028, 1, 5116)",all
"[0.0300314761698246, 0.010518266819417477, 0.02167067490518093]",0.020740139298141003,0.8824633359909058,"[3, 13, 5]",7.0,1,"[(8019, 1, 2949)]",1,"(2949, 1, 8019)",all
"[1.1258491213084199e-05, 9.790362673811615e-05, 4.533902392722666e-05]",5.150038062614234e-05,0.974579930305481,"[29599, 3273, 10315]",14395.666666666666,1,"[(8641, 1, 19459)]",1,"(19459, 1, 8641)",all
"[4.252603685017675e-05, 8.0127727414947e-05, 9.401563147548586e-05]",7.222313191353653e-05,0.9594130516052246,"[15145, 7370, 6102]",9539.0,1,"[(39790, 1, 137)]",1,"(137, 1, 39790)",all
"[0.016997814178466797, 0.09046483784914017, 0.06493806093931198]",0.05746690432230631,0.8592720627784729,"[8, 6, 6]",6.666666666666667,1,"[(2415, 1, 20944)]",1,"(20944, 1, 2415)",all
"[0.23515260219573975, 0.21686062216758728, 0.24002762138843536]",0.23068028191725412,0.28957507014274597,"[1, 1, 1]",1.0,1,"[(33711, 5, 9528)]",1,"(33711, 5, 19257)",all
"[2.9317297958186828e-05, 7.773205652483739e-06, 0.00019270206394139677]",7.659752251735578e-05,0.8763036727905273,"[12311, 32979, 300]",15196.666666666666,1,"[(28605, 1, 6067)]",1,"(6067, 1, 28605)",all
"[0.00043142682989127934, 0.00043878090218640864, 0.0004763446922879666]",0.0004488508081218849,0.9537962079048157,"[603, 805, 776]",728.0,1,"[(15927, 1, 23239)]",1,"(23239, 1, 15927)",all
"[0.07269837707281113, 0.06143743172287941, 0.05589990317821503]",0.06334523732463519,0.8030797243118286,"[4, 3, 3]",3.3333333333333335,1,"[(22014, 1, 1419)]",1,"(1419, 1, 22014)",all
"[0.08940459042787552, 0.05260835215449333, 0.014691390097141266]",0.05223477755983671,0.41509827971458435,"[7, 7, 11]",8.333333333333334,1,"[(8390, 1, 14834)]",1,"(14834, 1, 5110)",all
"[0.0001774110714904964, 3.5724595363717526e-05, 0.00015732641622889787]",0.00012348736102770394,0.8214631676673889,"[2880, 20593, 3376]",8949.666666666666,1,"[(20726, 1, 12356)]",1,"(12356, 1, 20726)",all
"[0.41717636585235596, 0.11836755275726318, 0.1884026974439621]",0.24131553868452707,0.4837391674518585,"[1, 3, 6]",3.3333333333333335,1,"[(8310, 6, 8984)]",1,"(8310, 6, 12531)",all
"[0.02868933416903019, 0.008401934057474136, 0.03945471718907356]",0.025515328471859295,0.4814486503601074,"[4, 11, 7]",7.333333333333333,1,"[(34444, 1, 903), (903, 1, 34444)]",2,"(903, 5, 5742)",all
"[2.3207609046949074e-05, 0.003230864182114601, 0.00019499563495628536]",0.0011496891420392785,0.45097658038139343,"[24417, 30, 973]",8473.333333333334,1,"[(24162, 5, 6829)]",1,"(26770, 5, 6829)",all
"[0.02829124964773655, 0.0019435142166912556, 0.0006688753492198884]",0.010301213071215898,0.9874051213264465,"[4, 21, 190]",71.66666666666667,1,"[(6242, 1, 27198)]",1,"(27198, 1, 6242)",all
"[0.43238866329193115, 0.6392568945884705, 0.18764057755470276]",0.4197620451450348,0.23917707800865173,"[1, 1, 1]",1.0,1,"[(1091, 2, 121)]",1,"(30007, 2, 121)",all
