,ComplEx.FB15k237.H@1,ComplEx.FB15k237.MRR,ComplEx.WN18RR.H@1,ComplEx.WN18RR.MRR,ComplEx.MOF-3000.H@1,ComplEx.MOF-3000.MRR,ConvE.FB15k237.H@1,ConvE.FB15k237.MRR,ConvE.WN18RR.H@1,ConvE.WN18RR.MRR,ConvE.MOF-3000.H@1,ConvE.MOF-3000.MRR
criage,0.07,0.042,0.02,0.02,-0.0,-0.0,0.1,0.057,0.07,0.061,-0.0,-0.0
data_poisoning,0.21,0.116,0.22,0.173,0.07,0.043,0.19,0.122,0.22,0.166,-,-
k1,0.16,0.098,0.23,0.183,0.1,0.061,0.16,0.106,0.22,0.166,0.36,0.242
kelpie,0.43,0.27,0.24,0.201,0.24,0.172,0.21,0.125,0.23,0.182,0.34,0.256
xrule,0.264,0.158,0.263,0.232,0.15,0.117,0.226,0.139,0.265,0.227,0.132,0.091
criage(top3),0.1,0.064,0.04,0.031,-0.0,-0.0,0.12,0.068,0.06,0.054,-0.0,-0.0
data_poisoning(top3),0.38,0.247,0.22,0.192,0.12,0.086,0.2,0.125,0.22,0.186,-,-
k1(top3),0.35,0.226,0.22,0.192,0.16,0.105,0.24,0.157,0.21,0.181,0.27,0.182
kelpie(top3),0.39,0.275,0.23,0.206,0.27,0.198,0.24,0.142,0.21,0.189,0.34,0.245
xrule(top3),0.377,0.264,0.289,0.257,0.32,0.267,0.358,0.23,0.324,0.253,0.113,0.08
criage(top5),0.1,0.06,0.03,0.027,-0.0,-0.0,0.18,0.111,0.08,0.066,-0.0,-0.0
data_poisoning(top5),0.36,0.247,0.21,0.187,0.16,0.131,0.22,0.138,0.19,0.177,,
k1(top5),0.39,0.257,0.21,0.19,0.21,0.151,0.28,0.184,0.17,0.158,0.35,0.246
kelpie(top5),0.44,0.3,0.23,0.207,0.23,0.186,0.29,0.186,0.23,0.199,0.36,0.258
xrule(top5),0.415,0.306,0.289,0.257,0.301,0.247,0.434,0.28,0.324,0.242,0.113,0.087
