,ComplEx.FB15k237,ComplEx.WN18RR,ComplEx.MOF-3000,ConvE.FB15k237,ConvE.WN18RR,ConvE.MOF-3000
k1,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0,1.0±0.0
kelpie,3.7±0.8,2.8±1.2,3.9±0.3,2.2±1.1,2.7±1.2,2.9±1.2
xrule,3.4±2.0,1.4±1.0,2.8±0.7,2.2±1.6,1.0±0.1,1.4±0.8
k1+xrule,34.0±11.7,7.3±18.6,37.4±10.5,1.9±0.3,2.0±0.1,2.0±0.1
kelpie+xrule,34.0±11.7,7.3±18.6,37.4±10.5,1.9±0.3,2.0±0.1,2.0±0.1
k1(top3),3.0±0.0,2.6±0.7,3.0±0.0,3.0±0.3,2.7±0.6,3.0±0.0
kelpie(top3),10.9±2.4,7.2±4.1,11.8±1.2,6.3±2.6,7.1±3.9,8.2±3.2
xrule(top3),10.2±4.9,4.3±2.4,8.3±1.7,6.3±4.1,4.2±2.4,4.2±2.2
k1+xrule(top3),36.0±11.7,8.8±18.5,39.4±10.5,5.6±1.0,4.8±1.1,5.9±0.4
kelpie+xrule(top3),36.0±11.7,9.0±18.5,39.4±10.5,5.6±1.0,4.8±1.1,5.9±0.4
